"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RSSOFTWARE","EQ","03-Apr-2017","         94.75","         95.60","         96.70","         94.80","         95.25","         95.40","         95.63","     141213","            13504363.05","       2078","      55942","         39.62"
"RSSOFTWARE","EQ","05-Apr-2017","         95.40","         96.25","         97.70","         94.50","         95.55","         95.85","         96.36","     236193","            22760512.50","       2527","      98127","         41.55"
"RSSOFTWARE","EQ","06-Apr-2017","         95.85","         95.45","         98.30","         95.10","         95.40","         95.45","         96.80","     337262","            32648122.75","       3156","     102371","         30.35"
"RSSOFTWARE","EQ","07-Apr-2017","         95.45","         94.95","         96.65","         93.80","         94.00","         94.10","         95.26","     186731","            17788236.75","       2018","      78441","         42.01"
"RSSOFTWARE","EQ","10-Apr-2017","         94.10","         93.95","         96.00","         93.55","         93.95","         94.00","         94.54","     157977","            14935250.15","       2086","      55154","         34.91"
"RSSOFTWARE","EQ","11-Apr-2017","         94.00","         94.15","         95.80","         93.70","         93.90","         93.95","         94.62","     149162","            14114058.30","       2026","      51287","         34.38"
"RSSOFTWARE","EQ","12-Apr-2017","         93.95","         94.05","         94.55","         92.25","         92.90","         92.80","         93.04","     138534","            12888738.45","       1687","      47015","         33.94"
"RSSOFTWARE","EQ","13-Apr-2017","         92.80","         93.25","         95.00","         92.10","         92.10","         92.35","         93.34","     157082","            14661448.05","       2091","      51903","         33.04"
"RSSOFTWARE","EQ","17-Apr-2017","         92.35","         93.00","         95.00","         92.60","         93.20","         93.15","         93.70","     162039","            15182725.35","       2102","      59887","         36.96"
"RSSOFTWARE","EQ","18-Apr-2017","         93.15","         94.00","         94.40","         91.60","         91.85","         92.05","         93.22","     130997","            12212167.30","       1575","      72368","         55.24"
"RSSOFTWARE","EQ","19-Apr-2017","         92.05","         92.25","         92.90","         90.00","         90.75","         91.30","         91.31","     187411","            17112916.20","       2322","      81874","         43.69"
"RSSOFTWARE","EQ","20-Apr-2017","         91.30","         89.45","         91.40","         76.90","         88.85","         88.95","         88.35","     555052","            49039130.90","       5867","     179796","         32.39"
"RSSOFTWARE","EQ","21-Apr-2017","         88.95","         90.00","         90.05","         86.50","         87.10","         87.15","         88.19","     156163","            13772000.65","       2268","      67655","         43.32"
"RSSOFTWARE","EQ","24-Apr-2017","         87.15","         87.15","         90.80","         87.15","         88.50","         88.25","         89.05","     212150","            18890916.45","       2513","      73017","         34.42"
"RSSOFTWARE","EQ","25-Apr-2017","         88.25","         88.95","         90.00","         87.40","         88.10","         88.10","         88.59","     161013","            14263944.20","       2656","      56541","         35.12"
"RSSOFTWARE","EQ","26-Apr-2017","         88.10","         88.75","         90.50","         86.15","         86.80","         86.70","         88.12","     158793","            13992405.65","       2011","      67991","         42.82"
"RSSOFTWARE","EQ","27-Apr-2017","         86.70","         87.40","         88.15","         84.45","         86.60","         86.45","         86.20","     185783","            16014217.95","       2152","      58370","         31.42"
"RSSOFTWARE","EQ","28-Apr-2017","         86.45","         86.25","         87.70","         84.00","         85.25","         85.05","         85.69","     130657","            11196246.40","       2087","      52658","         40.30"
"RSSOFTWARE","EQ","02-May-2017","         85.05","         85.10","         85.75","         83.40","         85.10","         84.95","         84.56","     129891","            10983208.85","       1152","      72283","         55.65"
"RSSOFTWARE","EQ","03-May-2017","         84.95","         85.45","         86.30","         84.55","         85.50","         85.50","         85.33","     151378","            12916785.85","       1612","      79384","         52.44"
"RSSOFTWARE","EQ","04-May-2017","         85.50","         85.50","         86.80","         85.50","         86.50","         86.30","         86.11","     103427","             8905640.85","       1484","      51695","         49.98"
"RSSOFTWARE","EQ","05-May-2017","         86.30","         86.30","         86.30","         81.00","         81.15","         81.35","         82.71","     235486","            19476459.45","       1923","     183720","         78.02"
"RSSOFTWARE","EQ","08-May-2017","         81.35","         80.00","         82.45","         79.70","         81.30","         81.35","         81.38","     210508","            17131708.15","       2170","      73707","         35.01"
"RSSOFTWARE","EQ","09-May-2017","         81.35","         81.30","         82.70","         81.10","         82.10","         82.25","         82.05","     104627","             8584540.85","       1179","      53156","         50.81"
"RSSOFTWARE","EQ","10-May-2017","         82.25","         82.25","         83.85","         82.25","         82.30","         82.65","         82.97","      95266","             7904361.70","       1327","      37880","         39.76"
"RSSOFTWARE","EQ","11-May-2017","         82.65","         83.25","         83.25","         81.00","         81.30","         81.35","         81.88","      77018","             6306579.35","       1199","      30568","         39.69"
"RSSOFTWARE","EQ","12-May-2017","         81.35","         81.35","         81.85","         80.10","         81.00","         81.30","         81.02","      87105","             7057353.05","       1388","      47261","         54.26"
"RSSOFTWARE","EQ","15-May-2017","         81.30","         81.90","         81.95","         80.00","         80.50","         80.60","         80.68","      87377","             7049410.80","       1230","      49213","         56.32"
"RSSOFTWARE","EQ","16-May-2017","         80.60","         81.35","         82.35","         80.75","         81.90","         81.70","         81.41","      99441","             8095757.25","       1631","      45572","         45.83"
"RSSOFTWARE","EQ","17-May-2017","         81.70","         81.90","         81.90","         80.90","         80.90","         81.05","         81.24","      71960","             5846108.95","        832","      31768","         44.15"
"RSSOFTWARE","EQ","18-May-2017","         81.05","         81.00","         81.00","         79.05","         79.55","         79.65","         80.16","      82234","             6591585.35","       1252","      35065","         42.64"
"RSSOFTWARE","EQ","19-May-2017","         79.65","         79.90","         80.45","         75.80","         75.85","         76.40","         77.98","      97993","             7641146.45","       1566","      60193","         61.43"
"RSSOFTWARE","EQ","22-May-2017","         76.40","         76.50","         79.00","         76.45","         76.75","         77.15","         77.25","     112888","             8720368.65","       1459","      65517","         58.04"
"RSSOFTWARE","EQ","23-May-2017","         77.15","         76.85","         77.65","         72.40","         74.00","         74.10","         73.30","     227683","            16689870.35","       1766","     159653","         70.12"
"RSSOFTWARE","EQ","24-May-2017","         74.10","         76.00","         76.00","         70.90","         71.90","         71.55","         73.02","      88895","             6490724.85","       1433","      33589","         37.79"
"RSSOFTWARE","EQ","25-May-2017","         71.55","         70.60","         75.95","         70.60","         74.90","         75.20","         73.32","     121527","             8910243.80","       1828","      61118","         50.29"
"RSSOFTWARE","EQ","26-May-2017","         75.20","         75.05","         77.20","         74.45","         76.15","         76.25","         76.01","     119377","             9073606.95","       1760","      36543","         30.61"
"RSSOFTWARE","EQ","29-May-2017","         76.25","         76.25","         76.60","         73.50","         75.00","         75.20","         74.74","      96425","             7207137.25","       1178","      52685","         54.64"
"RSSOFTWARE","EQ","30-May-2017","         75.20","         75.05","         77.25","         72.20","         75.60","         75.80","         75.64","     173739","            13141281.35","       2200","      70042","         40.31"
"RSSOFTWARE","EQ","31-May-2017","         75.80","         77.00","         77.00","         74.90","         75.60","         75.40","         75.41","      68886","             5194621.95","       1267","      26494","         38.46"
"RSSOFTWARE","EQ","01-Jun-2017","         75.40","         75.40","         76.00","         74.10","         74.60","         74.70","         74.99","      66020","             4950903.00","       1117","      31443","         47.63"
