"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RPPINFRA","EQ","03-Apr-2017","        269.35","        267.10","        276.05","        267.10","        275.00","        272.40","        272.95","     207953","            56761026.35","       1746","      90401","         43.47"
"RPPINFRA","EQ","05-Apr-2017","        272.40","        275.00","        284.10","        271.70","        272.30","        272.50","        276.95","     211941","            58696401.30","       1966","      85494","         40.34"
"RPPINFRA","EQ","06-Apr-2017","        272.50","        272.80","        284.90","        269.00","        284.00","        282.05","        272.78","    1885787","           514396877.45","       5485","    1495217","         79.29"
"RPPINFRA","EQ","07-Apr-2017","        282.05","        282.15","        291.00","        277.55","        279.00","        279.50","        282.81","     179551","            50778476.75","       2404","      97339","         54.21"
"RPPINFRA","EQ","10-Apr-2017","        279.50","        281.40","        281.40","        271.25","        272.95","        272.60","        274.43","      59258","            16262305.20","        931","      41025","         69.23"
"RPPINFRA","EQ","11-Apr-2017","        272.60","        271.65","        275.90","        270.10","        270.50","        270.55","        272.64","      59608","            16251276.35","        918","      31126","         52.22"
"RPPINFRA","EQ","12-Apr-2017","        270.55","        270.60","        278.15","        270.60","        275.75","        275.25","        273.84","     144878","            39673806.60","       2365","      31601","         21.81"
"RPPINFRA","EQ","13-Apr-2017","        275.25","        275.35","        276.95","        268.65","        274.00","        274.80","        273.85","     190682","            52218264.30","       2509","      46450","         24.36"
"RPPINFRA","EQ","17-Apr-2017","        274.80","        274.00","        276.55","        270.10","        272.00","        272.85","        273.68","     287653","            78724686.90","       1671","     107042","         37.21"
"RPPINFRA","EQ","18-Apr-2017","        272.85","        273.00","        285.00","        272.00","        275.50","        277.25","        280.04","     377623","           105748917.90","       3530","     199696","         52.88"
"RPPINFRA","EQ","19-Apr-2017","        277.25","        275.00","        284.85","        272.10","        278.20","        282.15","        281.71","     260530","            73393385.65","       4144","     102012","         39.16"
"RPPINFRA","EQ","20-Apr-2017","        282.15","        283.45","        289.40","        279.05","        281.50","        281.95","        283.68","     408750","           115953196.45","       2428","     184176","         45.06"
"RPPINFRA","EQ","21-Apr-2017","        281.95","        283.05","        285.50","        276.10","        277.75","        278.35","        280.53","      99800","            27997336.85","       1250","      62338","         62.46"
"RPPINFRA","EQ","24-Apr-2017","        278.35","        280.00","        284.00","        276.50","        279.00","        277.95","        281.38","     157731","            44381962.10","       1331","     118113","         74.88"
"RPPINFRA","EQ","25-Apr-2017","        277.95","        282.65","        294.00","        279.75","        292.00","        290.10","        284.23","     586410","           166673370.10","       3155","     311770","         53.17"
"RPPINFRA","EQ","26-Apr-2017","        290.10","        292.70","        293.70","        280.35","        282.30","        282.20","        289.29","     207361","            59986460.10","       2069","     128918","         62.17"
"RPPINFRA","EQ","27-Apr-2017","        282.20","        284.00","        286.95","        278.50","        282.00","        280.20","        282.07","      58266","            16435049.25","        741","      40550","         69.59"
"RPPINFRA","EQ","28-Apr-2017","        280.20","        279.15","        283.65","        277.10","        279.95","        278.85","        279.15","      39088","            10911390.20","       1190","      14333","         36.67"
"RPPINFRA","EQ","02-May-2017","        278.85","        276.80","        280.60","        272.75","        279.20","        277.25","        276.51","      26154","             7231852.40","        927","       6889","         26.34"
"RPPINFRA","EQ","03-May-2017","        277.25","        279.80","        280.60","        273.00","        279.90","        278.35","        278.76","     368385","           102689841.70","       2365","     119645","         32.48"
"RPPINFRA","EQ","04-May-2017","        278.35","        279.25","        281.40","        273.55","        274.00","        275.75","        277.95","      43192","            12005163.05","       1091","      16359","         37.88"
"RPPINFRA","EQ","05-May-2017","        275.75","        275.85","        276.80","        268.30","        270.05","        270.20","        271.64","     155438","            42222433.05","       2189","      69553","         44.75"
"RPPINFRA","EQ","08-May-2017","        270.20","        270.20","        277.00","        267.60","        267.60","        268.80","        271.63","      67379","            18302065.50","       1999","      23837","         35.38"
"RPPINFRA","EQ","09-May-2017","        268.80","        271.20","        275.45","        269.60","        274.10","        274.70","        273.36","     138415","            37837605.30","       1530","      72300","         52.23"
"RPPINFRA","EQ","10-May-2017","        274.70","        274.50","        288.25","        274.50","        281.00","        279.80","        283.18","     107656","            30486433.90","       1674","      31027","         28.82"
"RPPINFRA","EQ","11-May-2017","        279.80","        278.95","        281.95","        278.00","        279.00","        279.95","        279.78","     498118","           139365738.45","       1727","     358579","         71.99"
"RPPINFRA","EQ","12-May-2017","        279.95","        280.00","        281.75","        278.55","        280.50","        279.00","        279.84","      18110","             5067815.50","        410","      10499","         57.97"
"RPPINFRA","EQ","15-May-2017","        279.00","        280.65","        284.00","        276.60","        282.00","        278.20","        279.39","      68682","            19189046.60","       1175","      23936","         34.85"
"RPPINFRA","EQ","16-May-2017","        278.20","        277.60","        281.05","        270.10","        273.50","        271.25","        277.21","      86034","            23849825.30","       1685","      41450","         48.18"
"RPPINFRA","EQ","17-May-2017","        271.25","        272.70","        286.80","        272.00","        280.15","        281.55","        280.95","     143938","            40438781.70","       3245","      37392","         25.98"
"RPPINFRA","EQ","18-May-2017","        281.55","        278.00","        280.00","        270.50","        271.00","        272.15","        275.58","      31810","             8766256.95","        932","       6938","         21.81"
"RPPINFRA","EQ","19-May-2017","        272.15","        274.00","        274.00","        263.00","        269.50","        271.65","        270.26","      88111","            23812764.15","       1318","      27198","         30.87"
"RPPINFRA","EQ","22-May-2017","        271.65","        270.00","        274.70","        265.40","        265.40","        268.90","        270.26","     204538","            55278968.20","       1911","     166077","         81.20"
"RPPINFRA","EQ","23-May-2017","        268.90","        271.00","        271.00","        252.00","        252.00","        260.20","        261.90","     168303","            44078188.05","       1497","     139557","         82.92"
"RPPINFRA","EQ","24-May-2017","        260.20","        260.40","        267.90","        252.80","        257.80","        256.35","        260.96","     257416","            67174340.90","       1690","     121206","         47.09"
"RPPINFRA","EQ","25-May-2017","        256.35","        259.25","        264.90","        250.00","        254.85","        255.75","        259.99","     101775","            26460508.25","       1720","      36155","         35.52"
"RPPINFRA","EQ","26-May-2017","        255.75","        254.05","        272.50","        254.05","        272.50","        270.95","        266.19","      67651","            18007988.85","        787","      47245","         69.84"
"RPPINFRA","EQ","29-May-2017","        270.95","        272.95","        272.95","        264.00","        264.80","        264.70","        269.02","      20335","             5470599.45","       1252","       5754","         28.30"
"RPPINFRA","EQ","30-May-2017","        264.70","        263.00","        270.40","        256.05","        257.00","        261.40","        265.03","      92808","            24596521.95","       2571","      33830","         36.45"
"RPPINFRA","EQ","31-May-2017","        261.40","        261.40","        268.25","        256.85","        258.00","        258.80","        261.41","      68312","            17857150.45","       1580","      28074","         41.10"
"RPPINFRA","EQ","01-Jun-2017","        258.80","        260.00","        264.70","        211.00","        219.00","        215.85","        229.17","    4475535","          1025659722.15","      24799","    1130084","         25.25"
"RPPINFRA","EQ","02-Jun-2017","        215.85","        224.80","        236.70","        222.55","        232.15","        232.80","        231.01","    3270935","           755605203.00","      25958","    1028236","         31.44"
"RPPINFRA","EQ","05-Jun-2017","        232.80","        234.50","        249.00","        233.00","        245.65","        247.40","        244.34","    1195776","           292178389.70","      10656","     434421","         36.33"
"RPPINFRA","EQ","06-Jun-2017","        247.40","        248.00","        249.40","        233.30","        238.30","        236.65","        239.43","     476646","           114123691.15","       4793","     184947","         38.80"
"RPPINFRA","EQ","07-Jun-2017","        236.65","        238.70","        251.90","        238.70","        250.65","        248.85","        244.93","     561613","           137557817.00","       4268","     293634","         52.28"
"RPPINFRA","EQ","08-Jun-2017","        248.85","        250.80","        254.15","        243.40","        245.60","        245.30","        248.31","     161662","            40141920.25","       2317","      64566","         39.94"
"RPPINFRA","EQ","09-Jun-2017","        245.30","        246.70","        249.00","        240.35","        246.10","        246.35","        245.02","     254254","            62296996.20","       3057","     103464","         40.69"
"RPPINFRA","EQ","12-Jun-2017","        246.35","        245.95","        245.95","        240.40","        242.40","        241.80","        242.59","      84841","            20581217.20","       2232","      35342","         41.66"
"RPPINFRA","EQ","13-Jun-2017","        241.80","        242.05","        244.55","        235.00","        235.10","        236.50","        239.86","      84192","            20193978.15","       3276","      42492","         50.47"
"RPPINFRA","EQ","14-Jun-2017","        236.50","        237.60","        237.80","        228.50","        232.50","        231.70","        232.69","     131899","            30691968.70","       2032","      73041","         55.38"
"RPPINFRA","EQ","15-Jun-2017","        231.70","        232.35","        235.05","        231.75","        234.50","        233.50","        232.61","     155959","            36277014.05","       1279","     108793","         69.76"
"RPPINFRA","EQ","16-Jun-2017","        233.50","        235.45","        240.85","        231.50","        232.70","        233.65","        234.97","      87456","            20549259.75","       1624","      44616","         51.02"
"RPPINFRA","EQ","19-Jun-2017","        233.65","        234.50","        257.00","        234.35","        253.00","        252.80","        251.21","    1130189","           283909992.15","      11903","     359847","         31.84"
"RPPINFRA","EQ","20-Jun-2017","        252.80","        252.35","        254.90","        244.55","        247.85","        246.65","        250.16","     116401","            29118502.15","       2819","      41754","         35.87"
"RPPINFRA","EQ","21-Jun-2017","        246.65","        246.65","        254.10","        246.05","        250.50","        252.75","        251.68","     289402","            72837014.25","       3241","     128283","         44.33"
"RPPINFRA","EQ","22-Jun-2017","        252.75","        252.00","        252.70","        244.30","        245.00","        245.30","        248.49","     104268","            25909261.70","       1945","      62330","         59.78"
"RPPINFRA","EQ","23-Jun-2017","        245.30","        245.00","        248.30","        237.00","        244.00","        244.95","        244.53","      85083","            20805751.95","       1451","      25887","         30.43"
"RPPINFRA","EQ","27-Jun-2017","        244.95","        244.00","        246.80","        234.20","        234.20","        238.25","        240.26","      48813","            11728032.50","       1489","      23200","         47.53"
"RPPINFRA","EQ","28-Jun-2017","        238.25","        238.00","        239.45","        234.00","        234.00","        235.15","        236.93","      85084","            20159359.95","       1957","      43465","         51.08"
"RPPINFRA","EQ","29-Jun-2017","        235.15","        235.50","        248.45","        235.50","        245.00","        245.15","        243.91","     296351","            72283734.70","       3533","     113778","         38.39"
"RPPINFRA","EQ","30-Jun-2017","        245.15","        243.75","        247.35","        237.20","        237.50","        240.80","        242.23","     142522","            34523497.75","       3066","      78850","         55.32"
