"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RPGLIFE","EQ","03-Jul-2017","        374.95","        380.95","        381.55","        373.55","        374.60","        375.40","        377.90","       8825","             3334957.00","        355","       3920","         44.42"
"RPGLIFE","EQ","04-Jul-2017","        375.40","        375.10","        393.00","        375.10","        384.10","        384.30","        384.49","      33528","            12891251.75","       1010","      13925","         41.53"
"RPGLIFE","EQ","05-Jul-2017","        384.30","        388.10","        396.40","        385.25","        392.95","        392.45","        392.14","      58308","            22864925.60","       1555","      21288","         36.51"
"RPGLIFE","EQ","06-Jul-2017","        392.45","        392.95","        399.80","        392.40","        395.00","        394.00","        396.11","      29446","            11663867.25","        762","      17553","         59.61"
"RPGLIFE","EQ","07-Jul-2017","        394.00","        393.00","        399.80","        377.80","        380.15","        382.30","        387.93","      40207","            15597607.35","        807","      29344","         72.98"
"RPGLIFE","EQ","10-Jul-2017","        382.30","        394.00","        394.00","        378.00","        379.05","        379.95","        382.75","       2912","             1114572.10","         89","       2291","         78.67"
"RPGLIFE","EQ","11-Jul-2017","        379.95","        386.95","        386.95","        380.05","        383.00","        381.65","        383.38","      16200","             6210731.65","        486","      10576","         65.28"
"RPGLIFE","EQ","12-Jul-2017","        381.65","        386.35","        389.00","        381.10","        388.00","        387.50","        385.30","      17619","             6788565.95","        542","       9416","         53.44"
"RPGLIFE","EQ","13-Jul-2017","        387.50","        385.70","        392.80","        384.00","        385.05","        386.65","        387.35","      14280","             5531320.65","        618","       6998","         49.01"
"RPGLIFE","EQ","14-Jul-2017","        386.65","        386.55","        389.50","        382.55","        385.00","        384.10","        385.82","      11758","             4536475.75","        319","       6252","         53.17"
"RPGLIFE","EQ","17-Jul-2017","        384.10","        384.20","        389.85","        379.20","        382.00","        381.20","        382.22","      12220","             4670751.35","        314","       8496","         69.53"
"RPGLIFE","EQ","18-Jul-2017","        381.20","        380.00","        388.85","        375.95","        383.00","        382.25","        384.73","      15393","             5922180.30","        476","       6403","         41.60"
"RPGLIFE","EQ","19-Jul-2017","        382.25","        384.65","        391.55","        383.70","        386.40","        386.00","        388.01","      26781","            10391215.70","        559","      12041","         44.96"
"RPGLIFE","EQ","20-Jul-2017","        386.00","        389.50","        389.50","        383.35","        384.00","        384.45","        385.14","      13923","             5362356.35","        403","      10689","         76.77"
"RPGLIFE","EQ","21-Jul-2017","        384.45","        385.15","        389.00","        383.00","        385.00","        385.10","        385.42","      12236","             4715953.45","        307","       7868","         64.30"
"RPGLIFE","EQ","24-Jul-2017","        385.10","        381.00","        388.55","        375.20","        376.00","        377.10","        381.17","      27764","            10582869.35","        522","      20680","         74.48"
"RPGLIFE","EQ","25-Jul-2017","        377.10","        378.00","        378.00","        369.00","        372.05","        372.60","        373.30","      40162","            14992404.85","        545","      23228","         57.84"
"RPGLIFE","EQ","26-Jul-2017","        372.60","        374.95","        378.00","        365.10","        365.50","        366.20","        370.57","      41508","            15381668.95","        759","      33143","         79.85"
"RPGLIFE","EQ","27-Jul-2017","        366.20","        366.55","        369.60","        359.00","        359.50","        360.25","        363.62","      16797","             6107783.35","        720","      11738","         69.88"
"RPGLIFE","EQ","28-Jul-2017","        360.25","        360.00","        361.30","        355.00","        355.90","        356.05","        357.48","      14437","             5160975.25","        408","      10937","         75.76"
"RPGLIFE","EQ","31-Jul-2017","        356.05","        359.00","        359.00","        341.05","        341.55","        344.85","        347.86","      31154","            10837188.25","       1039","      18810","         60.38"
"RPGLIFE","EQ","01-Aug-2017","        344.85","        346.00","        355.55","        346.00","        347.20","        348.75","        351.01","      14977","             5257016.55","        562","       9360","         62.50"
"RPGLIFE","EQ","02-Aug-2017","        348.75","        350.00","        352.00","        347.45","        350.15","        350.05","        350.14","      48543","            16996842.65","        552","      41630","         85.76"
"RPGLIFE","EQ","03-Aug-2017","        350.05","        352.50","        352.50","        342.60","        344.00","        346.50","        348.57","      14263","             4971662.55","        397","       7419","         52.02"
"RPGLIFE","EQ","04-Aug-2017","        346.50","        344.00","        346.55","        329.10","        333.00","        333.05","        336.24","      28929","             9727017.60","       1267","      17724","         61.27"
"RPGLIFE","EQ","07-Aug-2017","        333.05","        326.00","        342.90","        321.50","        327.00","        325.70","        329.80","      35596","            11739698.65","       1180","      21013","         59.03"
"RPGLIFE","EQ","08-Aug-2017","        325.70","        322.60","        326.45","        315.00","        318.00","        317.65","        319.57","      33021","            10552360.50","       1041","      23606","         71.49"
"RPGLIFE","EQ","09-Aug-2017","        317.65","        316.45","        319.00","        304.90","        315.10","        315.35","        314.89","      49725","            15658007.60","        507","      45352","         91.21"
"RPGLIFE","EQ","10-Aug-2017","        315.35","        315.50","        318.85","        306.00","        310.00","        308.90","        313.92","      64878","            20366178.60","        592","      57357","         88.41"
"RPGLIFE","EQ","11-Aug-2017","        308.90","        306.20","        309.85","        300.05","        309.80","        307.25","        304.62","      18719","             5702137.25","        716","      11405","         60.93"
"RPGLIFE","EQ","14-Aug-2017","        307.25","        310.00","        314.95","        308.25","        309.50","        309.10","        310.07","      14254","             4419754.95","        366","       7104","         49.84"
"RPGLIFE","EQ","16-Aug-2017","        309.10","        310.10","        323.00","        296.70","        314.20","        317.00","        313.58","      32843","            10298974.05","       1430","      16889","         51.42"
"RPGLIFE","EQ","17-Aug-2017","        317.00","        316.45","        327.00","        316.45","        321.50","        322.60","        322.45","      15248","             4916677.65","        991","       6344","         41.61"
"RPGLIFE","EQ","18-Aug-2017","        322.60","        319.00","        319.45","        315.00","        318.00","        316.70","        317.41","      17267","             5480705.80","        284","      13265","         76.82"
