"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RAIREKMOH","EQ","02-Jan-2017","         63.05","         67.80","         67.80","         63.50","         63.50","         63.95","         65.38","       6190","              404690.65","         86","       4622","         74.67"
"RAIREKMOH","EQ","03-Jan-2017","         63.95","         65.60","         65.70","         61.30","         63.05","         63.70","         64.24","       1370","               88002.10","         23","       1109","         80.95"
"RAIREKMOH","EQ","04-Jan-2017","         63.70","         65.00","         69.85","         65.00","         69.85","         69.30","         67.43","      24039","             1620982.35","        192","      18315","         76.19"
"RAIREKMOH","EQ","05-Jan-2017","         69.30","         70.00","         74.10","         70.00","         71.15","         71.15","         72.49","      38610","             2798666.55","        210","      22425","         58.08"
"RAIREKMOH","EQ","06-Jan-2017","         71.15","         68.50","         71.50","         68.50","         71.00","         71.40","         70.63","       7025","              496177.35","         53","       5453","         77.62"
"RAIREKMOH","EQ","09-Jan-2017","         71.40","         68.10","         71.95","         68.10","         71.70","         71.55","         70.98","       1752","              124365.05","         15","       1202","         68.61"
"RAIREKMOH","EQ","10-Jan-2017","         71.55","         73.75","         73.75","         69.00","         69.60","         69.35","         69.61","       5048","              351394.70","         61","       2696","         53.41"
"RAIREKMOH","EQ","11-Jan-2017","         69.35","         71.90","         72.60","         70.30","         70.40","         70.65","         71.45","       4226","              301947.55","         44","       2638","         62.42"
"RAIREKMOH","EQ","12-Jan-2017","         70.65","         70.35","         72.00","         69.70","         71.25","         71.75","         71.25","       9997","              712286.80","         83","       7270","         72.72"
"RAIREKMOH","EQ","13-Jan-2017","         71.75","         71.15","         71.50","         71.10","         71.10","         71.10","         71.21","       1482","              105538.50","         11","       1450","         97.84"
"RAIREKMOH","EQ","16-Jan-2017","         71.10","         71.10","         72.20","         69.65","         72.00","         71.90","         71.28","       2101","              149759.50","         31","       1941","         92.38"
"RAIREKMOH","EQ","17-Jan-2017","         71.90","         71.10","         72.20","         71.00","         72.10","         71.55","         71.74","       3932","              282096.00","         30","       2842","         72.28"
"RAIREKMOH","EQ","18-Jan-2017","         71.55","         72.95","         74.00","         71.00","         72.20","         72.85","         72.84","      13532","              985690.60","         83","       9946","         73.50"
"RAIREKMOH","EQ","19-Jan-2017","         72.85","         72.85","         76.85","         72.00","         75.35","         75.50","         75.11","      18230","             1369335.10","        169","      11483","         62.99"
"RAIREKMOH","EQ","20-Jan-2017","         75.50","         78.75","         78.75","         74.25","         75.75","         74.95","         74.84","       3464","              259238.75","         37","       2656","         76.67"
"RAIREKMOH","EQ","23-Jan-2017","         74.95","         75.80","         75.80","         70.00","         74.90","         74.10","         73.13","       4403","              321999.30","         82","       2529","         57.44"
"RAIREKMOH","EQ","24-Jan-2017","         74.10","         73.40","         73.55","         67.00","         70.10","         70.90","         70.69","      11629","              821996.00","         85","       7772","         66.83"
"RAIREKMOH","EQ","25-Jan-2017","         70.90","         73.90","         73.90","         66.05","         72.00","         73.05","         72.34","      69372","             5018506.90","        115","      49154","         70.86"
"RAIREKMOH","EQ","27-Jan-2017","         73.05","         74.55","         74.70","         71.05","         73.40","         73.30","         72.77","       2081","              151436.80","         27","       1574","         75.64"
"RAIREKMOH","EQ","30-Jan-2017","         73.30","         71.00","         73.50","         70.30","         70.35","         70.55","         71.80","       6695","              480705.30","         46","       2365","         35.32"
"RAIREKMOH","EQ","31-Jan-2017","         70.55","         69.35","         75.60","         69.00","         72.00","         73.95","         71.55","       5183","              370848.00","         50","       3232","         62.36"
"RAIREKMOH","EQ","01-Feb-2017","         73.95","         73.70","         74.10","         69.20","         71.00","         71.75","         71.88","       3565","              256237.70","         32","       2900","         81.35"
"RAIREKMOH","EQ","02-Feb-2017","         71.75","         71.00","         73.60","         70.50","         70.55","         70.95","         71.02","       7443","              528567.80","         39","       6456","         86.74"
"RAIREKMOH","EQ","03-Feb-2017","         70.95","         72.00","         72.95","         70.50","         70.60","         71.30","         71.29","       3102","              221134.90","         26","       2852","         91.94"
"RAIREKMOH","EQ","06-Feb-2017","         71.30","         73.90","         78.40","         73.25","         78.40","         77.90","         75.23","      14612","             1099310.80","        159","      10494","         71.82"
"RAIREKMOH","EQ","07-Feb-2017","         77.90","         79.95","         91.00","         76.55","         78.00","         77.85","         81.87","     206907","            16938786.00","       1526","      98383","         47.55"
"RAIREKMOH","EQ","08-Feb-2017","         77.85","         77.85","         80.95","         75.75","         75.75","         76.15","         78.23","      42767","             3345697.00","        291","      29055","         67.94"
"RAIREKMOH","EQ","09-Feb-2017","         76.15","         75.85","         77.50","         73.00","         75.90","         75.05","         74.91","      11721","              878033.05","        180","       8713","         74.34"
"RAIREKMOH","EQ","10-Feb-2017","         75.05","         74.00","         75.30","         71.15","         73.70","         73.75","         74.16","      13536","             1003793.40","         95","      11265","         83.22"
"RAIREKMOH","EQ","13-Feb-2017","         73.75","         71.00","         73.55","         69.00","         73.00","         72.70","         72.19","      23276","             1680372.60","        223","      17331","         74.46"
"RAIREKMOH","EQ","14-Feb-2017","         72.70","         74.20","         75.40","         72.95","         75.40","         74.95","         74.61","       5759","              429685.40","         67","       2895","         50.27"
"RAIREKMOH","EQ","15-Feb-2017","         74.95","         75.80","         84.00","         74.20","         74.80","         74.90","         78.87","     206733","            16304858.55","       1036","      67885","         32.84"
"RAIREKMOH","EQ","16-Feb-2017","         74.90","         74.90","         83.75","         72.60","         80.00","         80.15","         79.93","     247345","            19769872.90","       1648","      31027","         12.54"
"RAIREKMOH","EQ","17-Feb-2017","         80.15","         83.85","         83.85","         77.50","         78.00","         78.45","         80.91","     102202","             8269064.75","        429","      22176","         21.70"
"RAIREKMOH","EQ","20-Feb-2017","         78.45","         78.40","         78.70","         75.10","         76.30","         77.40","         77.31","      49903","             3858233.95","        226","      42563","         85.29"
"RAIREKMOH","EQ","21-Feb-2017","         77.40","         76.20","         78.50","         75.00","         77.50","         75.85","         75.80","      22544","             1708839.55","         72","      20548","         91.15"
