"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RAJOIL","EQ","03-Apr-2017","          1.85","          1.80","          1.90","          1.80","          1.90","          1.90","          1.90","      72581","              137553.30","         48","      68281","         94.08"
"RAJOIL","EQ","05-Apr-2017","          1.90","          1.90","          1.95","          1.90","          1.95","          1.95","          1.94","      59012","              114241.60","         45","      53010","         89.83"
"RAJOIL","EQ","06-Apr-2017","          1.95","          2.00","          2.00","          2.00","          2.00","          2.00","          2.00","      27221","               54442.00","         38","      27221","        100.00"
"RAJOIL","EQ","07-Apr-2017","          2.00","          2.05","          2.10","          2.05","          2.10","          2.10","          2.09","      63522","              133000.95","         66","      53066","         83.54"
"RAJOIL","EQ","10-Apr-2017","          2.10","          2.15","          2.20","          2.00","          2.15","          2.15","          2.17","     155424","              337477.75","        108","     133108","         85.64"
"RAJOIL","EQ","11-Apr-2017","          2.15","          2.20","          2.25","          2.10","          2.15","          2.15","          2.20","     143859","              316931.15","        116","     126405","         87.87"
"RAJOIL","EQ","12-Apr-2017","          2.15","          2.15","          2.15","          2.05","          2.05","          2.05","          2.10","      50465","              105857.60","         56","      33604","         66.59"
"RAJOIL","BE","13-Apr-2017","          2.05","          2.05","          2.05","          1.95","          1.95","          1.95","          2.00","      24882","               49800.05","         31","-","-"
"RAJOIL","BE","17-Apr-2017","          1.95","          1.90","          2.00","          1.90","          2.00","          2.00","          1.97","      37101","               73004.50","         32","-","-"
"RAJOIL","BE","18-Apr-2017","          2.00","          2.00","          2.10","          1.95","          2.05","          2.05","          2.08","      80246","              166535.80","         69","-","-"
"RAJOIL","BE","19-Apr-2017","          2.05","          2.00","          2.10","          1.95","          2.05","          2.00","          1.98","      53966","              106666.25","         44","-","-"
"RAJOIL","BE","20-Apr-2017","          2.00","          1.95","          2.00","          1.90","          2.00","          2.00","          1.93","      35521","               68653.65","         34","-","-"
"RAJOIL","BE","21-Apr-2017","          2.00","          1.95","          2.10","          1.90","          2.10","          2.10","          1.99","      75350","              149700.55","         58","-","-"
"RAJOIL","BE","24-Apr-2017","          2.10","          2.00","          2.05","          2.00","          2.00","          2.00","          2.01","      36712","               73784.00","         36","-","-"
"RAJOIL","BE","25-Apr-2017","          2.00","          1.95","          1.95","          1.90","          1.90","          1.90","          1.91","      38705","               73789.50","         48","-","-"
"RAJOIL","BE","26-Apr-2017","          1.90","          1.85","          1.90","          1.85","          1.90","          1.90","          1.86","      59409","              110232.30","         61","-","-"
"RAJOIL","BE","27-Apr-2017","          1.90","          1.90","          1.90","          1.85","          1.90","          1.90","          1.87","      12195","               22771.65","         25","-","-"
"RAJOIL","BE","28-Apr-2017","          1.90","          1.90","          1.95","          1.85","          1.90","          1.90","          1.88","      42708","               80170.45","         28","-","-"
"RAJOIL","BE","02-May-2017","          1.90","          1.90","          1.95","          1.85","          1.95","          1.95","          1.94","      40990","               79316.10","         39","-","-"
"RAJOIL","BE","03-May-2017","          1.95","          1.90","          1.95","          1.90","          1.90","          1.90","          1.90","      20986","               39888.40","         24","-","-"
"RAJOIL","BE","04-May-2017","          1.90","          1.85","          1.95","          1.85","          1.85","          1.85","          1.85","      19850","               36732.50","         21","-","-"
"RAJOIL","BE","05-May-2017","          1.85","          1.80","          1.90","          1.80","          1.90","          1.85","          1.82","      51918","               94238.35","         37","-","-"
