"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RAJRAYON","EQ","02-Jan-2017","          0.30","          0.25","          0.30","          0.25","          0.30","          0.30","          0.29","      10340","                3017.00","          9","       5170","         50.00"
"RAJRAYON","EQ","03-Jan-2017","          0.30","          0.25","          0.30","          0.25","          0.30","          0.30","          0.29","      13610","                3982.95","          9","      13610","        100.00"
"RAJRAYON","EQ","04-Jan-2017","          0.30","          0.25","          0.35","          0.25","          0.30","          0.30","          0.30","      84391","               25047.75","         12","      75391","         89.34"
"RAJRAYON","EQ","05-Jan-2017","          0.30","          0.30","          0.30","          0.25","          0.30","          0.30","          0.30","      14510","                4352.95","          8","      14510","        100.00"
"RAJRAYON","EQ","06-Jan-2017","          0.30","          0.30","          0.35","          0.25","          0.30","          0.30","          0.32","     285722","               90231.50","         38","     184683","         64.64"
"RAJRAYON","EQ","09-Jan-2017","          0.30","          0.30","          0.35","          0.25","          0.25","          0.30","          0.30","      89509","               27187.25","         26","      83650","         93.45"
"RAJRAYON","EQ","10-Jan-2017","          0.30","          0.25","          0.35","          0.25","          0.30","          0.30","          0.34","      63373","               21422.40","         13","      56141","         88.59"
"RAJRAYON","EQ","11-Jan-2017","          0.30","          0.25","          0.35","          0.25","          0.30","          0.30","          0.27","      80457","               21665.95","         24","      79769","         99.14"
"RAJRAYON","EQ","12-Jan-2017","          0.30","          0.30","          0.35","          0.25","          0.30","          0.30","          0.30","      83986","               25254.20","         22","      77503","         92.28"
"RAJRAYON","EQ","13-Jan-2017","          0.30","          0.35","          0.35","          0.25","          0.30","          0.30","          0.31","      31650","                9690.00","         12","      29650","         93.68"
"RAJRAYON","EQ","16-Jan-2017","          0.30","          0.30","          0.30","          0.25","          0.30","          0.30","          0.29","      42580","               12146.50","         18","      29350","         68.93"
"RAJRAYON","EQ","17-Jan-2017","          0.30","          0.35","          0.35","          0.25","          0.30","          0.30","          0.30","     670214","              201926.25","         53","     576468","         86.01"
"RAJRAYON","EQ","18-Jan-2017","          0.30","          0.35","          0.35","          0.25","          0.30","          0.30","          0.30","     147175","               44705.25","         53","      98554","         66.96"
"RAJRAYON","EQ","19-Jan-2017","          0.30","          0.35","          0.35","          0.25","          0.30","          0.30","          0.30","     203668","               61039.10","         30","     153165","         75.20"
"RAJRAYON","EQ","20-Jan-2017","          0.30","          0.35","          0.35","          0.25","          0.30","          0.30","          0.28","     141493","               39346.60","         24","      94957","         67.11"
"RAJRAYON","EQ","23-Jan-2017","          0.30","          0.30","          0.30","          0.30","          0.30","          0.30","          0.30","      11350","                3405.00","          5","      11350","        100.00"
"RAJRAYON","EQ","24-Jan-2017","          0.30","          0.30","          0.30","          0.25","          0.30","          0.30","          0.30","      70293","               20938.50","         16","      69293","         98.58"
"RAJRAYON","EQ","25-Jan-2017","          0.30","          0.30","          0.30","          0.25","          0.30","          0.30","          0.30","      24233","                7200.60","          9","      21149","         87.27"
"RAJRAYON","EQ","27-Jan-2017","          0.30","          0.25","          0.35","          0.25","          0.30","          0.30","          0.27","      81381","               21787.05","         21","      79736","         97.98"
"RAJRAYON","EQ","30-Jan-2017","          0.30","          0.25","          0.30","          0.25","          0.25","          0.25","          0.28","      24870","                6922.50","         14","       9100","         36.59"
"RAJRAYON","EQ","31-Jan-2017","          0.25","          0.25","          0.30","          0.25","          0.30","          0.30","          0.25","     660162","              166724.35","         42","     540916","         81.94"
"RAJRAYON","EQ","01-Feb-2017","          0.30","          0.30","          0.30","          0.25","          0.30","          0.30","          0.27","     129395","               35518.50","         15","     129395","        100.00"
"RAJRAYON","EQ","02-Feb-2017","          0.30","          0.25","          0.30","          0.25","          0.30","          0.25","          0.29","      68923","               19986.90","         14","      68823","         99.85"
"RAJRAYON","EQ","03-Feb-2017","          0.25","          0.30","          0.30","          0.25","          0.30","          0.30","          0.27","      26702","                7255.50","         13","      26702","        100.00"
"RAJRAYON","EQ","06-Feb-2017","          0.30","          0.30","          0.30","          0.25","          0.30","          0.30","          0.28","     120880","               33306.50","         26","      67730","         56.03"
"RAJRAYON","EQ","07-Feb-2017","          0.30","          0.30","          0.30","          0.25","          0.30","          0.30","          0.30","      38143","               11342.90","         11","      38143","        100.00"
"RAJRAYON","EQ","08-Feb-2017","          0.30","          0.25","          0.30","          0.25","          0.30","          0.30","          0.29","      45808","               13221.70","         14","      45352","         99.00"
"RAJRAYON","EQ","09-Feb-2017","          0.30","          0.25","          0.30","          0.25","          0.30","          0.30","          0.29","      69930","               20112.30","         21","      59930","         85.70"
"RAJRAYON","EQ","10-Feb-2017","          0.30","          0.30","          0.30","          0.25","          0.30","          0.30","          0.30","     140496","               41963.50","         10","     107790","         76.72"
"RAJRAYON","EQ","13-Feb-2017","          0.30","          0.25","          0.35","          0.25","          0.25","          0.25","          0.28","     140202","               39640.45","         26","     138105","         98.50"
"RAJRAYON","EQ","14-Feb-2017","          0.25","          0.30","          0.30","          0.25","          0.25","          0.25","          0.28","      53821","               14950.40","         21","      12403","         23.04"
"RAJRAYON","EQ","15-Feb-2017","          0.25","          0.25","          0.30","          0.25","          0.30","          0.30","          0.30","      23600","                7030.00","          4","      22600","         95.76"
"RAJRAYON","EQ","16-Feb-2017","          0.30","          0.30","          0.30","          0.30","          0.30","          0.30","          0.30","      63615","               19084.50","         17","      43615","         68.56"
"RAJRAYON","EQ","17-Feb-2017","          0.30","          0.30","          0.30","          0.25","          0.30","          0.30","          0.29","       7950","                2325.00","          7","       7950","        100.00"
"RAJRAYON","EQ","20-Feb-2017","          0.30","          0.25","          0.35","          0.25","          0.30","          0.30","          0.31","      45956","               14316.70","         13","      45756","         99.56"
"RAJRAYON","EQ","21-Feb-2017","          0.30","          0.25","          0.30","          0.25","          0.30","          0.30","          0.30","      66016","               19579.25","         19","      65516","         99.24"
"RAJRAYON","EQ","22-Feb-2017","          0.30","          0.30","          0.30","          0.30","          0.30","          0.30","          0.30","      10000","                3000.00","          1","      10000","        100.00"
"RAJRAYON","EQ","23-Feb-2017","          0.30","          0.25","          0.30","          0.25","          0.25","          0.25","          0.29","      14445","                4230.75","          8","      14445","        100.00"
"RAJRAYON","EQ","27-Feb-2017","          0.25","          0.30","          0.30","          0.25","          0.30","          0.30","          0.29","      27233","                7855.70","         27","      21303","         78.22"
"RAJRAYON","EQ","28-Feb-2017","          0.30","          0.35","          0.35","          0.25","          0.30","          0.30","          0.31","      55266","               17071.30","         29","      53435","         96.69"
"RAJRAYON","EQ","01-Mar-2017","          0.30","          0.30","          0.30","          0.25","          0.30","          0.30","          0.30","      28348","                8487.15","         14","      28345","         99.99"
