"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RAJESHEXPO","EQ","03-Apr-2017","        605.95","        604.50","        610.00","        592.50","        596.00","        597.25","        600.60","     696789","           418492488.35","       9353","     112792","         16.19"
"RAJESHEXPO","EQ","05-Apr-2017","        597.25","        599.65","        610.90","        598.50","        603.00","        604.10","        607.49","     897161","           545015305.50","       9215","     125674","         14.01"
"RAJESHEXPO","EQ","06-Apr-2017","        604.10","        604.30","        609.00","        601.00","        605.90","        606.05","        605.78","     552151","           334480089.85","       7118","      90745","         16.43"
"RAJESHEXPO","EQ","07-Apr-2017","        606.05","        603.00","        613.00","        600.00","        601.00","        602.45","        608.96","    1085642","           661114095.85","      17517","     288836","         26.61"
"RAJESHEXPO","EQ","10-Apr-2017","        602.45","        604.90","        606.00","        590.15","        598.95","        597.75","        601.35","     501593","           301633904.35","       8390","      40398","          8.05"
"RAJESHEXPO","EQ","11-Apr-2017","        597.75","        600.00","        606.00","        593.00","        601.00","        601.65","        601.19","     547680","           329259969.40","       7281","      64874","         11.85"
"RAJESHEXPO","EQ","12-Apr-2017","        601.65","        603.95","        619.00","        594.00","        595.35","        596.65","        606.10","     847580","           513722272.10","      14773","     134637","         15.88"
"RAJESHEXPO","EQ","13-Apr-2017","        596.65","        596.65","        603.00","        583.00","        586.55","        587.15","        595.43","     387446","           230697828.70","       9055","      75688","         19.54"
"RAJESHEXPO","EQ","17-Apr-2017","        587.15","        588.15","        621.60","        587.05","        600.50","        603.20","        603.94","     572068","           345495371.90","       8051","      89353","         15.62"
"RAJESHEXPO","EQ","18-Apr-2017","        603.20","        603.00","        611.00","        603.00","        604.00","        604.15","        607.21","     713210","           433071008.65","      13482","     202175","         28.35"
"RAJESHEXPO","EQ","19-Apr-2017","        604.15","        605.80","        606.95","        595.55","        602.00","        602.65","        602.16","     441137","           265635141.20","       6993","      66920","         15.17"
"RAJESHEXPO","EQ","20-Apr-2017","        602.65","        603.40","        614.00","        602.15","        603.20","        603.65","        608.48","     674051","           410146644.55","      12253","     135682","         20.13"
"RAJESHEXPO","EQ","21-Apr-2017","        603.65","        604.40","        609.90","        602.00","        603.80","        604.65","        605.89","     540567","           327526497.20","      13251","     180174","         33.33"
"RAJESHEXPO","EQ","24-Apr-2017","        604.65","        605.20","        616.80","        604.60","        605.50","        605.60","        610.38","     666601","           406879907.35","      12945","     160084","         24.01"
"RAJESHEXPO","EQ","25-Apr-2017","        605.60","        608.00","        611.85","        605.35","        605.60","        606.20","        609.22","     516673","           314767233.85","       8413","     107120","         20.73"
"RAJESHEXPO","EQ","26-Apr-2017","        606.20","        606.95","        613.65","        605.55","        606.80","        607.20","        609.10","     525502","           320084810.40","       6018","     104669","         19.92"
"RAJESHEXPO","EQ","27-Apr-2017","        607.20","        606.50","        622.00","        606.50","        609.00","        607.85","        613.89","    2233726","          1371255223.50","      32405","     743249","         33.27"
"RAJESHEXPO","EQ","28-Apr-2017","        607.85","        612.70","        620.00","        607.20","        615.00","        615.20","        614.91","    2250569","          1383894480.65","      17582","    1078647","         47.93"
"RAJESHEXPO","EQ","02-May-2017","        615.20","        616.20","        625.50","        613.00","        618.00","        618.00","        620.02","    2442524","          1514408844.50","      25922","    1271900","         52.07"
"RAJESHEXPO","EQ","03-May-2017","        618.00","        621.90","        623.95","        616.70","        618.00","        617.95","        619.24","    1114044","           689858220.95","       8262","     445737","         40.01"
"RAJESHEXPO","EQ","04-May-2017","        617.95","        618.70","        628.00","        617.50","        617.75","        618.45","        622.28","    1525547","           949321078.80","      13514","     525971","         34.48"
"RAJESHEXPO","EQ","05-May-2017","        618.45","        619.50","        621.85","        616.05","        617.75","        617.90","        619.25","     741196","           458983553.40","      10684","     292244","         39.43"
"RAJESHEXPO","EQ","08-May-2017","        617.90","        621.75","        631.40","        620.50","        624.00","        623.70","        627.24","    1155734","           724919847.75","      13334","     358219","         30.99"
"RAJESHEXPO","EQ","09-May-2017","        623.70","        625.00","        631.85","        623.00","        624.50","        625.45","        628.42","     725008","           455609043.25","       9998","     172254","         23.76"
"RAJESHEXPO","EQ","10-May-2017","        625.45","        627.95","        632.90","        625.30","        625.65","        626.20","        629.94","    1246833","           785434253.35","      14120","     386360","         30.99"
"RAJESHEXPO","EQ","11-May-2017","        626.20","        629.00","        631.85","        626.40","        631.00","        630.80","        629.44","     544533","           342748428.75","       7958","     139954","         25.70"
"RAJESHEXPO","EQ","12-May-2017","        630.80","        631.75","        635.90","        625.00","        632.00","        631.30","        632.56","     862539","           545608754.35","      10818","     266389","         30.88"
"RAJESHEXPO","EQ","15-May-2017","        631.30","        632.05","        653.95","        628.25","        641.00","        642.40","        637.15","     828378","           527802461.05","       7579","     201555","         24.33"
"RAJESHEXPO","EQ","16-May-2017","        642.40","        642.55","        649.30","        640.50","        642.25","        642.75","        645.94","     650946","           420473973.40","       6574","      91947","         14.13"
"RAJESHEXPO","EQ","17-May-2017","        642.75","        642.50","        648.45","        638.40","        641.55","        642.35","        641.44","     394093","           252786303.15","       5918","      48621","         12.34"
"RAJESHEXPO","EQ","18-May-2017","        642.35","        639.70","        641.40","        635.20","        640.00","        638.25","        638.39","     360408","           230081197.05","       5051","      46409","         12.88"
"RAJESHEXPO","EQ","19-May-2017","        638.25","        639.25","        644.00","        631.50","        635.00","        634.95","        637.81","     354392","           226036058.85","       5628","      77353","         21.83"
"RAJESHEXPO","EQ","22-May-2017","        634.95","        637.05","        648.00","        635.00","        645.90","        646.15","        642.34","     538570","           345942922.25","       6095","      56286","         10.45"
"RAJESHEXPO","EQ","23-May-2017","        646.15","        648.00","        654.00","        644.35","        646.50","        647.95","        650.39","     530700","           345161924.75","       5960","      65920","         12.42"
"RAJESHEXPO","EQ","24-May-2017","        647.95","        649.30","        653.10","        644.50","        648.00","        648.80","        650.14","     384770","           250155284.30","       5421","      67091","         17.44"
