"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RKFORGE","EQ","03-Apr-2017","        479.65","        484.60","        505.75","        480.10","        501.90","        501.95","        497.50","     119645","            59523214.35","       3991","      56028","         46.83"
"RKFORGE","EQ","05-Apr-2017","        501.95","        496.00","        529.30","        496.00","        527.45","        522.25","        520.63","      99417","            51759943.70","       3473","      54645","         54.97"
"RKFORGE","EQ","06-Apr-2017","        522.25","        524.40","        549.95","        505.15","        515.25","        518.25","        520.85","      40532","            21110943.80","       2261","      18934","         46.71"
"RKFORGE","EQ","07-Apr-2017","        518.25","        518.25","        528.60","        506.80","        515.90","        515.50","        520.53","      30561","            15907929.70","       1481","      15628","         51.14"
"RKFORGE","EQ","10-Apr-2017","        515.50","        511.90","        519.90","        503.70","        505.55","        507.80","        510.38","      22721","            11596410.70","       1066","      15134","         66.61"
"RKFORGE","EQ","11-Apr-2017","        507.80","        509.00","        515.50","        502.00","        505.00","        506.45","        511.38","      15455","             7903429.55","        668","       9421","         60.96"
"RKFORGE","EQ","12-Apr-2017","        506.45","        508.40","        509.95","        476.15","        485.00","        487.55","        488.86","      53850","            26325244.70","       2040","      23993","         44.56"
"RKFORGE","EQ","13-Apr-2017","        487.55","        487.55","        492.50","        481.55","        489.00","        486.90","        486.59","      11805","             5744221.25","        646","       5944","         50.35"
"RKFORGE","EQ","17-Apr-2017","        486.90","        483.50","        510.00","        482.00","        493.25","        495.20","        499.07","      37473","            18701789.80","       1748","      14143","         37.74"
"RKFORGE","EQ","18-Apr-2017","        495.20","        501.30","        502.60","        481.50","        482.00","        483.25","        492.14","      14176","             6976632.00","        792","       7839","         55.30"
"RKFORGE","EQ","19-Apr-2017","        483.25","        485.00","        494.90","        478.05","        486.00","        485.55","        487.12","      16371","             7974718.15","        821","       9563","         58.41"
"RKFORGE","EQ","20-Apr-2017","        485.55","        484.00","        493.10","        481.00","        482.50","        482.60","        485.93","       8234","             4001160.15","        328","       4965","         60.30"
"RKFORGE","EQ","21-Apr-2017","        482.60","        484.55","        499.40","        484.00","        492.25","        497.40","        494.72","      30696","            15186031.75","       1111","      21444","         69.86"
"RKFORGE","EQ","24-Apr-2017","        497.40","        494.20","        499.40","        490.00","        497.00","        493.75","        494.86","      28927","            14314844.00","       1295","      20381","         70.46"
"RKFORGE","EQ","25-Apr-2017","        493.75","        500.00","        503.45","        486.10","        493.80","        492.40","        496.55","      24066","            11949977.40","        953","      14921","         62.00"
"RKFORGE","EQ","26-Apr-2017","        492.40","        493.95","        495.90","        482.55","        488.00","        489.65","        492.09","      34098","            16779358.70","       1114","      24246","         71.11"
"RKFORGE","EQ","27-Apr-2017","        489.65","        487.60","        494.00","        483.00","        490.00","        490.70","        488.68","       9366","             4576993.70","        319","       6414","         68.48"
"RKFORGE","EQ","28-Apr-2017","        490.70","        488.60","        505.40","        483.05","        504.80","        496.20","        490.73","      19050","             9348475.85","        760","      14189","         74.48"
"RKFORGE","EQ","02-May-2017","        496.20","        490.60","        505.00","        486.55","        503.00","        499.40","        496.17","      14930","             7407843.40","        722","       9496","         63.60"
"RKFORGE","EQ","03-May-2017","        499.40","        504.00","        504.35","        490.20","        494.90","        495.05","        496.43","      16084","             7984603.75","        470","       9849","         61.23"
"RKFORGE","EQ","04-May-2017","        495.05","        501.00","        503.90","        491.20","        491.25","        494.00","        496.04","      17404","             8633048.10","        369","      12200","         70.10"
"RKFORGE","EQ","05-May-2017","        494.00","        492.05","        499.40","        480.55","        491.00","        491.10","        490.48","      26627","            13059993.05","        985","      17123","         64.31"
"RKFORGE","EQ","08-May-2017","        491.10","        487.15","        500.50","        481.05","        484.00","        484.55","        491.03","      14022","             6885179.45","        637","       8556","         61.02"
"RKFORGE","EQ","09-May-2017","        484.55","        483.70","        491.05","        480.00","        480.50","        481.35","        484.71","       8379","             4061409.25","        651","       4387","         52.36"
"RKFORGE","EQ","10-May-2017","        481.35","        484.25","        488.10","        478.25","        485.90","        482.55","        482.72","      13974","             6745505.40","        710","       6248","         44.71"
"RKFORGE","EQ","11-May-2017","        482.55","        485.00","        490.05","        482.00","        483.05","        485.25","        486.93","       8676","             4224609.65","        525","       5591","         64.44"
"RKFORGE","EQ","12-May-2017","        485.25","        485.05","        487.80","        467.95","        471.95","        474.35","        474.79","      20292","             9634423.50","        985","      12337","         60.80"
"RKFORGE","EQ","15-May-2017","        474.35","        475.00","        479.80","        470.00","        475.00","        475.50","        473.18","      23906","            11311733.35","        573","      19311","         80.78"
"RKFORGE","EQ","16-May-2017","        475.50","        484.95","        484.95","        465.40","        480.00","        473.05","        474.42","      61342","            29102013.85","       1364","      52395","         85.41"
"RKFORGE","EQ","17-May-2017","        473.05","        475.25","        494.95","        464.60","        490.00","        487.35","        484.97","      25792","            12508442.65","       1207","      11888","         46.09"
"RKFORGE","EQ","18-May-2017","        487.35","        483.15","        486.45","        468.75","        473.00","        473.85","        476.47","      17053","             8125174.10","        692","      11765","         68.99"
"RKFORGE","EQ","19-May-2017","        473.85","        476.05","        488.00","        462.60","        477.00","        481.20","        475.49","      47999","            22822880.05","       1997","      22594","         47.07"
"RKFORGE","EQ","22-May-2017","        481.20","        490.00","        490.00","        463.60","        465.90","        465.65","        475.43","      27811","            13222306.65","       1118","      13306","         47.84"
"RKFORGE","EQ","23-May-2017","        465.65","        469.00","        469.00","        435.00","        457.90","        458.10","        448.81","      53816","            24153046.25","       1955","      36874","         68.52"
"RKFORGE","EQ","24-May-2017","        458.10","        455.15","        458.45","        430.55","        446.00","        446.60","        444.46","      25898","            11510621.70","       2073","      14730","         56.88"
"RKFORGE","EQ","25-May-2017","        446.60","        448.50","        448.90","        436.15","        448.90","        445.10","        444.48","      22599","            10044727.40","        910","      15193","         67.23"
"RKFORGE","EQ","26-May-2017","        445.10","        445.05","        470.00","        440.00","        458.00","        458.85","        455.91","      39851","            18168508.70","       2381","      20486","         51.41"
"RKFORGE","EQ","29-May-2017","        458.85","        454.05","        465.45","        449.05","        462.00","        459.65","        458.71","      25633","            11758008.70","       1156","      16919","         66.00"
"RKFORGE","EQ","30-May-2017","        459.65","        453.10","        472.90","        445.00","        460.00","        460.15","        456.41","      20051","             9151419.25","       1720","       9108","         45.42"
"RKFORGE","EQ","31-May-2017","        460.15","        464.00","        470.80","        451.00","        468.00","        467.15","        463.19","       9713","             4498996.30","        888","       4672","         48.10"
"RKFORGE","EQ","01-Jun-2017","        467.15","        468.00","        468.00","        453.05","        455.70","        459.30","        459.80","     242002","           111271977.90","        996","     237812","         98.27"
"RKFORGE","EQ","02-Jun-2017","        459.30","        463.00","        465.00","        450.90","        455.00","        455.15","        457.88","      12808","             5864540.90","        477","       9662","         75.44"
"RKFORGE","EQ","05-Jun-2017","        455.15","        455.00","        459.00","        442.05","        446.60","        446.05","        449.62","       7556","             3397351.80","        570","       4689","         62.06"
"RKFORGE","EQ","06-Jun-2017","        446.05","        450.00","        450.00","        438.00","        440.05","        443.30","        443.30","      32722","            14505742.75","       1607","      25431","         77.72"
"RKFORGE","EQ","07-Jun-2017","        443.30","        442.45","        460.75","        441.00","        458.50","        458.45","        455.34","      11807","             5376148.25","        672","       6407","         54.26"
"RKFORGE","EQ","08-Jun-2017","        458.45","        452.65","        460.00","        446.05","        455.00","        452.40","        453.05","      52722","            23885479.10","       1011","      45800","         86.87"
"RKFORGE","EQ","09-Jun-2017","        452.40","        449.20","        458.00","        446.00","        446.05","        448.25","        449.79","       6769","             3044656.05","        593","       3340","         49.34"
"RKFORGE","EQ","12-Jun-2017","        448.25","        440.45","        459.90","        439.40","        448.00","        447.70","        451.05","      23870","            10766462.85","       1373","      13562","         56.82"
"RKFORGE","EQ","13-Jun-2017","        447.70","        443.95","        474.00","        443.95","        457.50","        455.70","        456.12","      36460","            16630195.70","       1367","      23769","         65.19"
"RKFORGE","EQ","14-Jun-2017","        455.70","        459.95","        494.00","        458.00","        487.00","        485.05","        477.76","      86915","            41524758.00","       3127","      57040","         65.63"
"RKFORGE","EQ","15-Jun-2017","        485.05","        492.00","        494.45","        481.00","        488.00","        483.05","        487.19","      18165","             8849829.50","       1057","      11428","         62.91"
"RKFORGE","EQ","16-Jun-2017","        483.05","        487.95","        492.70","        474.20","        474.20","        476.70","        479.04","      10565","             5061109.35","        615","       5856","         55.43"
"RKFORGE","EQ","19-Jun-2017","        476.70","        484.80","        487.75","        475.60","        487.00","        483.70","        481.57","      11494","             5535185.80","        691","       6036","         52.51"
"RKFORGE","EQ","20-Jun-2017","        483.70","        487.00","        509.00","        476.00","        497.00","        494.45","        493.80","     101664","            50202153.80","       3154","      40661","         40.00"
"RKFORGE","EQ","21-Jun-2017","        494.45","        494.45","        504.40","        490.05","        500.50","        498.45","        500.00","      43179","            21589556.50","       1285","      30006","         69.49"
"RKFORGE","EQ","22-Jun-2017","        498.45","        498.60","        524.00","        495.00","        523.95","        518.90","        512.44","      98530","            50491094.35","       2260","      68194","         69.21"
"RKFORGE","EQ","23-Jun-2017","        518.90","        524.00","        526.00","        505.00","        511.95","        511.10","        513.24","      60718","            31162747.75","       1365","      46204","         76.10"
"RKFORGE","EQ","27-Jun-2017","        511.10","        511.00","        517.00","        500.00","        510.00","        513.20","        507.94","      35246","            17902996.15","        416","      28238","         80.12"
"RKFORGE","EQ","28-Jun-2017","        513.20","        504.10","        523.20","        502.00","        518.00","        517.50","        517.78","      73547","            38081080.10","       1697","      59522","         80.93"
"RKFORGE","EQ","29-Jun-2017","        517.50","        517.10","        522.90","        513.95","        516.65","        519.10","        516.89","      18026","             9317534.10","       1181","      10616","         58.89"
"RKFORGE","EQ","30-Jun-2017","        519.10","        514.80","        525.00","        514.80","        520.95","        520.65","        521.56","      10799","             5632282.95","        479","       7923","         73.37"
