"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RAMSARUP","BE","03-Apr-2017","          1.85","          1.90","          1.90","          1.90","          1.90","          1.90","          1.90","       9400","               17860.00","         11","-","-"
"RAMSARUP","BE","05-Apr-2017","          1.90","          1.90","          1.90","          1.90","          1.90","          1.90","          1.90","      10900","               20710.00","         17","-","-"
"RAMSARUP","BE","06-Apr-2017","          1.90","          1.85","          1.95","          1.85","          1.95","          1.95","          1.92","        870","                1671.50","          6","-","-"
"RAMSARUP","BE","07-Apr-2017","          1.95","          1.90","          2.00","          1.90","          2.00","          2.00","          1.92","      16024","               30736.60","         18","-","-"
"RAMSARUP","BE","10-Apr-2017","          2.00","          2.10","          2.10","          1.95","          2.10","          2.10","          2.09","      14621","               30549.30","          9","-","-"
"RAMSARUP","BE","11-Apr-2017","          2.10","          2.05","          2.15","          2.05","          2.15","          2.15","          2.12","       1000","                2122.10","          5","-","-"
"RAMSARUP","BE","12-Apr-2017","          2.15","          2.25","          2.25","          2.20","          2.25","          2.20","          2.24","      18662","               41889.50","         29","-","-"
"RAMSARUP","BE","13-Apr-2017","          2.20","          2.10","          2.30","          2.10","          2.30","          2.30","          2.13","        710","                1511.00","          4","-","-"
"RAMSARUP","BE","17-Apr-2017","          2.30","          2.30","          2.40","          2.20","          2.40","          2.40","          2.31","       3218","                7439.90","         11","-","-"
"RAMSARUP","BE","18-Apr-2017","          2.40","          2.40","          2.40","          2.30","          2.30","          2.30","          2.37","       1505","                3561.50","          7","-","-"
"RAMSARUP","BE","19-Apr-2017","          2.30","          2.35","          2.40","          2.20","          2.25","          2.25","          2.32","      11737","               27183.70","         19","-","-"
"RAMSARUP","BE","20-Apr-2017","          2.25","          2.15","          2.15","          2.15","          2.15","          2.15","          2.15","        806","                1732.90","          2","-","-"
