"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RTNINFRA","EQ","03-Apr-2017","          3.90","          4.10","          4.55","          4.10","          4.25","          4.25","          4.43","   14510915","            64251605.55","       2773","    9691558","         66.79"
"RTNINFRA","EQ","05-Apr-2017","          4.25","          4.25","          5.10","          4.25","          4.45","          4.50","          4.65","   18248441","            84840184.15","       3775","   12224035","         66.99"
"RTNINFRA","EQ","06-Apr-2017","          4.50","          4.50","          4.50","          3.90","          4.00","          4.00","          4.16","    2984086","            12402837.15","       1626","    2050815","         68.73"
"RTNINFRA","EQ","07-Apr-2017","          4.00","          4.00","          4.05","          3.70","          3.90","          3.80","          3.85","    2974687","            11457693.30","       1232","    1820825","         61.21"
"RTNINFRA","EQ","10-Apr-2017","          3.80","          3.90","          4.10","          3.80","          4.00","          3.95","          3.95","    1036887","             4095413.60","        565","     765289","         73.81"
"RTNINFRA","EQ","11-Apr-2017","          3.95","          4.15","          4.15","          3.80","          4.00","          3.95","          3.93","     835906","             3287836.15","        440","     669639","         80.11"
"RTNINFRA","EQ","12-Apr-2017","          3.95","          3.95","          4.00","          3.80","          3.85","          3.90","          3.88","     350863","             1360615.55","        394","     247398","         70.51"
"RTNINFRA","EQ","13-Apr-2017","          3.90","          3.85","          3.95","          3.75","          3.90","          3.80","          3.84","     515942","             1979621.60","        339","     471163","         91.32"
"RTNINFRA","EQ","17-Apr-2017","          3.80","          3.75","          4.25","          3.75","          4.15","          4.20","          4.15","    6410934","            26618312.35","       1850","    3896464","         60.78"
"RTNINFRA","EQ","18-Apr-2017","          4.20","          4.20","          4.25","          4.00","          4.00","          4.00","          4.11","    1508194","             6205463.30","        690","     992450","         65.80"
"RTNINFRA","EQ","19-Apr-2017","          4.00","          4.00","          4.25","          3.95","          4.15","          4.15","          4.11","    2029405","             8350298.05","        873","     875256","         43.13"
"RTNINFRA","EQ","20-Apr-2017","          4.15","          4.20","          4.20","          4.00","          4.05","          4.10","          4.12","    1692530","             6980723.70","        488","    1207837","         71.36"
"RTNINFRA","EQ","21-Apr-2017","          4.10","          4.05","          4.40","          4.05","          4.20","          4.15","          4.22","    1982833","             8374452.70","        692","    1150638","         58.03"
"RTNINFRA","EQ","24-Apr-2017","          4.15","          4.20","          4.40","          4.20","          4.30","          4.35","          4.31","    1474619","             6358813.45","        612","    1062939","         72.08"
"RTNINFRA","EQ","25-Apr-2017","          4.35","          4.45","          4.45","          4.15","          4.30","          4.30","          4.31","    2162414","             9310397.65","        886","    1127482","         52.14"
"RTNINFRA","EQ","26-Apr-2017","          4.30","          4.25","          4.30","          4.10","          4.10","          4.10","          4.17","     498827","             2078202.70","        348","     304327","         61.01"
"RTNINFRA","EQ","27-Apr-2017","          4.10","          4.15","          4.20","          4.10","          4.20","          4.15","          4.13","     342101","             1413752.70","        229","     251895","         73.63"
"RTNINFRA","EQ","28-Apr-2017","          4.15","          4.20","          4.20","          4.05","          4.10","          4.10","          4.12","     360799","             1486495.50","        212","     206732","         57.30"
"RTNINFRA","EQ","02-May-2017","          4.10","          4.10","          4.20","          4.00","          4.05","          4.05","          4.04","    1313269","             5302589.75","        307","     905343","         68.94"
"RTNINFRA","EQ","03-May-2017","          4.05","          4.15","          4.15","          3.95","          4.10","          4.00","          4.01","    3025568","            12134219.20","        466","    2478680","         81.92"
"RTNINFRA","EQ","04-May-2017","          4.00","          4.10","          4.10","          4.00","          4.00","          4.00","          4.02","    1633645","             6574594.00","        219","    1302962","         79.76"
"RTNINFRA","EQ","05-May-2017","          4.00","          4.00","          4.05","          3.90","          3.90","          3.95","          3.97","    1757330","             6968763.90","        208","    1587552","         90.34"
