"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RTNPOWER","EQ","02-Jan-2017","          6.90","          6.90","          7.25","          6.85","          7.15","          7.15","          7.08","    1662131","            11768940.40","       1660","     845268","         50.85"
"RTNPOWER","EQ","03-Jan-2017","          7.15","          7.15","          7.15","          7.00","          7.00","          7.05","          7.07","     936392","             6616253.50","       1222","     451121","         48.18"
"RTNPOWER","EQ","04-Jan-2017","          7.05","          7.05","          7.30","          7.05","          7.15","          7.20","          7.20","    2945758","            21211964.60","       1884","    1323092","         44.92"
"RTNPOWER","EQ","05-Jan-2017","          7.20","          7.25","          7.40","          7.20","          7.20","          7.25","          7.28","    1198299","             8727666.05","       1432","     633767","         52.89"
"RTNPOWER","EQ","06-Jan-2017","          7.25","          7.30","          7.30","          7.05","          7.25","          7.25","          7.19","    1651377","            11865298.25","       1663","     812926","         49.23"
"RTNPOWER","EQ","09-Jan-2017","          7.25","          7.20","          7.35","          7.05","          7.10","          7.10","          7.14","    1278130","             9130562.75","       1211","     713390","         55.82"
"RTNPOWER","EQ","10-Jan-2017","          7.10","          7.10","          7.10","          6.90","          6.90","          6.95","          6.99","    2265603","            15841067.15","       1891","    1094880","         48.33"
"RTNPOWER","EQ","11-Jan-2017","          6.95","          6.95","          7.20","          6.95","          7.15","          7.15","          7.09","    2194209","            15567076.70","       1471","    1322500","         60.27"
"RTNPOWER","EQ","12-Jan-2017","          7.15","          7.15","          7.25","          7.05","          7.15","          7.10","          7.13","    3013350","            21481049.95","       1864","    1653575","         54.87"
"RTNPOWER","EQ","13-Jan-2017","          7.10","          7.15","          7.25","          7.05","          7.10","          7.10","          7.11","    1287334","             9151510.50","       1083","     556999","         43.27"
"RTNPOWER","EQ","16-Jan-2017","          7.10","          7.05","          7.10","          6.95","          7.00","          7.00","          7.03","    1786703","            12552253.75","       1340","     850635","         47.61"
"RTNPOWER","EQ","17-Jan-2017","          7.00","          7.05","          7.10","          6.90","          6.95","          6.95","          7.01","    1146971","             8035559.85","        927","     668215","         58.26"
"RTNPOWER","EQ","18-Jan-2017","          6.95","          6.95","          7.10","          6.95","          7.00","          7.00","          7.02","     976766","             6852628.80","       1759","     488846","         50.05"
"RTNPOWER","EQ","19-Jan-2017","          7.00","          7.05","          7.05","          6.85","          6.90","          6.90","          6.93","    1431914","             9925212.95","       1134","    1001688","         69.95"
"RTNPOWER","EQ","20-Jan-2017","          6.90","          6.95","          7.75","          6.85","          7.00","          7.00","          7.19","   13711898","            98614866.60","       9144","    7692904","         56.10"
"RTNPOWER","EQ","23-Jan-2017","          7.00","          7.05","          7.25","          7.00","          7.10","          7.10","          7.12","    1505332","            10710759.95","        799","     821072","         54.54"
"RTNPOWER","EQ","24-Jan-2017","          7.10","          7.10","          7.10","          7.00","          7.10","          7.10","          7.07","     709901","             5019449.00","        335","     581310","         81.89"
"RTNPOWER","EQ","25-Jan-2017","          7.10","          7.10","          7.15","          6.90","          7.00","          7.00","          7.00","    1449382","            10149382.75","        785","     928560","         64.07"
"RTNPOWER","EQ","27-Jan-2017","          7.00","          7.05","          7.10","          6.95","          6.95","          6.95","          7.03","    2248270","            15811815.30","        824","    1195462","         53.17"
"RTNPOWER","EQ","30-Jan-2017","          6.95","          6.95","          7.35","          6.90","          7.25","          7.20","          7.18","    2488888","            17882027.65","       1395","    1368299","         54.98"
"RTNPOWER","EQ","31-Jan-2017","          7.20","          7.20","          7.50","          7.10","          7.20","          7.20","          7.29","    3710628","            27067700.60","       1959","    1525135","         41.10"
"RTNPOWER","EQ","01-Feb-2017","          7.20","          7.25","          7.35","          7.10","          7.15","          7.15","          7.23","    1494212","            10809039.55","        975","     629616","         42.14"
"RTNPOWER","EQ","02-Feb-2017","          7.15","          7.20","          7.20","          7.05","          7.10","          7.05","          7.11","    1810246","            12865471.30","       1395","    1082580","         59.80"
"RTNPOWER","EQ","03-Feb-2017","          7.05","          7.10","          7.60","          7.10","          7.50","          7.45","          7.37","    4674759","            34472687.70","       2126","    2366689","         50.63"
"RTNPOWER","EQ","06-Feb-2017","          7.45","          7.60","          7.85","          7.40","          7.70","          7.75","          7.63","    4494525","            34298501.95","       1942","    2584979","         57.51"
"RTNPOWER","EQ","07-Feb-2017","          7.75","          7.75","          8.15","          7.65","          7.75","          7.80","          7.91","    5555209","            43951344.00","       3433","    2950374","         53.11"
"RTNPOWER","EQ","08-Feb-2017","          7.80","          7.90","          8.15","          7.70","          8.00","          8.00","          7.94","    4976506","            39532529.85","       2337","    2569222","         51.63"
"RTNPOWER","EQ","09-Feb-2017","          8.00","          7.65","          7.80","          7.50","          7.60","          7.60","          7.63","    5554162","            42378364.25","       2892","    2574887","         46.36"
"RTNPOWER","EQ","10-Feb-2017","          7.60","          7.60","          7.75","          7.30","          7.35","          7.30","          7.43","    3396477","            25220725.50","       2657","    1623603","         47.80"
"RTNPOWER","EQ","13-Feb-2017","          7.30","          7.30","          7.45","          7.05","          7.10","          7.10","          7.17","    2221243","            15925706.00","       1280","    1297337","         58.41"
"RTNPOWER","EQ","14-Feb-2017","          7.10","          7.05","          7.15","          7.00","          7.10","          7.05","          7.07","    1786788","            12630299.70","       1337","     986762","         55.23"
"RTNPOWER","EQ","15-Feb-2017","          7.05","          7.05","          7.15","          6.95","          7.05","          7.00","          7.04","    1884194","            13272880.70","       1704","    1088495","         57.77"
"RTNPOWER","EQ","16-Feb-2017","          7.00","          7.00","          7.10","          6.95","          7.10","          7.10","          7.03","     917409","             6449665.65","        752","     518866","         56.56"
"RTNPOWER","EQ","17-Feb-2017","          7.10","          7.10","          7.20","          7.05","          7.05","          7.05","          7.09","     737860","             5232839.50","        438","     336155","         45.56"
"RTNPOWER","EQ","20-Feb-2017","          7.05","          7.10","          7.15","          7.00","          7.10","          7.05","          7.05","    1787504","            12594156.95","        711","    1208502","         67.61"
"RTNPOWER","EQ","21-Feb-2017","          7.05","          7.05","          7.10","          7.00","          7.05","          7.05","          7.05","     787251","             5554005.40","        465","     481947","         61.22"
"RTNPOWER","EQ","22-Feb-2017","          7.05","          7.10","          7.30","          7.05","          7.10","          7.10","          7.17","    2479543","            17770249.10","       1409","    1178613","         47.53"
"RTNPOWER","EQ","23-Feb-2017","          7.10","          7.15","          7.20","          7.10","          7.10","          7.15","          7.15","     746177","             5337805.80","        511","     453506","         60.78"
"RTNPOWER","EQ","27-Feb-2017","          7.15","          7.20","          7.25","          7.10","          7.15","          7.15","          7.17","    1574693","            11293823.00","        745","     786039","         49.92"
"RTNPOWER","EQ","28-Feb-2017","          7.15","          7.15","          7.25","          7.10","          7.20","          7.15","          7.16","     907969","             6500984.75","        557","     506682","         55.80"
"RTNPOWER","EQ","01-Mar-2017","          7.15","          7.20","          7.25","          7.15","          7.15","          7.20","          7.19","     761804","             5479581.05","        607","     455457","         59.79"
"RTNPOWER","EQ","02-Mar-2017","          7.20","          7.25","          7.50","          7.10","          7.10","          7.15","          7.32","    3196785","            23391835.40","       1317","    1233299","         38.58"
"RTNPOWER","EQ","03-Mar-2017","          7.15","          7.15","          7.20","          7.05","          7.15","          7.15","          7.12","     704780","             5021134.70","        459","     327636","         46.49"
"RTNPOWER","EQ","06-Mar-2017","          7.15","          7.20","          7.25","          7.10","          7.15","          7.15","          7.17","    1469596","            10531004.85","        496","     871395","         59.29"
"RTNPOWER","EQ","07-Mar-2017","          7.15","          7.20","          7.50","          7.20","          7.25","          7.25","          7.35","    3234620","            23765960.15","       1688","    1142545","         35.32"
"RTNPOWER","EQ","08-Mar-2017","          7.25","          7.25","          7.30","          7.10","          7.10","          7.10","          7.16","    1059046","             7577883.70","        428","     685284","         64.71"
"RTNPOWER","EQ","09-Mar-2017","          7.10","          7.10","          7.20","          7.10","          7.10","          7.15","          7.15","     849329","             6070091.20","        426","     466344","         54.91"
"RTNPOWER","EQ","10-Mar-2017","          7.15","          7.20","          7.25","          7.05","          7.10","          7.05","          7.10","    1346074","             9557048.45","        468","     677243","         50.31"
"RTNPOWER","EQ","14-Mar-2017","          7.05","          7.25","          7.30","          7.05","          7.10","          7.05","          7.12","    1714776","            12203854.30","        710","    1067455","         62.25"
