"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELDIVOPP","EQ","03-Jul-2017","         25.62","         26.06","         26.06","         26.06","         26.06","         26.06","         26.06","        120","                3127.20","          1","        120","        100.00"
"RELDIVOPP","EQ","04-Jul-2017","         26.06","         26.17","         26.17","         26.07","         26.07","         26.07","         26.17","       1001","               26196.07","          2","       1001","        100.00"
"RELDIVOPP","EQ","06-Jul-2017","         26.07","         26.13","         26.13","         26.13","         26.13","         26.13","         26.13","        170","                4442.10","          1","        170","        100.00"
"RELDIVOPP","EQ","07-Jul-2017","         26.13","         26.05","         26.09","         26.00","         26.00","         26.00","         26.06","       1543","               40210.31","          4","       1543","        100.00"
"RELDIVOPP","EQ","11-Jul-2017","         26.00","         26.05","         26.40","         26.05","         26.40","         26.40","         26.16","       5130","              134219.60","          7","       5130","        100.00"
"RELDIVOPP","EQ","12-Jul-2017","         26.40","         26.53","         26.64","         26.37","         26.64","         26.64","         26.55","       3466","               92030.56","          7","       3034","         87.54"
"RELDIVOPP","EQ","13-Jul-2017","         26.64","         26.74","         26.74","         26.50","         26.50","         26.50","         26.62","       1000","               26620.00","          2","          0","          0.00"
"RELDIVOPP","EQ","14-Jul-2017","         26.50","         26.48","         26.48","         26.48","         26.48","         26.48","         26.48","         82","                2171.36","          1","         82","        100.00"
"RELDIVOPP","EQ","19-Jul-2017","         26.48","         26.48","         27.32","         24.53","         24.80","         24.95","         24.60","        414","               10185.11","         10","        402","         97.10"
"RELDIVOPP","EQ","21-Jul-2017","         24.95","         24.80","         26.50","         24.80","         26.40","         26.40","         26.30","       1070","               28144.59","          9","       1028","         96.07"
"RELDIVOPP","EQ","24-Jul-2017","         26.40","         26.40","         26.50","         26.40","         26.50","         26.50","         26.43","        127","                3356.60","          4","        127","        100.00"
"RELDIVOPP","EQ","25-Jul-2017","         26.50","         26.50","         26.62","         26.50","         26.62","         26.62","         26.53","        300","                7960.08","          2","        300","        100.00"
"RELDIVOPP","EQ","26-Jul-2017","         26.62","         26.50","         26.50","         26.50","         26.50","         26.50","         26.50","       5817","              154150.50","          3","       5817","        100.00"
"RELDIVOPP","EQ","27-Jul-2017","         26.50","         26.50","         26.59","         26.46","         26.59","         26.52","         26.52","      10787","              286049.10","          6","      10002","         92.72"
"RELDIVOPP","EQ","28-Jul-2017","         26.52","         26.37","         26.50","         26.23","         26.23","         26.23","         26.42","      10790","              285121.16","          6","       9998","         92.66"
"RELDIVOPP","EQ","31-Jul-2017","         26.23","         26.32","         26.32","         26.32","         26.32","         26.32","         26.32","        385","               10133.20","          3","        385","        100.00"
"RELDIVOPP","EQ","01-Aug-2017","         26.32","         26.60","         26.60","         26.60","         26.60","         26.60","         26.60","         50","                1330.00","          1","         50","        100.00"
"RELDIVOPP","EQ","02-Aug-2017","         26.60","         26.76","         26.83","         26.76","         26.79","         26.79","         26.80","       4206","              112715.86","          7","       4206","        100.00"
"RELDIVOPP","EQ","03-Aug-2017","         26.79","         26.60","         26.60","         26.60","         26.60","         26.60","         26.60","        619","               16465.40","          2","        619","        100.00"
"RELDIVOPP","EQ","07-Aug-2017","         26.60","         27.20","         27.26","         27.14","         27.14","         27.14","         27.20","        119","                3237.16","          7","        118","         99.16"
"RELDIVOPP","EQ","08-Aug-2017","         27.14","         27.18","         27.18","         27.18","         27.18","         27.18","         27.18","         14","                 380.52","          1","         14","        100.00"
"RELDIVOPP","EQ","09-Aug-2017","         27.18","         26.99","         26.99","         26.85","         26.89","         26.89","         26.85","       1062","               28519.97","          9","       1061","         99.91"
"RELDIVOPP","EQ","10-Aug-2017","         26.89","         26.69","         26.69","         26.33","         26.33","         26.33","         26.34","       2571","               67718.91","          4","       2568","         99.88"
"RELDIVOPP","EQ","11-Aug-2017","         26.33","         26.25","         26.30","         26.19","         26.30","         26.30","         26.29","       1419","               37307.00","          4","       1385","         97.60"
"RELDIVOPP","EQ","14-Aug-2017","         26.30","         26.53","         26.67","         26.53","         26.67","         26.67","         26.59","       1509","               40131.63","          5","       1509","        100.00"
"RELDIVOPP","EQ","16-Aug-2017","         26.67","         26.60","         26.78","         26.60","         26.78","         26.78","         26.60","       1021","               27160.40","          3","        997","         97.65"
"RELDIVOPP","EQ","17-Aug-2017","         26.78","         26.85","         27.01","         26.85","         26.93","         26.93","         26.91","        845","               22741.45","          4","        845","        100.00"
"RELDIVOPP","EQ","18-Aug-2017","         26.93","         26.90","         26.90","         26.70","         26.70","         26.70","         26.76","        822","               21996.40","          4","        602","         73.24"
"RELDIVOPP","EQ","21-Aug-2017","         26.70","         26.83","         26.83","         26.67","         26.67","         26.67","         26.75","         40","                1070.00","          3","         30","         75.00"
"RELDIVOPP","EQ","22-Aug-2017","         26.67","         26.43","         26.43","         26.43","         26.43","         26.43","         26.43","        190","                5021.70","          1","        190","        100.00"
"RELDIVOPP","EQ","24-Aug-2017","         26.43","         26.80","         26.80","         26.80","         26.80","         26.80","         26.80","       1800","               48240.00","          2","       1800","        100.00"
"RELDIVOPP","EQ","29-Aug-2017","         26.80","         26.71","         26.71","         26.71","         26.71","         26.71","         26.71","        100","                2671.00","          1","        100","        100.00"
"RELDIVOPP","EQ","30-Aug-2017","         26.71","         26.78","         26.80","         26.78","         26.80","         26.80","         26.80","         23","                 616.34","          2","         23","        100.00"
"RELDIVOPP","EQ","31-Aug-2017","         26.80","         26.95","         26.95","         26.90","         26.90","         26.94","         26.94","       3000","               80825.00","          2","       3000","        100.00"
"RELDIVOPP","EQ","01-Sep-2017","         26.94","         27.24","         27.24","         27.24","         27.24","         27.24","         27.24","          1","                  27.24","          1","          1","        100.00"
