"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFRABEES","EQ","03-Apr-2017","        312.58","        319.99","        319.99","        313.65","        318.17","        318.18","        317.68","       1493","              474294.03","         39","       1203","         80.58"
"INFRABEES","EQ","05-Apr-2017","        318.18","        320.00","        322.00","        306.10","        321.29","        321.29","        316.20","       3336","             1054849.95","         74","       1901","         56.98"
"INFRABEES","EQ","06-Apr-2017","        321.29","        321.30","        325.00","        319.10","        325.00","        323.85","        322.39","       1554","              500995.07","         21","       1289","         82.95"
"INFRABEES","EQ","07-Apr-2017","        323.85","        324.10","        326.80","        319.89","        320.36","        322.33","        323.83","       1858","              601679.56","         35","       1256","         67.60"
"INFRABEES","EQ","10-Apr-2017","        322.33","        330.00","        334.00","        321.52","        325.38","        322.38","        326.42","       1744","              569280.16","         88","        681","         39.05"
"INFRABEES","EQ","11-Apr-2017","        322.38","        326.00","        326.29","        321.35","        323.47","        323.47","        324.18","        412","              133562.91","         19","        337","         81.80"
"INFRABEES","EQ","12-Apr-2017","        323.47","        325.00","        325.00","        321.65","        325.00","        323.63","        324.19","       1031","              334240.34","         28","        831","         80.60"
"INFRABEES","EQ","13-Apr-2017","        323.63","        323.54","        323.54","        320.23","        321.84","        321.84","        321.39","        885","              284429.83","         22","        600","         67.80"
"INFRABEES","EQ","17-Apr-2017","        321.84","        326.80","        326.80","        318.70","        319.23","        319.23","        319.94","       2266","              724987.33","         35","       1912","         84.38"
"INFRABEES","EQ","18-Apr-2017","        319.23","        322.69","        323.95","        319.50","        319.50","        319.59","        322.27","        441","              142122.44","         24","        265","         60.09"
"INFRABEES","EQ","19-Apr-2017","        319.59","        321.91","        323.90","        319.50","        323.10","        323.05","        322.25","        389","              125354.40","         30","        309","         79.43"
"INFRABEES","EQ","20-Apr-2017","        323.05","        323.95","        323.95","        323.00","        323.00","        323.00","        323.37","        214","               69200.90","         15","        214","        100.00"
"INFRABEES","EQ","21-Apr-2017","        323.00","        324.79","        326.50","        323.90","        324.00","        324.00","        324.76","        491","              159456.77","         19","        367","         74.75"
"INFRABEES","EQ","24-Apr-2017","        324.00","        327.00","        328.87","        326.58","        328.30","        328.03","        327.88","       1099","              360338.06","         27","        662","         60.24"
"INFRABEES","EQ","25-Apr-2017","        328.03","        329.22","        332.49","        329.22","        330.74","        330.80","        330.80","       1705","              564010.51","         35","       1598","         93.72"
"INFRABEES","EQ","26-Apr-2017","        330.80","        331.00","        332.49","        329.77","        329.77","        329.95","        331.66","        856","              283898.54","         32","        678","         79.21"
"INFRABEES","EQ","27-Apr-2017","        329.95","        330.00","        332.80","        329.95","        332.80","        332.80","        331.19","       1542","              510695.51","         35","       1462","         94.81"
"INFRABEES","EQ","28-Apr-2017","        332.80","        332.80","        332.80","        329.49","        331.91","        331.91","        331.61","        911","              302097.21","         17","        866","         95.06"
"INFRABEES","EQ","02-May-2017","        331.91","        332.56","        332.56","        327.00","        329.43","        329.21","        329.38","       1360","              447951.66","         39","       1107","         81.40"
"INFRABEES","EQ","03-May-2017","        329.21","        338.50","        338.50","        326.92","        328.55","        328.55","        328.65","        964","              316814.17","         33","        782","         81.12"
"INFRABEES","EQ","04-May-2017","        328.55","        332.95","        333.00","        327.01","        327.01","        327.26","        328.00","        478","              156782.41","         23","        306","         64.02"
"INFRABEES","EQ","05-May-2017","        327.26","        328.00","        328.28","        325.07","        328.21","        328.21","        326.87","        756","              247115.37","         16","        678","         89.68"
"INFRABEES","EQ","08-May-2017","        328.21","        330.00","        330.00","        325.50","        328.92","        328.92","        326.83","        697","              227799.99","         42","        585","         83.93"
"INFRABEES","EQ","09-May-2017","        328.92","        328.95","        332.50","        327.13","        332.25","        332.23","        330.41","        628","              207495.94","         28","        464","         73.89"
"INFRABEES","EQ","10-May-2017","        332.23","        332.85","        334.30","        331.94","        334.20","        334.20","        332.73","        318","              105808.35","         22","        318","        100.00"
"INFRABEES","EQ","11-May-2017","        334.20","        334.10","        334.10","        330.98","        333.00","        333.00","        332.49","        175","               58185.50","         18","        170","         97.14"
"INFRABEES","EQ","12-May-2017","        333.00","        332.00","        335.00","        331.71","        332.01","        332.01","        333.57","       1108","              369592.91","         23","        149","         13.45"
