"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JUNIORBEES","EQ","03-Apr-2017","        253.11","        252.25","        256.70","        252.21","        256.70","        255.01","        254.17","      20174","             5127535.26","        245","      18176","         90.10"
"JUNIORBEES","EQ","05-Apr-2017","        255.01","        252.02","        257.90","        252.02","        257.48","        256.96","        256.29","       9249","             2370414.30","        202","       8241","         89.10"
"JUNIORBEES","EQ","06-Apr-2017","        256.96","        257.95","        257.98","        256.00","        257.33","        257.47","        257.37","       6903","             1776614.16","        119","       4986","         72.23"
"JUNIORBEES","EQ","07-Apr-2017","        257.47","        257.00","        259.90","        256.02","        259.40","        259.17","        258.38","      22858","             5905953.78","        201","      16312","         71.36"
"JUNIORBEES","EQ","10-Apr-2017","        259.17","        258.50","        259.98","        258.10","        259.80","        259.44","        259.32","      23611","             6122750.42","        218","      19414","         82.22"
"JUNIORBEES","EQ","11-Apr-2017","        259.44","        258.00","        262.40","        249.10","        262.38","        262.15","        261.46","      10093","             2638946.54","        172","       9558","         94.70"
"JUNIORBEES","EQ","12-Apr-2017","        262.15","        262.00","        263.97","        260.60","        262.90","        262.37","        261.98","      11659","             3054466.20","        162","      10140","         86.97"
"JUNIORBEES","EQ","13-Apr-2017","        262.37","        262.00","        262.98","        261.80","        262.95","        262.74","        262.10","      35027","             9180646.78","        147","      34059","         97.24"
"JUNIORBEES","EQ","17-Apr-2017","        262.74","        262.50","        263.56","        260.75","        261.48","        261.18","        262.13","      12314","             3227842.31","        263","      11106","         90.19"
"JUNIORBEES","EQ","18-Apr-2017","        261.18","        261.00","        263.70","        258.44","        259.00","        259.10","        261.24","       7112","             1857942.39","        155","       6481","         91.13"
"JUNIORBEES","EQ","19-Apr-2017","        259.10","        262.88","        262.88","        257.02","        260.48","        260.30","        259.47","       9024","             2341488.97","        129","       6536","         72.43"
"JUNIORBEES","EQ","20-Apr-2017","        260.30","        262.00","        262.88","        261.01","        261.90","        261.79","        262.02","       6586","             1725638.97","        120","       3530","         53.60"
"JUNIORBEES","EQ","21-Apr-2017","        261.79","        263.60","        263.60","        261.00","        261.55","        261.77","        261.90","       8627","             2259387.82","        101","       8061","         93.44"
