"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ROLTA","EQ","03-Jul-2017","         51.45","         51.50","         53.60","         51.50","         52.55","         52.40","         52.45","     458178","            24033366.30","       3605","     154622","         33.75"
"ROLTA","EQ","04-Jul-2017","         52.40","         53.40","         54.85","         53.40","         54.40","         54.30","         54.16","    1038752","            56262379.35","       7247","     367058","         35.34"
"ROLTA","EQ","05-Jul-2017","         54.30","         54.65","         54.85","         53.65","         54.30","         54.25","         54.28","     347452","            18858519.90","       2291","     167813","         48.30"
"ROLTA","EQ","06-Jul-2017","         54.25","         54.30","         54.85","         53.95","         54.25","         54.20","         54.41","     348713","            18973667.75","       2131","     162116","         46.49"
"ROLTA","EQ","07-Jul-2017","         54.20","         54.20","         54.45","         53.10","         53.20","         53.30","         53.52","     277578","            14855995.65","       2258","     151377","         54.53"
"ROLTA","EQ","10-Jul-2017","         53.30","         53.35","         63.95","         53.20","         63.95","         61.60","         61.53","    3769489","           231921266.15","      12736","    1343052","         35.63"
"ROLTA","EQ","11-Jul-2017","         61.60","         64.40","         65.40","         59.80","         60.10","         60.30","         62.89","    4617494","           290391995.05","      27462","    1367478","         29.62"
"ROLTA","EQ","12-Jul-2017","         60.30","         60.30","         62.30","         58.55","         61.10","         61.00","         60.36","    2100591","           126783917.10","      10818","     586383","         27.92"
"ROLTA","EQ","13-Jul-2017","         61.00","         61.00","         62.55","         59.75","         59.85","         60.00","         61.08","     881638","            53851224.55","       5674","     334739","         37.97"
"ROLTA","EQ","14-Jul-2017","         60.00","         60.50","         60.80","         58.65","         58.75","         58.90","         59.62","     528826","            31531213.35","       3507","     237989","         45.00"
"ROLTA","EQ","17-Jul-2017","         58.90","         59.30","         63.85","         58.65","         61.65","         61.55","         62.24","    3110459","           193606218.75","      18482","     770121","         24.76"
"ROLTA","EQ","18-Jul-2017","         61.55","         61.35","         62.70","         60.30","         61.00","         60.80","         61.44","    1052974","            64697801.10","       7154","     358893","         34.08"
"ROLTA","EQ","19-Jul-2017","         60.80","         61.35","         62.30","         60.65","         60.80","         60.85","         61.28","     656467","            40226198.85","       4647","     227382","         34.64"
"ROLTA","EQ","20-Jul-2017","         60.85","         61.00","         61.45","         60.00","         60.05","         60.15","         60.65","     460942","            27955926.45","       3033","     182698","         39.64"
"ROLTA","EQ","21-Jul-2017","         60.15","         60.50","         61.35","         59.35","         59.75","         59.90","         60.33","     532100","            32102507.30","       3521","     220722","         41.48"
"ROLTA","EQ","24-Jul-2017","         59.90","         60.00","         60.30","         59.10","         59.25","         59.20","         59.67","     332259","            19826277.40","       2445","     162359","         48.87"
"ROLTA","EQ","25-Jul-2017","         59.20","         59.50","         59.65","         58.30","         58.40","         58.50","         58.85","     547000","            32190286.60","       3709","     205121","         37.50"
"ROLTA","EQ","26-Jul-2017","         58.50","         58.65","         60.20","         58.40","         58.85","         58.90","         59.30","     615620","            36506679.15","       3889","     144429","         23.46"
"ROLTA","EQ","27-Jul-2017","         58.90","         59.20","         59.45","         57.80","         58.15","         58.00","         58.66","     515681","            30247331.80","       2951","     203862","         39.53"
"ROLTA","EQ","28-Jul-2017","         58.00","         58.00","         58.00","         56.85","         57.25","         57.35","         57.33","     449158","            25751702.55","       2964","     163708","         36.45"
"ROLTA","EQ","31-Jul-2017","         57.35","         57.75","         59.85","         57.50","         58.10","         58.10","         58.81","     787799","            46327081.85","       5118","     205648","         26.10"
"ROLTA","EQ","01-Aug-2017","         58.10","         58.50","         60.50","         58.30","         59.85","         60.00","         59.62","    1228676","            73249167.30","       6418","     405323","         32.99"
"ROLTA","EQ","02-Aug-2017","         60.00","         60.10","         60.50","         58.15","         58.15","         58.35","         59.19","     431835","            25560493.95","       2714","     214877","         49.76"
"ROLTA","EQ","03-Aug-2017","         58.35","         58.50","         58.85","         57.00","         57.00","         57.10","         57.57","     361662","            20819974.25","       2395","     193192","         53.42"
"ROLTA","EQ","04-Aug-2017","         57.10","         57.00","         57.60","         56.25","         56.40","         56.40","         56.74","     324287","            18398471.15","       2484","     190024","         58.60"
"ROLTA","EQ","07-Aug-2017","         56.40","         56.75","         57.50","         56.35","         56.40","         56.50","         56.73","     266662","            15126611.45","       2060","     130919","         49.10"
"ROLTA","EQ","08-Aug-2017","         56.50","         56.95","         56.95","         55.00","         55.10","         55.15","         55.65","     324086","            18036172.00","       2269","     187937","         57.99"
"ROLTA","EQ","09-Aug-2017","         55.15","         55.00","         55.15","         54.20","         54.45","         54.55","         54.58","     266560","            14548469.65","       2887","     145575","         54.61"
"ROLTA","EQ","10-Aug-2017","         54.55","         54.00","         54.55","         52.00","         52.75","         52.50","         53.28","     369827","            19703623.45","       2776","     211946","         57.31"
"ROLTA","EQ","11-Aug-2017","         52.50","         52.50","         52.80","         51.05","         52.00","         51.90","         51.95","     355874","            18487190.10","       2852","     178907","         50.27"
"ROLTA","EQ","14-Aug-2017","         51.90","         52.35","         53.75","         52.35","         53.60","         53.50","         53.13","     292908","            15562086.05","       3029","     132401","         45.20"
"ROLTA","EQ","16-Aug-2017","         53.50","         54.80","         55.90","         54.30","         54.85","         54.75","         55.12","     761949","            41998780.85","       6722","     305914","         40.15"
"ROLTA","EQ","17-Aug-2017","         54.75","         55.00","         56.15","         54.65","         55.20","         55.10","         55.42","     340171","            18853547.80","       2766","     116905","         34.37"
"ROLTA","EQ","18-Aug-2017","         55.10","         54.50","         54.60","         53.35","         53.80","         53.75","         53.87","     274308","            14777860.10","       2024","     128544","         46.86"
"ROLTA","EQ","21-Aug-2017","         53.75","         54.40","         55.00","         52.80","         53.05","         53.15","         53.90","     295536","            15930739.00","       2637","     101819","         34.45"
"ROLTA","EQ","22-Aug-2017","         53.15","         53.30","         53.90","         52.35","         52.80","         52.70","         52.94","     179456","             9501096.10","       1624","      78399","         43.69"
"ROLTA","EQ","23-Aug-2017","         52.70","         53.00","         53.45","         52.60","         53.00","         52.95","         52.97","     183277","             9708264.55","       1542","      77900","         42.50"
"ROLTA","EQ","24-Aug-2017","         52.95","         53.25","         53.50","         52.85","         53.15","         53.10","         53.13","     183397","             9744073.75","       1781","      93403","         50.93"
"ROLTA","EQ","28-Aug-2017","         53.10","         53.20","         54.35","         53.20","         53.45","         53.35","         53.68","     230423","            12368757.85","       1939","      88554","         38.43"
"ROLTA","EQ","29-Aug-2017","         53.35","         53.50","         53.70","         52.75","         52.80","         53.00","         53.13","     214165","            11377882.35","       1763","     118875","         55.51"
"ROLTA","EQ","30-Aug-2017","         53.00","         53.30","         55.25","         53.20","         54.35","         54.25","         54.32","     472746","            25678257.40","       4684","     154823","         32.75"
"ROLTA","EQ","31-Aug-2017","         54.25","         54.50","         57.20","         54.50","         55.60","         55.75","         56.23","     861034","            48412409.85","       6621","     313666","         36.43"
"ROLTA","EQ","01-Sep-2017","         55.75","         56.15","         56.80","         55.00","         55.55","         55.65","         55.98","     360782","            20195267.85","       5387","     136057","         37.71"
"ROLTA","EQ","04-Sep-2017","         55.65","         55.00","         55.95","         54.00","         54.30","         54.55","         54.92","     257689","            14153061.35","       1849","     133028","         51.62"
"ROLTA","EQ","05-Sep-2017","         54.55","         54.30","         55.60","         54.30","         54.70","         54.65","         54.93","     207382","            11390486.90","       1544","      80260","         38.70"
"ROLTA","EQ","06-Sep-2017","         54.65","         54.55","         55.80","         54.00","         54.60","         54.75","         54.92","     336607","            18487377.50","       2687","     106518","         31.64"
"ROLTA","EQ","07-Sep-2017","         54.75","         54.90","         63.00","         54.85","         60.20","         59.85","         60.61","    5441315","           329817874.40","      28447","    1231769","         22.64"
"ROLTA","EQ","08-Sep-2017","         59.85","         60.50","         62.00","         58.95","         59.20","         59.25","         60.58","    1653214","           100150129.90","      10316","     558977","         33.81"
"ROLTA","EQ","11-Sep-2017","         59.25","         59.55","         61.30","         58.15","         58.60","         58.70","         59.72","    1154860","            68962738.20","       9375","     382264","         33.10"
"ROLTA","EQ","12-Sep-2017","         58.70","         58.75","         60.85","         58.40","         59.30","         59.45","         59.76","    1083048","            64718529.20","       7385","     286886","         26.49"
"ROLTA","EQ","13-Sep-2017","         59.45","         59.60","         60.75","         58.40","         58.70","         58.75","         59.61","     933781","            55666338.35","       6745","     285644","         30.59"
"ROLTA","EQ","14-Sep-2017","         58.75","         59.00","         59.70","         57.80","         58.10","         58.15","         58.57","     469374","            27492248.35","       3810","     219008","         46.66"
"ROLTA","EQ","15-Sep-2017","         58.15","         57.90","         58.30","         56.50","         56.75","         56.85","         57.32","     571331","            32749526.95","       6140","     307745","         53.86"
"ROLTA","EQ","18-Sep-2017","         56.85","         56.90","         58.75","         56.90","         57.00","         57.25","         57.69","     580955","            33515539.90","       5854","     241608","         41.59"
"ROLTA","EQ","19-Sep-2017","         57.25","         57.30","         59.50","         57.15","         57.85","         57.95","         58.19","     772668","            44963880.65","       6084","     244781","         31.68"
