"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ROSSELLIND","EQ","03-Apr-2017","        128.15","        128.95","        134.00","        127.30","        127.30","        128.10","        131.18","       4542","              595805.65","         66","       3368","         74.15"
"ROSSELLIND","EQ","05-Apr-2017","        128.10","        125.05","        129.90","        125.05","        127.60","        127.45","        127.25","       3735","              475286.25","         20","       3335","         89.29"
"ROSSELLIND","EQ","06-Apr-2017","        127.45","        126.50","        133.00","        125.50","        126.90","        126.70","        128.46","      15061","             1934799.20","        162","       5726","         38.02"
"ROSSELLIND","EQ","07-Apr-2017","        126.70","        127.00","        130.15","        123.90","        123.90","        124.65","        126.37","       8179","             1033608.70","         74","       6731","         82.30"
"ROSSELLIND","EQ","10-Apr-2017","        124.65","        128.00","        128.00","        120.00","        125.05","        125.30","        122.27","      15244","             1863819.85","        101","      12117","         79.49"
"ROSSELLIND","EQ","11-Apr-2017","        125.30","        127.00","        129.90","        123.05","        126.10","        126.10","        127.16","       3201","              407024.65","         42","       2122","         66.29"
"ROSSELLIND","EQ","12-Apr-2017","        126.10","        125.05","        126.70","        123.50","        124.00","        124.00","        124.04","       8635","             1071113.70","         62","       8280","         95.89"
"ROSSELLIND","EQ","13-Apr-2017","        124.00","        123.00","        123.50","        120.00","        120.05","        120.10","        121.34","       3065","              371921.65","         61","       2762","         90.11"
"ROSSELLIND","EQ","17-Apr-2017","        120.10","        122.00","        123.95","        117.30","        119.95","        119.35","        119.46","       4319","              515962.80","         62","       2985","         69.11"
"ROSSELLIND","EQ","18-Apr-2017","        119.35","        120.10","        124.30","        116.00","        118.50","        117.85","        119.93","       4673","              560441.15","         77","       4163","         89.09"
"ROSSELLIND","EQ","19-Apr-2017","        117.85","        118.00","        126.00","        117.00","        125.00","        124.45","        123.35","       6762","              834104.30","        166","       3526","         52.14"
"ROSSELLIND","EQ","20-Apr-2017","        124.45","        126.00","        130.00","        122.05","        126.85","        126.10","        126.72","       8058","             1021077.10","        122","       5206","         64.61"
"ROSSELLIND","EQ","21-Apr-2017","        126.10","        123.00","        126.80","        122.20","        122.95","        122.95","        123.47","       5840","              721087.60","         28","       4766","         81.61"
"ROSSELLIND","EQ","24-Apr-2017","        122.95","        125.00","        126.45","        121.50","        121.50","        122.45","        122.68","       6266","              768687.55","         52","       3762","         60.04"
"ROSSELLIND","EQ","25-Apr-2017","        122.45","        120.50","        130.00","        120.50","        125.10","        125.00","        125.98","      11593","             1460542.25","        135","       8918","         76.93"
"ROSSELLIND","EQ","26-Apr-2017","        125.00","        123.05","        129.50","        121.25","        121.50","        121.55","        124.58","       7442","              927157.45","         89","       2577","         34.63"
"ROSSELLIND","EQ","27-Apr-2017","        121.55","        122.00","        122.50","        120.30","        122.00","        121.50","        121.49","       3292","              399934.30","         41","       2585","         78.52"
