"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RUCHIRA","EQ","03-Apr-2017","        156.70","        158.35","        171.75","        157.95","        169.00","        168.45","        164.69","     254122","            41852168.70","       2603","     136075","         53.55"
"RUCHIRA","EQ","05-Apr-2017","        168.45","        171.00","        175.10","        169.20","        175.05","        174.55","        173.47","     160330","            27812031.70","       2023","      97814","         61.01"
"RUCHIRA","EQ","06-Apr-2017","        174.55","        172.00","        180.00","        169.00","        177.70","        177.30","        175.99","     162720","            28637201.00","       1848","      78784","         48.42"
"RUCHIRA","EQ","07-Apr-2017","        177.30","        178.50","        182.00","        173.50","        176.70","        175.10","        178.81","     154615","            27646531.95","       2114","      73004","         47.22"
"RUCHIRA","EQ","10-Apr-2017","        175.10","        177.10","        182.00","        176.00","        176.60","        177.20","        178.17","      73896","            13166039.85","       1057","      37864","         51.24"
"RUCHIRA","EQ","11-Apr-2017","        177.20","        178.00","        178.35","        174.05","        175.00","        175.05","        176.39","      53068","             9360418.55","        848","      30274","         57.05"
"RUCHIRA","EQ","12-Apr-2017","        175.05","        175.05","        180.45","        171.00","        174.90","        173.50","        175.20","      76496","            13401727.35","       1228","      22486","         29.40"
"RUCHIRA","EQ","13-Apr-2017","        173.50","        173.10","        174.75","        171.00","        171.10","        171.25","        172.70","      37891","             6543665.95","        660","      22014","         58.10"
"RUCHIRA","EQ","17-Apr-2017","        171.25","        171.10","        173.00","        166.00","        170.00","        167.75","        168.84","      66066","            11154562.30","        957","      33765","         51.11"
"RUCHIRA","EQ","18-Apr-2017","        167.75","        167.00","        172.00","        163.70","        164.00","        165.30","        167.60","      74865","            12547092.00","        946","      41292","         55.16"
"RUCHIRA","EQ","19-Apr-2017","        165.30","        165.80","        170.90","        164.40","        168.00","        167.40","        166.93","     121461","            20275152.95","       1464","      54625","         44.97"
"RUCHIRA","EQ","20-Apr-2017","        167.40","        172.00","        172.00","        168.15","        168.20","        169.05","        169.88","      79618","            13525606.20","       1072","      36408","         45.73"
"RUCHIRA","EQ","21-Apr-2017","        169.05","        170.45","        173.05","        168.00","        171.75","        169.90","        170.29","      50675","             8629405.25","        871","      31690","         62.54"
"RUCHIRA","EQ","24-Apr-2017","        169.90","        168.05","        172.80","        165.30","        167.00","        169.10","        170.18","      48372","             8232024.25","        661","      27509","         56.87"
"RUCHIRA","EQ","25-Apr-2017","        169.10","        167.30","        171.40","        166.45","        166.55","        167.15","        169.01","      49263","             8325937.85","       1123","      29510","         59.90"
"RUCHIRA","EQ","26-Apr-2017","        167.15","        167.00","        170.35","        165.00","        166.00","        166.25","        168.04","      40382","             6785658.65","        735","      20526","         50.83"
"RUCHIRA","EQ","27-Apr-2017","        166.25","        166.15","        170.05","        166.15","        168.10","        168.55","        168.73","      47801","             8065301.10","        556","      25536","         53.42"
"RUCHIRA","EQ","28-Apr-2017","        168.55","        167.10","        170.00","        165.00","        166.25","        166.40","        167.28","      29003","             4851632.20","        588","      15656","         53.98"
"RUCHIRA","EQ","02-May-2017","        166.40","        169.45","        171.00","        167.55","        169.65","        169.95","        169.83","      43837","             7445054.95","        589","      27281","         62.23"
"RUCHIRA","EQ","03-May-2017","        169.95","        171.15","        173.00","        169.00","        172.50","        172.30","        170.75","      47528","             8115624.90","        746","      27995","         58.90"
"RUCHIRA","EQ","04-May-2017","        172.30","        174.30","        174.30","        169.10","        169.80","        169.55","        171.83","      45140","             7756275.10","        865","      21836","         48.37"
"RUCHIRA","EQ","05-May-2017","        169.55","        171.20","        171.20","        167.00","        167.60","        167.35","        168.25","      32622","             5488793.90","        528","      19803","         60.70"
"RUCHIRA","EQ","08-May-2017","        167.35","        167.60","        169.70","        165.20","        169.00","        168.20","        167.63","      42260","             7084087.65","        717","      20671","         48.91"
"RUCHIRA","EQ","09-May-2017","        168.20","        164.80","        168.95","        164.80","        165.50","        165.85","        166.44","      58445","             9727721.75","        752","      39029","         66.78"
"RUCHIRA","EQ","10-May-2017","        165.85","        165.60","        172.00","        165.55","        169.05","        168.60","        168.86","      48255","             8148195.70","        835","      20817","         43.14"
"RUCHIRA","EQ","11-May-2017","        168.60","        171.45","        171.70","        166.60","        166.60","        167.25","        168.83","      25721","             4342403.25","        520","      13670","         53.15"
"RUCHIRA","EQ","12-May-2017","        167.25","        167.55","        169.50","        166.00","        167.50","        166.55","        166.64","      30252","             5041078.20","        475","      21165","         69.96"
"RUCHIRA","EQ","15-May-2017","        166.55","        169.50","        169.60","        166.00","        166.90","        167.20","        167.54","      26023","             4359868.20","        584","      12670","         48.69"
"RUCHIRA","EQ","16-May-2017","        167.20","        168.80","        169.00","        164.20","        167.75","        165.80","        166.83","      35887","             5986997.70","        631","      19255","         53.65"
"RUCHIRA","EQ","17-May-2017","        165.80","        168.10","        168.90","        166.05","        166.50","        167.00","        167.27","      26533","             4438230.75","        442","      12691","         47.83"
