"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SPAL","EQ","03-Jul-2017","        443.50","        449.70","        468.00","        443.60","        464.65","        464.50","        457.23","      19122","             8743179.95","        991","      10720","         56.06"
"SPAL","EQ","04-Jul-2017","        464.50","        464.50","        466.40","        454.10","        456.50","        457.70","        460.68","      17341","             7988639.55","        727","      10025","         57.81"
"SPAL","EQ","05-Jul-2017","        457.70","        457.95","        464.00","        447.10","        462.10","        463.10","        458.98","      24437","            11215986.75","       1017","      14088","         57.65"
"SPAL","EQ","06-Jul-2017","        463.10","        463.20","        463.95","        450.55","        452.00","        453.70","        457.17","      10059","             4598681.15","        507","       7249","         72.06"
"SPAL","EQ","07-Jul-2017","        453.70","        454.00","        460.90","        447.05","        454.00","        456.75","        455.25","      25166","            11456696.30","       1163","      12906","         51.28"
"SPAL","EQ","10-Jul-2017","        456.75","        463.00","        463.10","        444.05","        458.50","        456.55","        457.86","       1930","              883673.05","        125","       1082","         56.06"
"SPAL","EQ","11-Jul-2017","        456.55","        459.90","        465.00","        458.00","        460.80","        460.90","        461.64","      10942","             5051220.85","        366","       9033","         82.55"
"SPAL","EQ","12-Jul-2017","        460.90","        454.60","        465.00","        452.60","        457.40","        456.75","        458.72","      11853","             5437152.65","        638","       7195","         60.70"
"SPAL","EQ","13-Jul-2017","        456.75","        458.00","        462.35","        445.20","        447.00","        447.40","        452.07","      28077","            12692898.90","       1196","      18258","         65.03"
"SPAL","EQ","14-Jul-2017","        447.40","        448.10","        456.85","        448.10","        450.20","        453.85","        453.51","      16291","             7388212.50","        702","      11546","         70.87"
"SPAL","EQ","17-Jul-2017","        453.85","        467.00","        467.00","        447.00","        450.35","        450.10","        453.38","      25337","            11487311.55","       1046","      12191","         48.12"
"SPAL","EQ","18-Jul-2017","        450.10","        448.05","        456.95","        446.25","        448.00","        448.65","        449.96","      11398","             5128625.35","        745","       6406","         56.20"
"SPAL","EQ","19-Jul-2017","        448.65","        450.95","        452.00","        447.00","        447.45","        447.65","        449.44","       9104","             4091657.85","        377","       6530","         71.73"
"SPAL","EQ","20-Jul-2017","        447.65","        447.50","        449.50","        443.05","        443.70","        444.75","        445.50","      12756","             5682785.50","        535","       8880","         69.61"
"SPAL","EQ","21-Jul-2017","        444.75","        446.10","        450.00","        437.00","        438.20","        440.70","        443.10","      14979","             6637218.85","        698","       9031","         60.29"
"SPAL","EQ","24-Jul-2017","        440.70","        441.05","        457.95","        438.25","        449.00","        447.60","        448.58","      14325","             6425843.75","        880","       9351","         65.28"
"SPAL","EQ","25-Jul-2017","        447.60","        449.05","        453.20","        447.65","        449.10","        450.80","        451.03","      11897","             5365915.00","        446","       9715","         81.66"
"SPAL","EQ","26-Jul-2017","        450.80","        450.90","        469.00","        450.85","        460.00","        461.25","        462.40","      20838","             9635527.25","       1058","      13502","         64.80"
"SPAL","EQ","27-Jul-2017","        461.25","        463.15","        469.45","        457.55","        459.00","        459.70","        464.71","      31096","            14450768.85","        987","      22827","         73.41"
"SPAL","EQ","28-Jul-2017","        459.70","        459.90","        459.90","        448.60","        452.80","        451.55","        451.82","      23310","            10531958.90","        794","      13834","         59.35"
"SPAL","EQ","31-Jul-2017","        451.55","        450.00","        453.05","        445.05","        450.15","        452.00","        449.18","      10367","             4656603.10","        574","       6977","         67.30"
"SPAL","EQ","01-Aug-2017","        452.00","        452.00","        453.15","        444.05","        444.05","        446.15","        448.65","      10165","             4560523.65","        474","       6574","         64.67"
"SPAL","EQ","02-Aug-2017","        446.15","        454.05","        454.10","        438.15","        441.90","        440.25","        443.24","      17366","             7697367.80","        592","       7928","         45.65"
"SPAL","EQ","03-Aug-2017","        440.25","        443.90","        450.00","        437.20","        441.00","        439.80","        442.12","       9736","             4304471.95","        621","       6114","         62.80"
"SPAL","EQ","04-Aug-2017","        439.80","        435.05","        443.00","        430.05","        430.05","        433.35","        437.50","       8769","             3836397.40","        399","       6687","         76.26"
"SPAL","EQ","07-Aug-2017","        433.35","        438.70","        441.00","        430.00","        437.90","        435.70","        436.04","       6547","             2854724.35","        322","       4996","         76.31"
"SPAL","EQ","08-Aug-2017","        435.70","        438.90","        442.00","        427.20","        435.75","        439.50","        435.40","       6936","             3019933.85","        381","       5501","         79.31"
