"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SKIL","BE","03-Jul-2017","         32.60","         33.50","         33.50","         31.25","         32.25","         32.25","         32.50","      83153","             2702468.30","        155","-","-"
"SKIL","BE","04-Jul-2017","         32.25","         32.00","         32.80","         30.75","         30.80","         31.60","         31.87","      62154","             1980565.70","        137","-","-"
"SKIL","BE","05-Jul-2017","         31.60","         31.50","         31.65","         30.05","         30.70","         30.55","         30.71","     233142","             7158828.10","        234","-","-"
"SKIL","BE","06-Jul-2017","         30.55","         30.05","         30.80","         29.90","         30.10","         30.10","         30.31","     102399","             3103862.90","        195","-","-"
"SKIL","BE","07-Jul-2017","         30.10","         30.10","         30.65","         29.25","         29.90","         29.50","         29.90","      34264","             1024347.25","         95","-","-"
"SKIL","BE","10-Jul-2017","         29.50","         29.50","         30.80","         29.50","         30.15","         30.00","         30.08","      45428","             1366417.05","         46","-","-"
"SKIL","BE","11-Jul-2017","         30.00","         29.60","         30.75","         29.60","         30.00","         30.05","         30.10","      32450","              976883.75","         77","-","-"
"SKIL","BE","12-Jul-2017","         30.05","         28.60","         30.95","         28.60","         29.50","         29.90","         29.92","     146571","             4384778.15","        162","-","-"
"SKIL","BE","13-Jul-2017","         29.90","         29.00","         30.00","         28.45","         28.45","         28.45","         29.05","     191936","             5576165.55","        162","-","-"
"SKIL","BE","14-Jul-2017","         28.45","         27.50","         29.40","         27.05","         27.55","         27.55","         27.93","     138585","             3871204.65","        245","-","-"
"SKIL","BE","17-Jul-2017","         27.55","         26.25","         28.90","         26.25","         28.90","         28.90","         28.57","     117314","             3351635.65","         96","-","-"
"SKIL","BE","18-Jul-2017","         28.90","         30.30","         30.30","         29.55","         29.60","         29.60","         30.10","     139037","             4185174.75","        148","-","-"
"SKIL","BE","19-Jul-2017","         29.60","         30.20","         30.20","         29.15","         29.50","         29.60","         29.68","      14751","              437791.65","         66","-","-"
"SKIL","BE","20-Jul-2017","         29.60","         30.90","         30.90","         29.00","         29.90","         29.75","         29.85","      25125","              749870.15","         52","-","-"
"SKIL","BE","21-Jul-2017","         29.75","         29.35","         29.80","         28.50","         28.55","         28.80","         29.13","     121398","             3536868.50","        276","-","-"
"SKIL","BE","24-Jul-2017","         28.80","         29.00","         30.00","         28.35","         28.50","         28.50","         29.17","      87813","             2561181.45","        203","-","-"
"SKIL","BE","25-Jul-2017","         28.50","         29.05","         29.10","         27.60","         28.00","         28.10","         28.47","      31381","              893531.90","         71","-","-"
"SKIL","BE","26-Jul-2017","         28.10","         27.70","         28.90","         26.80","         27.00","         27.05","         27.67","      77971","             2157453.00","        154","-","-"
"SKIL","BE","27-Jul-2017","         27.05","         27.05","         27.70","         25.70","         25.75","         26.05","         26.50","      30635","              811822.30","         85","-","-"
"SKIL","BE","28-Jul-2017","         26.05","         25.70","         27.35","         25.50","         27.05","         27.30","         26.98","      78482","             2117157.55","        125","-","-"
"SKIL","BE","31-Jul-2017","         27.30","         28.25","         28.65","         27.95","         28.65","         28.65","         28.15","     325492","             9162716.00","        138","-","-"
"SKIL","BE","01-Aug-2017","         28.65","         29.75","         30.05","         29.40","         30.05","         30.05","         29.99","     105157","             3153313.45","        128","-","-"
"SKIL","BE","02-Aug-2017","         30.05","         30.05","         31.55","         30.05","         31.55","         31.55","         31.48","      68536","             2157314.25","         67","-","-"
"SKIL","BE","03-Aug-2017","         31.55","         33.10","         33.10","         31.10","         32.00","         32.10","         32.57","     159643","             5199279.65","        352","-","-"
"SKIL","BE","04-Aug-2017","         32.10","         30.75","         33.50","         30.75","         32.25","         32.65","         32.82","      40334","             1323772.65","         96","-","-"
"SKIL","BE","07-Aug-2017","         32.65","         32.25","         33.80","         32.25","         32.90","         32.80","         32.96","      80520","             2653758.70","        208","-","-"
"SKIL","BE","08-Aug-2017","         32.80","         32.20","         32.75","         31.20","         31.25","         31.20","         31.28","     344328","            10772171.05","        218","-","-"
"SKIL","BE","09-Aug-2017","         31.20","         29.70","         31.40","         29.65","         29.65","         29.65","         29.77","      54707","             1628585.75","        105","-","-"
"SKIL","BE","10-Aug-2017","         29.65","         28.50","         29.00","         28.20","         28.20","         28.20","         28.25","      75151","             2123092.60","         75","-","-"
"SKIL","BE","11-Aug-2017","         28.20","         26.80","         28.00","         26.80","         26.80","         26.80","         26.81","      74443","             1996159.60","         70","-","-"
"SKIL","BE","14-Aug-2017","         26.80","         26.20","         26.95","         25.50","         26.50","         26.15","         26.30","     148611","             3908601.60","        148","-","-"
"SKIL","BE","16-Aug-2017","         26.15","         26.75","         27.40","         26.30","         27.00","         27.35","         27.12","      19760","              535953.95","         62","-","-"
"SKIL","BE","17-Aug-2017","         27.35","         28.25","         28.25","         26.80","         27.60","         27.80","         27.36","       3586","               98105.10","         16","-","-"
"SKIL","BE","18-Aug-2017","         27.80","         28.00","         28.00","         27.00","         27.75","         27.60","         27.12","      19440","              527182.50","         44","-","-"
"SKIL","BE","21-Aug-2017","         27.60","         26.80","         28.65","         26.80","         27.15","         27.15","         27.19","      16172","              439778.20","         73","-","-"
"SKIL","BE","22-Aug-2017","         27.15","         26.55","         28.00","         26.50","         27.35","         27.00","         27.13","      23932","              649334.45","         53","-","-"
"SKIL","EQ","23-Aug-2017","         27.00","         26.20","         28.35","         26.10","         27.75","         28.15","         27.12","      44060","             1194914.05","        121","      33353","         75.70"
"SKIL","EQ","24-Aug-2017","         28.15","         28.15","         28.55","         27.10","         28.00","         27.65","         27.65","      50911","             1407863.45","        174","      34506","         67.78"
"SKIL","EQ","28-Aug-2017","         27.65","         27.05","         29.00","         27.05","         29.00","         29.00","         28.69","      59086","             1695194.00","        139","      47570","         80.51"
"SKIL","EQ","29-Aug-2017","         29.00","         28.10","         29.25","         28.10","         28.50","         28.45","         28.82","     124735","             3594369.55","         75","     118745","         95.20"
"SKIL","EQ","30-Aug-2017","         28.45","         28.90","         29.85","         28.70","         29.85","         29.85","         29.71","      94524","             2807879.65","        247","      82214","         86.98"
"SKIL","EQ","31-Aug-2017","         29.85","         29.50","         31.30","         29.50","         30.15","         30.45","         30.75","     224630","             6907577.85","        385","     181236","         80.68"
"SKIL","EQ","01-Sep-2017","         30.45","         30.20","         30.50","         28.95","         30.50","         30.00","         29.54","      72368","             2138064.75","        223","      46016","         63.59"
"SKIL","EQ","04-Sep-2017","         30.00","         29.50","         29.60","         28.50","         29.40","         29.00","         28.86","      69024","             1991744.25","        112","      60257","         87.30"
"SKIL","EQ","05-Sep-2017","         29.00","         29.45","         29.45","         27.75","         28.50","         28.70","         28.68","      63791","             1829842.75","        212","      34820","         54.58"
"SKIL","EQ","06-Sep-2017","         28.70","         28.45","         29.25","         27.50","         27.55","         27.80","         28.24","      48559","             1371225.80","         77","      43564","         89.71"
"SKIL","EQ","07-Sep-2017","         27.80","         27.65","         29.15","         27.65","         29.15","         29.05","         28.91","      99063","             2863509.75","        166","      88812","         89.65"
"SKIL","EQ","08-Sep-2017","         29.05","         29.35","         29.50","         28.20","         29.00","         29.00","         28.79","      54064","             1556400.45","        143","      43859","         81.12"
"SKIL","EQ","11-Sep-2017","         29.00","         28.75","         30.45","         28.75","         30.25","         30.35","         30.24","     173241","             5239182.45","        235","     155357","         89.68"
"SKIL","EQ","12-Sep-2017","         30.35","         30.80","         30.85","         29.60","         30.00","         29.85","         30.10","      55608","             1674027.60","        161","      44169","         79.43"
"SKIL","EQ","13-Sep-2017","         29.85","         29.90","         30.00","         29.00","         29.50","         29.75","         29.63","      26201","              776273.75","         71","      17630","         67.29"
"SKIL","EQ","14-Sep-2017","         29.75","         29.40","         30.20","         28.40","         28.65","         28.70","         29.38","      65913","             1936299.20","        223","      53373","         80.97"
"SKIL","EQ","15-Sep-2017","         28.70","         28.15","         28.70","         27.30","         27.55","         27.55","         27.54","     139870","             3851343.60","        335","      94186","         67.34"
"SKIL","EQ","18-Sep-2017","         27.55","         27.55","         27.75","         26.90","         26.90","         26.95","         27.17","      29341","              797137.15","        113","      23454","         79.94"
"SKIL","EQ","19-Sep-2017","         26.95","         27.40","         27.40","         26.25","         26.80","         27.05","         26.89","      66619","             1791281.70","        100","      58457","         87.75"
