"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SORILHOLD","EQ","03-Jul-2017","         37.35","         37.10","         39.20","         37.10","         39.20","         39.20","         38.96","     454361","            17703358.15","       1325","     151538","         33.35"
"SORILHOLD","EQ","04-Jul-2017","         39.20","         39.20","         40.80","         38.35","         38.55","         38.65","         39.41","     383806","            15127023.75","       1682","     150520","         39.22"
"SORILHOLD","EQ","05-Jul-2017","         38.65","         38.60","         39.95","         38.35","         38.90","         39.00","         39.21","     201841","             7914523.95","       1089","      79294","         39.29"
"SORILHOLD","EQ","06-Jul-2017","         39.00","         38.80","         39.45","         38.05","         38.30","         38.30","         38.66","     127140","             4915093.05","        747","      80394","         63.23"
"SORILHOLD","EQ","07-Jul-2017","         38.30","         38.50","         38.60","         37.50","         38.00","         37.80","         38.03","     157641","             5995731.20","        723","      86997","         55.19"
"SORILHOLD","EQ","10-Jul-2017","         37.80","         38.10","         38.10","         37.10","         37.35","         37.50","         37.71","      30316","             1143143.55","        222","      18919","         62.41"
"SORILHOLD","EQ","11-Jul-2017","         37.50","         37.55","         38.40","         37.20","         37.50","         37.40","         37.64","      80467","             3028450.50","        496","      47792","         59.39"
"SORILHOLD","EQ","12-Jul-2017","         37.40","         37.65","         37.75","         36.80","         37.35","         37.05","         37.30","     108634","             4051540.95","        464","      72388","         66.63"
"SORILHOLD","EQ","13-Jul-2017","         37.05","         37.05","         38.40","         36.80","         37.60","         37.80","         37.75","     171100","             6458721.75","        962","      88731","         51.86"
"SORILHOLD","EQ","14-Jul-2017","         37.80","         37.55","         38.00","         36.95","         37.30","         37.20","         37.38","      97253","             3634851.80","        669","      51023","         52.46"
"SORILHOLD","EQ","17-Jul-2017","         37.20","         37.25","         37.50","         36.20","         36.50","         36.80","         36.83","     110503","             4069832.30","        691","      42155","         38.15"
"SORILHOLD","EQ","18-Jul-2017","         36.80","         36.35","         36.95","         36.05","         36.90","         36.80","         36.71","      75351","             2766385.00","        468","      38112","         50.58"
"SORILHOLD","EQ","19-Jul-2017","         36.80","         37.15","         37.15","         36.50","         36.55","         36.60","         36.74","      71735","             2635874.50","        318","      42487","         59.23"
"SORILHOLD","EQ","20-Jul-2017","         36.60","         36.25","         36.85","         36.10","         36.30","         36.25","         36.31","      94151","             3418944.80","        407","      51320","         54.51"
"SORILHOLD","EQ","21-Jul-2017","         36.25","         36.30","         36.80","         35.70","         35.75","         35.80","         36.04","      89795","             3236134.95","        380","      58790","         65.47"
"SORILHOLD","EQ","24-Jul-2017","         35.80","         36.00","         37.55","         35.00","         37.55","         37.50","         37.14","     482781","            17930571.85","       1489","     129440","         26.81"
"SORILHOLD","EQ","25-Jul-2017","         37.50","         37.95","         38.90","         37.10","         38.20","         38.40","         38.28","     262729","            10056436.25","       1171","     146609","         55.80"
"SORILHOLD","EQ","26-Jul-2017","         38.40","         37.90","         38.80","         37.10","         37.25","         37.25","         37.64","     110755","             4168439.60","        683","      61291","         55.34"
"SORILHOLD","EQ","27-Jul-2017","         37.25","         37.35","         37.80","         36.25","         36.30","         36.40","         36.99","      98232","             3634015.10","        602","      51160","         52.08"
"SORILHOLD","EQ","28-Jul-2017","         36.40","         36.30","         36.90","         35.25","         35.90","         35.90","         36.08","      95086","             3430309.05","        550","      56927","         59.87"
"SORILHOLD","EQ","31-Jul-2017","         35.90","         36.00","         36.80","         35.10","         35.60","         35.55","         35.85","     109360","             3920524.90","        582","      57794","         52.85"
"SORILHOLD","EQ","01-Aug-2017","         35.55","         35.55","         35.75","         34.30","         34.30","         34.50","         34.80","     142887","             4972536.25","        683","      89465","         62.61"
"SORILHOLD","EQ","02-Aug-2017","         34.50","         34.50","         36.20","         34.20","         36.20","         36.15","         35.90","     283812","            10189615.85","       1021","     122048","         43.00"
"SORILHOLD","EQ","03-Aug-2017","         36.15","         36.15","         36.20","         34.40","         35.00","         34.65","         35.13","     123531","             4340040.50","        564","      75469","         61.09"
"SORILHOLD","EQ","04-Aug-2017","         34.65","         35.20","         35.50","         34.25","         35.00","         34.95","         34.82","      89857","             3129238.25","        416","      66213","         73.69"
"SORILHOLD","EQ","07-Aug-2017","         34.95","         36.00","         37.90","         35.60","         36.45","         36.30","         36.29","     155759","             5651842.95","        695","      77264","         49.60"
"SORILHOLD","EQ","08-Aug-2017","         36.30","         36.30","         36.35","         34.50","         34.80","         34.85","         35.04","     130673","             4578197.80","        569","      76149","         58.27"
"SORILHOLD","EQ","09-Aug-2017","         34.85","         34.50","         34.70","         32.75","         33.00","         32.95","         33.73","     160172","             5402361.40","        733","     111992","         69.92"
"SORILHOLD","EQ","10-Aug-2017","         32.95","         32.95","         33.10","         29.70","         29.80","         29.80","         31.16","     313262","             9760513.45","       1190","     178853","         57.09"
"SORILHOLD","EQ","11-Aug-2017","         29.80","         28.35","         32.40","         27.20","         30.75","         31.20","         29.94","     493145","            14764474.95","       1857","     197238","         40.00"
"SORILHOLD","EQ","14-Aug-2017","         31.20","         31.50","         33.40","         31.50","         32.85","         33.00","         32.63","     174024","             5677723.80","        696","     120351","         69.16"
"SORILHOLD","EQ","16-Aug-2017","         33.00","         33.50","         34.80","         33.50","         34.05","         34.10","         34.21","     116519","             3986298.50","        599","      68348","         58.66"
"SORILHOLD","EQ","17-Aug-2017","         34.10","         34.25","         34.75","         33.25","         33.35","         33.35","         33.87","      80795","             2736930.35","        414","      39051","         48.33"
"SORILHOLD","EQ","18-Aug-2017","         33.35","         33.35","         33.35","         32.00","         32.50","         32.55","         32.52","      76790","             2497153.95","        429","      37127","         48.35"
"SORILHOLD","EQ","21-Aug-2017","         32.55","         32.60","         32.80","         30.75","         31.00","         31.30","         31.94","      78239","             2499284.05","        307","      44876","         57.36"
"SORILHOLD","EQ","22-Aug-2017","         31.30","         31.50","         31.80","         30.65","         31.20","         31.05","         31.25","      88088","             2752485.85","        387","      46898","         53.24"
"SORILHOLD","EQ","23-Aug-2017","         31.05","         31.55","         34.15","         31.55","         33.75","         33.85","         33.53","     380142","            12747294.60","       1359","     113619","         29.89"
"SORILHOLD","EQ","24-Aug-2017","         33.85","         34.20","         34.80","         31.70","         32.00","         32.00","         32.80","     154362","             5062807.10","        712","     112051","         72.59"
"SORILHOLD","EQ","28-Aug-2017","         32.00","         32.10","         32.70","         31.35","         31.60","         31.65","         31.96","     221016","             7063397.30","        943","     119965","         54.28"
"SORILHOLD","EQ","29-Aug-2017","         31.65","         31.85","         32.95","         31.10","         32.40","         32.15","         31.90","     141322","             4507637.10","        612","      91811","         64.97"
"SORILHOLD","EQ","30-Aug-2017","         32.15","         32.95","         34.50","         32.40","         33.40","         33.45","         33.68","     124582","             4195969.50","        643","      67476","         54.16"
"SORILHOLD","EQ","31-Aug-2017","         33.45","         33.20","         34.05","         33.05","         33.25","         33.50","         33.60","      37792","             1269861.55","        319","      19319","         51.12"
"SORILHOLD","EQ","01-Sep-2017","         33.50","         32.75","         34.45","         32.75","         33.55","         33.55","         33.78","      97255","             3285196.05","        526","      48983","         50.37"
"SORILHOLD","EQ","04-Sep-2017","         33.55","         33.85","         34.45","         31.55","         32.70","         32.65","         32.73","      80050","             2620375.00","        463","      38878","         48.57"
"SORILHOLD","EQ","05-Sep-2017","         32.65","         32.40","         33.50","         32.40","         32.90","         32.85","         32.83","      78230","             2567991.05","        445","      36148","         46.21"
"SORILHOLD","EQ","06-Sep-2017","         32.85","         32.55","         33.50","         32.50","         32.90","         32.75","         32.91","      74959","             2466577.05","        355","      51130","         68.21"
"SORILHOLD","EQ","07-Sep-2017","         32.75","         33.40","         36.00","         32.65","         36.00","         36.00","         34.76","     584748","            20326321.20","       1636","     252373","         43.16"
"SORILHOLD","EQ","08-Sep-2017","         36.00","         36.95","         39.60","         36.95","         39.60","         39.60","         39.32","     941251","            37014688.00","       1730","     410785","         43.64"
"SORILHOLD","EQ","11-Sep-2017","         39.60","         43.55","         43.55","         43.55","         43.55","         43.55","         43.55","     185716","             8087931.80","        290","     185700","         99.99"
"SORILHOLD","EQ","12-Sep-2017","         43.55","         45.70","         45.70","         45.70","         45.70","         45.70","         45.70","      68427","             3127113.90","        179","      68427","        100.00"
"SORILHOLD","EQ","13-Sep-2017","         45.70","         47.95","         47.95","         47.95","         47.95","         47.95","         47.95","     108951","             5224200.45","        166","     108951","        100.00"
"SORILHOLD","EQ","14-Sep-2017","         47.95","         50.30","         50.30","         47.00","         50.30","         50.30","         50.17","    2066336","           103668499.75","       3078","     937862","         45.39"
"SORILHOLD","EQ","15-Sep-2017","         50.30","         52.80","         52.80","         52.80","         52.80","         52.80","         52.80","     634975","            33526680.00","        588","     507423","         79.91"
"SORILHOLD","EQ","18-Sep-2017","         52.80","         55.40","         55.40","         55.40","         55.40","         55.40","         55.40","     115336","             6389614.40","        128","     115336","        100.00"
