"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SAKUMA","EQ","02-Jan-2017","         61.40","         63.30","         63.30","         60.40","         62.40","         62.40","         62.28","      19610","             1221307.00","        147","      17440","         88.93"
"SAKUMA","EQ","03-Jan-2017","         62.40","         64.35","         66.90","         63.40","         64.55","         64.25","         65.63","     168337","            11047200.55","       1431","      52820","         31.38"
"SAKUMA","EQ","04-Jan-2017","         64.25","         65.00","         66.00","         63.65","         64.10","         64.20","         64.77","      24339","             1576474.85","        356","      14363","         59.01"
"SAKUMA","EQ","05-Jan-2017","         64.20","         64.05","         65.85","         64.05","         64.95","         65.30","         64.95","      35897","             2331394.25","        291","      25254","         70.35"
"SAKUMA","EQ","06-Jan-2017","         65.30","         67.20","         71.40","         66.15","         66.85","         66.85","         68.37","      80106","             5476556.05","        650","      55999","         69.91"
"SAKUMA","EQ","09-Jan-2017","         66.85","         67.50","         67.55","         64.70","         65.30","         65.50","         65.78","      32265","             2122353.15","        364","      19596","         60.73"
"SAKUMA","EQ","10-Jan-2017","         65.50","         66.65","         67.00","         63.40","         63.40","         63.90","         64.83","      26036","             1687868.80","        421","      14434","         55.44"
"SAKUMA","EQ","11-Jan-2017","         63.90","         63.40","         65.10","         61.55","         64.50","         64.55","         64.16","      29388","             1885544.25","        321","      13600","         46.28"
"SAKUMA","EQ","12-Jan-2017","         64.55","         64.75","         65.25","         63.30","         63.60","         64.20","         64.17","      12174","              781221.05","        159","       8125","         66.74"
"SAKUMA","EQ","13-Jan-2017","         64.20","         64.10","         64.25","         62.70","         63.00","         63.50","         63.38","      23039","             1460305.70","        380","      11787","         51.16"
"SAKUMA","EQ","16-Jan-2017","         63.50","         64.00","         64.80","         62.60","         64.50","         63.75","         63.43","      11673","              740404.95","        153","       7303","         62.56"
"SAKUMA","EQ","17-Jan-2017","         63.75","         64.05","         64.70","         63.55","         64.00","         63.85","         64.08","       6258","              401014.25","        109","       2012","         32.15"
"SAKUMA","EQ","18-Jan-2017","         63.85","         65.40","         65.40","         63.20","         64.50","         64.35","         64.26","       6059","              389365.50","         79","       4717","         77.85"
"SAKUMA","EQ","19-Jan-2017","         64.35","         64.10","         64.90","         63.70","         64.70","         64.35","         64.29","       7920","              509203.80","         96","       5608","         70.81"
"SAKUMA","EQ","20-Jan-2017","         64.35","         63.55","         64.90","         63.15","         63.50","         63.35","         63.96","      12830","              820665.10","        155","       8412","         65.57"
"SAKUMA","EQ","23-Jan-2017","         63.35","         64.00","         64.65","         62.50","         63.00","         62.90","         63.26","      12099","              765360.60","        150","       9214","         76.16"
"SAKUMA","EQ","24-Jan-2017","         62.90","         63.15","         67.20","         63.00","         67.00","         66.10","         65.38","      50436","             3297336.45","        591","      20521","         40.69"
"SAKUMA","EQ","25-Jan-2017","         66.10","         67.80","         69.50","         65.20","         67.25","         66.80","         67.74","      78666","             5328853.45","        814","      50598","         64.32"
"SAKUMA","EQ","27-Jan-2017","         66.80","         67.45","         69.00","         67.10","         67.50","         67.85","         68.09","      30926","             2105655.15","        467","      18864","         61.00"
"SAKUMA","EQ","30-Jan-2017","         67.85","         68.00","         69.50","         65.20","         67.00","         67.00","         67.95","      44863","             3048234.90","        349","      35170","         78.39"
"SAKUMA","EQ","31-Jan-2017","         67.00","         66.50","         68.50","         65.50","         65.70","         66.40","         66.92","      22075","             1477287.55","        342","      12523","         56.73"
"SAKUMA","EQ","01-Feb-2017","         66.40","         65.25","         68.90","         65.15","         68.75","         68.20","         67.59","      30273","             2046110.70","        410","      19149","         63.25"
"SAKUMA","EQ","02-Feb-2017","         68.20","         69.30","         69.50","         67.00","         67.00","         67.35","         68.34","      24126","             1648809.25","        234","      15587","         64.61"
"SAKUMA","EQ","03-Feb-2017","         67.35","         69.00","         69.00","         66.00","         67.60","         67.05","         67.58","      24363","             1646525.05","        214","      17294","         70.98"
"SAKUMA","EQ","06-Feb-2017","         67.05","         67.90","         71.50","         67.90","         68.95","         68.65","         68.85","      56041","             3858226.15","        604","      40603","         72.45"
"SAKUMA","EQ","07-Feb-2017","         68.65","         69.00","         73.35","         68.95","         72.00","         72.05","         70.99","     134399","             9540716.95","       1417","      92590","         68.89"
"SAKUMA","EQ","08-Feb-2017","         72.05","         74.30","         74.30","         69.05","         69.10","         70.20","         71.27","      66834","             4763045.40","        842","      38520","         57.64"
"SAKUMA","EQ","09-Feb-2017","         70.20","         70.40","         72.85","         68.80","         71.35","         70.15","         70.77","      67863","             4802628.10","        794","      35736","         52.66"
"SAKUMA","EQ","10-Feb-2017","         70.15","         69.95","         71.80","         61.40","         63.75","         62.95","         64.57","     207206","            13380278.05","       2001","     101426","         48.95"
"SAKUMA","EQ","13-Feb-2017","         62.95","         64.50","         64.50","         61.75","         62.45","         62.35","         62.82","      76184","             4786089.90","        634","      49647","         65.17"
