"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SAMBHAAV","EQ","02-Jan-2017","          5.50","          5.55","          6.40","          5.55","          5.80","          5.75","          5.91","      24504","              144711.60","         81","      19077","         77.85"
"SAMBHAAV","EQ","03-Jan-2017","          5.75","          5.75","          6.80","          5.75","          6.10","          6.15","          6.59","     460748","             3036744.05","        168","     433626","         94.11"
"SAMBHAAV","EQ","04-Jan-2017","          6.15","          6.20","          6.50","          6.00","          6.20","          6.10","          6.25","       4201","               26269.20","         61","       3316","         78.93"
"SAMBHAAV","EQ","05-Jan-2017","          6.10","          6.25","          6.50","          6.00","          6.10","          6.10","          6.11","       4728","               28910.20","         46","       3437","         72.69"
"SAMBHAAV","EQ","06-Jan-2017","          6.10","          6.10","          6.20","          6.00","          6.20","          6.05","          6.08","       2065","               12565.20","         11","       2056","         99.56"
"SAMBHAAV","EQ","09-Jan-2017","          6.05","          6.00","          6.10","          5.80","          6.00","          6.00","          5.92","      30297","              179460.45","         67","      25496","         84.15"
"SAMBHAAV","EQ","10-Jan-2017","          6.00","          6.00","          6.20","          6.00","          6.00","          6.00","          6.00","      15590","               93604.35","         57","      15032","         96.42"
"SAMBHAAV","EQ","11-Jan-2017","          6.00","          5.95","          6.15","          5.75","          5.80","          5.90","          5.92","       4663","               27586.40","         22","       2807","         60.20"
"SAMBHAAV","EQ","12-Jan-2017","          5.90","          6.00","          6.10","          5.85","          5.85","          5.85","          5.92","        274","                1622.70","         14","        236","         86.13"
"SAMBHAAV","EQ","13-Jan-2017","          5.85","          5.85","          6.10","          5.70","          5.90","          5.90","          5.83","       8599","               50114.90","         32","       8102","         94.22"
"SAMBHAAV","EQ","16-Jan-2017","          5.90","          5.75","          5.95","          5.75","          5.80","          5.85","          5.77","      11265","               65026.60","         10","      10965","         97.34"
"SAMBHAAV","EQ","17-Jan-2017","          5.85","          5.80","          5.95","          5.80","          5.95","          5.80","          5.81","        352","                2045.35","          2","        352","        100.00"
"SAMBHAAV","EQ","18-Jan-2017","          5.80","          5.95","          6.40","          5.80","          6.35","          6.00","          5.98","      13361","               79960.80","         29","      11901","         89.07"
"SAMBHAAV","EQ","19-Jan-2017","          6.00","          6.05","          6.15","          5.85","          6.00","          6.00","          5.99","      20897","              125070.10","         56","      20715","         99.13"
"SAMBHAAV","EQ","20-Jan-2017","          6.00","          5.90","          6.00","          5.85","          5.90","          5.85","          5.92","       6942","               41065.30","         35","       6942","        100.00"
"SAMBHAAV","EQ","23-Jan-2017","          5.85","          5.90","          5.95","          5.50","          5.70","          5.70","          5.77","      10408","               60026.60","         16","       9895","         95.07"
"SAMBHAAV","EQ","24-Jan-2017","          5.70","          5.70","          6.00","          5.70","          5.80","          5.80","          5.93","       8079","               47914.35","         19","       7520","         93.08"
"SAMBHAAV","EQ","25-Jan-2017","          5.80","          6.00","          6.30","          5.85","          6.05","          6.10","          6.04","      14555","               87861.55","         41","      13355","         91.76"
"SAMBHAAV","EQ","27-Jan-2017","          6.10","          5.90","          6.15","          5.80","          5.90","          5.80","          5.86","      30183","              176738.70","         69","      27628","         91.53"
"SAMBHAAV","EQ","30-Jan-2017","          5.80","          5.80","          6.10","          5.75","          5.75","          5.95","          5.90","       8378","               49451.40","         42","       7507","         89.60"
"SAMBHAAV","EQ","31-Jan-2017","          5.95","          5.80","          6.00","          5.50","          6.00","          6.00","          5.86","       1525","                8937.50","         14","       1056","         69.25"
"SAMBHAAV","EQ","01-Feb-2017","          6.00","          6.00","          6.00","          5.75","          5.80","          5.80","          5.82","       3069","               17856.20","         14","       3067","         99.93"
"SAMBHAAV","EQ","02-Feb-2017","          5.80","          5.80","          6.70","          5.65","          6.10","          6.15","          6.10","      13230","               80703.85","         82","       9992","         75.53"
"SAMBHAAV","EQ","03-Feb-2017","          6.15","          6.30","          6.30","          5.90","          6.20","          6.15","          5.99","      40836","              244772.25","         42","      39285","         96.20"
"SAMBHAAV","EQ","06-Feb-2017","          6.15","          6.20","          6.90","          6.20","          6.40","          6.45","          6.55","      81686","              535368.25","        101","      75302","         92.18"
"SAMBHAAV","EQ","07-Feb-2017","          6.45","          6.40","          6.65","          6.10","          6.40","          6.40","          6.53","       9167","               59864.55","         24","       8353","         91.12"
"SAMBHAAV","EQ","08-Feb-2017","          6.40","          6.50","          6.60","          6.10","          6.10","          6.15","          6.39","      62989","              402299.20","         83","      59289","         94.13"
"SAMBHAAV","EQ","09-Feb-2017","          6.15","          6.20","          6.20","          5.90","          6.00","          6.05","          6.06","     108981","              660557.75","         62","      88348","         81.07"
"SAMBHAAV","EQ","10-Feb-2017","          6.05","          6.00","          6.40","          6.00","          6.25","          6.20","          6.18","      54512","              336669.30","         55","      36418","         66.81"
"SAMBHAAV","EQ","13-Feb-2017","          6.20","          6.25","          6.45","          6.10","          6.25","          6.20","          6.28","      43908","              275735.30","         43","      42288","         96.31"
"SAMBHAAV","EQ","14-Feb-2017","          6.20","          6.05","          6.50","          5.80","          6.00","          5.95","          6.00","      25831","              154932.25","         23","      25304","         97.96"
"SAMBHAAV","EQ","15-Feb-2017","          5.95","          5.90","          5.95","          5.75","          5.80","          5.80","          5.90","       8454","               49914.70","         16","       8454","        100.00"
"SAMBHAAV","EQ","16-Feb-2017","          5.80","          5.85","          5.85","          5.75","          5.75","          5.75","          5.77","        540","                3114.65","          8","        540","        100.00"
"SAMBHAAV","EQ","17-Feb-2017","          5.75","          6.10","          6.10","          5.75","          5.80","          5.90","          5.79","       1300","                7524.25","         15","       1235","         95.00"
"SAMBHAAV","EQ","20-Feb-2017","          5.90","          5.80","          6.10","          5.80","          5.80","          5.80","          5.90","       2091","               12336.10","         18","       1590","         76.04"
"SAMBHAAV","EQ","21-Feb-2017","          5.80","          5.95","          5.95","          5.85","          5.85","          5.85","          5.89","       4220","               24871.50","         11","       4190","         99.29"
"SAMBHAAV","EQ","22-Feb-2017","          5.85","          5.80","          6.00","          5.75","          5.80","          5.75","          5.81","       3416","               19850.35","         17","       2986","         87.41"
"SAMBHAAV","EQ","23-Feb-2017","          5.75","          5.75","          6.00","          5.55","          5.70","          5.70","          5.71","     236579","             1350836.20","        107","     226093","         95.57"
"SAMBHAAV","EQ","27-Feb-2017","          5.70","          5.65","          5.85","          5.55","          5.70","          5.70","          5.72","      10978","               62833.80","         26","       9477","         86.33"
"SAMBHAAV","EQ","28-Feb-2017","          5.70","          6.70","          6.80","          6.65","          6.80","          6.80","          6.78","      58286","              395265.40","         71","      56148","         96.33"
"SAMBHAAV","EQ","01-Mar-2017","          6.80","          7.95","          8.15","          7.30","          7.45","          7.50","          7.72","     300011","             2316638.75","        691","     192335","         64.11"
"SAMBHAAV","EQ","02-Mar-2017","          7.50","          7.70","          7.75","          7.00","          7.00","          7.05","          7.23","      47733","              344959.65","        155","      30151","         63.17"
"SAMBHAAV","EQ","03-Mar-2017","          7.05","          7.00","          7.05","          6.50","          7.00","          6.95","          6.82","      37060","              252641.10","         95","      23299","         62.87"
"SAMBHAAV","EQ","06-Mar-2017","          6.95","          7.00","          7.20","          6.65","          6.80","          6.80","          6.87","      21487","              147709.50","         64","      14154","         65.87"
"SAMBHAAV","EQ","07-Mar-2017","          6.80","          6.80","          6.95","          6.60","          6.70","          6.70","          6.74","      10605","               71452.00","         35","       8602","         81.11"
"SAMBHAAV","EQ","08-Mar-2017","          6.70","          6.55","          7.10","          6.25","          6.65","          6.60","          6.64","      27979","              185903.40","         59","      20256","         72.40"
"SAMBHAAV","EQ","09-Mar-2017","          6.60","          6.65","          6.70","          6.05","          6.20","          6.30","          6.30","      74417","              468635.25","        168","      44423","         59.69"
"SAMBHAAV","EQ","10-Mar-2017","          6.30","          6.05","          6.85","          6.05","          6.65","          6.75","          6.49","      36293","              235536.05","        100","      27090","         74.64"
"SAMBHAAV","EQ","14-Mar-2017","          6.75","          7.05","          7.05","          6.25","          6.70","          6.50","          6.58","      23098","              151975.30","         54","      17204","         74.48"
"SAMBHAAV","EQ","15-Mar-2017","          6.50","          6.70","          7.00","          6.50","          6.70","          6.70","          6.83","      39894","              272449.65","        124","      32569","         81.64"
"SAMBHAAV","EQ","16-Mar-2017","          6.70","          6.55","          6.90","          6.50","          6.60","          6.60","          6.54","      14735","               96427.60","         23","      14101","         95.70"
"SAMBHAAV","EQ","17-Mar-2017","          6.60","          6.60","          6.60","          6.50","          6.50","          6.50","          6.59","      10020","               66052.00","         15","      10020","        100.00"
"SAMBHAAV","EQ","20-Mar-2017","          6.50","          6.50","          6.50","          6.35","          6.50","          6.50","          6.44","      19882","              128026.35","         40","      19847","         99.82"
"SAMBHAAV","EQ","21-Mar-2017","          6.50","          6.10","          6.65","          6.10","          6.50","          6.55","          6.53","      36599","              238912.35","        114","      35382","         96.67"
"SAMBHAAV","EQ","22-Mar-2017","          6.55","          6.50","          6.60","          6.35","          6.60","          6.60","          6.48","       7976","               51700.40","         34","       5781","         72.48"
"SAMBHAAV","EQ","23-Mar-2017","          6.60","          6.40","          6.60","          6.35","          6.35","          6.50","          6.45","       6098","               39322.70","         23","       3898","         63.92"
"SAMBHAAV","EQ","24-Mar-2017","          6.50","          6.55","          6.60","          6.25","          6.25","          6.35","          6.39","       9825","               62741.00","         24","       9590","         97.61"
"SAMBHAAV","EQ","27-Mar-2017","          6.35","          6.95","          6.95","          6.35","          6.50","          6.45","          6.64","      75473","              500812.85","        135","      45759","         60.63"
"SAMBHAAV","EQ","28-Mar-2017","          6.45","          6.90","          6.95","          6.15","          6.50","          6.50","          6.65","     100545","              668479.20","         95","      49951","         49.68"
"SAMBHAAV","EQ","29-Mar-2017","          6.50","          6.85","          6.85","          6.20","          6.30","          6.40","          6.59","      64320","              424109.20","         87","      13459","         20.93"
"SAMBHAAV","EQ","30-Mar-2017","          6.40","          6.65","          6.65","          6.10","          6.20","          6.20","          6.27","      65935","              413493.25","         73","      36965","         56.06"
"SAMBHAAV","EQ","31-Mar-2017","          6.20","          6.05","          6.35","          6.05","          6.30","          6.25","          6.24","       6970","               43460.40","         33","       5559","         79.76"
