"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SASKEN","EQ","03-Jul-2017","        418.10","        428.40","        428.40","        419.00","        423.70","        421.95","        420.87","      20125","             8469988.90","        424","      17707","         87.99"
"SASKEN","EQ","04-Jul-2017","        421.95","        424.00","        454.75","        422.30","        441.00","        441.55","        442.57","      85761","            37955642.85","       3977","      31374","         36.58"
"SASKEN","EQ","05-Jul-2017","        441.55","        445.95","        455.00","        441.10","        448.00","        448.90","        449.96","      35369","            15914644.30","       1378","      15226","         43.05"
"SASKEN","EQ","06-Jul-2017","        448.90","        445.00","        455.00","        439.00","        444.40","        440.75","        448.66","      28116","            12614438.40","       1202","      18002","         64.03"
"SASKEN","EQ","07-Jul-2017","        440.75","        436.00","        477.00","        434.00","        468.00","        465.95","        462.59","      90080","            41669896.70","       3944","      44337","         49.22"
"SASKEN","EQ","10-Jul-2017","        465.95","        495.00","        529.40","        475.50","        509.50","        509.05","        513.28","     155458","            79793081.85","       5769","      40543","         26.08"
"SASKEN","EQ","11-Jul-2017","        509.05","        513.45","        525.95","        486.00","        489.95","        491.85","        511.73","     214795","           109916414.65","       7681","      88088","         41.01"
"SASKEN","EQ","12-Jul-2017","        491.85","        494.00","        558.40","        484.45","        557.10","        549.60","        532.76","     665441","           354521999.25","      20232","     159410","         23.96"
"SASKEN","EQ","13-Jul-2017","        549.60","        556.30","        578.90","        533.00","        552.00","        555.35","        562.38","     374554","           210639813.65","      14619","      70274","         18.76"
"SASKEN","EQ","14-Jul-2017","        555.35","        557.00","        569.65","        508.95","        540.00","        538.25","        546.21","     117313","            64077285.30","       5387","      39624","         33.78"
"SASKEN","EQ","17-Jul-2017","        538.25","        542.00","        555.00","        533.50","        534.10","        536.15","        543.40","      51348","            27902580.90","       2434","      17499","         34.08"
"SASKEN","EQ","18-Jul-2017","        536.15","        536.80","        542.40","        511.00","        512.30","        514.60","        528.99","      55723","            29476860.35","       3235","      24913","         44.71"
"SASKEN","EQ","19-Jul-2017","        514.60","        479.00","        509.60","        475.00","        501.20","        501.65","        495.29","     143953","            71298947.40","       6359","      41674","         28.95"
"SASKEN","EQ","20-Jul-2017","        501.65","        511.00","        541.95","        496.30","        528.00","        528.35","        524.34","     169522","            88886916.80","       5529","      41388","         24.41"
"SASKEN","EQ","21-Jul-2017","        528.35","        528.35","        539.00","        522.00","        525.50","        524.75","        529.09","      64503","            34127599.60","       1989","      23838","         36.96"
"SASKEN","EQ","24-Jul-2017","        524.75","        521.00","        538.00","        516.10","        517.50","        518.80","        527.67","      57553","            30368938.90","       2786","      19998","         34.75"
"SASKEN","EQ","25-Jul-2017","        518.80","        519.95","        524.95","        502.00","        504.50","        506.70","        514.58","      43954","            22617685.25","       3234","      18748","         42.65"
"SASKEN","EQ","26-Jul-2017","        506.70","        506.70","        519.90","        503.10","        506.95","        506.95","        510.07","      47270","            24110848.90","       2715","      15383","         32.54"
"SASKEN","EQ","27-Jul-2017","        506.95","        505.55","        517.80","        496.05","        497.45","        499.80","        506.80","      24034","            12180524.00","       1389","      12044","         50.11"
"SASKEN","EQ","28-Jul-2017","        499.80","        500.00","        514.70","        499.30","        511.00","        510.55","        507.25","      31018","            15734014.95","       1812","      11629","         37.49"
"SASKEN","EQ","31-Jul-2017","        510.55","        510.55","        514.90","        502.95","        503.25","        504.85","        508.36","      25219","            12820394.55","       1110","       4274","         16.95"
"SASKEN","EQ","01-Aug-2017","        504.85","        509.65","        509.65","        491.05","        495.00","        494.80","        500.10","      10981","             5491552.60","        715","       5877","         53.52"
"SASKEN","EQ","02-Aug-2017","        494.80","        490.80","        503.75","        490.80","        491.00","        492.75","        494.86","      14609","             7229391.65","        996","       8686","         59.46"
