"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"FAGBEARING","EQ","03-Apr-2017","       4579.05","       4579.00","       4697.00","       4466.00","       4650.40","       4557.50","       4528.19","       1911","             8653363.90","        608","       1142","         59.76"
"FAGBEARING","EQ","05-Apr-2017","       4557.50","       4625.00","       4625.00","       4466.00","       4495.00","       4493.40","       4518.66","       5266","            23795244.20","       1248","       3611","         68.57"
"FAGBEARING","EQ","06-Apr-2017","       4493.40","       4518.65","       4598.00","       4482.00","       4532.00","       4543.70","       4530.08","       2038","             9232311.10","        636","       1109","         54.42"
"FAGBEARING","EQ","07-Apr-2017","       4543.70","       4500.05","       4631.95","       4500.05","       4549.75","       4555.15","       4568.07","       2902","            13256550.00","        663","       2224","         76.64"
"FAGBEARING","EQ","10-Apr-2017","       4555.15","       4559.45","       4590.00","       4530.00","       4584.00","       4571.25","       4556.39","        382","             1740541.55","        124","        313","         81.94"
"FAGBEARING","EQ","11-Apr-2017","       4571.25","       4600.95","       4660.00","       4585.15","       4645.00","       4637.20","       4617.23","       5290","            24425137.60","        686","       4836","         91.42"
"FAGBEARING","EQ","12-Apr-2017","       4637.20","       4649.00","       4725.00","       4601.10","       4670.05","       4672.80","       4678.26","       2023","             9464117.85","        501","       1014","         50.12"
"FAGBEARING","EQ","13-Apr-2017","       4672.80","       4670.00","       4713.90","       4627.95","       4650.00","       4649.20","       4654.18","       3347","            15577556.25","        543","       2772","         82.82"
"FAGBEARING","EQ","17-Apr-2017","       4649.20","       4650.00","       4707.95","       4650.00","       4699.70","       4697.60","       4698.52","       1859","             8734541.65","        568","       1484","         79.83"
"FAGBEARING","EQ","18-Apr-2017","       4697.60","       4708.05","       4710.95","       4650.00","       4700.00","       4685.45","       4672.30","       1167","             5452570.15","        234","        824","         70.61"
"FAGBEARING","EQ","19-Apr-2017","       4685.45","       4592.00","       4711.00","       4592.00","       4650.00","       4656.70","       4691.63","       2743","            12869131.45","        287","       2524","         92.02"
"FAGBEARING","EQ","20-Apr-2017","       4656.70","       4668.05","       4715.00","       4626.00","       4715.00","       4699.40","       4668.24","        576","             2688907.60","        182","        326","         56.60"
"FAGBEARING","EQ","21-Apr-2017","       4699.40","       4724.95","       4831.65","       4632.50","       4805.00","       4782.80","       4763.48","      10452","            49787888.80","       2362","       4950","         47.36"
"FAGBEARING","EQ","24-Apr-2017","       4782.80","       4822.00","       4973.00","       4812.05","       4900.00","       4913.00","       4925.38","       4877","            24021097.60","        985","       3279","         67.23"
"FAGBEARING","EQ","25-Apr-2017","       4913.00","       4983.90","       4983.90","       4860.05","       4890.00","       4900.10","       4898.95","       2540","            12443331.10","        627","       1985","         78.15"
"FAGBEARING","EQ","26-Apr-2017","       4900.10","       4905.00","       4939.90","       4830.00","       4894.65","       4899.10","       4885.06","       2161","            10556609.05","        980","       1707","         78.99"
"FAGBEARING","EQ","27-Apr-2017","       4899.10","       4900.05","       4914.00","       4838.00","       4838.00","       4874.00","       4874.67","        747","             3641374.85","        215","        414","         55.42"
"FAGBEARING","EQ","28-Apr-2017","       4874.00","       4897.05","       4897.05","       4771.25","       4850.00","       4848.20","       4840.28","      10669","            51640980.20","       3576","       9329","         87.44"
"FAGBEARING","EQ","02-May-2017","       4848.20","       4875.00","       4925.00","       4762.30","       4919.90","       4893.60","       4869.44","        983","             4786654.65","        356","        623","         63.38"
"FAGBEARING","EQ","03-May-2017","       4893.60","       4936.70","       4936.70","       4812.25","       4875.00","       4875.00","       4868.33","       3284","            15987605.25","        982","       2421","         73.72"
"FAGBEARING","EQ","04-May-2017","       4875.00","       4870.00","       4875.00","       4786.05","       4810.00","       4812.85","       4835.32","        925","             4472668.15","        210","        452","         48.86"
"FAGBEARING","EQ","05-May-2017","       4812.85","       4815.00","       4832.05","       4750.05","       4780.00","       4800.55","       4802.73","       3613","            17352274.95","       1717","       2796","         77.39"
"FAGBEARING","EQ","08-May-2017","       4800.55","       4800.60","       4800.60","       4645.00","       4650.00","       4660.25","       4684.26","       4667","            21861426.45","        557","       3974","         85.15"
"FAGBEARING","EQ","09-May-2017","       4660.25","       4690.25","       4705.00","       4630.00","       4650.00","       4646.25","       4663.15","       2143","             9993135.40","        355","       1702","         79.42"
"FAGBEARING","EQ","10-May-2017","       4646.25","       4690.20","       4691.80","       4572.10","       4680.00","       4659.90","       4642.21","       2705","            12557188.30","        373","       2246","         83.03"
"FAGBEARING","EQ","11-May-2017","       4659.90","       4730.00","       4730.00","       4624.05","       4679.00","       4651.80","       4665.59","       1400","             6531821.75","        338","       1015","         72.50"
"FAGBEARING","EQ","12-May-2017","       4651.80","       4655.00","       4677.00","       4600.00","       4612.00","       4613.00","       4639.24","        367","             1702602.40","        133","        253","         68.94"
"FAGBEARING","EQ","15-May-2017","       4613.00","       4635.65","       4800.00","       4620.05","       4643.00","       4664.40","       4703.98","        830","             3904306.65","        371","        427","         51.45"
"FAGBEARING","EQ","16-May-2017","       4664.40","       4699.90","       4722.00","       4630.15","       4670.00","       4666.45","       4648.56","       1842","             8562643.65","        302","       1596","         86.64"
"FAGBEARING","EQ","17-May-2017","       4666.45","       4670.00","       4727.30","       4650.00","       4650.00","       4657.95","       4695.16","       1791","             8409029.25","        179","       1590","         88.78"
"FAGBEARING","EQ","18-May-2017","       4657.95","       4687.95","       4688.00","       4530.50","       4660.00","       4616.20","       4655.58","       1165","             5423752.00","        197","        874","         75.02"
"FAGBEARING","EQ","19-May-2017","       4616.20","       4636.05","       4652.00","       4480.05","       4481.00","       4505.95","       4501.60","      15130","            68109193.55","        514","      14631","         96.70"
"FAGBEARING","EQ","22-May-2017","       4505.95","       4506.60","       4600.10","       4505.95","       4510.00","       4547.50","       4562.22","        490","             2235489.05","        206","        280","         57.14"
"FAGBEARING","EQ","23-May-2017","       4547.50","       4548.00","       4679.95","       4400.00","       4504.00","       4466.20","       4455.39","       7064","            31472842.20","       2775","       5115","         72.41"
