"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SCHNEIDER","EQ","03-Jul-2017","        127.60","        127.65","        129.70","        127.00","        127.25","        127.50","        128.33","      45570","             5848093.20","        666","      28654","         62.88"
"SCHNEIDER","EQ","04-Jul-2017","        127.50","        128.30","        131.45","        127.65","        128.85","        128.90","        129.53","      58557","             7584882.65","        863","      34900","         59.60"
"SCHNEIDER","EQ","05-Jul-2017","        128.90","        128.85","        132.55","        128.70","        132.00","        131.55","        131.37","     118313","            15542447.45","       1204","      61289","         51.80"
"SCHNEIDER","EQ","06-Jul-2017","        131.55","        132.50","        133.50","        130.45","        132.75","        132.45","        132.26","      66057","             8736738.90","        988","      39047","         59.11"
"SCHNEIDER","EQ","07-Jul-2017","        132.45","        133.90","        134.00","        130.80","        131.60","        131.85","        132.64","      96622","            12815485.20","       1265","      46417","         48.04"
"SCHNEIDER","EQ","10-Jul-2017","        131.85","        134.60","        134.70","        131.25","        131.80","        131.90","        132.13","      18624","             2460875.50","        168","      14441","         77.54"
"SCHNEIDER","EQ","11-Jul-2017","        131.90","        132.00","        134.50","        129.85","        129.85","        130.50","        132.20","     119754","            15831440.05","       1274","      70672","         59.01"
"SCHNEIDER","EQ","12-Jul-2017","        130.50","        131.40","        132.50","        129.35","        130.95","        130.60","        130.89","      93725","            12267644.40","        878","      58098","         61.99"
"SCHNEIDER","EQ","13-Jul-2017","        130.60","        131.75","        136.00","        131.10","        131.85","        131.80","        133.79","     296218","            39632322.25","       2436","      96187","         32.47"
"SCHNEIDER","EQ","14-Jul-2017","        131.80","        132.90","        132.90","        128.00","        129.50","        129.50","        129.98","      86692","            11267863.40","       1134","      54702","         63.10"
"SCHNEIDER","EQ","17-Jul-2017","        129.50","        129.50","        131.30","        129.00","        129.00","        129.60","        129.77","      50595","             6565553.60","        724","      31486","         62.23"
"SCHNEIDER","EQ","18-Jul-2017","        129.60","        129.50","        133.75","        128.40","        128.80","        129.15","        131.20","     464643","            60962266.05","       3198","     119895","         25.80"
"SCHNEIDER","EQ","19-Jul-2017","        129.15","        129.95","        131.70","        128.80","        129.85","        130.15","        130.40","     128812","            16796977.25","       1300","      55833","         43.34"
"SCHNEIDER","EQ","20-Jul-2017","        130.15","        130.40","        131.05","        128.50","        129.55","        129.60","        129.78","      66048","             8571828.70","        965","      34997","         52.99"
"SCHNEIDER","EQ","21-Jul-2017","        129.60","        129.25","        130.50","        128.50","        128.55","        129.10","        129.44","      67001","             8672756.75","        692","      40877","         61.01"
"SCHNEIDER","EQ","24-Jul-2017","        129.10","        129.20","        130.20","        122.20","        125.00","        125.45","        125.64","     420347","            52813769.70","       4160","     231096","         54.98"
"SCHNEIDER","EQ","25-Jul-2017","        125.45","        125.90","        127.00","        124.00","        127.00","        125.70","        125.38","      90884","            11394677.10","       1159","      58419","         64.28"
"SCHNEIDER","EQ","26-Jul-2017","        125.70","        126.90","        141.00","        126.85","        133.30","        133.00","        135.48","    1317824","           178538106.85","      13308","     375867","         28.52"
"SCHNEIDER","EQ","27-Jul-2017","        133.00","        133.90","        133.90","        128.70","        130.10","        129.80","        130.95","     143537","            18796298.60","       2061","      72340","         50.40"
"SCHNEIDER","EQ","28-Jul-2017","        129.80","        129.80","        137.40","        128.90","        133.70","        132.85","        134.59","     393833","            53007811.40","       4499","     158723","         40.30"
"SCHNEIDER","EQ","31-Jul-2017","        132.85","        132.25","        133.70","        131.00","        132.35","        131.60","        132.37","      75620","            10010002.05","       1052","      45781","         60.54"
"SCHNEIDER","EQ","01-Aug-2017","        131.60","        131.50","        131.95","        129.20","        129.75","        129.75","        130.32","      45530","             5933399.90","        643","      31115","         68.34"
"SCHNEIDER","EQ","02-Aug-2017","        129.75","        130.50","        135.40","        128.70","        129.85","        130.30","        132.50","     157505","            20869648.05","       2397","      41265","         26.20"
"SCHNEIDER","EQ","03-Aug-2017","        130.30","        129.30","        132.30","        128.50","        128.55","        128.90","        130.10","      70213","             9134403.75","        998","      38330","         54.59"
"SCHNEIDER","EQ","04-Aug-2017","        128.90","        129.80","        130.50","        128.00","        128.35","        128.50","        128.96","      76000","             9801282.55","        858","      48632","         63.99"
