"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SEAMECLTD","EQ","02-Jan-2017","         80.70","         80.00","         85.00","         79.85","         84.90","         81.95","         81.12","      11631","              943488.70","        173","       9289","         79.86"
"SEAMECLTD","EQ","03-Jan-2017","         81.95","         81.25","         83.00","         81.25","         82.50","         81.95","         82.11","       3966","              325658.00","         75","       2981","         75.16"
"SEAMECLTD","EQ","04-Jan-2017","         81.95","         85.25","         86.00","         83.10","         83.70","         84.35","         84.40","      57043","             4814587.20","        689","      29960","         52.52"
"SEAMECLTD","EQ","05-Jan-2017","         84.35","         85.00","         85.90","         84.50","         85.45","         84.90","         85.16","      25130","             2140105.15","        326","      18754","         74.63"
"SEAMECLTD","EQ","06-Jan-2017","         84.90","         84.65","         84.65","         82.30","         82.55","         83.05","         83.34","       9199","              766632.00","        201","       5833","         63.41"
"SEAMECLTD","EQ","09-Jan-2017","         83.05","         84.35","         84.70","         82.00","         83.00","         83.25","         83.38","       9007","              751022.25","        163","       6491","         72.07"
"SEAMECLTD","EQ","10-Jan-2017","         83.25","         82.95","         84.00","         82.95","         83.30","         83.35","         83.53","       7536","              629475.40","         76","       6506","         86.33"
"SEAMECLTD","EQ","11-Jan-2017","         83.35","         83.30","         83.90","         82.50","         83.10","         83.15","         83.28","       6381","              531419.25","         87","       5531","         86.68"
"SEAMECLTD","EQ","12-Jan-2017","         83.15","         83.00","         88.50","         82.40","         83.95","         83.85","         85.35","      45984","             3924613.35","        682","      14274","         31.04"
"SEAMECLTD","EQ","13-Jan-2017","         83.85","         84.20","         85.50","         83.10","         84.35","         84.10","         84.25","       7958","              670468.90","        173","       5094","         64.01"
"SEAMECLTD","EQ","16-Jan-2017","         84.10","         84.85","         84.85","         82.25","         83.35","         82.80","         83.09","      17986","             1494415.50","        260","      14060","         78.17"
"SEAMECLTD","EQ","17-Jan-2017","         82.80","         84.00","         86.90","         83.50","         85.20","         85.15","         85.46","      45451","             3884199.80","        584","      18957","         41.71"
"SEAMECLTD","EQ","18-Jan-2017","         85.15","         86.00","         86.40","         84.00","         85.80","         85.30","         85.19","      28776","             2451520.80","        305","      16881","         58.66"
"SEAMECLTD","EQ","19-Jan-2017","         85.30","         85.25","         87.90","         84.10","         86.85","         86.55","         86.63","      19101","             1654675.75","        371","      11099","         58.11"
"SEAMECLTD","EQ","20-Jan-2017","         86.55","         86.10","         86.90","         84.10","         84.15","         84.25","         84.96","      17310","             1470677.30","        492","      12747","         73.64"
"SEAMECLTD","EQ","23-Jan-2017","         84.25","         84.50","         85.90","         83.25","         83.50","         83.65","         84.05","       4776","              401413.55","        160","       3481","         72.89"
"SEAMECLTD","EQ","24-Jan-2017","         83.65","         85.00","         85.00","         83.65","         84.50","         84.25","         84.26","       1916","              161447.75","         77","       1166","         60.86"
"SEAMECLTD","EQ","25-Jan-2017","         84.25","         83.70","         85.25","         83.65","         85.00","         84.95","         84.70","       3852","              326265.95","         62","       1901","         49.35"
"SEAMECLTD","EQ","27-Jan-2017","         84.95","         84.50","         85.75","         84.10","         84.10","         84.20","         85.00","       9183","              780537.25","        105","       8533","         92.92"
"SEAMECLTD","EQ","30-Jan-2017","         84.20","         84.20","         85.00","         83.50","         83.70","         83.85","         84.07","       2916","              245157.35","        106","       2469","         84.67"
"SEAMECLTD","EQ","31-Jan-2017","         83.85","         83.80","         86.75","         82.20","         83.00","         83.00","         83.18","       8007","              666012.60","        139","       6075","         75.87"
"SEAMECLTD","EQ","01-Feb-2017","         83.00","         83.00","         85.00","         81.50","         82.65","         83.00","         82.70","       4604","              380736.30","        104","       2090","         45.40"
"SEAMECLTD","EQ","02-Feb-2017","         83.00","         85.00","         86.50","         83.00","         83.50","         83.35","         84.23","      25735","             2167661.00","        364","      17625","         68.49"
"SEAMECLTD","EQ","03-Feb-2017","         83.35","         80.50","         81.00","         78.20","         80.00","         79.95","         79.60","      59914","             4769327.65","        831","      34083","         56.89"
"SEAMECLTD","EQ","06-Feb-2017","         79.95","         79.60","         83.90","         79.60","         81.00","         81.00","         80.72","      36895","             2977990.40","        384","      28738","         77.89"
"SEAMECLTD","EQ","07-Feb-2017","         81.00","         82.00","         84.55","         82.00","         83.55","         83.50","         83.64","      46132","             3858313.25","        448","      36459","         79.03"
"SEAMECLTD","EQ","08-Feb-2017","         83.50","         83.50","         87.65","         81.80","         86.50","         86.75","         86.11","      78215","             6735173.25","        932","      34711","         44.38"
"SEAMECLTD","EQ","09-Feb-2017","         86.75","         86.40","         88.00","         84.25","         85.50","         85.60","         86.18","      91542","             7889358.65","       1029","      40966","         44.75"
"SEAMECLTD","EQ","10-Feb-2017","         85.60","         86.50","         87.80","         84.30","         86.15","         86.25","         86.01","     114651","             9861386.60","        848","      33673","         29.37"
"SEAMECLTD","EQ","13-Feb-2017","         86.25","         87.20","         89.90","         86.50","         88.55","         88.75","         88.52","     115343","            10210040.75","       1084","      31587","         27.39"
"SEAMECLTD","EQ","14-Feb-2017","         88.75","         86.25","         90.00","         86.25","         88.30","         88.35","         88.37","     110863","             9797025.15","        900","      37747","         34.05"
"SEAMECLTD","EQ","15-Feb-2017","         88.35","         88.30","         89.20","         83.00","         84.00","         83.85","         84.99","     127246","            10815052.15","        958","      33975","         26.70"
"SEAMECLTD","EQ","16-Feb-2017","         83.85","         84.00","         87.00","         84.00","         86.95","         86.10","         85.71","      96575","             8277669.15","        914","      27401","         28.37"
"SEAMECLTD","EQ","17-Feb-2017","         86.10","         87.00","         87.00","         85.15","         85.20","         85.40","         85.77","     102932","             8828282.55","        811","      25824","         25.09"
"SEAMECLTD","EQ","20-Feb-2017","         85.40","         86.55","         86.70","         82.60","         83.50","         83.15","         84.86","     118152","            10026958.40","        996","      30091","         25.47"
"SEAMECLTD","EQ","21-Feb-2017","         83.15","         82.55","         84.85","         82.55","         84.00","         84.15","         83.77","     156724","            13128141.45","        784","      17917","         11.43"
"SEAMECLTD","EQ","22-Feb-2017","         84.15","         85.35","         86.40","         83.50","         85.65","         84.65","         84.66","     155398","            13155634.15","        858","       8412","          5.41"
"SEAMECLTD","EQ","23-Feb-2017","         84.65","         85.60","         85.60","         84.00","         84.75","         84.30","         84.90","     158074","            13420357.45","        765","      18736","         11.85"
"SEAMECLTD","EQ","27-Feb-2017","         84.30","         84.30","         85.40","         81.30","         81.30","         82.65","         83.74","     164440","            13770784.95","       1147","      34746","         21.13"
"SEAMECLTD","EQ","28-Feb-2017","         82.65","         82.50","         84.00","         81.55","         82.50","         82.70","         82.74","     176786","            14626663.50","       1266","      25415","         14.38"
"SEAMECLTD","EQ","01-Mar-2017","         82.70","         83.00","         85.20","         82.95","         85.00","         84.55","         83.83","     172483","            14458912.55","        943","      34970","         20.27"
"SEAMECLTD","EQ","02-Mar-2017","         84.55","         84.55","         86.90","         81.65","         86.80","         86.55","         84.19","     196772","            16566407.85","       1363","      59476","         30.23"
