"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SEZAL","EQ","03-Apr-2017","          5.40","          5.40","          5.65","          5.40","          5.65","          5.65","          5.64","       4070","               22958.50","          8","       3970","         97.54"
"SEZAL","EQ","05-Apr-2017","          5.65","          5.85","          5.90","          5.45","          5.90","          5.90","          5.71","       6303","               36000.20","         25","       5303","         84.13"
"SEZAL","EQ","06-Apr-2017","          5.90","          5.90","          6.15","          5.65","          6.00","          6.00","          5.94","       9376","               55725.80","         24","       9376","        100.00"
"SEZAL","EQ","07-Apr-2017","          6.00","          6.25","          6.30","          6.00","          6.00","          6.20","          6.25","      48152","              301072.60","         58","      47102","         97.82"
"SEZAL","EQ","10-Apr-2017","          6.20","          6.35","          6.35","          5.75","          5.75","          6.25","          6.12","       3744","               22923.15","         15","       3403","         90.89"
"SEZAL","EQ","11-Apr-2017","          6.25","          6.45","          6.45","          5.90","          6.40","          6.30","          6.31","       7134","               45035.40","         29","       6300","         88.31"
"SEZAL","EQ","12-Apr-2017","          6.30","          6.50","          6.75","          5.80","          6.65","          6.65","          6.43","      22815","              146683.40","         53","      15112","         66.24"
"SEZAL","EQ","13-Apr-2017","          6.65","          6.50","          7.00","          6.40","          6.50","          6.60","          6.71","      16237","              108905.65","         38","      13425","         82.68"
"SEZAL","EQ","17-Apr-2017","          6.60","          6.50","          6.65","          6.25","          6.65","          6.65","          6.42","       7314","               46958.55","         17","       7214","         98.63"
"SEZAL","EQ","18-Apr-2017","          6.65","          6.60","          6.90","          6.35","          6.90","          6.80","          6.66","       3827","               25486.40","          6","       3827","        100.00"
"SEZAL","EQ","19-Apr-2017","          6.80","          6.75","          6.75","          6.30","          6.50","          6.60","          6.44","       8618","               55483.45","         20","       5680","         65.91"
"SEZAL","EQ","20-Apr-2017","          6.60","          6.30","          6.55","          6.25","          6.55","          6.40","          6.31","       9370","               59148.50","         19","       7320","         78.12"
"SEZAL","EQ","21-Apr-2017","          6.40","          6.30","          6.60","          6.25","          6.45","          6.35","          6.36","       2559","               16264.70","         13","       2359","         92.18"
"SEZAL","EQ","24-Apr-2017","          6.35","          6.35","          6.55","          6.00","          6.35","          6.35","          6.22","       7018","               43646.40","         12","       7018","        100.00"
"SEZAL","EQ","25-Apr-2017","          6.35","          6.10","          6.35","          5.85","          6.35","          6.35","          6.12","       6070","               37138.25","         15","       5770","         95.06"
"SEZAL","EQ","26-Apr-2017","          6.35","          6.10","          6.40","          5.80","          6.30","          6.30","          6.21","       1426","                8852.90","         11","       1205","         84.50"
"SEZAL","EQ","27-Apr-2017","          6.30","          6.25","          6.25","          5.95","          6.10","          6.10","          6.16","       2941","               18127.60","         11","       2941","        100.00"
"SEZAL","EQ","28-Apr-2017","          6.10","          5.80","          6.20","          5.80","          5.85","          5.85","          5.86","        803","                4702.60","          8","        803","        100.00"
"SEZAL","EQ","02-May-2017","          5.85","          5.55","          6.10","          5.55","          6.00","          6.00","          5.90","       1799","               10609.00","          7","       1699","         94.44"
"SEZAL","EQ","03-May-2017","          6.00","          6.00","          6.35","          5.45","          5.75","          5.75","          5.93","       3070","               18191.80","         24","       2183","         71.11"
"SEZAL","EQ","04-May-2017","          5.75","          5.80","          5.95","          5.70","          5.90","          5.90","          5.91","       4350","               25714.50","         12","       4300","         98.85"
"SEZAL","EQ","05-May-2017","          5.90","          5.95","          5.95","          5.70","          5.70","          5.70","          5.76","        804","                4632.30","          8","        762","         94.78"
"SEZAL","EQ","08-May-2017","          5.70","          5.75","          5.95","          5.60","          5.70","          5.70","          5.70","       3661","               20885.30","         18","       3531","         96.45"
"SEZAL","EQ","09-May-2017","          5.70","          5.85","          5.85","          5.50","          5.75","          5.75","          5.73","       4291","               24596.40","         11","       4290","         99.98"
"SEZAL","EQ","10-May-2017","          5.75","          5.75","          5.95","          5.45","          5.95","          5.95","          5.78","       1115","                6446.75","          7","       1115","        100.00"
"SEZAL","EQ","11-May-2017","          5.95","          5.95","          5.95","          5.75","          5.75","          5.75","          5.83","        885","                5162.15","          4","        885","        100.00"
"SEZAL","EQ","12-May-2017","          5.75","          6.00","          6.30","          5.45","          6.25","          6.15","          5.81","      14439","               83883.15","         22","      13595","         94.15"
"SEZAL","EQ","15-May-2017","          6.15","          6.75","          6.75","          5.75","          6.15","          6.05","          6.04","      12158","               73480.70","         52","       9508","         78.20"
"SEZAL","EQ","16-May-2017","          6.05","          5.85","          6.30","          5.80","          5.80","          5.80","          5.92","       3105","               18390.50","         25","       2864","         92.24"
"SEZAL","EQ","17-May-2017","          5.80","          5.45","          5.95","          5.45","          5.85","          5.85","          5.82","       2820","               16420.50","         14","       2470","         87.59"
"SEZAL","EQ","18-May-2017","          5.85","          5.55","          5.75","          5.55","          5.70","          5.70","          5.60","       3841","               21512.60","         16","       3341","         86.98"
"SEZAL","EQ","19-May-2017","          5.70","          5.40","          5.75","          5.40","          5.60","          5.65","          5.64","       6614","               37328.80","         26","       4500","         68.04"
"SEZAL","BE","22-May-2017","          5.65","          5.40","          5.85","          5.40","          5.85","          5.70","          5.62","       6411","               36027.50","         16","-","-"
"SEZAL","BE","23-May-2017","          5.70","          5.80","          5.80","          5.80","          5.80","          5.80","          5.80","        100","                 580.00","          1","-","-"
"SEZAL","BE","24-May-2017","          5.80","          5.70","          5.70","          5.70","          5.70","          5.70","          5.70","         32","                 182.40","          1","-","-"
