"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SHARDAMOTR","EQ","03-Apr-2017","       2074.30","       2104.95","       2106.00","       1980.50","       2000.00","       2005.70","       2024.02","       5726","            11589550.60","        857","       3228","         56.37"
"SHARDAMOTR","EQ","05-Apr-2017","       2005.70","       2038.00","       2066.00","       1980.00","       2021.10","       2030.10","       2025.19","       4185","             8475419.65","        771","       1692","         40.43"
"SHARDAMOTR","EQ","06-Apr-2017","       2030.10","       2030.10","       2044.00","       1958.10","       1968.00","       1965.45","       1985.54","       3692","             7330626.60","        559","       2652","         71.83"
"SHARDAMOTR","EQ","07-Apr-2017","       1965.45","       1979.30","       2009.70","       1958.05","       1959.00","       1961.80","       1980.90","       2661","             5271171.10","        495","       1232","         46.30"
"SHARDAMOTR","EQ","10-Apr-2017","       1961.80","       1999.00","       2005.00","       1950.00","       1976.85","       1962.25","       1981.22","       1674","             3316553.95","        261","        794","         47.43"
"SHARDAMOTR","EQ","11-Apr-2017","       1962.25","       1988.00","       1998.00","       1948.90","       1958.15","       1966.10","       1970.49","       1352","             2664105.15","        204","        701","         51.85"
"SHARDAMOTR","EQ","12-Apr-2017","       1966.10","       1992.85","       1997.90","       1920.00","       1975.05","       1981.90","       1974.79","       3296","             6508910.60","        593","       1300","         39.44"
"SHARDAMOTR","EQ","13-Apr-2017","       1981.90","       1952.10","       2100.00","       1952.00","       2040.00","       2037.10","       2050.82","       5787","            11868074.80","       1032","       1952","         33.73"
"SHARDAMOTR","EQ","17-Apr-2017","       2037.10","       2055.95","       2151.40","       2050.00","       2059.00","       2073.20","       2095.31","       3188","             6679854.65","        487","       1215","         38.11"
"SHARDAMOTR","EQ","18-Apr-2017","       2073.20","       2088.00","       2135.90","       2047.55","       2068.05","       2078.15","       2105.71","       4306","             9067193.40","        612","       2658","         61.73"
"SHARDAMOTR","EQ","19-Apr-2017","       2078.15","       2070.15","       2115.00","       2025.05","       2082.50","       2088.60","       2057.26","       7070","            14544840.75","        298","       6385","         90.31"
"SHARDAMOTR","EQ","20-Apr-2017","       2088.60","       2100.00","       2108.00","       2052.00","       2066.00","       2065.85","       2079.48","       1907","             3965570.45","        188","       1035","         54.27"
"SHARDAMOTR","EQ","21-Apr-2017","       2065.85","       2062.50","       2170.00","       2061.55","       2130.00","       2127.10","       2131.86","       4646","             9904640.65","        586","       2393","         51.51"
"SHARDAMOTR","EQ","24-Apr-2017","       2127.10","       2145.00","       2159.95","       2085.00","       2095.00","       2093.85","       2112.88","       2351","             4967385.35","        417","       1238","         52.66"
"SHARDAMOTR","EQ","25-Apr-2017","       2093.85","       2093.85","       2099.00","       2051.00","       2073.75","       2064.90","       2077.10","       2605","             5410854.45","        290","       1656","         63.57"
"SHARDAMOTR","EQ","26-Apr-2017","       2064.90","       2073.75","       2080.60","       1964.00","       1979.45","       1978.15","       1998.19","       4122","             8236534.55","        653","       2325","         56.40"
"SHARDAMOTR","EQ","27-Apr-2017","       1978.15","       1989.95","       1993.90","       1908.00","       1929.70","       1923.25","       1928.71","       3206","             6183434.80","        395","       2114","         65.94"
"SHARDAMOTR","EQ","28-Apr-2017","       1923.25","       1920.00","       1950.00","       1902.00","       1920.00","       1913.65","       1924.77","       2436","             4688742.20","        336","       1462","         60.02"
"SHARDAMOTR","EQ","02-May-2017","       1913.65","       1913.65","       1964.95","       1890.00","       1892.00","       1902.80","       1912.01","       1358","             2596503.65","        199","        873","         64.29"
"SHARDAMOTR","EQ","03-May-2017","       1902.80","       1905.00","       1926.00","       1875.05","       1899.00","       1890.25","       1901.13","       1692","             3216707.20","        342","       1169","         69.09"
"SHARDAMOTR","EQ","04-May-2017","       1890.25","       1901.05","       1902.45","       1850.00","       1874.00","       1893.00","       1878.71","       3363","             6318105.40","        385","       2259","         67.17"
"SHARDAMOTR","EQ","05-May-2017","       1893.00","       1860.00","       1892.95","       1840.45","       1841.00","       1847.70","       1856.52","       2610","             4845525.10","        317","       1780","         68.20"
"SHARDAMOTR","EQ","08-May-2017","       1847.70","       1880.00","       1889.95","       1850.00","       1850.00","       1852.55","       1863.14","       1430","             2664290.80","        206","        864","         60.42"
"SHARDAMOTR","EQ","09-May-2017","       1852.55","       1885.45","       1885.55","       1816.65","       1850.05","       1833.80","       1845.47","       1021","             1884221.25","        195","        598","         58.57"
"SHARDAMOTR","EQ","10-May-2017","       1833.80","       1863.00","       1868.95","       1824.55","       1829.00","       1831.00","       1850.80","       1260","             2332009.50","        164","        976","         77.46"
"SHARDAMOTR","EQ","11-May-2017","       1831.00","       1832.40","       1925.60","       1825.05","       1915.00","       1907.15","       1891.66","       3236","             6121404.20","        654","       1607","         49.66"
"SHARDAMOTR","EQ","12-May-2017","       1907.15","       1907.00","       1907.00","       1852.00","       1855.00","       1858.90","       1865.20","        997","             1859608.75","        233","        559","         56.07"
"SHARDAMOTR","EQ","15-May-2017","       1858.90","       1805.15","       1899.35","       1805.15","       1898.00","       1887.10","       1852.75","       1498","             2775413.45","        266","        755","         50.40"
"SHARDAMOTR","EQ","16-May-2017","       1887.10","       1880.00","       1896.00","       1865.00","       1869.10","       1876.80","       1880.97","        929","             1747422.15","        203","        533","         57.37"
"SHARDAMOTR","EQ","17-May-2017","       1876.80","       1874.55","       1919.80","       1860.95","       1872.00","       1896.15","       1893.84","        868","             1643855.60","        191","        550","         63.36"
"SHARDAMOTR","EQ","18-May-2017","       1896.15","       1861.00","       1903.00","       1856.00","       1856.00","       1860.40","       1889.32","        661","             1248838.75","        169","        465","         70.35"
"SHARDAMOTR","EQ","19-May-2017","       1860.40","       1861.00","       1885.00","       1823.20","       1823.20","       1845.55","       1850.95","       1164","             2154507.35","        217","        880","         75.60"
"SHARDAMOTR","EQ","22-May-2017","       1845.55","       1882.95","       1888.50","       1786.00","       1790.00","       1791.65","       1812.21","       1199","             2172837.50","        175","       1001","         83.49"
"SHARDAMOTR","EQ","23-May-2017","       1791.65","       1800.00","       1825.00","       1758.80","       1780.00","       1774.70","       1787.59","       1123","             2007463.00","        178","        824","         73.37"
"SHARDAMOTR","EQ","24-May-2017","       1774.70","       1775.00","       1825.00","       1702.10","       1739.00","       1719.05","       1737.68","       1726","             2999242.45","        332","       1156","         66.98"
"SHARDAMOTR","EQ","25-May-2017","       1719.05","       1774.40","       1774.40","       1702.25","       1730.00","       1722.45","       1728.28","        934","             1614209.75","        139","        745","         79.76"
"SHARDAMOTR","EQ","26-May-2017","       1722.45","       1772.00","       1850.00","       1735.00","       1795.25","       1812.35","       1808.22","       2015","             3643571.40","        380","       1264","         62.73"
"SHARDAMOTR","EQ","29-May-2017","       1812.35","       1800.05","       1850.00","       1781.00","       1783.95","       1784.35","       1807.34","        883","             1595881.95","        164","        693","         78.48"
"SHARDAMOTR","EQ","30-May-2017","       1784.35","       1793.65","       1829.00","       1785.00","       1815.00","       1786.95","       1814.18","        556","             1008683.30","        109","        457","         82.19"
"SHARDAMOTR","EQ","31-May-2017","       1786.95","       1922.00","       2144.30","       1922.00","       2144.30","       2144.30","       2085.61","      27158","            56641085.30","       1749","      13552","         49.90"
"SHARDAMOTR","EQ","01-Jun-2017","       2144.30","       2234.00","       2424.40","       2201.10","       2400.00","       2378.20","       2335.86","      72880","           170237199.85","      11140","      13390","         18.37"
"SHARDAMOTR","EQ","02-Jun-2017","       2378.20","       2400.00","       2489.00","       2380.15","       2380.15","       2420.50","       2419.21","      41892","           101345748.70","       5193","      13879","         33.13"
"SHARDAMOTR","EQ","05-Jun-2017","       2420.50","       2449.00","       2709.70","       2376.10","       2595.00","       2589.70","       2583.13","      38332","            99016717.05","       6221","       7630","         19.91"
"SHARDAMOTR","EQ","06-Jun-2017","       2589.70","       2600.00","       2660.00","       2482.00","       2544.10","       2540.30","       2576.98","       9963","            25674484.40","       1722","       3609","         36.22"
"SHARDAMOTR","EQ","07-Jun-2017","       2540.30","       2590.00","       2610.00","       2525.00","       2590.00","       2593.75","       2573.90","       4966","            12781973.60","       1316","       2106","         42.41"
"SHARDAMOTR","EQ","08-Jun-2017","       2593.75","       2610.90","       2715.00","       2560.25","       2654.00","       2655.75","       2646.49","       9540","            25247474.05","       1758","       3857","         40.43"
"SHARDAMOTR","EQ","09-Jun-2017","       2655.75","       2699.00","       2820.00","       2606.15","       2816.00","       2791.85","       2759.05","      29251","            80705066.80","       3567","       9567","         32.71"
"SHARDAMOTR","EQ","12-Jun-2017","       2791.85","       2830.00","       2938.00","       2800.00","       2921.00","       2912.80","       2888.10","      22020","            63595868.55","       3516","       7390","         33.56"
"SHARDAMOTR","EQ","13-Jun-2017","       2912.80","       2916.10","       3007.50","       2840.30","       2862.00","       2866.05","       2930.42","      19647","            57573876.10","       2514","       9183","         46.74"
"SHARDAMOTR","EQ","14-Jun-2017","       2866.05","       2875.00","       2909.75","       2832.15","       2832.15","       2859.65","       2873.99","       5970","            17157742.55","       1474","       2463","         41.26"
"SHARDAMOTR","EQ","15-Jun-2017","       2859.65","       2850.00","       2874.00","       2790.00","       2818.95","       2804.65","       2832.20","       2848","             8066106.85","        551","       1355","         47.58"
"SHARDAMOTR","EQ","16-Jun-2017","       2804.65","       2830.00","       2851.70","       2802.55","       2806.50","       2814.70","       2822.39","       3161","             8921565.40","        725","       1234","         39.04"
"SHARDAMOTR","EQ","19-Jun-2017","       2814.70","       2814.70","       2843.85","       2750.10","       2764.00","       2760.85","       2776.50","       2840","             7885256.30","        502","       1642","         57.82"
"SHARDAMOTR","EQ","20-Jun-2017","       2760.85","       2750.00","       2811.65","       2750.00","       2780.00","       2792.55","       2793.35","       3349","             9354916.65","        798","       1913","         57.12"
"SHARDAMOTR","EQ","21-Jun-2017","       2792.55","       2792.55","       2909.00","       2755.00","       2840.05","       2872.10","       2851.91","       6528","            18617285.05","       1692","       3031","         46.43"
"SHARDAMOTR","EQ","22-Jun-2017","       2872.10","       2845.35","       2909.75","       2825.10","       2825.20","       2834.70","       2869.95","       3378","             9694693.45","       1399","       1745","         51.66"
"SHARDAMOTR","EQ","23-Jun-2017","       2834.70","       2840.05","       2849.95","       2741.20","       2778.95","       2751.30","       2772.82","       3961","            10983159.40","        450","       3059","         77.23"
"SHARDAMOTR","EQ","27-Jun-2017","       2751.30","       2794.85","       2794.90","       2560.00","       2566.00","       2577.80","       2628.46","       7664","            20144550.60","       1269","       4630","         60.41"
"SHARDAMOTR","EQ","28-Jun-2017","       2577.80","       2555.00","       2717.40","       2532.00","       2670.00","       2688.20","       2632.80","       6606","            17392308.90","       1468","       3119","         47.21"
"SHARDAMOTR","EQ","29-Jun-2017","       2688.20","       2715.00","       2769.00","       2680.05","       2720.00","       2724.75","       2733.61","       3547","             9696097.50","       1232","       2041","         57.54"
"SHARDAMOTR","EQ","30-Jun-2017","       2724.75","       2732.00","       2732.00","       2643.00","       2670.00","       2674.45","       2686.21","       2162","             5807580.70","        394","       1472","         68.09"
