"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SHARONBIO","EQ","02-Jan-2017","          9.30","          9.15","          9.45","          9.10","          9.40","          9.35","          9.25","      56187","              519876.90","        288","      41724","         74.26"
"SHARONBIO","EQ","03-Jan-2017","          9.35","          9.40","          9.50","          9.30","          9.30","          9.35","          9.36","      74344","              696166.40","        234","      56511","         76.01"
"SHARONBIO","EQ","04-Jan-2017","          9.35","          9.45","          9.60","          9.30","          9.40","          9.35","          9.42","     118563","             1116457.95","        282","      86364","         72.84"
"SHARONBIO","EQ","05-Jan-2017","          9.35","          9.50","          9.60","          9.30","          9.45","          9.40","          9.42","     105772","              996748.65","        338","      87786","         83.00"
"SHARONBIO","EQ","06-Jan-2017","          9.40","          9.55","          9.60","          9.30","          9.45","          9.40","          9.43","      87224","              822695.05","        211","      57814","         66.28"
"SHARONBIO","EQ","09-Jan-2017","          9.40","          9.40","          9.50","          9.20","          9.40","          9.30","          9.29","     121483","             1129082.85","        274","      75998","         62.56"
"SHARONBIO","EQ","10-Jan-2017","          9.30","          9.30","          9.40","          9.15","          9.35","          9.30","          9.30","     131342","             1221245.15","        242","      98433","         74.94"
"SHARONBIO","EQ","11-Jan-2017","          9.30","          9.40","          9.40","          9.15","          9.40","          9.35","          9.30","     113382","             1054014.55","        301","      73153","         64.52"
"SHARONBIO","EQ","12-Jan-2017","          9.35","          9.40","          9.90","          9.30","          9.30","          9.35","          9.46","     157755","             1492467.60","        372","     106694","         67.63"
"SHARONBIO","EQ","13-Jan-2017","          9.35","          9.35","          9.40","          9.20","          9.30","          9.30","          9.30","      58470","              543846.90","        184","      49160","         84.08"
"SHARONBIO","EQ","16-Jan-2017","          9.30","          9.90","          9.90","          9.20","          9.25","          9.30","          9.39","     196969","             1849724.95","        338","     114645","         58.20"
"SHARONBIO","EQ","17-Jan-2017","          9.30","          9.20","          9.40","          9.20","          9.30","          9.20","          9.24","      73765","              681309.55","        189","      57092","         77.40"
"SHARONBIO","EQ","18-Jan-2017","          9.20","          9.30","          9.40","          9.10","          9.10","          9.20","          9.23","      82525","              761978.10","        218","      56530","         68.50"
"SHARONBIO","EQ","19-Jan-2017","          9.20","          9.30","          9.40","          9.05","          9.15","          9.10","          9.22","      81857","              754613.30","        265","      51113","         62.44"
"SHARONBIO","EQ","20-Jan-2017","          9.10","          9.25","          9.25","          9.00","          9.20","          9.15","          9.12","     145761","             1329753.20","        289","      94685","         64.96"
"SHARONBIO","EQ","23-Jan-2017","          9.15","          9.10","          9.30","          8.90","          9.05","          8.95","          9.02","      88680","              799946.65","        347","      76272","         86.01"
"SHARONBIO","EQ","24-Jan-2017","          8.95","          9.10","          9.20","          8.95","          9.00","          9.05","          9.05","      86338","              780942.65","        217","      65522","         75.89"
"SHARONBIO","EQ","25-Jan-2017","          9.05","          9.10","          9.30","          8.90","          9.15","          9.10","          9.04","     127014","             1148085.50","        276","      99098","         78.02"
"SHARONBIO","EQ","27-Jan-2017","          9.10","          9.05","          9.20","          8.90","          8.95","          8.95","          9.02","     142286","             1284031.10","        334","     123068","         86.49"
"SHARONBIO","EQ","30-Jan-2017","          8.95","          9.00","          9.00","          8.85","          8.95","          8.90","          8.93","     101521","              907038.25","        211","      93819","         92.41"
"SHARONBIO","EQ","31-Jan-2017","          8.90","          8.85","          9.00","          8.85","          8.90","          8.85","          8.91","      89584","              798309.85","        182","      78532","         87.66"
"SHARONBIO","EQ","01-Feb-2017","          8.85","          8.95","          9.00","          8.75","          8.95","          8.95","          8.93","     115316","             1029550.85","        240","      89889","         77.95"
"SHARONBIO","EQ","02-Feb-2017","          8.95","          9.00","          9.00","          8.70","          8.85","          8.80","          8.86","     122810","             1088047.15","        215","      82198","         66.93"
"SHARONBIO","EQ","03-Feb-2017","          8.80","          8.95","          9.25","          8.90","          9.00","          8.95","          9.00","     200418","             1803039.05","        273","     156586","         78.13"
"SHARONBIO","EQ","06-Feb-2017","          8.95","          8.85","          9.05","          8.80","          8.90","          8.85","          8.95","     193392","             1730341.20","        298","     165066","         85.35"
"SHARONBIO","EQ","07-Feb-2017","          8.85","          9.00","          9.00","          8.85","          8.85","          8.90","          8.92","     139139","             1240872.50","        240","     131968","         94.85"
"SHARONBIO","EQ","08-Feb-2017","          8.90","          8.95","          9.00","          8.80","          8.90","          8.90","          8.91","     208589","             1859433.05","        310","     169511","         81.27"
"SHARONBIO","EQ","09-Feb-2017","          8.90","          8.90","          9.00","          8.85","          8.95","          8.90","          8.92","     136412","             1216538.05","        221","      83726","         61.38"
"SHARONBIO","EQ","10-Feb-2017","          8.90","          8.90","          8.95","          8.75","          8.85","          8.80","          8.83","     182918","             1615661.20","        311","     151038","         82.57"
"SHARONBIO","EQ","13-Feb-2017","          8.80","          8.90","          9.00","          8.80","          8.80","          8.85","          8.92","     134990","             1204033.85","        242","     110428","         81.80"
"SHARONBIO","EQ","14-Feb-2017","          8.85","          8.90","          8.95","          8.70","          8.85","          8.75","          8.82","     128962","             1137390.90","        281","      78442","         60.83"
"SHARONBIO","EQ","15-Feb-2017","          8.75","          8.80","          8.80","          8.45","          8.60","          8.55","          8.62","     171268","             1475836.30","        333","     158283","         92.42"
"SHARONBIO","EQ","16-Feb-2017","          8.55","          8.55","          8.70","          8.30","          8.40","          8.40","          8.47","     135889","             1151411.35","        327","      82285","         60.55"
"SHARONBIO","EQ","17-Feb-2017","          8.40","          8.50","          8.75","          8.45","          8.60","          8.55","          8.59","     187018","             1606031.20","        297","     135474","         72.44"
"SHARONBIO","EQ","20-Feb-2017","          8.55","          8.65","          8.95","          8.60","          8.90","          8.85","          8.84","     125544","             1109181.45","        318","      96794","         77.10"
"SHARONBIO","EQ","21-Feb-2017","          8.85","          8.65","          8.90","          8.60","          8.70","          8.70","          8.75","     134951","             1181449.65","        259","      91006","         67.44"
"SHARONBIO","EQ","22-Feb-2017","          8.70","          8.80","          8.80","          8.50","          8.70","          8.60","          8.62","     144043","             1241731.75","        202","      94525","         65.62"
"SHARONBIO","EQ","23-Feb-2017","          8.60","          8.75","          8.75","          8.60","          8.65","          8.70","          8.67","      96307","              835149.25","        164","      86416","         89.73"
"SHARONBIO","EQ","27-Feb-2017","          8.70","          8.60","          8.80","          8.60","          8.65","          8.65","          8.68","     164669","             1429019.70","        402","      91623","         55.64"
"SHARONBIO","EQ","28-Feb-2017","          8.65","          8.70","          9.00","          8.60","          8.80","          8.85","          8.83","     236934","             2092807.90","        308","     186450","         78.69"
"SHARONBIO","EQ","01-Mar-2017","          8.85","          8.90","          9.00","          8.80","          8.95","          8.90","          8.93","     182026","             1625120.90","        203","     152148","         83.59"
"SHARONBIO","EQ","02-Mar-2017","          8.90","          8.95","          8.95","          8.70","          8.80","          8.75","          8.82","     186339","             1644258.95","        294","     135789","         72.87"
"SHARONBIO","EQ","03-Mar-2017","          8.75","          8.20","          8.70","          8.20","          8.60","          8.50","          8.52","     241872","             2059927.55","        406","     178651","         73.86"
"SHARONBIO","EQ","06-Mar-2017","          8.50","          8.65","          8.70","          8.55","          8.60","          8.55","          8.58","     130927","             1123284.05","        208","     113195","         86.46"
"SHARONBIO","EQ","07-Mar-2017","          8.55","          8.55","          8.70","          8.40","          8.45","          8.45","          8.47","     145053","             1228235.15","        237","     113535","         78.27"
"SHARONBIO","EQ","08-Mar-2017","          8.45","          8.50","          8.60","          8.30","          8.45","          8.50","          8.45","     220205","             1860767.60","        236","     176015","         79.93"
"SHARONBIO","EQ","09-Mar-2017","          8.50","          8.40","          8.50","          8.35","          8.35","          8.40","          8.43","      75890","              639639.15","        150","      57468","         75.73"
"SHARONBIO","EQ","10-Mar-2017","          8.40","          8.35","          8.50","          8.35","          8.40","          8.40","          8.42","      81220","              684154.95","        162","      56751","         69.87"
"SHARONBIO","EQ","14-Mar-2017","          8.40","          8.55","          8.55","          8.25","          8.25","          8.30","          8.40","      96404","              809885.70","        214","      68980","         71.55"
"SHARONBIO","EQ","15-Mar-2017","          8.30","          8.35","          8.40","          8.25","          8.40","          8.30","          8.31","     110439","              917498.85","        217","      71035","         64.32"
"SHARONBIO","EQ","16-Mar-2017","          8.30","          8.35","          8.50","          8.25","          8.50","          8.40","          8.36","     186072","             1555376.35","        309","     134301","         72.18"
"SHARONBIO","EQ","17-Mar-2017","          8.40","          8.35","          8.50","          8.25","          8.30","          8.30","          8.36","     153915","             1286198.20","        218","     116851","         75.92"
"SHARONBIO","EQ","20-Mar-2017","          8.30","          8.40","          8.40","          8.20","          8.30","          8.25","          8.27","     128824","             1065617.25","        219","     107695","         83.60"
"SHARONBIO","EQ","21-Mar-2017","          8.25","          8.20","          8.25","          8.15","          8.20","          8.20","          8.20","      85381","              699789.60","        164","      75973","         88.98"
"SHARONBIO","EQ","22-Mar-2017","          8.20","          8.30","          8.30","          8.05","          8.15","          8.10","          8.10","     237990","             1927557.20","        247","     202875","         85.25"
"SHARONBIO","EQ","23-Mar-2017","          8.10","          8.05","          8.20","          8.00","          8.15","          8.15","          8.09","     110208","              891888.70","        192","      88037","         79.88"
