"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SFL","EQ","02-Jan-2017","        935.45","        930.00","        952.85","        930.00","        950.00","        949.80","        946.05","      35565","            33646106.30","       2584","      13928","         39.16"
"SFL","EQ","03-Jan-2017","        949.80","        945.00","        950.00","        940.00","        940.00","        941.25","        943.74","      11622","            10968181.10","        828","       4016","         34.56"
"SFL","EQ","04-Jan-2017","        941.25","        941.05","        948.00","        931.50","        940.00","        935.85","        940.68","       8249","             7759669.05","        506","       2664","         32.29"
"SFL","EQ","05-Jan-2017","        935.85","        940.85","        945.00","        921.00","        926.00","        928.80","        934.58","       9468","             8848598.50","        693","       4613","         48.72"
"SFL","EQ","06-Jan-2017","        928.80","        934.90","        989.00","        934.85","        965.00","        966.00","        958.25","     335531","           321522530.95","      16230","     182456","         54.38"
"SFL","EQ","09-Jan-2017","        966.00","        970.00","        970.00","        945.00","        946.00","        950.70","        956.32","     130539","           124837103.15","       2171","     117772","         90.22"
"SFL","EQ","10-Jan-2017","        950.70","        949.95","        970.00","        942.00","        969.00","        966.80","        960.20","      29984","            28790664.60","       2734","      11691","         38.99"
"SFL","EQ","11-Jan-2017","        966.80","        968.85","        981.00","        953.05","        981.00","        977.05","        970.69","      26325","            25553518.35","       2276","      12040","         45.74"
"SFL","EQ","12-Jan-2017","        977.05","        971.00","        998.90","        966.00","        993.50","        992.35","        984.42","      26445","            26032919.70","       2507","      10103","         38.20"
"SFL","EQ","13-Jan-2017","        992.35","        990.00","        999.00","        970.55","        993.00","        990.40","        986.58","      22076","            21779804.55","       3059","       6631","         30.04"
"SFL","EQ","16-Jan-2017","        990.40","        989.95","        989.95","        962.00","        964.00","        968.40","        971.95","      29489","            28661748.75","       2127","      21090","         71.52"
"SFL","EQ","17-Jan-2017","        968.40","        965.25","        981.60","        960.00","        981.50","        977.85","        972.65","      12897","            12544276.45","       1055","       5616","         43.55"
"SFL","EQ","18-Jan-2017","        977.85","        977.05","        983.00","        955.00","        960.00","        964.80","        979.29","      58743","            57526219.15","        943","      53469","         91.02"
"SFL","EQ","19-Jan-2017","        964.80","        965.00","        973.95","        956.00","        969.50","        969.95","        968.18","      22611","            21891509.25","       2552","      13766","         60.88"
"SFL","EQ","20-Jan-2017","        969.95","        965.00","        973.80","        946.85","        959.00","        953.65","        957.93","       9783","             9371387.80","       1331","       5341","         54.59"
"SFL","EQ","23-Jan-2017","        953.65","        950.15","        964.90","        946.00","        954.80","        955.65","        957.30","       8044","             7700553.55","       2618","       4762","         59.20"
"SFL","EQ","24-Jan-2017","        955.65","        954.95","        963.90","        925.00","        942.00","        952.40","        952.59","      79693","            75914709.75","        972","      74014","         92.87"
"SFL","EQ","25-Jan-2017","        952.40","        952.30","        952.30","        930.00","        930.00","        942.85","        942.38","      14745","            13895342.85","       2305","       9302","         63.09"
"SFL","EQ","27-Jan-2017","        942.85","        948.80","        971.00","        936.55","        956.00","        957.45","        953.26","      23573","            22471114.40","       2352","       9239","         39.19"
"SFL","EQ","30-Jan-2017","        957.45","        962.25","        968.00","        946.15","        964.00","        962.20","        960.67","      29723","            28553977.60","       1538","      16568","         55.74"
"SFL","EQ","31-Jan-2017","        962.20","        965.00","        985.00","        960.00","        971.00","        973.70","        974.11","      29969","            29193061.65","       6298","      19115","         63.78"
"SFL","EQ","01-Feb-2017","        973.70","        980.05","        980.05","        958.00","        959.00","        960.95","        964.45","       4613","             4449028.30","        486","       2567","         55.65"
"SFL","EQ","02-Feb-2017","        960.95","        969.95","        983.00","        957.00","        980.00","        979.40","        975.84","       9796","             9559362.65","       1199","       7122","         72.70"
"SFL","EQ","03-Feb-2017","        979.40","        975.55","        999.00","        960.00","        985.00","        991.80","        987.39","      19554","            19307408.30","       3429","      12863","         65.78"
"SFL","EQ","06-Feb-2017","        991.80","        996.00","       1025.90","        990.00","        991.00","       1001.60","       1007.62","      26130","            26329053.40","       2566","      10578","         40.48"
"SFL","EQ","07-Feb-2017","       1001.60","        994.95","       1015.00","        984.00","        986.65","        993.15","       1000.30","      14250","            14254216.70","       2359","       5846","         41.02"
"SFL","EQ","08-Feb-2017","        993.15","       1002.05","       1005.00","        987.90","        997.00","        995.90","        996.05","      11759","            11712503.60","        856","       8410","         71.52"
"SFL","EQ","09-Feb-2017","        995.90","        999.45","       1002.00","        986.50","        992.90","        992.10","        995.31","       8983","             8940884.10","        484","       5597","         62.31"
"SFL","EQ","10-Feb-2017","        992.10","        996.35","       1015.00","        988.00","       1008.00","       1007.75","       1000.50","      22542","            22553250.40","       1196","      15479","         68.67"
"SFL","EQ","13-Feb-2017","       1007.75","       1019.70","       1078.40","        998.15","       1045.00","       1049.65","       1045.70","      53524","            55970202.40","       5828","      18473","         34.51"
"SFL","EQ","14-Feb-2017","       1049.65","       1064.00","       1068.00","       1040.60","       1057.00","       1064.00","       1054.34","      34216","            36075265.50","       3957","      23928","         69.93"
"SFL","EQ","15-Feb-2017","       1064.00","       1063.05","       1063.05","       1026.00","       1053.00","       1049.95","       1046.09","      13035","            13635747.70","        947","       7722","         59.24"
"SFL","EQ","16-Feb-2017","       1049.95","       1053.20","       1068.80","       1043.00","       1055.00","       1059.35","       1059.28","      11028","            11681787.40","       2178","       6162","         55.88"
"SFL","EQ","17-Feb-2017","       1059.35","       1062.05","       1075.00","       1045.50","       1046.05","       1053.70","       1062.67","       6970","             7406835.95","        762","       2924","         41.95"
"SFL","EQ","20-Feb-2017","       1053.70","       1035.55","       1062.95","       1035.55","       1048.00","       1046.65","       1049.88","       3911","             4106067.95","        427","       1883","         48.15"
"SFL","EQ","21-Feb-2017","       1046.65","       1053.05","       1057.90","       1040.00","       1041.10","       1045.25","       1049.74","       3339","             3505074.55","        495","       1580","         47.32"
"SFL","EQ","22-Feb-2017","       1045.25","       1052.05","       1065.00","       1041.05","       1045.50","       1054.00","       1051.60","      33758","            35500056.45","        853","      30322","         89.82"
