"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SHEMAROO","EQ","03-Apr-2017","        377.65","        380.60","        400.00","        380.60","        394.15","        394.75","        393.02","      37365","            14685132.75","       1176","      21607","         57.83"
"SHEMAROO","EQ","05-Apr-2017","        394.75","        394.25","        407.00","        390.45","        407.00","        403.40","        400.64","      33911","            13586234.80","        776","      23013","         67.86"
"SHEMAROO","EQ","06-Apr-2017","        403.40","        406.85","        412.95","        396.25","        396.85","        397.60","        406.00","      33548","            13620567.70","       1571","      19971","         59.53"
"SHEMAROO","EQ","07-Apr-2017","        397.60","        399.00","        409.00","        393.15","        398.95","        397.50","        402.22","      22118","             8896320.15","       1354","      11595","         52.42"
"SHEMAROO","EQ","10-Apr-2017","        397.50","        401.10","        412.50","        401.00","        401.00","        402.30","        405.82","      18921","             7678494.65","        730","       9329","         49.31"
"SHEMAROO","EQ","11-Apr-2017","        402.30","        403.80","        412.95","        402.00","        406.50","        406.50","        407.51","      21941","             8941285.40","        967","      10936","         49.84"
"SHEMAROO","EQ","12-Apr-2017","        406.50","        406.50","        409.45","        400.00","        401.10","        401.20","        402.93","      15251","             6145092.75","        526","       8184","         53.66"
"SHEMAROO","EQ","13-Apr-2017","        401.20","        405.50","        407.15","        400.10","        400.10","        400.75","        403.91","       8359","             3376252.90","        305","       5302","         63.43"
"SHEMAROO","EQ","17-Apr-2017","        400.75","        403.75","        403.90","        400.00","        400.00","        400.10","        400.77","      11105","             4450558.60","        272","       6253","         56.31"
"SHEMAROO","EQ","18-Apr-2017","        400.10","        401.25","        409.00","        397.05","        403.00","        403.45","        401.69","      23187","             9313968.60","        804","      13887","         59.89"
"SHEMAROO","EQ","19-Apr-2017","        403.45","        405.50","        407.40","        399.20","        400.25","        401.00","        403.52","       7127","             2875887.65","        248","       4613","         64.73"
"SHEMAROO","EQ","20-Apr-2017","        401.00","        405.00","        408.75","        402.05","        406.85","        404.25","        405.76","      13465","             5463612.75","        546","       6270","         46.57"
"SHEMAROO","EQ","21-Apr-2017","        404.25","        408.00","        416.70","        405.25","        408.00","        410.25","        412.55","      24284","            10018378.00","        862","      13570","         55.88"
"SHEMAROO","EQ","24-Apr-2017","        410.25","        413.90","        416.45","        406.05","        408.00","        409.00","        411.70","      12879","             5302296.10","        590","       9246","         71.79"
"SHEMAROO","EQ","25-Apr-2017","        409.00","        412.00","        412.00","        401.35","        405.00","        404.70","        405.48","      17374","             7044762.20","       1197","      10894","         62.70"
"SHEMAROO","EQ","26-Apr-2017","        404.70","        403.05","        408.95","        390.00","        392.85","        392.70","        397.53","      18241","             7251264.35","        821","      11984","         65.70"
"SHEMAROO","EQ","27-Apr-2017","        392.70","        396.80","        405.00","        393.00","        397.00","        396.20","        398.90","      65647","            26186839.60","        708","      55670","         84.80"
"SHEMAROO","EQ","28-Apr-2017","        396.20","        398.80","        407.05","        395.30","        399.65","        398.50","        401.56","      13222","             5309491.55","        800","       6744","         51.01"
"SHEMAROO","EQ","02-May-2017","        398.50","        397.00","        404.10","        393.25","        398.00","        398.25","        397.70","       9298","             3697834.55","        622","       4498","         48.38"
"SHEMAROO","EQ","03-May-2017","        398.25","        397.85","        399.95","        386.35","        389.10","        391.35","        393.11","      17696","             6956554.80","        714","      11223","         63.42"
"SHEMAROO","EQ","04-May-2017","        391.35","        398.00","        398.00","        380.25","        385.50","        386.75","        386.76","      19686","             7613727.95","       1137","       8331","         42.32"
