"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SHREEPUSHK","EQ","03-Jul-2017","        229.60","        229.20","        234.95","        228.50","        230.00","        230.05","        231.64","      40607","             9406323.30","        661","      19457","         47.92"
"SHREEPUSHK","EQ","04-Jul-2017","        230.05","        230.00","        232.95","        223.00","        226.00","        226.70","        227.66","      56438","            12848900.50","       1009","      28677","         50.81"
"SHREEPUSHK","EQ","05-Jul-2017","        226.70","        226.70","        229.20","        224.00","        229.00","        227.25","        226.47","      39625","             8973726.15","        723","      19108","         48.22"
"SHREEPUSHK","EQ","06-Jul-2017","        227.25","        231.00","        232.05","        227.00","        227.90","        228.75","        230.50","      38387","             8848248.05","        619","      23224","         60.50"
"SHREEPUSHK","EQ","07-Jul-2017","        228.75","        232.00","        232.00","        224.00","        224.30","        224.60","        226.56","      41587","             9421849.20","        656","      30198","         72.61"
"SHREEPUSHK","EQ","10-Jul-2017","        224.60","        229.00","        229.00","        223.10","        225.00","        224.25","        225.08","      11244","             2530822.40","        247","       7539","         67.05"
"SHREEPUSHK","EQ","11-Jul-2017","        224.25","        227.85","        227.85","        222.70","        223.10","        223.10","        224.50","      71318","            16010974.70","        800","      50160","         70.33"
"SHREEPUSHK","EQ","12-Jul-2017","        223.10","        223.55","        228.00","        222.10","        226.35","        225.75","        225.15","      46688","            10511625.40","        799","      26805","         57.41"
"SHREEPUSHK","EQ","13-Jul-2017","        225.75","        227.70","        238.40","        222.80","        234.00","        233.70","        233.04","     137054","            31939621.20","       2442","      65733","         47.96"
"SHREEPUSHK","EQ","14-Jul-2017","        233.70","        237.35","        238.40","        228.10","        233.00","        232.60","        234.17","      91185","            21352893.95","       1775","      47283","         51.85"
"SHREEPUSHK","EQ","17-Jul-2017","        232.60","        232.60","        232.60","        225.50","        229.00","        229.30","        229.52","      43730","            10036845.40","        689","      26530","         60.67"
"SHREEPUSHK","EQ","18-Jul-2017","        229.30","        228.70","        232.95","        225.65","        227.00","        228.05","        228.87","      38345","             8775916.95","       1029","      20596","         53.71"
"SHREEPUSHK","EQ","19-Jul-2017","        228.05","        228.20","        234.40","        228.15","        234.00","        232.45","        231.20","      42254","             9769183.15","        793","      23889","         56.54"
"SHREEPUSHK","EQ","20-Jul-2017","        232.45","        231.05","        236.50","        231.00","        234.00","        234.60","        234.88","      83648","            19646908.05","       1466","      36665","         43.83"
"SHREEPUSHK","EQ","21-Jul-2017","        234.60","        236.00","        236.00","        228.50","        229.80","        229.70","        232.83","      47013","            10945867.65","       1634","      18324","         38.98"
"SHREEPUSHK","EQ","24-Jul-2017","        229.70","        230.95","        236.50","        228.00","        229.00","        228.55","        231.28","      44053","            10188764.00","        902","      22824","         51.81"
"SHREEPUSHK","EQ","25-Jul-2017","        228.55","        228.15","        235.00","        227.00","        235.00","        232.80","        230.36","      34478","             7942387.00","        616","      20965","         60.81"
"SHREEPUSHK","EQ","26-Jul-2017","        232.80","        232.95","        235.85","        229.45","        229.60","        230.45","        232.69","      35033","             8151958.80","        712","      19827","         56.60"
"SHREEPUSHK","EQ","27-Jul-2017","        230.45","        228.55","        232.50","        227.00","        228.00","        227.75","        229.79","      34784","             7992965.05","        723","      19539","         56.17"
"SHREEPUSHK","EQ","28-Jul-2017","        227.75","        228.10","        231.00","        227.10","        229.05","        229.55","        229.41","      28412","             6518054.30","        412","      18775","         66.08"
"SHREEPUSHK","EQ","31-Jul-2017","        229.55","        232.80","        232.80","        225.00","        229.80","        230.00","        228.75","      51241","            11721269.15","       1220","      24461","         47.74"
"SHREEPUSHK","EQ","01-Aug-2017","        230.00","        228.25","        230.70","        224.00","        224.05","        225.00","        226.75","      51685","            11719394.15","        872","      33096","         64.03"
"SHREEPUSHK","EQ","02-Aug-2017","        225.00","        225.65","        230.80","        224.00","        226.00","        225.40","        227.25","      31009","             7046712.95","        651","      17364","         56.00"
"SHREEPUSHK","EQ","03-Aug-2017","        225.40","        226.85","        234.40","        226.15","        229.95","        228.50","        230.13","      89326","            20556942.95","       1107","      58955","         66.00"
"SHREEPUSHK","EQ","04-Aug-2017","        228.50","        216.00","        222.50","        215.00","        220.00","        220.50","        218.92","     156495","            34260181.20","       2701","      87803","         56.11"
"SHREEPUSHK","EQ","07-Aug-2017","        220.50","        218.55","        220.30","        214.00","        215.95","        215.50","        217.69","      54895","            11950320.30","       1074","      36858","         67.14"
"SHREEPUSHK","EQ","08-Aug-2017","        215.50","        214.10","        216.90","        208.80","        210.50","        210.35","        211.98","      70235","            14888504.50","       1501","      38274","         54.49"
"SHREEPUSHK","EQ","09-Aug-2017","        210.35","        209.95","        209.95","        201.90","        207.00","        204.75","        205.20","      91981","            18874365.45","       1585","      58338","         63.42"
"SHREEPUSHK","EQ","10-Aug-2017","        204.75","        203.65","        203.80","        190.00","        192.05","        191.35","        197.15","      80688","            15907806.95","       1431","      56502","         70.03"
"SHREEPUSHK","EQ","11-Aug-2017","        191.35","        191.50","        199.00","        168.40","        198.00","        195.80","        187.46","      85452","            16018512.15","       1697","      48875","         57.20"
"SHREEPUSHK","EQ","14-Aug-2017","        195.80","        200.00","        206.00","        198.30","        206.00","        204.30","        202.31","      45942","             9294683.80","        786","      30793","         67.03"
"SHREEPUSHK","EQ","16-Aug-2017","        204.30","        207.00","        209.50","        203.00","        206.10","        206.60","        206.10","      49095","            10118554.95","       1029","      22901","         46.65"
"SHREEPUSHK","EQ","17-Aug-2017","        206.60","        208.95","        208.95","        202.55","        202.70","        202.90","        204.88","      39427","             8077625.60","        865","      22106","         56.07"
"SHREEPUSHK","EQ","18-Aug-2017","        202.90","        200.10","        203.95","        197.60","        203.80","        202.10","        200.50","      35718","             7161575.55","        822","      17224","         48.22"
"SHREEPUSHK","EQ","21-Aug-2017","        202.10","        203.90","        203.90","        196.05","        202.00","        199.00","        200.40","      38932","             7801846.95","        902","      22119","         56.81"
"SHREEPUSHK","EQ","22-Aug-2017","        199.00","        201.00","        203.00","        196.55","        198.00","        199.55","        199.36","      34592","             6896426.00","        796","      15988","         46.22"
"SHREEPUSHK","EQ","23-Aug-2017","        199.55","        199.00","        202.00","        197.15","        198.00","        198.70","        199.74","      40954","             8179982.20","        885","      16880","         41.22"
"SHREEPUSHK","EQ","24-Aug-2017","        198.70","        199.95","        201.00","        196.90","        198.10","        198.85","        199.12","      40694","             8103005.15","        977","      14377","         35.33"
"SHREEPUSHK","EQ","28-Aug-2017","        198.85","        198.00","        205.00","        198.00","        201.50","        201.70","        201.82","      40374","             8148321.20","        949","      15735","         38.97"
"SHREEPUSHK","EQ","29-Aug-2017","        201.70","        201.05","        206.00","        198.30","        205.00","        204.25","        201.98","      41413","             8364686.10","       1329","      22741","         54.91"
"SHREEPUSHK","EQ","30-Aug-2017","        204.25","        204.55","        209.90","        203.00","        208.90","        208.05","        205.42","      39469","             8107841.50","        744","      22723","         57.57"
"SHREEPUSHK","EQ","31-Aug-2017","        208.05","        211.70","        230.00","        210.00","        225.50","        224.90","        222.19","     182456","            40539832.00","       3548","      67903","         37.22"
"SHREEPUSHK","EQ","01-Sep-2017","        224.90","        226.95","        231.20","        223.05","        229.00","        229.35","        228.17","     106816","            24371848.95","       1729","      52334","         48.99"
"SHREEPUSHK","EQ","04-Sep-2017","        229.35","        230.10","        230.10","        223.00","        226.05","        225.75","        225.37","      54797","            12349650.45","        878","      35161","         64.17"
"SHREEPUSHK","EQ","05-Sep-2017","        225.75","        226.60","        228.00","        224.05","        225.45","        224.85","        225.32","      55060","            12406278.15","        768","      34166","         62.05"
"SHREEPUSHK","EQ","06-Sep-2017","        224.85","        222.20","        227.00","        222.15","        224.65","        224.90","        225.08","      53214","            11977153.60","       1629","      19121","         35.93"
"SHREEPUSHK","EQ","07-Sep-2017","        224.90","        226.70","        228.00","        221.05","        221.60","        222.25","        224.94","      42019","             9451936.30","        745","      28188","         67.08"
"SHREEPUSHK","EQ","08-Sep-2017","        222.25","        222.25","        224.15","        213.00","        216.00","        216.00","        219.81","      55674","            12237910.05","       1270","      27784","         49.90"
"SHREEPUSHK","EQ","11-Sep-2017","        216.00","        218.00","        221.00","        212.00","        214.90","        214.75","        217.51","      36042","             7839513.75","       1156","      16445","         45.63"
"SHREEPUSHK","EQ","12-Sep-2017","        214.75","        216.75","        216.75","        212.70","        213.00","        213.50","        214.55","      31813","             6825593.85","       1169","      13732","         43.16"
"SHREEPUSHK","EQ","13-Sep-2017","        213.50","        213.00","        218.80","        209.00","        211.10","        211.65","        213.93","      49885","            10671782.95","       1244","      28207","         56.54"
"SHREEPUSHK","EQ","14-Sep-2017","        211.65","        212.70","        216.10","        208.50","        215.20","        214.60","        212.55","      47738","            10146542.60","       1212","      27179","         56.93"
"SHREEPUSHK","EQ","15-Sep-2017","        214.60","        214.95","        221.00","        211.25","        216.55","        216.95","        217.08","      96149","            20872168.00","       2162","      32114","         33.40"
"SHREEPUSHK","EQ","18-Sep-2017","        216.95","        218.00","        219.35","        214.00","        217.35","        217.30","        216.74","      40385","             8753036.60","        897","      21194","         52.48"
"SHREEPUSHK","EQ","19-Sep-2017","        217.30","        217.30","        230.00","        215.05","        225.05","        224.80","        225.82","     170189","            38432268.75","       2930","      82677","         48.58"
