"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SRIRAM","SM","07-Jun-2017","         19.00","         22.80","         22.80","         22.80","         22.80","         22.80","         22.80","      66000","             1504800.00","          8","      66000","        100.00"
"SRIRAM","SM","08-Jun-2017","         22.80","         27.35","         27.35","         23.15","         27.35","         27.35","         26.03","    2796000","            72776700.00","        420","    1704000","         60.94"
"SRIRAM","SM","09-Jun-2017","         27.35","         28.60","         32.45","         26.00","         28.30","         28.55","         29.84","    1248000","            37239300.00","        203","     576000","         46.15"
"SRIRAM","SM","12-Jun-2017","         28.55","         29.00","         29.50","         24.50","         25.90","         25.70","         27.34","     534000","            14598300.00","         89","     294000","         55.06"
"SRIRAM","SM","13-Jun-2017","         25.70","         26.70","         27.05","         25.95","         25.95","         25.95","         26.58","      72000","             1913700.00","         12","      66000","         91.67"
"SRIRAM","SM","14-Jun-2017","         25.95","         25.55","         25.95","         22.70","         24.80","         24.75","         24.39","     336000","             8196300.00","         56","     174000","         51.79"
"SRIRAM","SM","15-Jun-2017","         24.75","         24.60","         24.60","         23.00","         23.55","         23.50","         23.44","      96000","             2250300.00","         16","      72000","         75.00"
"SRIRAM","SM","16-Jun-2017","         23.50","         24.80","         24.80","         24.00","         24.75","         24.60","         24.57","      54000","             1326900.00","          9","      42000","         77.78"
"SRIRAM","SM","19-Jun-2017","         24.60","         24.00","         24.25","         24.00","         24.25","         24.25","         24.13","      12000","              289500.00","          2","      12000","        100.00"
"SRIRAM","SM","20-Jun-2017","         24.25","         23.75","         24.25","         23.60","         24.25","         24.25","         23.83","      24000","              571800.00","          4","      18000","         75.00"
"SRIRAM","SM","21-Jun-2017","         24.25","         24.10","         24.10","         23.40","         24.10","         24.10","         23.87","      18000","              429600.00","          3","      18000","        100.00"
"SRIRAM","SM","23-Jun-2017","         24.10","         23.10","         23.10","         21.30","         22.40","         22.40","         21.99","      90000","             1979400.00","         15","      60000","         66.67"
"SRIRAM","SM","27-Jun-2017","         22.40","         21.75","         21.75","         20.95","         20.95","         20.95","         21.18","      54000","             1143600.00","          8","      48000","         88.89"
"SRIRAM","SM","28-Jun-2017","         20.95","         20.95","         21.00","         20.20","         20.20","         20.55","         20.63","      84000","             1732500.00","         14","      66000","         78.57"
"SRIRAM","SM","29-Jun-2017","         20.55","         21.00","         21.70","         20.50","         20.50","         20.50","         20.92","     132000","             2761200.00","         20","     108000","         81.82"
"SRIRAM","SM","30-Jun-2017","         20.50","         20.25","         20.50","         20.20","         20.20","         20.20","         20.32","      54000","             1097400.00","          7","      48000","         88.89"
