"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SHRIPISTON","BE","03-Jul-2017","       1854.85","       1850.00","       1947.55","       1850.00","       1944.00","       1943.85","       1939.95","        191","              370529.85","         30","-","-"
"SHRIPISTON","BE","04-Jul-2017","       1943.85","       1947.55","       2035.00","       1880.00","       1990.00","       1990.00","       1957.52","         85","              166389.00","         22","-","-"
"SHRIPISTON","BE","05-Jul-2017","       1990.00","       1990.00","       2000.05","       1989.00","       1990.00","       1989.80","       1999.38","        120","              239925.75","         17","-","-"
"SHRIPISTON","BE","06-Jul-2017","       1989.80","       2085.00","       2085.00","       2000.00","       2025.00","       2029.40","       2052.58","        631","             1295178.30","         39","-","-"
"SHRIPISTON","BE","07-Jul-2017","       2029.40","       2029.00","       2110.00","       1990.00","       2075.00","       2075.00","       2032.13","        180","              365783.00","         25","-","-"
"SHRIPISTON","BE","10-Jul-2017","       2075.00","       2150.00","       2150.00","       2080.00","       2149.00","       2149.00","       2135.65","         26","               55527.00","          4","-","-"
"SHRIPISTON","BE","11-Jul-2017","       2149.00","       2150.00","       2200.00","       2042.10","       2150.00","       2120.60","       2113.08","        362","              764935.00","         33","-","-"
"SHRIPISTON","BE","12-Jul-2017","       2120.60","       2145.00","       2160.00","       2022.00","       2140.00","       2138.05","       2146.46","        374","              802775.80","         22","-","-"
"SHRIPISTON","BE","13-Jul-2017","       2138.05","       2244.95","       2244.95","       2240.00","       2244.95","       2244.95","       2244.50","       1658","             3721373.10","         84","-","-"
"SHRIPISTON","BE","14-Jul-2017","       2244.95","       2355.80","       2357.15","       2300.00","       2350.00","       2350.00","       2348.52","        595","             1397371.55","         79","-","-"
"SHRIPISTON","BE","17-Jul-2017","       2350.00","       2447.95","       2450.00","       2233.00","       2400.00","       2398.95","       2325.10","        355","              825411.00","         52","-","-"
"SHRIPISTON","BE","18-Jul-2017","       2398.95","       2400.00","       2498.40","       2292.00","       2300.00","       2301.10","       2316.72","        314","              727449.25","         41","-","-"
"SHRIPISTON","BE","19-Jul-2017","       2301.10","       2198.00","       2390.00","       2198.00","       2350.00","       2341.85","       2304.87","        476","             1097117.80","         42","-","-"
"SHRIPISTON","BE","20-Jul-2017","       2341.85","       2225.05","       2390.00","       2225.05","       2300.00","       2301.05","       2306.10","         81","              186794.45","         15","-","-"
"SHRIPISTON","BE","21-Jul-2017","       2301.05","       2380.00","       2380.00","       2235.00","       2334.95","       2328.25","       2306.93","        240","              553664.00","         33","-","-"
"SHRIPISTON","BE","24-Jul-2017","       2328.25","       2349.00","       2349.00","       2240.00","       2339.95","       2277.70","       2259.72","         32","               72310.90","          9","-","-"
"SHRIPISTON","BE","25-Jul-2017","       2277.70","       2299.00","       2299.00","       2210.00","       2220.00","       2220.00","       2226.88","        115","              256091.05","         22","-","-"
"SHRIPISTON","BE","26-Jul-2017","       2220.00","       2221.00","       2331.00","       2221.00","       2331.00","       2326.10","       2291.69","        505","             1157304.00","         43","-","-"
"SHRIPISTON","BE","27-Jul-2017","       2326.10","       2292.10","       2400.00","       2292.10","       2310.00","       2310.25","       2311.94","        155","              358351.20","         16","-","-"
"SHRIPISTON","BE","28-Jul-2017","       2310.25","       2384.50","       2384.50","       2295.00","       2320.00","       2340.75","       2325.13","         45","              104630.80","         13","-","-"
"SHRIPISTON","BE","31-Jul-2017","       2340.75","       2300.00","       2350.00","       2240.00","       2300.00","       2266.20","       2278.81","        199","              453482.65","         21","-","-"
"SHRIPISTON","BE","01-Aug-2017","       2266.20","       2300.00","       2300.00","       2210.00","       2231.00","       2231.00","       2251.81","        124","              279225.00","          9","-","-"
"SHRIPISTON","BE","02-Aug-2017","       2231.00","       2289.90","       2289.90","       2140.00","       2247.95","       2247.95","       2207.56","        176","              388529.85","         41","-","-"
"SHRIPISTON","BE","03-Aug-2017","       2247.95","       2166.00","       2166.00","       2165.00","       2165.00","       2165.60","       2165.63","          8","               17325.00","          2","-","-"
"SHRIPISTON","BE","04-Aug-2017","       2165.60","       2220.00","       2225.00","       2058.00","       2129.00","       2129.60","       2164.39","        439","              950169.00","         40","-","-"
