"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SIKKO","SM","04-Jul-2017","         40.05","         38.10","         38.10","         38.10","         38.10","         38.10","         38.10","       4000","              152400.00","          1","       4000","        100.00"
"SIKKO","SM","05-Jul-2017","         38.10","         38.05","         38.05","         37.75","         37.75","         37.75","         37.93","      12000","              455200.00","          3","       8000","         66.67"
"SIKKO","SM","06-Jul-2017","         37.75","         37.40","         38.00","         35.95","         38.00","         36.80","         36.77","      36000","             1323800.00","          9","      28000","         77.78"
"SIKKO","SM","07-Jul-2017","         36.80","         36.80","         36.80","         36.80","         36.80","         36.80","         36.80","       4000","              147200.00","          1","       4000","        100.00"
"SIKKO","SM","11-Jul-2017","         36.80","         36.80","         36.80","         36.80","         36.80","         36.80","         36.80","       4000","              147200.00","          1","       4000","        100.00"
"SIKKO","SM","12-Jul-2017","         36.80","         36.80","         36.80","         36.80","         36.80","         36.80","         36.80","       8000","              294400.00","          2","       8000","        100.00"
"SIKKO","SM","13-Jul-2017","         36.80","         40.30","         43.35","         39.85","         40.05","         40.05","         40.64","      36000","             1463000.00","          9","      32000","         88.89"
"SIKKO","SM","17-Jul-2017","         40.05","         40.00","         40.00","         38.00","         38.00","         38.00","         39.00","       8000","              312000.00","          2","       4000","         50.00"
"SIKKO","SM","19-Jul-2017","         38.00","         37.20","         39.00","         37.20","         39.00","         39.00","         38.10","       8000","              304800.00","          2","       8000","        100.00"
"SIKKO","SM","20-Jul-2017","         39.00","         39.00","         39.00","         39.00","         39.00","         39.00","         39.00","       4000","              156000.00","          1","       4000","        100.00"
"SIKKO","SM","25-Jul-2017","         39.00","         39.40","         39.40","         39.40","         39.40","         39.40","         39.40","       4000","              157600.00","          1","       4000","        100.00"
"SIKKO","SM","26-Jul-2017","         39.40","         38.10","         38.10","         38.10","         38.10","         38.10","         38.10","       4000","              152400.00","          1","       4000","        100.00"
"SIKKO","SM","27-Jul-2017","         38.10","         39.00","         39.00","         39.00","         39.00","         39.00","         39.00","       4000","              156000.00","          1","       4000","        100.00"
"SIKKO","SM","28-Jul-2017","         39.00","         40.00","         40.00","         39.00","         39.00","         39.00","         39.50","       8000","              316000.00","          2","       8000","        100.00"
"SIKKO","SM","31-Jul-2017","         39.00","         39.00","         39.00","         39.00","         39.00","         39.00","         39.00","       4000","              156000.00","          1","       4000","        100.00"
"SIKKO","SM","02-Aug-2017","         39.00","         40.00","         40.00","         40.00","         40.00","         40.00","         40.00","       8000","              320000.00","          2","       8000","        100.00"
"SIKKO","SM","07-Aug-2017","         40.00","         38.00","         38.00","         38.00","         38.00","         38.00","         38.00","       4000","              152000.00","          1","       4000","        100.00"
"SIKKO","SM","10-Aug-2017","         38.00","         37.25","         38.00","         36.20","         36.20","         36.20","         37.23","      32000","             1191400.00","          8","      28000","         87.50"
"SIKKO","SM","11-Aug-2017","         36.20","         35.50","         35.50","         35.50","         35.50","         35.50","         35.50","       4000","              142000.00","          1","       4000","        100.00"
"SIKKO","SM","16-Aug-2017","         35.50","         37.85","         37.85","         37.85","         37.85","         37.85","         37.85","      12000","              454200.00","          1","      12000","        100.00"
"SIKKO","SM","28-Aug-2017","         37.85","         37.30","         37.30","         37.30","         37.30","         37.30","         37.30","       4000","              149200.00","          1","       4000","        100.00"
"SIKKO","SM","31-Aug-2017","         37.30","         35.50","         38.50","         35.50","         37.00","         37.00","         35.81","      64000","             2292000.00","          5","      60000","         93.75"
"SIKKO","SM","01-Sep-2017","         37.00","         36.25","         37.05","         36.25","         37.00","         37.00","         36.77","      12000","              441200.00","          3","       8000","         66.67"
"SIKKO","SM","07-Sep-2017","         37.00","         35.30","         35.30","         35.30","         35.30","         35.30","         35.30","       8000","              282400.00","          2","          0","          0.00"
"SIKKO","SM","12-Sep-2017","         35.30","         38.50","         38.50","         38.50","         38.50","         38.50","         38.50","       4000","              154000.00","          1","       4000","        100.00"
