"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SITINET","EQ","03-Apr-2017","         37.95","         37.80","         38.30","         37.75","         37.90","         38.00","         38.00","     135939","             5166227.30","        352","     120090","         88.34"
"SITINET","EQ","05-Apr-2017","         38.00","         38.40","         38.40","         37.30","         37.80","         37.85","         37.79","     545455","            20614523.75","       1202","     422949","         77.54"
"SITINET","EQ","06-Apr-2017","         37.85","         38.00","         38.00","         37.50","         37.90","         37.85","         37.85","      48739","             1844618.80","        240","      31940","         65.53"
"SITINET","EQ","07-Apr-2017","         37.85","         37.70","         38.05","         37.55","         37.95","         37.95","         37.96","     318936","            12106946.80","        711","     294856","         92.45"
"SITINET","EQ","10-Apr-2017","         37.95","         38.50","         38.50","         37.80","         38.00","         37.90","         37.97","     251599","             9554061.40","       1108","     230039","         91.43"
"SITINET","EQ","11-Apr-2017","         37.90","         37.85","         38.00","         37.85","         37.90","         37.95","         37.95","     131502","             4990175.55","        665","      92030","         69.98"
"SITINET","EQ","12-Apr-2017","         37.95","         37.80","         38.00","         37.55","         37.85","         37.75","         37.79","      46368","             1752057.30","        295","      26653","         57.48"
"SITINET","EQ","13-Apr-2017","         37.75","         37.30","         38.00","         37.30","         38.00","         37.95","         37.83","      63791","             2413433.05","        611","      28617","         44.86"
"SITINET","EQ","17-Apr-2017","         37.95","         37.95","         38.90","         37.45","         37.75","         37.65","         37.70","      56217","             2119346.30","        302","      38583","         68.63"
"SITINET","EQ","18-Apr-2017","         37.65","         37.60","         37.95","         37.10","         37.40","         37.15","         37.48","      89842","             3366964.45","        808","      59556","         66.29"
"SITINET","EQ","19-Apr-2017","         37.15","         37.65","         38.40","         37.00","         38.15","         37.90","         37.74","     242159","             9139697.60","       1252","     120173","         49.63"
"SITINET","EQ","20-Apr-2017","         37.90","         38.15","         38.30","         37.40","         37.55","         37.85","         37.86","      85388","             3232443.20","        669","      47660","         55.82"
"SITINET","EQ","21-Apr-2017","         37.85","         37.65","         38.05","         37.65","         37.85","         37.90","         37.98","     405766","            15410198.65","       1179","     379441","         93.51"
"SITINET","EQ","24-Apr-2017","         37.90","         38.25","         38.25","         37.50","         37.50","         37.55","         37.54","      40071","             1504423.65","        199","      22315","         55.69"
"SITINET","EQ","25-Apr-2017","         37.55","         38.10","         38.10","         37.00","         37.00","         37.10","         37.28","      71684","             2672692.50","        372","      56010","         78.13"
"SITINET","EQ","26-Apr-2017","         37.10","         37.10","         37.50","         36.35","         36.65","         36.45","         36.90","     192037","             7086363.25","       2888","     142168","         74.03"
"SITINET","EQ","27-Apr-2017","         36.45","         37.40","         37.40","         35.50","         35.90","         35.85","         35.94","     201948","             7257215.45","       1182","     157192","         77.84"
"SITINET","EQ","28-Apr-2017","         35.85","         36.45","         36.45","         35.25","         35.25","         35.50","         35.64","     406524","            14487082.35","       4084","     271772","         66.85"
"SITINET","EQ","02-May-2017","         35.50","         35.90","         35.90","         34.30","         34.50","         34.50","         34.63","     576432","            19960599.60","       2188","     468185","         81.22"
"SITINET","EQ","03-May-2017","         34.50","         35.00","         35.00","         33.70","         33.95","         33.95","         34.20","     175003","             5984971.10","       1710","     120410","         68.80"
"SITINET","EQ","04-May-2017","         33.95","         33.50","         34.30","         33.10","         33.15","         33.30","         33.53","     231411","             7760153.35","       2684","     132922","         57.44"
"SITINET","EQ","05-May-2017","         33.30","         33.70","         34.00","         31.65","         32.20","         32.15","         32.59","     259836","             8467665.15","       1559","     171696","         66.08"
"SITINET","EQ","08-May-2017","         32.15","         32.15","         32.50","         31.85","         32.05","         32.05","         32.13","     109534","             3519054.25","        491","      71018","         64.84"
"SITINET","EQ","09-May-2017","         32.05","         32.05","         32.20","         31.85","         31.95","         32.00","         32.00","     141947","             4542017.70","        381","     123018","         86.66"
"SITINET","EQ","10-May-2017","         32.00","         32.70","         32.70","         31.60","         32.00","         31.80","         31.87","     151477","             4827552.45","       1053","      79925","         52.76"
"SITINET","EQ","11-May-2017","         31.80","         32.50","         32.50","         31.65","         31.85","         31.85","         31.95","     120397","             3847280.70","       1114","      87956","         73.05"
"SITINET","EQ","12-May-2017","         31.85","         31.85","         32.70","         31.15","         32.20","         32.20","         32.10","     257287","             8259634.55","       2047","     130225","         50.61"
"SITINET","EQ","15-May-2017","         32.20","         32.60","         32.60","         32.00","         32.10","         32.20","         32.25","     125515","             4047819.05","       3057","      81637","         65.04"
"SITINET","EQ","16-May-2017","         32.20","         32.50","         32.50","         31.90","         32.05","         32.00","         32.03","     130900","             4192844.30","       3896","      96402","         73.65"
"SITINET","EQ","17-May-2017","         32.00","         32.45","         32.50","         31.60","         31.90","         31.95","         32.05","      95175","             3049964.00","       1780","      59138","         62.14"
"SITINET","EQ","18-May-2017","         31.95","         31.70","         32.30","         31.55","         31.65","         31.90","         31.97","     123101","             3936147.55","       1309","      76989","         62.54"
"SITINET","EQ","19-May-2017","         31.90","         31.70","         32.00","         31.30","         31.80","         31.80","         31.75","      95292","             3025057.40","        742","      65446","         68.68"
"SITINET","EQ","22-May-2017","         31.80","         31.50","         32.00","         31.50","         31.90","         31.95","         31.79","      70484","             2240987.35","        469","      56238","         79.79"
"SITINET","EQ","23-May-2017","         31.95","         32.40","         32.40","         31.10","         31.45","         31.45","         31.39","      60316","             1893615.75","        524","      38106","         63.18"
"SITINET","EQ","24-May-2017","         31.45","         31.40","         31.75","         30.10","         31.60","         31.00","         31.12","      86981","             2706640.80","        789","      54849","         63.06"
"SITINET","EQ","25-May-2017","         31.00","         31.00","         31.45","         29.90","         31.00","         30.80","         30.56","     154535","             4722702.50","        948","      79743","         51.60"
"SITINET","EQ","26-May-2017","         30.80","         31.65","         32.05","         30.80","         31.15","         31.75","         31.25","     316797","             9900457.25","       1212","     288534","         91.08"
"SITINET","EQ","29-May-2017","         31.75","         30.90","         36.80","         30.25","         30.35","         30.55","         32.68","    1180869","            38585391.50","       6056","     422476","         35.78"
"SITINET","EQ","30-May-2017","         30.55","         30.70","         32.00","         30.70","         31.40","         31.40","         31.56","     570342","            18001027.00","       2842","     175868","         30.84"
"SITINET","EQ","31-May-2017","         31.40","         31.60","         32.65","         29.50","         29.60","         29.65","         30.13","     508376","            15319537.65","       3515","     367249","         72.24"
"SITINET","EQ","01-Jun-2017","         29.65","         30.15","         30.15","         27.05","         28.05","         28.05","         28.01","     640938","            17951447.90","       2727","     332036","         51.80"
"SITINET","EQ","02-Jun-2017","         28.05","         27.40","         28.80","         27.00","         27.70","         27.70","         27.44","     387889","            10642176.50","       2100","     194033","         50.02"
"SITINET","EQ","05-Jun-2017","         27.70","         27.50","         28.20","         27.50","         27.75","         27.80","         27.85","     108693","             3027259.35","       1001","      71231","         65.53"
