"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SNOWMAN","EQ","02-Jan-2017","         50.40","         50.70","         52.10","         50.05","         52.05","         51.70","         51.18","     506776","            25936087.00","       3809","     240973","         47.55"
"SNOWMAN","EQ","03-Jan-2017","         51.70","         52.15","         55.55","         51.90","         55.00","         54.70","         54.52","    2107739","           114920344.00","      11889","     748201","         35.50"
"SNOWMAN","EQ","04-Jan-2017","         54.70","         55.40","         56.60","         54.35","         55.90","         55.65","         55.80","    1690890","            94344022.65","      10908","     788125","         46.61"
"SNOWMAN","EQ","05-Jan-2017","         55.65","         56.00","         56.60","         55.80","         56.50","         56.35","         56.22","     697680","            39223099.15","       4304","     374627","         53.70"
"SNOWMAN","EQ","06-Jan-2017","         56.35","         56.90","         56.90","         54.40","         55.10","         55.20","         55.68","     815306","            45396054.80","       4488","     335779","         41.18"
"SNOWMAN","EQ","09-Jan-2017","         55.20","         55.35","         55.90","         54.70","         55.45","         55.45","         55.44","     402195","            22296232.65","       2681","     136818","         34.02"
"SNOWMAN","EQ","10-Jan-2017","         55.45","         55.55","         56.80","         55.45","         55.70","         55.90","         56.08","     650961","            36505201.50","       3283","     257145","         39.50"
"SNOWMAN","EQ","11-Jan-2017","         55.90","         56.25","         57.15","         56.00","         56.70","         56.45","         56.61","     615167","            34822540.70","       3696","     266903","         43.39"
"SNOWMAN","EQ","12-Jan-2017","         56.45","         56.75","         57.00","         55.50","         55.80","         55.90","         56.17","     377617","            21209641.45","       2648","     158493","         41.97"
"SNOWMAN","EQ","13-Jan-2017","         55.90","         56.00","         56.50","         55.60","         55.90","         55.95","         56.08","     384137","            21541282.50","       2598","     166865","         43.44"
"SNOWMAN","EQ","16-Jan-2017","         55.95","         56.20","         60.00","         56.20","         59.90","         59.40","         58.63","    2069776","           121350995.05","      10088","     880868","         42.56"
"SNOWMAN","EQ","17-Jan-2017","         59.40","         62.50","         63.40","         60.80","         61.60","         61.70","         61.92","    3417828","           211647517.80","      17440","    1111063","         32.51"
"SNOWMAN","EQ","18-Jan-2017","         61.70","         61.50","         61.65","         59.55","         59.65","         59.80","         60.26","     990207","            59668140.70","       5742","     385747","         38.96"
"SNOWMAN","EQ","19-Jan-2017","         59.80","         60.10","         60.30","         58.60","         58.70","         58.85","         59.28","     629890","            37342623.50","       4514","     229645","         36.46"
"SNOWMAN","EQ","20-Jan-2017","         58.85","         59.05","         59.05","         57.00","         57.00","         57.10","         57.78","     534087","            30858363.00","       3943","     260501","         48.78"
"SNOWMAN","EQ","23-Jan-2017","         57.10","         57.45","         57.90","         56.30","         57.35","         57.25","         57.14","     513995","            29370816.80","       3719","     156773","         30.50"
"SNOWMAN","EQ","24-Jan-2017","         57.25","         57.70","         57.95","         57.00","         57.10","         57.10","         57.38","     347982","            19967024.55","       2590","     139854","         40.19"
"SNOWMAN","EQ","25-Jan-2017","         57.10","         57.10","         60.45","         57.10","         59.85","         59.55","         59.51","    1291776","            76872958.90","       8742","     444475","         34.41"
"SNOWMAN","EQ","27-Jan-2017","         59.55","         59.95","         60.05","         58.90","         59.30","         59.25","         59.44","     515602","            30648859.15","       3689","     233408","         45.27"
"SNOWMAN","EQ","30-Jan-2017","         59.25","         59.25","         61.40","         58.15","         59.20","         59.60","         59.85","     844485","            50543167.10","       6031","     263011","         31.14"
"SNOWMAN","EQ","31-Jan-2017","         59.60","         59.50","         59.95","         58.15","         58.70","         58.45","         58.92","     421695","            24845551.60","       3285","     165807","         39.32"
"SNOWMAN","EQ","01-Feb-2017","         58.45","         58.70","         60.30","         58.05","         58.80","         58.70","         59.19","     572234","            33873249.05","       4502","     184007","         32.16"
"SNOWMAN","EQ","02-Feb-2017","         58.70","         58.70","         59.55","         57.50","         57.90","         57.95","         58.49","     385089","            22522445.85","       2765","     195798","         50.84"
