"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SDBL","EQ","02-Jan-2017","        126.25","        125.00","        126.15","        122.00","        122.25","        123.60","        125.04","      23697","             2963186.30","        319","       2704","         11.41"
"SDBL","EQ","03-Jan-2017","        123.60","        123.55","        127.05","        123.50","        125.80","        125.85","        124.89","      23576","             2944467.45","        316","       2919","         12.38"
"SDBL","EQ","04-Jan-2017","        125.85","        126.05","        130.00","        126.00","        128.50","        127.55","        127.56","      24390","             3111255.85","        414","       2893","         11.86"
"SDBL","EQ","05-Jan-2017","        127.55","        130.00","        137.45","        127.50","        130.95","        131.40","        130.90","      44563","             5833096.30","        950","       6156","         13.81"
"SDBL","EQ","06-Jan-2017","        131.40","        132.00","        132.50","        126.50","        126.50","        127.40","        129.33","      30187","             3904217.45","        771","       4161","         13.78"
"SDBL","EQ","09-Jan-2017","        127.40","        127.00","        133.80","        127.00","        130.45","        130.75","        130.41","      27084","             3532016.00","        401","       2416","          8.92"
"SDBL","EQ","10-Jan-2017","        130.75","        129.25","        132.00","        129.20","        131.30","        131.35","        130.50","      21856","             2852313.70","        381","       1002","          4.58"
"SDBL","EQ","11-Jan-2017","        131.35","        133.95","        139.80","        132.00","        133.00","        133.40","        133.64","      27415","             3663668.70","        481","       4554","         16.61"
"SDBL","EQ","12-Jan-2017","        133.40","        134.45","        134.50","        130.75","        133.80","        132.80","        132.88","      21174","             2813668.85","        249","        802","          3.79"
"SDBL","EQ","13-Jan-2017","        132.80","        132.75","        132.95","        128.50","        129.60","        129.35","        131.64","      22198","             2922105.45","        357","       1354","          6.10"
"SDBL","EQ","16-Jan-2017","        129.35","        131.00","        131.00","        128.00","        129.00","        129.75","        129.72","      21794","             2827071.10","        302","       1067","          4.90"
"SDBL","EQ","17-Jan-2017","        129.75","        129.30","        133.90","        128.60","        129.80","        130.80","        130.45","      24230","             3160740.10","        396","       2078","          8.58"
"SDBL","EQ","18-Jan-2017","        130.80","        129.00","        133.90","        129.00","        129.05","        131.10","        131.88","      22921","             3022873.35","        314","       1356","          5.92"
"SDBL","EQ","19-Jan-2017","        131.10","        131.00","        132.05","        130.45","        131.50","        131.15","        131.31","      21601","             2836498.50","        252","       1325","          6.13"
"SDBL","EQ","20-Jan-2017","        131.15","        129.15","        133.90","        129.15","        132.50","        131.15","        130.87","      23562","             3083532.05","        335","       2375","         10.08"
"SDBL","EQ","23-Jan-2017","        131.15","        135.95","        135.95","        130.10","        130.15","        132.30","        132.08","      21404","             2827145.90","        292","        888","          4.15"
"SDBL","EQ","24-Jan-2017","        132.30","        131.00","        133.65","        131.00","        133.00","        132.45","        132.32","      22003","             2911507.20","        263","       1602","          7.28"
"SDBL","EQ","25-Jan-2017","        132.45","        132.50","        134.95","        132.15","        134.40","        133.00","        133.42","      23973","             3198448.30","        313","       2723","         11.36"
