"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SONATSOFTW","EQ","03-Jul-2017","        152.90","        153.90","        157.15","        153.05","        155.50","        155.70","        155.16","     233039","            36157257.30","       7382","     180851","         77.61"
"SONATSOFTW","EQ","04-Jul-2017","        155.70","        156.00","        156.00","        151.90","        152.25","        152.40","        153.21","     170059","            26054445.10","       8356","     130278","         76.61"
"SONATSOFTW","EQ","05-Jul-2017","        152.40","        153.40","        163.90","        152.50","        162.80","        163.00","        160.18","    1194379","           191320378.35","      21337","     514380","         43.07"
"SONATSOFTW","EQ","06-Jul-2017","        163.00","        164.00","        166.50","        162.25","        163.40","        163.35","        164.29","     445995","            73272495.20","       8550","     237659","         53.29"
"SONATSOFTW","EQ","07-Jul-2017","        163.35","        162.70","        164.70","        162.00","        162.60","        162.45","        163.15","     128611","            20983349.30","       2799","      77856","         60.54"
"SONATSOFTW","EQ","10-Jul-2017","        162.45","        162.00","        168.00","        155.00","        164.00","        163.90","        163.45","      50403","             8238428.70","        537","      33165","         65.80"
"SONATSOFTW","EQ","11-Jul-2017","        163.90","        163.40","        169.20","        161.55","        163.25","        163.15","        166.49","     477255","            79457167.90","       5283","     219408","         45.97"
"SONATSOFTW","EQ","12-Jul-2017","        163.15","        164.40","        167.40","        164.10","        165.75","        165.80","        165.60","     196458","            32533905.90","       2980","     110075","         56.03"
"SONATSOFTW","EQ","13-Jul-2017","        165.80","        166.00","        167.60","        163.50","        164.15","        163.95","        164.77","     133566","            22007748.30","       3889","      91800","         68.73"
"SONATSOFTW","EQ","14-Jul-2017","        163.95","        164.80","        165.50","        159.30","        161.15","        160.70","        162.40","     165381","            26858512.35","       4166","     118097","         71.41"
"SONATSOFTW","EQ","17-Jul-2017","        160.70","        161.95","        165.80","        160.55","        164.00","        164.35","        163.54","     150427","            24601277.30","       3275","      88090","         58.56"
"SONATSOFTW","EQ","18-Jul-2017","        164.35","        165.00","        165.00","        160.60","        161.25","        161.25","        162.24","     147307","            23898745.25","       6079","      94673","         64.27"
"SONATSOFTW","EQ","19-Jul-2017","        161.25","        162.80","        162.80","        160.30","        161.45","        161.05","        161.36","     147686","            23830975.60","       4403","     108974","         73.79"
"SONATSOFTW","EQ","20-Jul-2017","        161.05","        161.25","        162.85","        160.00","        161.50","        160.85","        161.29","     101449","            16362376.05","       4013","      72985","         71.94"
"SONATSOFTW","EQ","21-Jul-2017","        160.85","        161.15","        162.85","        160.25","        160.85","        161.55","        161.54","     126583","            20448554.50","       4582","      90256","         71.30"
"SONATSOFTW","EQ","24-Jul-2017","        161.55","        162.95","        165.70","        161.20","        163.00","        162.80","        163.91","     153134","            25099617.90","       2706","      73809","         48.20"
"SONATSOFTW","EQ","25-Jul-2017","        162.80","        162.10","        163.95","        161.60","        162.90","        163.15","        162.70","     112604","            18320128.60","       1290","      74634","         66.28"
