"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SPENTEX","BE","02-Jan-2017","          5.20","          4.95","          4.95","          4.95","          4.95","          4.95","          4.95","       2215","               10964.25","          6","-","-"
"SPENTEX","BE","03-Jan-2017","          4.95","          4.75","          4.75","          4.75","          4.75","          4.75","          4.75","        525","                2493.75","          5","-","-"
"SPENTEX","BE","04-Jan-2017","          4.75","          4.55","          4.55","          4.55","          4.55","          4.55","          4.55","        210","                 955.50","          4","-","-"
"SPENTEX","BE","05-Jan-2017","          4.55","          4.35","          4.65","          4.35","          4.35","          4.35","          4.35","     217061","              944218.65","         46","-","-"
"SPENTEX","BE","06-Jan-2017","          4.35","          4.35","          4.40","          4.15","          4.40","          4.30","          4.19","      71890","              301209.15","         64","-","-"
"SPENTEX","BE","09-Jan-2017","          4.30","          4.40","          4.45","          4.10","          4.15","          4.15","          4.13","      50489","              208548.90","         53","-","-"
"SPENTEX","BE","10-Jan-2017","          4.15","          4.15","          4.15","          3.95","          3.95","          3.95","          3.96","      35436","              140456.75","         40","-","-"
"SPENTEX","BE","11-Jan-2017","          3.95","          3.80","          3.80","          3.80","          3.80","          3.80","          3.80","      21008","               79830.40","         21","-","-"
"SPENTEX","BE","12-Jan-2017","          3.80","          3.65","          3.65","          3.65","          3.65","          3.65","          3.65","      26440","               96506.00","         18","-","-"
"SPENTEX","BE","13-Jan-2017","          3.65","          3.50","          3.80","          3.50","          3.80","          3.80","          3.59","      44748","              160598.00","         46","-","-"
"SPENTEX","BE","16-Jan-2017","          3.80","          3.95","          3.95","          3.95","          3.95","          3.95","          3.95","      27300","              107835.00","         11","-","-"
"SPENTEX","BE","17-Jan-2017","          3.95","          4.10","          4.10","          4.10","          4.10","          4.10","          4.10","      14467","               59314.70","         10","-","-"
"SPENTEX","BE","18-Jan-2017","          4.10","          4.30","          4.30","          4.20","          4.30","          4.30","          4.30","      43363","              186270.10","         22","-","-"
"SPENTEX","BE","19-Jan-2017","          4.30","          4.45","          4.50","          4.15","          4.40","          4.40","          4.32","      21856","               94508.75","         34","-","-"
"SPENTEX","BE","20-Jan-2017","          4.40","          4.60","          4.60","          4.25","          4.60","          4.60","          4.57","      98093","              448601.60","         77","-","-"
"SPENTEX","BE","23-Jan-2017","          4.60","          4.80","          4.80","          4.40","          4.40","          4.40","          4.48","     172153","              771265.75","         42","-","-"
"SPENTEX","BE","24-Jan-2017","          4.40","          4.35","          4.35","          4.20","          4.20","          4.20","          4.25","       4724","               20062.05","         16","-","-"
"SPENTEX","BE","25-Jan-2017","          4.20","          4.00","          4.40","          4.00","          4.40","          4.25","          4.03","      27619","              111386.10","         39","-","-"
"SPENTEX","BE","27-Jan-2017","          4.25","          4.20","          4.40","          4.10","          4.30","          4.15","          4.22","      15587","               65709.10","         25","-","-"
"SPENTEX","BE","30-Jan-2017","          4.15","          4.35","          4.35","          3.95","          4.20","          4.00","          3.98","      26466","              105250.20","         33","-","-"
"SPENTEX","BE","31-Jan-2017","          4.00","          3.90","          4.20","          3.85","          4.05","          4.05","          4.05","       7538","               30508.50","         13","-","-"
"SPENTEX","BE","01-Feb-2017","          4.05","          4.25","          4.25","          3.85","          4.20","          4.20","          4.01","      26845","              107677.45","         29","-","-"
"SPENTEX","BE","02-Feb-2017","          4.20","          4.00","          4.20","          4.00","          4.20","          4.20","          4.04","      15021","               60727.10","         63","-","-"
"SPENTEX","BE","03-Feb-2017","          4.20","          4.20","          4.20","          4.00","          4.00","          4.00","          4.08","      13100","               53400.00","         10","-","-"
"SPENTEX","BE","06-Feb-2017","          4.00","          3.80","          4.00","          3.80","          3.95","          3.95","          3.86","      12774","               49266.35","         17","-","-"
"SPENTEX","BE","07-Feb-2017","          3.95","          3.95","          4.10","          3.90","          4.10","          4.05","          3.99","       7774","               31003.90","         26","-","-"
"SPENTEX","BE","08-Feb-2017","          4.05","          4.05","          4.15","          4.00","          4.15","          4.15","          4.08","       7801","               31854.00","         18","-","-"
"SPENTEX","BE","09-Feb-2017","          4.15","          3.95","          4.20","          3.95","          4.00","          4.00","          4.05","       3901","               15794.15","         21","-","-"
"SPENTEX","BE","10-Feb-2017","          4.00","          4.20","          4.20","          4.00","          4.00","          4.00","          4.02","      13841","               55621.50","         15","-","-"
"SPENTEX","BE","13-Feb-2017","          4.00","          3.80","          4.00","          3.80","          3.95","          3.95","          3.95","       7624","               30124.05","         13","-","-"
"SPENTEX","BE","14-Feb-2017","          3.95","          4.00","          4.00","          3.80","          3.90","          3.90","          3.86","      17990","               69421.00","         24","-","-"
"SPENTEX","BE","15-Feb-2017","          3.90","          3.95","          3.95","          3.75","          3.75","          3.75","          3.79","      44889","              170150.50","         35","-","-"
"SPENTEX","BE","16-Feb-2017","          3.75","          3.60","          3.75","          3.60","          3.60","          3.60","          3.62","     157490","              569667.55","         67","-","-"
"SPENTEX","BE","17-Feb-2017","          3.60","          3.75","          3.75","          3.45","          3.45","          3.45","          3.50","     124035","              433561.50","         56","-","-"
"SPENTEX","BE","20-Feb-2017","          3.45","          3.60","          3.60","          3.35","          3.60","          3.60","          3.47","      35697","              123973.45","         43","-","-"
"SPENTEX","BE","21-Feb-2017","          3.60","          3.50","          3.75","          3.45","          3.75","          3.75","          3.66","      31870","              116772.70","         31","-","-"
"SPENTEX","BE","22-Feb-2017","          3.75","          3.70","          3.90","          3.60","          3.60","          3.60","          3.67","      79420","              291728.00","         41","-","-"
"SPENTEX","BE","23-Feb-2017","          3.60","          3.70","          3.70","          3.45","          3.45","          3.45","          3.49","      70957","              247356.35","         49","-","-"
"SPENTEX","BE","27-Feb-2017","          3.45","          3.50","          3.60","          3.35","          3.60","          3.60","          3.53","      14900","               52589.75","         23","-","-"
"SPENTEX","BE","28-Feb-2017","          3.60","          3.50","          3.75","          3.50","          3.75","          3.75","          3.60","       7623","               27433.25","         19","-","-"
