"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SPHEREGSL","EQ","02-Jan-2017","         63.85","         62.90","         67.40","         62.90","         64.90","         64.70","         65.10","      44464","             2894717.55","        251","      26742","         60.14"
"SPHEREGSL","EQ","03-Jan-2017","         64.70","         63.00","         66.25","         63.00","         64.30","         64.80","         65.22","      52201","             3404307.35","        292","      25880","         49.58"
"SPHEREGSL","EQ","04-Jan-2017","         64.80","         64.00","         66.90","         64.00","         65.10","         65.65","         65.30","      87077","             5686159.45","        278","      60312","         69.26"
"SPHEREGSL","EQ","05-Jan-2017","         65.65","         65.00","         67.50","         64.50","         66.00","         65.50","         65.83","      41720","             2746545.40","        226","      22859","         54.79"
"SPHEREGSL","EQ","06-Jan-2017","         65.50","         65.10","         66.50","         64.00","         65.90","         65.15","         65.33","      60754","             3969079.80","         99","      33882","         55.77"
"SPHEREGSL","EQ","09-Jan-2017","         65.15","         64.00","         71.50","         64.00","         66.80","         67.00","         66.36","      36115","             2396542.60","        123","       9262","         25.65"
"SPHEREGSL","EQ","10-Jan-2017","         67.00","         67.50","         67.95","         66.00","         66.95","         66.60","         67.57","      28057","             1895793.95","        230","       7692","         27.42"
"SPHEREGSL","EQ","11-Jan-2017","         66.60","         66.00","         70.00","         66.00","         67.55","         68.65","         68.38","      46322","             3167303.00","        247","      16869","         36.42"
"SPHEREGSL","EQ","12-Jan-2017","         68.65","         65.00","         69.65","         65.00","         69.65","         69.00","         68.39","      37344","             2554006.30","        272","       9742","         26.09"
"SPHEREGSL","EQ","13-Jan-2017","         69.00","         66.55","         71.60","         66.55","         69.70","         69.55","         68.67","      48596","             3337239.40","        138","      11609","         23.89"
"SPHEREGSL","EQ","16-Jan-2017","         69.55","         67.00","         70.50","         67.00","         68.10","         68.10","         68.80","      27729","             1907737.70","        140","       2109","          7.61"
"SPHEREGSL","EQ","17-Jan-2017","         68.10","         65.55","         68.80","         65.55","         66.70","         66.90","         67.68","      40278","             2726004.75","        246","       6708","         16.65"
"SPHEREGSL","EQ","18-Jan-2017","         66.90","         66.10","         69.70","         66.10","         68.05","         67.80","         67.36","      39608","             2668030.20","        412","       2560","          6.46"
"SPHEREGSL","EQ","19-Jan-2017","         67.80","         67.50","         73.35","         67.50","         72.00","         72.45","         71.05","     107237","             7618797.15","        608","      39404","         36.74"
"SPHEREGSL","EQ","20-Jan-2017","         72.45","         74.80","         77.80","         72.00","         75.75","         75.65","         75.48","      89042","             6721168.15","        786","      53251","         59.80"
"SPHEREGSL","EQ","23-Jan-2017","         75.65","         77.00","         78.50","         73.45","         75.90","         75.50","         76.40","     122252","             9340120.05","        696","      51232","         41.91"
"SPHEREGSL","EQ","24-Jan-2017","         75.50","         77.00","         77.00","         74.50","         76.85","         76.15","         76.30","      64196","             4898377.50","        582","       9294","         14.48"
"SPHEREGSL","EQ","25-Jan-2017","         76.15","         75.25","         77.45","         73.10","         73.50","         74.00","         75.60","      72623","             5490387.20","        596","      14895","         20.51"
"SPHEREGSL","EQ","27-Jan-2017","         74.00","         78.75","         78.75","         71.50","         72.25","         72.50","         73.35","      54789","             4018501.45","        560","      12267","         22.39"
"SPHEREGSL","EQ","30-Jan-2017","         72.50","         73.25","         74.60","         71.65","         73.80","         73.10","         73.51","      48996","             3601669.25","        351","       3011","          6.15"
"SPHEREGSL","EQ","31-Jan-2017","         73.10","         72.05","         72.05","         68.25","         69.10","         70.10","         70.74","      91174","             6449454.75","        630","      19626","         21.53"
"SPHEREGSL","EQ","01-Feb-2017","         70.10","         71.90","         73.90","         69.00","         69.80","         69.75","         70.56","      73684","             5199058.30","        534","      12443","         16.89"
"SPHEREGSL","EQ","02-Feb-2017","         69.75","         76.70","         76.70","         69.10","         71.00","         72.15","         70.37","      72543","             5105175.70","        542","      10519","         14.50"
