"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SPICEMOBI","EQ","03-Jul-2017","         15.40","         16.00","         16.00","         15.45","         15.75","         15.80","         15.76","      26182","              412695.85","         75","      23526","         89.86"
"SPICEMOBI","EQ","04-Jul-2017","         15.80","         15.60","         15.60","         15.40","         15.40","         15.40","         15.45","       5529","               85398.65","         25","       5492","         99.33"
"SPICEMOBI","EQ","05-Jul-2017","         15.40","         17.00","         18.45","         16.65","         18.45","         18.45","         18.21","    1039741","            18934008.70","       2245","     284439","         27.36"
"SPICEMOBI","EQ","06-Jul-2017","         18.45","         19.10","         19.10","         16.90","         17.65","         17.30","         17.99","     358528","             6451491.40","       1314","     229714","         64.07"
"SPICEMOBI","EQ","07-Jul-2017","         17.30","         18.70","         18.70","         17.65","         17.90","         17.90","         17.99","     149273","             2685350.00","        606","      84255","         56.44"
"SPICEMOBI","EQ","10-Jul-2017","         17.90","         17.55","         17.95","         16.45","         17.60","         17.80","         17.41","       6040","              105183.05","         50","       4323","         71.57"
"SPICEMOBI","EQ","11-Jul-2017","         17.80","         18.45","         18.45","         17.50","         17.70","         17.75","         17.81","      30850","              549319.85","        117","      22777","         73.83"
"SPICEMOBI","BL","12-Jul-2017","         65.25","         17.90","         17.90","         17.90","         17.90","         17.90","         17.90","   19368439","           346695058.10","          1","   19368439","        100.00"
"SPICEMOBI","EQ","12-Jul-2017","         17.75","         18.00","         21.30","         17.50","         21.30","         21.30","         20.37","     625613","            12741720.50","       1473","     369086","         59.00"
"SPICEMOBI","EQ","13-Jul-2017","         21.30","         22.00","         25.55","         19.75","         25.55","         25.55","         23.66","    1086781","            25715123.20","       4007","     455764","         41.94"
"SPICEMOBI","EQ","14-Jul-2017","         25.55","         25.90","         28.10","         25.90","         28.10","         28.10","         27.56","     795377","            21918212.35","       2667","     325594","         40.94"
"SPICEMOBI","EQ","17-Jul-2017","         28.10","         29.70","         30.90","         29.65","         30.90","         30.90","         30.73","     271278","             8335525.70","        744","     172940","         63.75"
"SPICEMOBI","EQ","18-Jul-2017","         30.90","         30.90","         33.95","         28.15","         29.00","         29.20","         31.75","     843407","            26779566.95","       4169","     362389","         42.97"
"SPICEMOBI","EQ","19-Jul-2017","         29.20","         30.50","         32.00","         28.10","         31.85","         31.45","         30.22","     524654","            15854247.15","       2545","     187595","         35.76"
"SPICEMOBI","EQ","20-Jul-2017","         31.45","         32.45","         32.45","         29.90","         29.90","         30.00","         30.70","     184650","             5668668.65","        901","     109474","         59.29"
"SPICEMOBI","EQ","21-Jul-2017","         30.00","         30.00","         30.00","         28.50","         28.50","         28.50","         28.88","     103700","             2995032.80","        480","      73860","         71.22"
"SPICEMOBI","EQ","24-Jul-2017","         28.50","         27.10","         27.10","         27.10","         27.10","         27.10","         27.10","      22823","              618503.30","        100","      22496","         98.57"
"SPICEMOBI","EQ","25-Jul-2017","         27.10","         25.75","         25.75","         25.75","         25.75","         25.75","         25.75","       9677","              249182.75","         53","       9677","        100.00"
"SPICEMOBI","EQ","26-Jul-2017","         25.75","         24.50","         26.80","         24.50","         24.50","         24.50","         25.54","     214854","             5488096.85","        749","     112750","         52.48"
"SPICEMOBI","EQ","27-Jul-2017","         24.50","         23.70","         24.95","         23.30","         23.30","         23.30","         23.64","      77549","             1833249.25","        279","      43234","         55.75"
"SPICEMOBI","EQ","28-Jul-2017","         23.30","         22.80","         22.80","         22.15","         22.15","         22.15","         22.19","      45322","             1005912.20","        126","      34667","         76.49"
"SPICEMOBI","EQ","31-Jul-2017","         22.15","         21.25","         22.50","         21.05","         21.40","         21.30","         21.34","      90742","             1936508.20","        484","      57397","         63.25"
"SPICEMOBI","EQ","01-Aug-2017","         21.30","         20.40","         22.35","         20.40","         20.75","         20.60","         21.83","     149955","             3273610.90","        657","      91059","         60.72"
"SPICEMOBI","EQ","02-Aug-2017","         20.60","         20.40","         21.50","         20.40","         20.90","         20.85","         21.03","      86056","             1810144.25","        287","      52375","         60.86"
"SPICEMOBI","EQ","03-Aug-2017","         20.85","         20.80","         20.85","         20.00","         20.30","         20.15","         20.30","      16442","              333702.90","        142","      10199","         62.03"
