"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SMPL","EQ","03-Apr-2017","          2.20","          2.30","          2.30","          2.20","          2.20","          2.20","          2.21","      20778","               46005.40","         24","      20778","        100.00"
"SMPL","EQ","05-Apr-2017","          2.20","          2.25","          2.30","          2.15","          2.25","          2.25","          2.25","     121761","              274045.30","        108","      99927","         82.07"
"SMPL","EQ","06-Apr-2017","          2.25","          2.25","          2.30","          2.20","          2.25","          2.30","          2.25","     133063","              298860.70","         72","      87369","         65.66"
"SMPL","EQ","07-Apr-2017","          2.30","          2.35","          2.35","          2.20","          2.20","          2.20","          2.25","      64715","              145800.25","         85","      47411","         73.26"
"SMPL","EQ","10-Apr-2017","          2.20","          2.25","          2.30","          2.10","          2.10","          2.15","          2.17","     210430","              457345.20","        151","     179113","         85.12"
"SMPL","EQ","11-Apr-2017","          2.15","          2.20","          2.25","          2.15","          2.15","          2.20","          2.20","      54489","              119887.90","         49","      45289","         83.12"
"SMPL","EQ","12-Apr-2017","          2.20","          2.20","          2.25","          2.15","          2.15","          2.15","          2.17","      72052","              156457.45","         57","      52651","         73.07"
"SMPL","EQ","13-Apr-2017","          2.15","          2.15","          2.20","          2.15","          2.20","          2.20","          2.18","      25140","               54872.95","         35","      20416","         81.21"
"SMPL","EQ","17-Apr-2017","          2.20","          2.20","          2.20","          2.10","          2.15","          2.15","          2.13","      78728","              167850.65","         62","      57653","         73.23"
"SMPL","EQ","18-Apr-2017","          2.15","          2.15","          2.20","          2.15","          2.20","          2.20","          2.17","      25926","               56196.35","         24","      22926","         88.43"
"SMPL","EQ","19-Apr-2017","          2.20","          2.15","          2.20","          2.10","          2.15","          2.15","          2.13","     108410","              231123.75","        104","      65855","         60.75"
"SMPL","EQ","20-Apr-2017","          2.15","          2.15","          2.20","          2.15","          2.20","          2.20","          2.18","      52406","              114294.05","         49","      37486","         71.53"
"SMPL","EQ","21-Apr-2017","          2.20","          2.15","          2.30","          2.15","          2.20","          2.20","          2.20","     163136","              359029.05","        111","     110977","         68.03"
"SMPL","EQ","24-Apr-2017","          2.20","          2.25","          2.25","          2.15","          2.20","          2.15","          2.18","      53755","              117143.50","         54","      43993","         81.84"
"SMPL","EQ","25-Apr-2017","          2.15","          2.15","          2.20","          2.10","          2.20","          2.20","          2.17","      91147","              197715.65","         42","      84225","         92.41"
"SMPL","EQ","26-Apr-2017","          2.20","          2.20","          2.20","          2.15","          2.15","          2.15","          2.17","      59348","              128717.95","         40","      32636","         54.99"
"SMPL","EQ","27-Apr-2017","          2.15","          2.20","          2.20","          1.95","          2.15","          2.10","          2.08","     171747","              358029.00","        152","     108865","         63.39"
"SMPL","EQ","28-Apr-2017","          2.10","          2.15","          2.15","          2.10","          2.10","          2.10","          2.13","      71655","              152936.20","         37","      49885","         69.62"
"SMPL","EQ","02-May-2017","          2.10","          2.15","          2.15","          2.10","          2.10","          2.10","          2.13","      50676","              107867.65","         39","      32795","         64.72"
"SMPL","EQ","03-May-2017","          2.10","          2.15","          2.15","          2.05","          2.10","          2.10","          2.10","     100161","              210084.20","         67","      84235","         84.10"
"SMPL","EQ","04-May-2017","          2.10","          2.10","          2.20","          2.05","          2.15","          2.10","          2.14","     137804","              294312.80","         65","     122248","         88.71"
"SMPL","EQ","05-May-2017","          2.10","          2.15","          2.20","          2.10","          2.15","          2.15","          2.13","     185114","              393774.05","         41","     100599","         54.34"
"SMPL","EQ","08-May-2017","          2.15","          2.15","          2.15","          2.05","          2.10","          2.05","          2.08","      58349","              121536.65","         71","      57239","         98.10"
"SMPL","EQ","09-May-2017","          2.05","          2.00","          2.10","          2.00","          2.10","          2.05","          2.06","      22742","               46803.90","         47","      22741","        100.00"
"SMPL","EQ","10-May-2017","          2.05","          2.10","          2.15","          2.00","          2.10","          2.10","          2.08","      73486","              152710.05","         43","      73475","         99.99"
"SMPL","EQ","11-May-2017","          2.10","          2.05","          2.15","          2.05","          2.15","          2.15","          2.11","      97842","              206924.35","         38","      77539","         79.25"
"SMPL","EQ","12-May-2017","          2.15","          2.15","          2.15","          2.05","          2.15","          2.15","          2.11","      31389","               66214.25","         44","      30387","         96.81"
"SMPL","EQ","15-May-2017","          2.15","          2.15","          2.15","          2.05","          2.05","          2.05","          2.11","      63867","              134746.15","         44","      41695","         65.28"
"SMPL","EQ","16-May-2017","          2.05","          2.10","          2.10","          2.00","          2.10","          2.05","          2.05","     188088","              386402.05","         87","     162176","         86.22"
"SMPL","EQ","17-May-2017","          2.05","          2.10","          2.35","          2.00","          2.35","          2.20","          2.15","     397099","              853135.75","        187","     325858","         82.06"
"SMPL","EQ","18-May-2017","          2.20","          2.25","          2.50","          2.15","          2.35","          2.30","          2.35","     744675","             1750519.25","        383","     410881","         55.18"
"SMPL","EQ","19-May-2017","          2.30","          2.35","          2.40","          2.20","          2.25","          2.25","          2.30","     138832","              319838.95","        118","     108154","         77.90"
