"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SRIPIPES","EQ","02-Jan-2017","        266.70","        267.00","        269.55","        263.00","        265.95","        265.10","        266.27","      27330","             7277264.70","        900","      15811","         57.85"
"SRIPIPES","EQ","03-Jan-2017","        265.10","        267.05","        275.05","        265.05","        273.85","        273.70","        270.75","      53839","            14576716.00","       1903","      29148","         54.14"
"SRIPIPES","EQ","04-Jan-2017","        273.70","        275.10","        278.50","        271.00","        275.00","        273.00","        274.79","      48196","            13243805.80","       1612","      28965","         60.10"
"SRIPIPES","EQ","05-Jan-2017","        273.00","        279.00","        281.75","        274.50","        279.00","        279.10","        278.50","      64945","            18087483.85","       1496","      44572","         68.63"
"SRIPIPES","EQ","06-Jan-2017","        279.10","        280.00","        282.90","        275.35","        277.00","        277.40","        278.88","      73282","            20436792.70","       2140","      40331","         55.04"
"SRIPIPES","EQ","09-Jan-2017","        277.40","        277.00","        281.00","        275.50","        280.00","        280.35","        279.42","      34855","             9739219.25","       1077","      20213","         57.99"
"SRIPIPES","EQ","10-Jan-2017","        280.35","        282.05","        282.90","        275.00","        281.00","        277.75","        279.55","      70528","            19715838.65","       1850","      43268","         61.35"
"SRIPIPES","EQ","11-Jan-2017","        277.75","        282.50","        289.30","        276.50","        285.00","        285.50","        284.55","      83808","            23847838.35","       2068","      42346","         50.53"
"SRIPIPES","EQ","12-Jan-2017","        285.50","        285.00","        287.35","        279.55","        280.00","        280.20","        281.72","      49581","            13968005.55","       1237","      36393","         73.40"
"SRIPIPES","EQ","13-Jan-2017","        280.20","        282.50","        288.00","        280.90","        281.60","        282.15","        284.20","      51112","            14526110.65","       1417","      26011","         50.89"
"SRIPIPES","EQ","16-Jan-2017","        282.15","        283.00","        287.00","        280.00","        284.00","        284.40","        284.45","      22646","             6441726.10","        616","      14536","         64.19"
"SRIPIPES","EQ","17-Jan-2017","        284.40","        287.80","        287.80","        282.25","        287.00","        284.75","        285.02","      40221","            11463781.55","        973","      28074","         69.80"
"SRIPIPES","EQ","18-Jan-2017","        284.75","        286.45","        288.35","        280.70","        284.00","        284.10","        285.65","      39963","            11415536.50","        991","      22264","         55.71"
"SRIPIPES","EQ","19-Jan-2017","        284.10","        286.50","        287.00","        282.80","        286.00","        285.65","        284.91","      21525","             6132622.90","        598","      14660","         68.11"
"SRIPIPES","EQ","20-Jan-2017","        285.65","        282.85","        286.35","        275.10","        277.20","        276.85","        280.58","      38409","            10776783.65","       1549","      25710","         66.94"
"SRIPIPES","EQ","23-Jan-2017","        276.85","        280.00","        284.00","        278.05","        282.00","        280.05","        281.52","      34742","             9780497.90","       1425","      21542","         62.01"
"SRIPIPES","EQ","24-Jan-2017","        280.05","        282.00","        285.00","        276.50","        281.30","        280.10","        279.88","      52174","            14602356.20","       1247","      36690","         70.32"
"SRIPIPES","EQ","25-Jan-2017","        280.10","        284.00","        289.40","        282.00","        287.30","        286.85","        286.63","      84023","            24083588.50","       1612","      52784","         62.82"
"SRIPIPES","EQ","27-Jan-2017","        286.85","        289.95","        300.00","        282.20","        291.30","        292.15","        295.45","     177865","            52550861.60","       3834","     107692","         60.55"
"SRIPIPES","EQ","30-Jan-2017","        292.15","        290.50","        297.00","        288.00","        290.80","        291.30","        293.40","      55934","            16410944.50","       1498","      38984","         69.70"
"SRIPIPES","EQ","31-Jan-2017","        291.30","        290.95","        292.95","        282.70","        283.00","        284.25","        288.45","      64794","            18689722.80","       1678","      41632","         64.25"
"SRIPIPES","EQ","01-Feb-2017","        284.25","        285.00","        301.20","        274.30","        299.00","        299.50","        293.40","     131145","            38477719.80","       3254","      95441","         72.78"
"SRIPIPES","EQ","02-Feb-2017","        299.50","        298.30","        310.90","        298.30","        309.40","        309.50","        306.61","     110754","            33957936.45","       2662","      60979","         55.06"
"SRIPIPES","EQ","03-Feb-2017","        309.50","        312.00","        314.75","        302.10","        305.40","        305.10","        307.03","      77623","            23832862.85","       2116","      52063","         67.07"
"SRIPIPES","EQ","06-Feb-2017","        305.10","        305.00","        312.90","        289.60","        291.90","        293.45","        297.38","     224685","            66815702.45","       5437","     137559","         61.22"
"SRIPIPES","EQ","07-Feb-2017","        293.45","        298.85","        298.85","        289.15","        292.50","        291.50","        293.86","     102392","            30089375.10","       1674","      70354","         68.71"
"SRIPIPES","EQ","08-Feb-2017","        291.50","        290.00","        306.50","        287.20","        306.50","        301.10","        296.97","     101063","            30012982.35","       1946","      64297","         63.62"
"SRIPIPES","EQ","09-Feb-2017","        301.10","        305.00","        323.40","        302.70","        318.00","        318.35","        313.84","     303840","            95358374.15","       5279","     182146","         59.95"
"SRIPIPES","EQ","10-Feb-2017","        318.35","        320.00","        323.00","        312.00","        313.00","        313.05","        315.68","      74059","            23379209.80","       1507","      43743","         59.07"
"SRIPIPES","EQ","13-Feb-2017","        313.05","        316.90","        317.25","        310.00","        313.90","        314.00","        313.42","      73386","            23000420.10","       1700","      42738","         58.24"
"SRIPIPES","EQ","14-Feb-2017","        314.00","        315.00","        315.55","        311.00","        313.70","        312.80","        312.92","      42177","            13198079.45","        735","      27957","         66.28"
"SRIPIPES","EQ","15-Feb-2017","        312.80","        315.00","        315.25","        299.05","        302.00","        302.60","        305.63","      67052","            20492845.30","       1800","      27789","         41.44"
"SRIPIPES","EQ","16-Feb-2017","        302.60","        305.70","        311.80","        298.10","        309.00","        309.45","        305.56","      61231","            18710024.20","       1376","      34122","         55.73"
"SRIPIPES","EQ","17-Feb-2017","        309.45","        311.70","        318.55","        304.30","        314.45","        315.00","        313.26","     115757","            36262486.70","       3299","      56529","         48.83"
"SRIPIPES","EQ","20-Feb-2017","        315.00","        316.95","        324.00","        308.00","        322.00","        321.85","        318.74","     151557","            48307468.10","       3027","      93630","         61.78"
"SRIPIPES","EQ","21-Feb-2017","        321.85","        325.00","        327.55","        317.00","        322.00","        320.00","        322.17","      90844","            29267457.75","       1626","      62927","         69.27"
"SRIPIPES","EQ","22-Feb-2017","        320.00","        320.95","        320.95","        315.00","        319.25","        318.75","        317.97","      51442","            16357045.10","       1331","      24324","         47.28"
"SRIPIPES","EQ","23-Feb-2017","        318.75","        319.95","        325.80","        315.10","        318.05","        318.70","        321.19","      85069","            27323017.00","       2245","      48764","         57.32"
"SRIPIPES","EQ","27-Feb-2017","        318.70","        321.05","        331.50","        317.00","        327.60","        328.25","        326.43","     158338","            51685606.45","       2922","     108869","         68.76"
"SRIPIPES","EQ","28-Feb-2017","        328.25","        329.00","        331.55","        324.00","        327.35","        328.00","        327.60","      63945","            20948487.40","       1653","      36458","         57.01"
"SRIPIPES","EQ","01-Mar-2017","        328.00","        329.00","        331.80","        324.50","        325.00","        325.10","        327.55","      62590","            20501397.30","       1875","      39754","         63.51"
"SRIPIPES","EQ","02-Mar-2017","        325.10","        329.90","        329.90","        320.00","        329.00","        325.10","        324.44","      91471","            29677186.05","       1933","      47633","         52.07"
"SRIPIPES","EQ","03-Mar-2017","        325.10","        325.00","        326.10","        319.80","        321.50","        320.90","        322.75","      42074","            13579311.50","       1356","      21885","         52.02"
