"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SIL","BE","03-Jul-2017","         23.70","         23.15","         24.00","         23.05","         23.70","         23.75","         23.52","      39506","              929349.30","        133","-","-"
"SIL","BE","04-Jul-2017","         23.75","         23.05","         23.70","         23.05","         23.70","         23.60","         23.43","       5868","              137515.80","         17","-","-"
"SIL","BE","05-Jul-2017","         23.60","         22.75","         23.95","         22.75","         23.55","         23.55","         23.60","      47318","             1116527.45","         54","-","-"
"SIL","BE","06-Jul-2017","         23.55","         23.90","         24.05","         23.30","         24.00","         24.00","         23.98","      42820","             1026894.10","         71","-","-"
"SIL","BE","07-Jul-2017","         24.00","         23.35","         24.25","         23.35","         24.20","         23.95","         23.98","      11805","              283060.75","         23","-","-"
"SIL","BE","10-Jul-2017","         23.95","         23.55","         24.25","         23.55","         24.00","         24.00","         24.00","      56510","             1356452.50","         16","-","-"
"SIL","BE","11-Jul-2017","         24.00","         23.55","         24.60","         23.55","         24.25","         24.25","         24.02","      65290","             1568412.00","         41","-","-"
"SIL","BE","12-Jul-2017","         24.25","         24.70","         24.70","         24.15","         24.15","         24.15","         24.27","       5722","              138858.80","         15","-","-"
"SIL","BE","13-Jul-2017","         24.15","         23.75","         24.10","         23.50","         23.50","         23.60","         23.74","      30025","              712760.00","         24","-","-"
"SIL","BE","14-Jul-2017","         23.60","         23.30","         23.95","         22.70","         23.95","         23.90","         23.87","      13300","              317406.30","         20","-","-"
"SIL","BE","17-Jul-2017","         23.90","         24.10","         24.20","         23.00","         24.00","         24.00","         23.99","      12637","              303218.20","         22","-","-"
"SIL","BE","18-Jul-2017","         24.00","         24.00","         24.00","         23.30","         23.70","         23.70","         23.46","       4150","               97374.90","         15","-","-"
"SIL","BE","19-Jul-2017","         23.70","         23.45","         23.45","         23.45","         23.45","         23.45","         23.45","        750","               17587.50","          3","-","-"
"SIL","BE","20-Jul-2017","         23.45","         23.90","         24.00","         23.30","         24.00","         23.80","         23.68","       7812","              185004.55","         27","-","-"
"SIL","BE","21-Jul-2017","         23.80","         23.00","         24.00","         23.00","         23.60","         23.60","         23.48","       3723","               87421.15","         20","-","-"
"SIL","BE","24-Jul-2017","         23.60","         23.95","         24.75","         23.95","         24.75","         24.75","         24.24","      29489","              714710.25","         33","-","-"
"SIL","BE","25-Jul-2017","         24.75","         25.95","         25.95","         24.25","         24.85","         24.85","         24.81","      42869","             1063525.75","         88","-","-"
"SIL","BE","26-Jul-2017","         24.85","         25.00","         25.00","         24.10","         24.50","         24.45","         24.39","      10476","              255471.95","         19","-","-"
"SIL","BE","27-Jul-2017","         24.45","         24.50","         24.90","         24.00","         24.90","         24.50","         24.50","      27953","              684971.70","         37","-","-"
"SIL","BE","28-Jul-2017","         24.50","         24.50","         24.75","         24.10","         24.10","         24.10","         24.38","      16400","              399845.00","         16","-","-"
"SIL","BE","31-Jul-2017","         24.10","         23.30","         24.70","         23.00","         24.00","         24.00","         23.94","       7845","              187823.00","         29","-","-"
"SIL","BE","01-Aug-2017","         24.00","         24.00","         24.00","         23.80","         23.80","         23.80","         23.90","        770","               18400.00","          6","-","-"
"SIL","BE","02-Aug-2017","         23.80","         23.05","         23.75","         23.05","         23.20","         23.35","         23.31","       4650","              108392.50","         20","-","-"
"SIL","BE","03-Aug-2017","         23.35","         23.05","         23.50","         23.05","         23.50","         23.50","         23.37","       1672","               39079.10","         10","-","-"
"SIL","BE","04-Aug-2017","         23.50","         22.80","         24.40","         22.80","         23.65","         23.65","         24.02","       6569","              157783.65","         19","-","-"
"SIL","BE","07-Aug-2017","         23.65","         23.30","         24.80","         23.00","         23.80","         24.00","         24.42","      31322","              764800.60","         61","-","-"
"SIL","BE","08-Aug-2017","         24.00","         23.55","         24.00","         23.50","         23.50","         23.50","         23.76","      17209","              408853.90","         34","-","-"
"SIL","BE","09-Aug-2017","         23.50","         22.60","         23.95","         22.55","         23.95","         23.65","         23.69","      53658","             1271394.90","         88","-","-"
"SIL","BE","10-Aug-2017","         23.65","         23.30","         23.70","         22.50","         23.25","         23.25","         22.95","     125025","             2869867.65","         59","-","-"
"SIL","BE","11-Aug-2017","         23.25","         22.50","         23.20","         22.30","         23.20","         23.05","         22.62","       9705","              219537.95","         25","-","-"
"SIL","BE","14-Aug-2017","         23.05","         22.50","         23.40","         22.50","         23.40","         23.40","         23.00","       2853","               65615.20","         10","-","-"
"SIL","BE","16-Aug-2017","         23.40","         23.10","         23.30","         22.60","         23.00","         23.00","         23.08","      36244","              836436.70","         63","-","-"
"SIL","BE","17-Aug-2017","         23.00","         22.90","         23.35","         22.50","         23.00","         23.00","         22.94","      12457","              285740.45","         29","-","-"
"SIL","BE","18-Aug-2017","         23.00","         22.00","         23.20","         22.00","         23.15","         23.00","         22.86","       3040","               69479.50","         18","-","-"
"SIL","BE","21-Aug-2017","         23.00","         22.50","         23.15","         22.50","         22.95","         22.85","         22.84","       1905","               43501.85","         12","-","-"
"SIL","BE","22-Aug-2017","         22.85","         22.30","         23.10","         22.25","         22.95","         22.75","         22.42","       5120","              114783.20","         15","-","-"
"SIL","BE","23-Aug-2017","         22.75","         22.25","         23.15","         22.25","         23.15","         23.15","         22.89","       3275","               74980.20","         12","-","-"
