"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"STEELCITY","SM","17-Feb-2017","         55.00","         55.00","         56.00","         49.40","         51.00","         50.10","         52.24","    1906000","            99564000.00","        892","    1366000","         71.67"
"STEELCITY","SM","20-Feb-2017","         50.10","         51.90","         52.25","         48.20","         52.00","         51.50","         49.91","     418000","            20862700.00","        191","     256000","         61.24"
"STEELCITY","SM","21-Feb-2017","         51.50","         52.60","         53.45","         51.55","         51.85","         51.85","         52.29","     130000","             6797300.00","         53","     104000","         80.00"
"STEELCITY","SM","22-Feb-2017","         51.85","         52.85","         52.85","         51.40","         51.50","         51.60","         51.81","      72000","             3730600.00","         28","      50000","         69.44"
"STEELCITY","SM","23-Feb-2017","         51.60","         52.50","         52.50","         51.55","         52.15","         52.15","         52.09","      68000","             3542200.00","         34","      50000","         73.53"
"STEELCITY","SM","27-Feb-2017","         52.15","         52.00","         57.40","         52.00","         56.85","         56.70","         55.90","     818000","            45729800.00","        389","     622000","         76.04"
"STEELCITY","SM","28-Feb-2017","         56.70","         57.75","         59.35","         57.30","         58.50","         58.25","         58.38","     432000","            25218900.00","        209","     342000","         79.17"
"STEELCITY","SM","01-Mar-2017","         58.25","         59.00","         59.10","         57.65","         58.85","         58.85","         58.62","     212000","            12427700.00","        100","     178000","         83.96"
"STEELCITY","SM","02-Mar-2017","         58.85","         59.60","         62.45","         59.10","         61.90","         61.25","         61.14","     752000","            45974900.00","        351","     532000","         70.74"
"STEELCITY","SM","03-Mar-2017","         61.25","         60.35","         64.00","         60.35","         63.25","         63.25","         62.87","     360000","            22634700.00","        169","     262000","         72.78"
"STEELCITY","SM","06-Mar-2017","         63.25","         64.40","         66.50","         64.40","         66.40","         66.10","         65.68","     304000","            19966900.00","        148","     208000","         68.42"
"STEELCITY","SM","07-Mar-2017","         66.10","         66.75","         74.00","         66.60","         73.50","         73.35","         70.39","     484000","            34067200.00","        240","     284000","         58.68"
"STEELCITY","SM","08-Mar-2017","         73.35","         73.90","         75.75","         68.00","         71.00","         71.35","         72.20","     362000","            26134700.00","        180","     218000","         60.22"
"STEELCITY","SM","09-Mar-2017","         71.35","         71.70","         71.70","         69.20","         69.20","         69.75","         70.14","     100000","             7013700.00","         48","      78000","         78.00"
"STEELCITY","SM","10-Mar-2017","         69.75","         70.00","         73.25","         70.00","         71.90","         71.45","         71.73","     162000","            11620100.00","         78","      88000","         54.32"
"STEELCITY","SM","14-Mar-2017","         71.45","         73.20","         73.30","         70.20","         71.95","         70.75","         71.77","     130000","             9330400.00","         62","      70000","         53.85"
"STEELCITY","SM","15-Mar-2017","         70.75","         72.00","         73.00","         70.00","         70.60","         70.65","         71.64","     134000","             9599700.00","         55","      48000","         35.82"
"STEELCITY","SM","16-Mar-2017","         70.65","         71.55","         71.55","         70.10","         71.00","         70.90","         70.94","      48000","             3405000.00","         22","      28000","         58.33"
"STEELCITY","SM","17-Mar-2017","         70.90","         70.40","         70.40","         68.40","         69.30","         69.20","         69.23","      54000","             3738300.00","         27","      36000","         66.67"
"STEELCITY","SM","20-Mar-2017","         69.20","         68.65","         69.00","         67.40","         68.00","         67.70","         68.48","      24000","             1643600.00","         12","      18000","         75.00"
"STEELCITY","SM","21-Mar-2017","         67.70","         66.70","         66.70","         62.65","         64.20","         64.05","         64.65","      86000","             5560100.00","         37","      52000","         60.47"
"STEELCITY","SM","22-Mar-2017","         64.05","         63.20","         63.50","         61.80","         62.00","         62.10","         62.70","     130000","             8151100.00","         61","      86000","         66.15"
"STEELCITY","SM","23-Mar-2017","         62.10","         64.70","         65.25","         63.05","         65.25","         65.15","         64.39","      62000","             3992100.00","         30","      36000","         58.06"
"STEELCITY","SM","24-Mar-2017","         65.15","         66.00","         66.70","         65.40","         65.55","         65.55","         66.11","      40000","             2644500.00","         20","      20000","         50.00"
"STEELCITY","SM","27-Mar-2017","         65.55","         64.50","         66.00","         64.50","         66.00","         65.95","         65.75","      16000","             1052000.00","          8","      16000","        100.00"
"STEELCITY","SM","28-Mar-2017","         65.95","         68.45","         69.00","         66.40","         67.00","         66.70","         67.06","      36000","             2414300.00","          7","      36000","        100.00"
"STEELCITY","SM","29-Mar-2017","         66.70","         68.85","         68.85","         67.00","         67.00","         67.40","         68.07","      44000","             2994900.00","         15","      38000","         86.36"
"STEELCITY","SM","30-Mar-2017","         67.40","         67.45","         67.95","         66.00","         67.25","         67.25","         67.28","      20000","             1345500.00","          7","      20000","        100.00"
"STEELCITY","SM","31-Mar-2017","         67.25","         66.70","         68.00","         66.15","         66.15","         66.15","         67.58","      30000","             2027400.00","         11","      20000","         66.67"
