"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SSWL","EQ","03-Jul-2017","        872.45","        876.90","        888.05","        873.90","        880.00","        884.05","        879.63","      11859","            10431562.70","        745","       2508","         21.15"
"SSWL","EQ","04-Jul-2017","        884.05","        880.15","        885.00","        877.00","        879.00","        881.25","        881.52","       3219","             2837608.40","        475","       2156","         66.98"
"SSWL","EQ","05-Jul-2017","        881.25","        895.00","        900.00","        878.45","        886.80","        886.30","        889.72","       4361","             3880083.35","        571","       3062","         70.21"
"SSWL","EQ","06-Jul-2017","        886.30","        884.00","        889.00","        864.90","        867.00","        867.75","        873.75","       8933","             7805236.90","        701","       7003","         78.39"
"SSWL","EQ","07-Jul-2017","        867.75","        867.00","        884.90","        859.00","        869.90","        868.25","        868.37","      16764","            14557302.65","       1200","       8072","         48.15"
"SSWL","EQ","10-Jul-2017","        868.25","        869.00","        884.00","        869.00","        878.00","        876.05","        876.17","       2419","             2119447.90","         92","       2212","         91.44"
"SSWL","EQ","11-Jul-2017","        876.05","        888.00","        888.00","        872.00","        876.20","        876.70","        876.80","       5643","             4947792.40","        437","       3782","         67.02"
"SSWL","EQ","12-Jul-2017","        876.70","        877.05","        897.00","        876.85","        890.00","        892.20","        892.20","      19709","            17584308.35","       1355","       5569","         28.26"
"SSWL","EQ","13-Jul-2017","        892.20","        896.75","        896.75","        856.50","        880.00","        881.75","        882.99","       8031","             7091282.15","        817","       4314","         53.72"
"SSWL","EQ","14-Jul-2017","        881.75","        881.80","        895.00","        875.10","        880.00","        877.00","        879.18","       4059","             3568594.50","        521","       2263","         55.75"
"SSWL","EQ","17-Jul-2017","        877.00","        879.30","        880.75","        875.00","        875.25","        876.60","        877.27","       3395","             2978339.65","        331","       2110","         62.15"
"SSWL","EQ","18-Jul-2017","        876.60","        876.00","        884.00","        874.00","        875.10","        875.15","        878.76","       3093","             2718006.00","        219","       2711","         87.65"
