"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"STRTECH","EQ","03-Jul-2017","        146.65","        146.70","        149.90","        146.30","        149.00","        148.55","        148.23","     190082","            28175095.85","       4189","     109534","         57.62"
"STRTECH","EQ","04-Jul-2017","        148.55","        149.60","        149.60","        146.15","        146.85","        146.80","        147.87","     213783","            31611652.20","       7406","     141021","         65.96"
"STRTECH","EQ","05-Jul-2017","        146.80","        147.25","        166.00","        146.10","        156.70","        158.05","        158.26","    1757541","           278156443.75","      21081","     686776","         39.08"
"STRTECH","EQ","06-Jul-2017","        158.05","        156.80","        159.80","        155.00","        155.55","        155.65","        156.80","     755745","           118498445.90","      10768","     326258","         43.17"
"STRTECH","EQ","07-Jul-2017","        155.65","        155.40","        162.50","        155.00","        159.35","        158.95","        159.28","    1351728","           215305672.65","      15571","     384516","         28.45"
"STRTECH","EQ","10-Jul-2017","        158.95","        154.85","        180.00","        154.85","        160.00","        159.75","        159.66","     129867","            20734831.05","       1281","      79188","         60.98"
"STRTECH","EQ","11-Jul-2017","        159.75","        160.75","        162.50","        159.60","        161.15","        161.35","        161.28","     849267","           136970957.35","      13199","     548929","         64.64"
"STRTECH","EQ","12-Jul-2017","        161.35","        161.95","        162.50","        158.05","        160.50","        161.25","        160.49","     374407","            60090161.35","       4686","     190048","         50.76"
"STRTECH","EQ","13-Jul-2017","        161.25","        161.80","        162.30","        160.05","        160.65","        160.85","        160.80","     257373","            41386310.85","       3361","     123203","         47.87"
"STRTECH","EQ","14-Jul-2017","        160.85","        163.00","        164.30","        159.40","        160.35","        160.05","        161.57","     546835","            88351527.55","       6602","     228502","         41.79"
"STRTECH","EQ","17-Jul-2017","        160.05","        161.35","        162.50","        159.00","        159.20","        159.35","        160.43","     272900","            43780771.60","       5734","     156960","         57.52"
"STRTECH","EQ","18-Jul-2017","        159.35","        159.80","        160.60","        157.75","        158.50","        158.15","        158.71","     296799","            47103891.75","       6294","     162963","         54.91"
"STRTECH","EQ","19-Jul-2017","        158.15","        159.45","        174.90","        159.30","        172.25","        172.70","        169.37","    7538091","          1276703702.10","      53508","    1561767","         20.72"
"STRTECH","EQ","20-Jul-2017","        172.70","        175.00","        207.20","        174.60","        207.20","        207.20","        198.32","   19305486","          3828703159.10","     123313","    4007693","         20.76"
"STRTECH","EQ","21-Jul-2017","        207.20","        210.00","        247.90","        201.60","        222.40","        222.80","        228.19","   26828417","          6121936445.25","     213931","    4783474","         17.83"
"STRTECH","EQ","24-Jul-2017","        222.80","        227.80","        241.00","        225.65","        233.45","        231.60","        232.34","    8396938","          1950966492.30","      77303","    1389018","         16.54"
"STRTECH","EQ","25-Jul-2017","        231.60","        234.45","        235.80","        214.70","        215.80","        215.90","        222.04","    4072226","           904177664.00","      47456","    1134278","         27.85"
"STRTECH","EQ","26-Jul-2017","        215.90","        216.40","        223.50","        211.10","        213.25","        213.60","        217.64","    3367472","           732911536.60","      37767","     635033","         18.86"
"STRTECH","EQ","27-Jul-2017","        213.60","        214.90","        217.30","        206.50","        208.15","        207.55","        211.74","    2110336","           446850332.00","      24301","     613963","         29.09"
"STRTECH","EQ","28-Jul-2017","        207.55","        207.60","        220.30","        204.00","        215.00","        215.10","        213.53","    4777878","          1020227728.15","      51703","     984493","         20.61"
"STRTECH","EQ","31-Jul-2017","        215.10","        216.40","        218.70","        210.10","        211.30","        211.60","        214.25","    1563838","           335046407.50","      17542","     485553","         31.05"
"STRTECH","EQ","01-Aug-2017","        211.60","        213.00","        216.00","        210.50","        211.45","        211.50","        212.74","    1120886","           238459001.30","      16967","     318584","         28.42"
"STRTECH","EQ","02-Aug-2017","        211.50","        212.90","        221.90","        211.60","        221.55","        220.70","        217.86","    2272320","           495037827.85","      27873","     857630","         37.74"
"STRTECH","EQ","03-Aug-2017","        220.70","        221.40","        226.35","        217.55","        225.90","        225.20","        223.46","    2158867","           482429517.50","      21903","     666277","         30.86"
"STRTECH","EQ","04-Aug-2017","        225.20","        226.05","        227.50","        218.75","        220.80","        219.85","        222.42","     865896","           192594162.25","       9911","     257494","         29.74"
"STRTECH","EQ","07-Aug-2017","        219.85","        221.00","        241.80","        217.40","        241.80","        238.00","        232.32","    2662689","           618606469.00","      33017","     969589","         36.41"
"STRTECH","EQ","08-Aug-2017","        238.00","        242.90","        249.90","        228.00","        240.00","        241.10","        239.25","    4330147","          1036000219.95","      50876","    1120894","         25.89"
"STRTECH","EQ","09-Aug-2017","        241.10","        237.80","        239.40","        227.10","        229.40","        230.65","        234.40","    1384213","           324460006.25","      19105","     457887","         33.08"
"STRTECH","EQ","10-Aug-2017","        230.65","        227.00","        229.90","        208.10","        217.00","        212.85","        219.64","    1282703","           281730166.95","      17275","     458305","         35.73"
"STRTECH","EQ","11-Aug-2017","        212.85","        208.80","        221.00","        193.30","        218.00","        218.60","        206.94","    3402630","           704141930.35","      35658","     991938","         29.15"
"STRTECH","EQ","14-Aug-2017","        218.60","        222.00","        226.70","        218.20","        219.00","        219.85","        222.51","     632178","           140666861.70","      13078","     253916","         40.17"
"STRTECH","EQ","16-Aug-2017","        219.85","        221.80","        230.50","        220.00","        226.50","        226.70","        226.43","    1018588","           230639459.75","      14197","     369138","         36.24"
"STRTECH","EQ","17-Aug-2017","        226.70","        226.50","        232.90","        226.00","        227.05","        227.90","        229.11","     737493","           168965693.40","       9645","     197696","         26.81"
"STRTECH","EQ","18-Aug-2017","        227.90","        225.00","        226.80","        220.00","        223.05","        223.55","        223.35","     651930","           145608695.40","       9833","     203302","         31.18"
"STRTECH","EQ","21-Aug-2017","        223.55","        224.25","        226.15","        212.10","        216.75","        215.50","        220.37","     787748","           173599456.80","      12377","     340054","         43.17"
"STRTECH","EQ","22-Aug-2017","        215.50","        218.25","        220.05","        210.00","        213.50","        213.70","        214.96","     764845","           164407992.50","      12257","     359483","         47.00"
"STRTECH","EQ","23-Aug-2017","        213.70","        215.05","        223.00","        214.05","        215.50","        215.75","        217.67","    1024285","           222960807.25","      17711","     370166","         36.14"
"STRTECH","EQ","24-Aug-2017","        215.75","        217.05","        221.00","        216.10","        217.05","        217.10","        218.15","     513260","           111968439.15","       7716","     158367","         30.86"
