"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUBROS","EQ","02-Jan-2017","        163.20","        163.50","        171.90","        161.60","        167.50","        168.25","        167.79","     114373","            19190447.60","       1557","      38040","         33.26"
"SUBROS","EQ","03-Jan-2017","        168.25","        168.25","        171.30","        166.00","        167.75","        167.50","        168.88","      71881","            12139478.20","       1841","      30027","         41.77"
"SUBROS","EQ","04-Jan-2017","        167.50","        169.50","        169.50","        162.65","        163.00","        164.20","        166.63","      24398","             4065533.55","        603","      13149","         53.89"
"SUBROS","EQ","05-Jan-2017","        164.20","        164.85","        171.50","        164.25","        170.00","        169.75","        169.69","     153538","            26053465.90","       2208","      67570","         44.01"
"SUBROS","EQ","06-Jan-2017","        169.75","        170.00","        171.85","        166.15","        167.20","        167.25","        168.29","      37241","             6267307.25","        638","      23610","         63.40"
"SUBROS","EQ","09-Jan-2017","        167.25","        169.90","        169.90","        165.30","        169.75","        168.55","        167.88","      27315","             4585643.95","        801","      16045","         58.74"
"SUBROS","EQ","10-Jan-2017","        168.55","        168.50","        170.00","        164.30","        164.35","        166.10","        166.65","      48293","             8047977.55","       1115","      24636","         51.01"
"SUBROS","EQ","11-Jan-2017","        166.10","        167.00","        196.00","        166.05","        175.45","        176.50","        175.96","     338009","            59477354.60","       5193","     121089","         35.82"
"SUBROS","EQ","12-Jan-2017","        176.50","        176.00","        180.00","        172.00","        173.40","        173.50","        175.95","     181731","            31974722.75","       3079","      48975","         26.95"
"SUBROS","EQ","13-Jan-2017","        173.50","        174.15","        176.40","        171.70","        173.00","        173.15","        173.58","      43934","             7625920.15","        983","      13655","         31.08"
"SUBROS","EQ","16-Jan-2017","        173.15","        171.20","        179.00","        169.00","        174.00","        173.50","        175.54","      94651","            16614698.00","       2404","      32413","         34.24"
"SUBROS","EQ","17-Jan-2017","        173.50","        175.00","        176.00","        171.00","        171.50","        171.60","        173.22","      31009","             5371231.40","       1186","      17241","         55.60"
"SUBROS","EQ","18-Jan-2017","        171.60","        172.55","        174.90","        171.00","        172.00","        171.90","        172.05","      41875","             7204704.10","       1067","      27889","         66.60"
"SUBROS","EQ","19-Jan-2017","        171.90","        171.55","        178.00","        170.95","        173.00","        173.30","        174.95","      88146","            15421287.70","       1194","      34250","         38.86"
"SUBROS","EQ","20-Jan-2017","        173.30","        173.85","        184.30","        170.55","        178.00","        177.35","        179.47","     386946","            69445878.85","       6720","     127681","         33.00"
