"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUJANAUNI","EQ","02-Jan-2017","          1.70","          1.75","          1.85","          1.70","          1.85","          1.85","          1.78","      92414","              164401.60","         72","      76099","         82.35"
"SUJANAUNI","EQ","03-Jan-2017","          1.85","          1.85","          1.95","          1.80","          1.90","          1.90","          1.87","     137152","              256042.00","        128","      90012","         65.63"
"SUJANAUNI","EQ","04-Jan-2017","          1.90","          1.90","          1.95","          1.85","          1.90","          1.90","          1.89","      60399","              113961.40","         64","      33257","         55.06"
"SUJANAUNI","EQ","05-Jan-2017","          1.90","          1.90","          1.95","          1.75","          1.80","          1.80","          1.84","     135044","              248533.25","         88","      93526","         69.26"
"SUJANAUNI","EQ","06-Jan-2017","          1.80","          1.85","          1.90","          1.70","          1.75","          1.70","          1.75","     330873","              580669.80","        184","     257111","         77.71"
"SUJANAUNI","EQ","09-Jan-2017","          1.70","          1.75","          1.75","          1.70","          1.70","          1.70","          1.73","     139353","              240482.70","         79","     118378","         84.95"
"SUJANAUNI","EQ","10-Jan-2017","          1.70","          1.75","          1.75","          1.70","          1.75","          1.70","          1.73","     284911","              491840.20","         95","     136406","         47.88"
"SUJANAUNI","EQ","11-Jan-2017","          1.70","          1.75","          1.75","          1.65","          1.70","          1.75","          1.74","     268035","              467340.30","         93","     252655","         94.26"
"SUJANAUNI","EQ","12-Jan-2017","          1.75","          1.70","          1.75","          1.70","          1.75","          1.70","          1.73","     151727","              263111.60","         58","     119737","         78.92"
"SUJANAUNI","EQ","13-Jan-2017","          1.70","          1.70","          1.85","          1.65","          1.70","          1.70","          1.73","     261563","              452201.55","         95","     208667","         79.78"
"SUJANAUNI","EQ","16-Jan-2017","          1.70","          1.75","          1.75","          1.60","          1.65","          1.65","          1.69","     689207","             1165814.20","        228","     551212","         79.98"
"SUJANAUNI","EQ","17-Jan-2017","          1.65","          1.65","          1.70","          1.60","          1.65","          1.65","          1.65","      97141","              160285.70","         62","      84485","         86.97"
"SUJANAUNI","EQ","18-Jan-2017","          1.65","          1.70","          1.70","          1.65","          1.65","          1.65","          1.69","     144374","              244636.90","         73","      93377","         64.68"
"SUJANAUNI","EQ","19-Jan-2017","          1.65","          1.70","          1.70","          1.65","          1.70","          1.70","          1.70","     249816","              424149.95","         61","     172559","         69.07"
"SUJANAUNI","EQ","20-Jan-2017","          1.70","          1.70","          1.70","          1.65","          1.65","          1.65","          1.68","      88761","              149349.50","         33","      82318","         92.74"
"SUJANAUNI","EQ","23-Jan-2017","          1.65","          1.70","          1.75","          1.65","          1.70","          1.70","          1.70","     549493","              932169.95","        102","     367536","         66.89"
"SUJANAUNI","EQ","24-Jan-2017","          1.70","          1.70","          1.70","          1.65","          1.70","          1.70","          1.70","     222209","              377718.10","         50","     148065","         66.63"
"SUJANAUNI","EQ","25-Jan-2017","          1.70","          1.65","          1.85","          1.65","          1.70","          1.65","          1.69","     600531","             1016177.15","        137","     305840","         50.93"
"SUJANAUNI","EQ","27-Jan-2017","          1.65","          1.70","          1.70","          1.65","          1.70","          1.70","          1.69","     136317","              230902.25","         31","     117484","         86.18"
"SUJANAUNI","EQ","30-Jan-2017","          1.70","          1.70","          1.70","          1.65","          1.70","          1.70","          1.70","      72583","              123063.55","         37","      66024","         90.96"
"SUJANAUNI","EQ","31-Jan-2017","          1.70","          1.70","          1.70","          1.60","          1.60","          1.65","          1.65","     197870","              327129.70","         57","     169273","         85.55"
"SUJANAUNI","EQ","01-Feb-2017","          1.65","          1.70","          1.70","          1.60","          1.70","          1.70","          1.66","      40492","               67282.75","         38","      40492","        100.00"
"SUJANAUNI","EQ","02-Feb-2017","          1.70","          1.70","          1.70","          1.60","          1.65","          1.70","          1.64","     175454","              288522.75","         88","     137337","         78.28"
