"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUMEETINDS","EQ","02-Jan-2017","         34.15","         34.70","         34.80","         33.70","         34.35","         34.25","         34.36","     441920","            15183345.35","       1544","     253520","         57.37"
"SUMEETINDS","EQ","03-Jan-2017","         34.25","         34.40","         35.95","         34.10","         35.90","         35.85","         35.31","     927605","            32755887.95","       3313","     485516","         52.34"
"SUMEETINDS","EQ","04-Jan-2017","         35.85","         36.10","         37.20","         36.10","         36.60","         36.50","         36.69","     568163","            20844722.45","       1973","     286664","         50.45"
"SUMEETINDS","EQ","05-Jan-2017","         36.50","         37.00","         37.30","         36.30","         36.40","         36.50","         36.71","     416314","            15283711.15","       1494","     191312","         45.95"
"SUMEETINDS","EQ","06-Jan-2017","         36.50","         36.55","         36.70","         35.30","         35.40","         35.45","         35.82","     376256","            13476486.25","       1722","     181492","         48.24"
"SUMEETINDS","EQ","09-Jan-2017","         35.45","         35.60","         35.90","         34.80","         35.10","         35.10","         35.35","     341185","            12060481.75","       1484","     158132","         46.35"
"SUMEETINDS","EQ","10-Jan-2017","         35.10","         35.15","         35.75","         34.80","         35.45","         35.40","         35.43","     211205","             7483029.40","        798","     127798","         60.51"
"SUMEETINDS","EQ","11-Jan-2017","         35.40","         35.70","         36.70","         35.30","         35.90","         35.80","         36.01","     583340","            21003251.90","       2089","     189880","         32.55"
"SUMEETINDS","EQ","12-Jan-2017","         35.80","         35.95","         37.25","         35.25","         36.90","         36.65","         36.50","     776423","            28340275.85","       2675","     342733","         44.14"
"SUMEETINDS","EQ","13-Jan-2017","         36.65","         36.95","         38.45","         36.35","         38.40","         38.40","         37.95","    1621794","            61539295.10","       4048","     768928","         47.41"
"SUMEETINDS","EQ","16-Jan-2017","         38.40","         38.65","         40.30","         38.60","         40.30","         40.25","         39.93","    1550568","            61918217.60","       4224","     804849","         51.91"
"SUMEETINDS","EQ","17-Jan-2017","         40.25","         40.50","         41.75","         39.45","         39.95","         40.05","         40.50","    1515769","            61393529.20","       5171","     650684","         42.93"
"SUMEETINDS","EQ","18-Jan-2017","         40.05","         40.00","         40.75","         39.45","         39.90","         39.65","         39.94","    1066093","            42575655.50","       2678","     453201","         42.51"
"SUMEETINDS","EQ","19-Jan-2017","         39.65","         39.75","         39.90","         38.70","         38.90","         38.90","         39.03","     308828","            12053438.85","       1236","     178206","         57.70"
"SUMEETINDS","EQ","20-Jan-2017","         38.90","         38.60","         38.85","         37.30","         37.70","         37.55","         37.90","     581493","            22038674.95","       1884","     392554","         67.51"
"SUMEETINDS","EQ","23-Jan-2017","         37.55","         37.70","         39.40","         36.90","         39.40","         39.40","         38.94","    1513385","            58938437.50","       3484","     701011","         46.32"
"SUMEETINDS","EQ","24-Jan-2017","         39.40","         40.40","         41.20","         39.75","         39.85","         39.85","         40.38","    1296974","            52366943.95","       5128","     572720","         44.16"
"SUMEETINDS","EQ","25-Jan-2017","         39.85","         40.05","         40.25","         38.65","         38.90","         38.90","         39.12","     700240","            27390712.75","       2593","     412544","         58.91"
"SUMEETINDS","EQ","27-Jan-2017","         38.90","         39.00","         39.00","         38.05","         38.10","         38.15","         38.40","     373356","            14336402.50","       1565","     219954","         58.91"
"SUMEETINDS","EQ","30-Jan-2017","         38.15","         38.20","         38.20","         36.90","         37.05","         37.10","         37.36","     533538","            19934359.15","       2031","     316038","         59.23"
"SUMEETINDS","EQ","31-Jan-2017","         37.10","         37.00","         37.00","         36.30","         36.35","         36.45","         36.62","     337759","            12369921.25","       1819","     164397","         48.67"
"SUMEETINDS","EQ","01-Feb-2017","         36.45","         36.45","         38.20","         36.05","         37.75","         37.90","         37.47","     496760","            18615151.00","       1918","     251416","         50.61"
"SUMEETINDS","EQ","02-Feb-2017","         37.90","         37.80","         38.15","         36.90","         37.20","         37.10","         37.43","     359120","            13442039.00","       1257","     209710","         58.40"
"SUMEETINDS","EQ","03-Feb-2017","         37.10","         37.20","         37.35","         35.80","         35.95","         35.90","         36.36","     717547","            26090112.95","       2728","     526705","         73.40"
"SUMEETINDS","EQ","06-Feb-2017","         35.90","         36.20","         37.00","         35.80","         35.80","         36.05","         36.51","     523767","            19125152.80","       1926","     345482","         65.96"
"SUMEETINDS","EQ","07-Feb-2017","         36.05","         36.20","         38.90","         36.00","         38.50","         38.30","         37.69","    1252360","            47202643.05","       3942","     506431","         40.44"
"SUMEETINDS","EQ","08-Feb-2017","         38.30","         38.25","         39.70","         37.55","         39.30","         39.10","         38.77","     937610","            36354741.95","       2724","     445667","         47.53"
"SUMEETINDS","EQ","09-Feb-2017","         39.10","         38.90","         39.60","         37.40","         37.50","         38.10","         38.24","    2071283","            79203787.25","       4671","     861898","         41.61"
"SUMEETINDS","EQ","10-Feb-2017","         38.10","         38.15","         38.70","         37.60","         37.85","         37.90","         38.15","     843618","            32182614.95","       2457","     426777","         50.59"
"SUMEETINDS","EQ","13-Feb-2017","         37.90","         38.10","         38.25","         36.60","         36.65","         36.85","         37.32","     440233","            16430812.95","       1432","     255855","         58.12"
"SUMEETINDS","EQ","14-Feb-2017","         36.85","         36.85","         36.90","         35.15","         35.50","         35.50","         35.95","     423832","            15238442.95","       1817","     289704","         68.35"
"SUMEETINDS","EQ","15-Feb-2017","         35.50","         35.05","         35.20","         33.60","         34.10","         34.10","         34.28","     686933","            23551113.15","       2655","     414294","         60.31"
"SUMEETINDS","EQ","16-Feb-2017","         34.10","         34.05","         34.75","         34.00","         34.40","         34.40","         34.42","     370829","            12763617.80","       1466","     161449","         43.54"
"SUMEETINDS","EQ","17-Feb-2017","         34.40","         34.80","         35.60","         34.60","         34.70","         34.75","         35.06","     385969","            13533257.70","       1356","     259798","         67.31"
"SUMEETINDS","EQ","20-Feb-2017","         34.75","         34.90","         35.40","         34.10","         34.40","         34.45","         34.63","     362089","            12540329.70","       1589","     241650","         66.74"
"SUMEETINDS","EQ","21-Feb-2017","         34.45","         34.60","         35.35","         34.40","         34.50","         34.55","         34.73","     397126","            13791857.60","       1778","     229736","         57.85"
"SUMEETINDS","EQ","22-Feb-2017","         34.55","         34.95","         34.95","         33.85","         34.00","         34.05","         34.23","     307565","            10526657.75","       1498","     183474","         59.65"
"SUMEETINDS","EQ","23-Feb-2017","         34.05","         34.10","         34.50","         33.75","         33.85","         33.85","         34.01","     494710","            16827044.30","       1352","     186503","         37.70"
"SUMEETINDS","EQ","27-Feb-2017","         33.85","         33.85","         34.45","         33.10","         33.20","         33.35","         33.59","     208101","             6990397.95","        928","     141092","         67.80"
"SUMEETINDS","EQ","28-Feb-2017","         33.35","         33.50","         34.30","         33.15","         34.15","         34.15","         33.90","     486769","            16503854.05","       1772","     202996","         41.70"
"SUMEETINDS","EQ","01-Mar-2017","         34.15","         34.40","         36.10","         34.15","         35.60","         35.65","         35.61","     776350","            27645808.75","       3505","     392290","         50.53"
"SUMEETINDS","EQ","02-Mar-2017","         35.65","         35.80","         36.20","         33.80","         33.80","         34.05","         34.80","     411862","            14332156.90","       1779","     266083","         64.60"
"SUMEETINDS","EQ","03-Mar-2017","         34.05","         33.50","         34.45","         33.45","         33.65","         33.65","         33.76","     326350","            11016216.95","       1278","     168709","         51.70"
"SUMEETINDS","EQ","06-Mar-2017","         33.65","         33.80","         34.40","         33.75","         33.80","         33.85","         34.05","     142221","             4842745.80","        687","      89762","         63.11"
"SUMEETINDS","EQ","07-Mar-2017","         33.85","         34.05","         34.20","         33.60","         33.65","         33.70","         33.86","     138272","             4681999.10","        622","      84955","         61.44"
"SUMEETINDS","EQ","08-Mar-2017","         33.70","         33.85","         33.85","         33.20","         33.30","         33.30","         33.43","     156369","             5227344.20","        710","     103492","         66.18"
"SUMEETINDS","EQ","09-Mar-2017","         33.30","         33.30","         33.50","         32.90","         33.10","         33.05","         33.16","     139047","             4611423.20","        676","      96203","         69.19"
"SUMEETINDS","EQ","10-Mar-2017","         33.05","         33.25","         33.30","         32.65","         32.90","         32.75","         32.85","     150112","             4931731.50","        878","     101511","         67.62"
"SUMEETINDS","EQ","14-Mar-2017","         32.75","         33.90","         33.90","         32.60","         32.70","         32.70","         33.12","     138935","             4600992.30","        802","      92970","         66.92"
"SUMEETINDS","EQ","15-Mar-2017","         32.70","         32.90","         33.05","         32.05","         32.10","         32.20","         32.53","     207830","             6761050.00","        933","     141327","         68.00"
"SUMEETINDS","EQ","16-Mar-2017","         32.20","         32.40","         33.15","         32.25","         32.55","         32.65","         32.79","     303864","             9963553.40","       1345","     159570","         52.51"
"SUMEETINDS","EQ","17-Mar-2017","         32.65","         32.85","         33.25","         32.60","         32.75","         32.75","         32.92","     255662","             8415964.70","       1093","     146884","         57.45"
"SUMEETINDS","EQ","20-Mar-2017","         32.75","         32.90","         32.95","         32.40","         32.50","         32.45","         32.58","     136848","             4458077.20","        541","     100831","         73.68"
"SUMEETINDS","EQ","21-Mar-2017","         32.45","         32.65","         32.70","         31.55","         31.70","         31.65","         31.90","     272619","             8697867.00","       1092","     203622","         74.69"
"SUMEETINDS","EQ","22-Mar-2017","         31.65","         31.55","         31.75","         30.50","         30.85","         30.80","         30.89","     251931","             7782499.90","       1250","     154645","         61.38"
"SUMEETINDS","EQ","23-Mar-2017","         30.80","         30.70","         30.95","         30.10","         30.30","         30.40","         30.65","     324082","             9933475.05","       1173","     225049","         69.44"
"SUMEETINDS","EQ","24-Mar-2017","         30.40","         30.50","         30.55","         29.50","         29.85","         29.80","         29.85","     593504","            17715108.10","       1924","     395495","         66.64"
"SUMEETINDS","EQ","27-Mar-2017","         29.80","         29.95","         30.00","         29.55","         29.75","         29.70","         29.73","     198445","             5900027.70","        809","     130092","         65.56"
"SUMEETINDS","EQ","28-Mar-2017","         29.70","         29.90","         32.65","         29.85","         32.65","         32.65","         32.20","     502466","            16180368.35","       1416","     373821","         74.40"
"SUMEETINDS","EQ","29-Mar-2017","         32.65","         35.90","         35.90","         34.70","         35.65","         35.50","         35.55","    1884453","            67001217.25","       5278","    1044041","         55.40"
"SUMEETINDS","EQ","30-Mar-2017","         35.50","         35.50","         35.50","         34.20","         34.40","         34.55","         34.74","     477288","            16581516.75","       1916","     204998","         42.95"
"SUMEETINDS","EQ","31-Mar-2017","         34.55","         34.90","         34.95","         33.40","         33.50","         33.85","         34.26","     314021","            10758862.70","       1260","     201710","         64.23"
