"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUNCLAYLTD","EQ","02-Jan-2017","       2993.85","       2934.00","       2994.40","       2934.00","       2992.85","       2992.90","       2982.28","        472","             1407634.80","        121","        348","         73.73"
"SUNCLAYLTD","EQ","03-Jan-2017","       2992.90","       2996.00","       2996.00","       2963.90","       2994.90","       2994.85","       2994.12","        169","              506005.60","         23","        146","         86.39"
"SUNCLAYLTD","EQ","04-Jan-2017","       2994.85","       2996.00","       2996.00","       2963.35","       2970.00","       2985.95","       2980.02","      78298","           233329825.15","        107","      78228","         99.91"
"SUNCLAYLTD","EQ","05-Jan-2017","       2985.95","       2990.00","       2999.70","       2968.10","       2990.00","       2990.25","       2987.86","        202","              603547.45","         53","        175","         86.63"
"SUNCLAYLTD","EQ","06-Jan-2017","       2990.25","       3029.95","       3029.95","       2970.35","       2971.10","       2994.45","       2995.64","        203","              608114.65","         47","        143","         70.44"
"SUNCLAYLTD","EQ","09-Jan-2017","       2994.45","       3048.80","       3048.80","       2950.00","       2950.00","       2977.00","       2976.60","        222","              660805.55","         77","        115","         51.80"
"SUNCLAYLTD","EQ","10-Jan-2017","       2977.00","       2975.00","       2999.00","       2932.60","       2998.00","       2985.35","       2976.03","        552","             1642770.95","        133","        419","         75.91"
"SUNCLAYLTD","EQ","11-Jan-2017","       2985.35","       3000.00","       3034.00","       2965.25","       3000.00","       3007.95","       3004.78","        608","             1826907.10","         84","        543","         89.31"
"SUNCLAYLTD","EQ","12-Jan-2017","       3007.95","       3048.80","       3060.00","       2981.00","       3000.00","       3024.70","       3022.50","       1500","             4533746.60","        340","        902","         60.13"
"SUNCLAYLTD","EQ","13-Jan-2017","       3024.70","       3024.70","       3049.90","       3001.05","       3042.90","       3031.25","       3028.97","        873","             2644288.90","        218","        563","         64.49"
"SUNCLAYLTD","EQ","16-Jan-2017","       3031.25","       3000.00","       3060.00","       2895.00","       3050.00","       3024.90","       2992.68","        808","             2418087.90","        262","        442","         54.70"
"SUNCLAYLTD","EQ","17-Jan-2017","       3024.90","       3039.95","       3089.85","       3007.05","       3089.85","       3039.40","       3035.48","        649","             1970028.25","        192","        374","         57.63"
"SUNCLAYLTD","EQ","18-Jan-2017","       3039.40","       3078.95","       3079.90","       3006.00","       3030.00","       3045.55","       3037.65","        750","             2278241.05","        166","        501","         66.80"
"SUNCLAYLTD","EQ","19-Jan-2017","       3045.55","       3025.05","       3080.00","       3000.00","       3080.00","       3047.45","       3036.14","        722","             2192091.60","        181","        436","         60.39"
"SUNCLAYLTD","EQ","20-Jan-2017","       3047.45","       3049.90","       3050.00","       3001.00","       3001.00","       3022.60","       3030.12","        912","             2763471.90","        143","        724","         79.39"
"SUNCLAYLTD","EQ","23-Jan-2017","       3022.60","       3024.95","       3073.95","       3010.00","       3073.95","       3055.15","       3046.25","        213","              648851.75","         91","        142","         66.67"
"SUNCLAYLTD","EQ","24-Jan-2017","       3055.15","       3069.00","       3295.00","       3020.00","       3193.00","       3133.40","       3117.11","       1743","             5433117.40","        367","       1140","         65.40"
"SUNCLAYLTD","EQ","25-Jan-2017","       3133.40","       3149.00","       3214.95","       3121.20","       3200.00","       3200.65","       3182.94","        656","             2088009.95","        139","        416","         63.41"
"SUNCLAYLTD","EQ","27-Jan-2017","       3200.65","       3229.90","       3229.90","       3145.15","       3211.70","       3192.75","       3188.18","        880","             2805598.85","        209","        608","         69.09"
"SUNCLAYLTD","EQ","30-Jan-2017","       3192.75","       3138.05","       3205.00","       3138.05","       3205.00","       3185.85","       3172.42","        887","             2813934.65","        191","        530","         59.75"
"SUNCLAYLTD","EQ","31-Jan-2017","       3185.85","       3220.00","       3220.00","       3165.00","       3185.00","       3184.75","       3178.99","        347","             1103109.90","        126","        180","         51.87"
"SUNCLAYLTD","EQ","01-Feb-2017","       3184.75","       3200.00","       3250.00","       3150.00","       3205.00","       3205.50","       3191.32","        971","             3098775.60","        215","        568","         58.50"
"SUNCLAYLTD","EQ","02-Feb-2017","       3205.50","       3191.10","       3205.00","       3163.00","       3186.00","       3199.50","       3198.60","        450","             1439371.50","         69","        424","         94.22"
"SUNCLAYLTD","EQ","03-Feb-2017","       3199.50","       3195.00","       3243.90","       3161.60","       3210.00","       3218.55","       3200.52","        656","             2099539.05","        184","        447","         68.14"
"SUNCLAYLTD","EQ","06-Feb-2017","       3218.55","       3185.05","       3245.00","       3180.00","       3235.00","       3230.90","       3212.73","        722","             2319591.25","        218","        399","         55.26"
"SUNCLAYLTD","EQ","07-Feb-2017","       3230.90","       3240.05","       3599.00","       3121.00","       3426.05","       3439.00","       3424.17","       8731","            29896425.20","       1837","       1395","         15.98"
