"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUPRAJIT","EQ","03-Apr-2017","        240.45","        244.80","        244.80","        237.85","        240.00","        240.05","        242.00","      96814","            23428530.55","       6546","      68487","         70.74"
"SUPRAJIT","EQ","05-Apr-2017","        240.05","        243.50","        244.70","        240.10","        241.65","        241.05","        242.01","      59854","            14485013.50","       3280","      42681","         71.31"
"SUPRAJIT","EQ","06-Apr-2017","        241.05","        243.80","        245.00","        237.40","        240.00","        241.95","        241.18","      47545","            11466684.80","       1053","      36044","         75.81"
"SUPRAJIT","EQ","07-Apr-2017","        241.95","        240.55","        242.80","        236.10","        237.60","        237.50","        238.77","      46027","            10989692.95","       1181","      33573","         72.94"
"SUPRAJIT","EQ","10-Apr-2017","        237.50","        239.00","        239.95","        225.80","        228.50","        229.55","        229.63","      96468","            22151861.25","       2343","      60990","         63.22"
"SUPRAJIT","EQ","11-Apr-2017","        229.55","        234.80","        235.45","        227.00","        227.60","        229.25","        229.43","      74898","            17183646.95","       1540","      42584","         56.86"
"SUPRAJIT","EQ","12-Apr-2017","        229.25","        233.75","        239.90","        225.00","        235.45","        236.80","        233.04","      78984","            18406618.15","       2056","      41862","         53.00"
"SUPRAJIT","EQ","13-Apr-2017","        236.80","        235.45","        236.00","        227.40","        231.20","        234.30","        230.36","     132077","            30425351.35","       3074","      63518","         48.09"
"SUPRAJIT","EQ","17-Apr-2017","        234.30","        230.50","        239.90","        228.40","        229.50","        232.50","        233.12","     106746","            24884846.30","       2822","      71221","         66.72"
"SUPRAJIT","EQ","18-Apr-2017","        232.50","        230.30","        236.50","        228.00","        229.05","        230.05","        232.14","      95520","            22173628.55","       1597","      66433","         69.55"
"SUPRAJIT","EQ","19-Apr-2017","        230.05","        230.05","        232.95","        227.25","        228.00","        228.40","        229.60","      46041","            10571139.85","        970","      32277","         70.10"
"SUPRAJIT","EQ","20-Apr-2017","        228.40","        229.00","        243.60","        227.80","        235.00","        236.05","        232.61","      70658","            16436065.00","        870","      51412","         72.76"
"SUPRAJIT","EQ","21-Apr-2017","        236.05","        236.10","        239.70","        232.00","        235.00","        233.55","        235.19","      42430","             9979110.65","        921","      34681","         81.74"
"SUPRAJIT","EQ","24-Apr-2017","        233.55","        235.00","        240.00","        230.50","        238.00","        236.90","        234.87","      39622","             9306139.10","       1639","      27743","         70.02"
"SUPRAJIT","EQ","25-Apr-2017","        236.90","        237.05","        239.15","        232.95","        233.20","        235.50","        236.31","      54000","            12760592.25","       1730","      40302","         74.63"
"SUPRAJIT","EQ","26-Apr-2017","        235.50","        232.15","        236.20","        228.00","        228.60","        231.30","        231.09","      59471","            13743073.85","       1318","      38696","         65.07"
