"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUPREMEINF","EQ","02-Jan-2017","         82.20","         82.90","         83.20","         77.05","         78.80","         79.50","         79.68","      41766","             3327780.75","        595","      31492","         75.40"
"SUPREMEINF","EQ","03-Jan-2017","         79.50","         79.95","         83.00","         79.30","         80.50","         80.65","         81.29","      44673","             3631611.65","        418","      33202","         74.32"
"SUPREMEINF","EQ","04-Jan-2017","         80.65","         81.45","         81.45","         77.40","         79.40","         78.70","         78.97","      80925","             6390689.90","        261","      76382","         94.39"
"SUPREMEINF","EQ","05-Jan-2017","         78.70","         78.75","         93.20","         78.70","         89.30","         89.95","         89.42","     759385","            67902645.20","       7036","     235948","         31.07"
"SUPREMEINF","EQ","06-Jan-2017","         89.95","         90.15","         92.30","         88.10","         88.75","         88.45","         89.87","     223326","            20070965.85","       3262","      88147","         39.47"
"SUPREMEINF","EQ","09-Jan-2017","         88.45","         86.20","         89.90","         85.20","         85.85","         86.45","         87.90","      36673","             3223658.25","        759","      20572","         56.10"
"SUPREMEINF","EQ","10-Jan-2017","         86.45","         86.05","         87.80","         85.10","         86.60","         86.45","         86.57","      28886","             2500631.15","        378","      17958","         62.17"
"SUPREMEINF","EQ","11-Jan-2017","         86.45","         86.15","        103.70","         86.15","        103.70","        103.70","         98.23","     539356","            52983208.20","       4037","     272813","         50.58"
"SUPREMEINF","EQ","12-Jan-2017","        103.70","        108.00","        113.90","        106.60","        109.95","        108.70","        109.83","     722311","            79329490.80","       7941","     200462","         27.75"
"SUPREMEINF","EQ","13-Jan-2017","        108.70","        107.45","        109.00","         99.70","        104.05","        104.55","        104.09","     193599","            20152044.30","       2282","      74865","         38.67"
"SUPREMEINF","EQ","16-Jan-2017","        104.55","        106.20","        109.45","        104.00","        106.00","        105.25","        107.05","      56224","             6018573.00","        982","      29981","         53.32"
"SUPREMEINF","EQ","17-Jan-2017","        105.25","        105.90","        111.40","        104.20","        111.40","        109.55","        108.36","     166650","            18058893.35","       1824","      87912","         52.75"
"SUPREMEINF","EQ","18-Jan-2017","        109.55","        114.00","        115.80","        109.05","        114.00","        114.10","        112.71","     429070","            48361697.35","       5757","     128735","         30.00"
"SUPREMEINF","EQ","19-Jan-2017","        114.10","        115.10","        118.20","        114.50","        115.85","        116.10","        116.25","     359576","            41799758.15","       4003","     126407","         35.15"
"SUPREMEINF","EQ","20-Jan-2017","        116.10","        115.70","        115.95","        108.05","        109.50","        109.35","        111.90","      98671","            11041261.60","       1360","      43225","         43.81"
"SUPREMEINF","EQ","23-Jan-2017","        109.35","        109.95","        114.40","        107.40","        112.50","        113.00","        112.21","      99479","            11162765.30","       1496","      47413","         47.66"
"SUPREMEINF","EQ","24-Jan-2017","        113.00","        114.05","        114.10","        108.90","        110.00","        110.25","        111.24","      43120","             4796799.85","        733","      25828","         59.90"
"SUPREMEINF","EQ","25-Jan-2017","        110.25","        110.95","        111.30","        107.80","        108.30","        108.30","        108.93","      76692","             8354193.95","       1141","      35030","         45.68"
"SUPREMEINF","EQ","27-Jan-2017","        108.30","        109.35","        109.80","        106.30","        106.45","        107.35","        108.18","      40626","             4394875.40","        540","      24376","         60.00"
"SUPREMEINF","EQ","30-Jan-2017","        107.35","        105.85","        109.35","        105.10","        105.10","        105.45","        106.71","      26833","             2863217.85","        436","      17029","         63.46"
"SUPREMEINF","EQ","31-Jan-2017","        105.45","        107.00","        107.00","        102.00","        104.50","        103.30","        104.01","      34256","             3563084.85","        581","      21107","         61.62"
"SUPREMEINF","EQ","01-Feb-2017","        103.30","        101.35","        107.50","        101.10","        105.50","        105.85","        104.41","      39864","             4162119.90","        908","      19425","         48.73"
"SUPREMEINF","EQ","02-Feb-2017","        105.85","        105.40","        105.80","        102.30","        102.55","        102.95","        104.16","      28673","             2986558.15","        612","      16498","         57.54"
"SUPREMEINF","EQ","03-Feb-2017","        102.95","        104.45","        106.60","        102.50","        104.50","        103.80","        104.10","      43127","             4489728.85","        581","      28068","         65.08"
"SUPREMEINF","EQ","06-Feb-2017","        103.80","        103.65","        105.75","        102.05","        102.30","        102.60","        103.70","      14903","             1545496.95","        357","       7898","         53.00"
"SUPREMEINF","EQ","07-Feb-2017","        102.60","        103.80","        103.80","        100.55","        102.40","        102.05","        102.41","      32765","             3355364.20","        340","      24750","         75.54"
"SUPREMEINF","EQ","08-Feb-2017","        102.05","        102.00","        105.00","        102.00","        104.80","        104.25","        103.89","      25930","             2693913.75","        360","      17685","         68.20"
"SUPREMEINF","EQ","09-Feb-2017","        104.25","        105.00","        112.00","        104.00","        105.50","        105.55","        108.10","     129254","            13971817.55","       2264","      56477","         43.69"
"SUPREMEINF","EQ","10-Feb-2017","        105.55","        105.05","        106.50","        102.50","        103.00","        102.90","        104.52","      38781","             4053463.05","        599","      27668","         71.34"
"SUPREMEINF","EQ","13-Feb-2017","        102.90","        103.00","        108.00","        102.00","        103.10","        103.80","        104.56","      59550","             6226545.25","        945","      25917","         43.52"
"SUPREMEINF","EQ","14-Feb-2017","        103.80","        103.10","        107.50","        102.50","        106.50","        106.45","        105.06","      38523","             4047293.20","        551","      24214","         62.86"
"SUPREMEINF","EQ","15-Feb-2017","        106.45","        107.10","        109.90","        106.20","        108.30","        108.85","        107.75","     103821","            11186384.50","       1071","      76052","         73.25"
"SUPREMEINF","EQ","16-Feb-2017","        108.85","        111.50","        111.90","        108.15","        109.00","        109.70","        109.51","     165399","            18112703.05","       2520","      43553","         26.33"
"SUPREMEINF","EQ","17-Feb-2017","        109.70","        108.10","        110.35","        107.00","        108.05","        108.30","        108.98","      56334","             6139397.55","        613","      46385","         82.34"
"SUPREMEINF","EQ","20-Feb-2017","        108.30","        107.70","        109.90","        107.00","        109.80","        109.05","        108.58","      18477","             2006162.35","        295","      13480","         72.96"
"SUPREMEINF","EQ","21-Feb-2017","        109.05","        108.50","        109.00","        108.00","        109.00","        108.80","        108.38","      15157","             1642675.55","        130","      12828","         84.63"
"SUPREMEINF","EQ","22-Feb-2017","        108.80","        109.75","        109.75","        106.15","        108.50","        108.05","        108.11","      29818","             3223738.20","        176","      23743","         79.63"
"SUPREMEINF","EQ","23-Feb-2017","        108.05","        106.00","        109.00","        106.00","        108.00","        107.05","        107.92","      21006","             2266892.80","        194","      16069","         76.50"
"SUPREMEINF","EQ","27-Feb-2017","        107.05","        107.00","        107.00","        103.90","        103.95","        104.15","        104.90","      59016","             6191046.10","        562","      52137","         88.34"
"SUPREMEINF","EQ","28-Feb-2017","        104.15","        105.90","        106.45","         98.00","         98.35","         98.55","         99.88","      85150","             8505047.40","        815","      52649","         61.83"
"SUPREMEINF","EQ","01-Mar-2017","         98.55","         98.35","        100.00","         97.25","         97.50","         97.75","         98.32","      35124","             3453433.75","        948","      22447","         63.91"
"SUPREMEINF","EQ","02-Mar-2017","         97.75","        100.00","        100.00","         95.20","         96.50","         96.15","         97.79","      48969","             4788770.30","        585","      33182","         67.76"
"SUPREMEINF","EQ","03-Mar-2017","         96.15","         95.05","         96.50","         94.00","         94.55","         95.10","         94.87","      35478","             3365704.55","        751","      17817","         50.22"
"SUPREMEINF","EQ","06-Mar-2017","         95.10","         94.55","         97.75","         94.00","         94.05","         94.20","         94.66","      19312","             1828038.00","        264","      16601","         85.96"
"SUPREMEINF","EQ","07-Mar-2017","         94.20","         95.95","         95.95","         92.50","         92.55","         92.80","         93.22","      36226","             3376892.05","        484","      23821","         65.76"
"SUPREMEINF","EQ","08-Mar-2017","         92.80","         94.25","         94.25","         89.30","         90.40","         89.90","         91.00","      33869","             3081993.40","        391","      20470","         60.44"
"SUPREMEINF","EQ","09-Mar-2017","         89.90","         89.90","         90.00","         88.45","         89.40","         89.15","         89.28","      15253","             1361777.60","        246","      11583","         75.94"
"SUPREMEINF","EQ","10-Mar-2017","         89.15","         89.95","         89.95","         87.05","         89.00","         88.50","         88.52","      17003","             1505137.35","        295","      10191","         59.94"
"SUPREMEINF","EQ","14-Mar-2017","         88.50","         90.30","         90.30","         86.10","         86.10","         89.40","         89.36","      13691","             1223485.35","        266","      10620","         77.57"
"SUPREMEINF","EQ","15-Mar-2017","         89.40","         88.25","         89.70","         86.50","         88.00","         87.35","         87.85","      11049","              970652.95","        353","       7384","         66.83"
"SUPREMEINF","EQ","16-Mar-2017","         87.35","         89.95","         93.00","         86.50","         89.80","         90.45","         89.71","     177875","            15956755.05","       1390","     134169","         75.43"
"SUPREMEINF","EQ","17-Mar-2017","         90.45","         90.95","         90.95","         88.05","         88.70","         88.70","         88.71","      86372","             7662317.65","        622","      79315","         91.83"
"SUPREMEINF","EQ","20-Mar-2017","         88.70","         88.75","         90.05","         87.45","         87.50","         87.75","         88.79","      27331","             2426790.35","        366","      20870","         76.36"
"SUPREMEINF","EQ","21-Mar-2017","         87.75","         87.05","         90.60","         87.05","         88.35","         88.70","         89.24","      21068","             1880201.85","        364","      14669","         69.63"
"SUPREMEINF","EQ","22-Mar-2017","         88.70","         86.10","         91.85","         86.10","         90.00","         89.45","         89.19","     166126","            14816000.80","       1313","     114772","         69.09"
"SUPREMEINF","EQ","23-Mar-2017","         89.45","         90.95","         90.95","         89.25","         89.65","         89.85","         89.94","      25569","             2299557.00","        310","      21471","         83.97"
"SUPREMEINF","EQ","24-Mar-2017","         89.85","         91.00","         91.00","         89.45","         89.85","         89.60","         89.95","      13995","             1258807.10","        129","      13118","         93.73"
"SUPREMEINF","EQ","27-Mar-2017","         89.60","         91.00","         91.00","         87.55","         88.00","         88.25","         88.88","      19313","             1716607.80","        181","      17925","         92.81"
"SUPREMEINF","EQ","28-Mar-2017","         88.25","         89.00","         90.35","         87.20","         88.10","         87.55","         88.32","      54680","             4829271.90","        374","      48711","         89.08"
"SUPREMEINF","EQ","29-Mar-2017","         87.55","         86.80","         88.00","         85.50","         85.60","         85.85","         86.57","      29646","             2566401.20","        337","      24786","         83.61"
"SUPREMEINF","EQ","30-Mar-2017","         85.85","         88.00","         89.50","         86.20","         87.50","         88.35","         87.59","      84727","             7421297.80","       1222","      41793","         49.33"
"SUPREMEINF","EQ","31-Mar-2017","         88.35","         87.95","         88.10","         86.30","         87.00","         86.80","         87.38","      22390","             1956363.25","        221","      17055","         76.17"
