"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SWELECTES","EQ","03-Jul-2017","        502.80","        505.50","        538.00","        502.05","        532.25","        532.70","        528.00","      82913","            43778306.15","       3414","      30808","         37.16"
"SWELECTES","EQ","04-Jul-2017","        532.70","        535.00","        544.50","        528.00","        532.00","        531.80","        536.50","      61294","            32884246.15","       2096","      24789","         40.44"
"SWELECTES","EQ","05-Jul-2017","        531.80","        537.10","        537.10","        518.90","        530.90","        531.05","        529.87","      28838","            15280281.75","       1169","      15571","         53.99"
"SWELECTES","EQ","06-Jul-2017","        531.05","        534.40","        557.30","        530.00","        543.00","        543.65","        545.42","      84658","            46174032.05","       3190","      33283","         39.31"
"SWELECTES","EQ","07-Jul-2017","        543.65","        545.95","        632.90","        537.00","        614.50","        611.70","        600.51","     312329","           187557964.25","      11341","      88946","         28.48"
"SWELECTES","EQ","10-Jul-2017","        611.70","        620.00","        658.80","        605.00","        608.00","        611.05","        615.40","      23908","            14713080.75","        827","      16151","         67.55"
"SWELECTES","EQ","11-Jul-2017","        611.05","        614.00","        616.70","        596.55","        598.15","        601.70","        604.54","      65036","            39316586.40","       2693","      30021","         46.16"
"SWELECTES","EQ","12-Jul-2017","        601.70","        602.00","        628.00","        592.15","        617.00","        618.75","        613.22","      65368","            40084797.35","       2913","      23780","         36.38"
"SWELECTES","EQ","13-Jul-2017","        618.75","        626.00","        628.05","        600.00","        604.10","        604.35","        612.89","      28348","            17374223.80","       1253","      17495","         61.72"
"SWELECTES","EQ","14-Jul-2017","        604.35","        608.80","        621.85","        595.55","        606.70","        610.45","        609.33","      69967","            42633004.80","       2184","      26100","         37.30"
"SWELECTES","EQ","17-Jul-2017","        610.45","        616.20","        620.00","        598.00","        599.15","        599.80","        605.25","      36589","            22145389.35","       1578","      18748","         51.24"
"SWELECTES","EQ","18-Jul-2017","        599.80","        595.00","        605.85","        588.00","        588.05","        589.25","        597.21","      37091","            22151020.50","       1224","      20730","         55.89"
"SWELECTES","EQ","19-Jul-2017","        589.25","        595.00","        600.00","        585.55","        589.00","        589.85","        593.02","      22821","            13533269.80","       1408","      13494","         59.13"
"SWELECTES","EQ","20-Jul-2017","        589.85","        590.00","        597.55","        576.55","        577.00","        578.75","        583.97","      29518","            17237637.25","       1311","      20732","         70.24"
"SWELECTES","EQ","21-Jul-2017","        578.75","        582.10","        586.00","        570.00","        570.00","        570.85","        575.00","      28167","            16195988.90","        971","      13780","         48.92"
