"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SYNGENE","EQ","02-Jan-2017","        561.85","        562.95","        571.60","        562.95","        568.00","        566.95","        567.14","      51218","            29047552.40","       2747","      17932","         35.01"
"SYNGENE","EQ","03-Jan-2017","        566.95","        569.95","        585.60","        568.50","        576.00","        577.45","        579.04","     120172","            69583974.40","       4832","      46274","         38.51"
"SYNGENE","EQ","04-Jan-2017","        577.45","        579.90","        591.35","        574.20","        581.00","        581.60","        583.77","     146320","            85416604.35","       5443","      59060","         40.36"
"SYNGENE","EQ","05-Jan-2017","        581.60","        582.10","        589.75","        582.10","        584.00","        585.20","        585.90","      61721","            36162069.95","       2942","      20691","         33.52"
"SYNGENE","EQ","06-Jan-2017","        585.20","        587.50","        589.00","        573.40","        582.00","        582.55","        582.69","      69093","            40259626.55","       2638","      26279","         38.03"
"SYNGENE","EQ","09-Jan-2017","        582.55","        583.10","        600.70","        579.65","        591.00","        593.15","        589.22","     238456","           140502751.85","       8138","     134424","         56.37"
"SYNGENE","EQ","10-Jan-2017","        593.15","        594.55","        601.00","        591.20","        593.50","        593.55","        595.91","      60816","            36240918.05","       2402","      23676","         38.93"
"SYNGENE","EQ","11-Jan-2017","        593.55","        598.90","        609.35","        595.00","        603.20","        604.00","        603.98","     156342","            94427533.70","       5438","      48860","         31.25"
"SYNGENE","EQ","12-Jan-2017","        604.00","        601.05","        617.55","        601.00","        607.10","        607.95","        610.83","     128176","            78294281.80","       4040","      57531","         44.88"
"SYNGENE","EQ","13-Jan-2017","        607.95","        611.70","        615.00","        603.80","        604.80","        605.25","        607.36","      31755","            19286783.60","       1398","      14114","         44.45"
"SYNGENE","EQ","16-Jan-2017","        605.25","        608.90","        608.90","        596.05","        598.00","        600.75","        602.69","      32573","            19631455.75","       2011","      16743","         51.40"
"SYNGENE","EQ","17-Jan-2017","        600.75","        601.50","        606.90","        590.90","        594.10","        594.60","        597.90","      49890","            29829082.55","       2099","      18248","         36.58"
"SYNGENE","EQ","18-Jan-2017","        594.60","        595.00","        598.30","        590.55","        591.45","        592.75","        594.58","      24682","            14675346.30","       1473","      10494","         42.52"
"SYNGENE","EQ","19-Jan-2017","        592.75","        596.50","        596.50","        588.00","        595.00","        591.10","        590.59","      35320","            20859469.05","       1411","      21735","         61.54"
"SYNGENE","EQ","20-Jan-2017","        591.10","        594.75","        594.75","        575.00","        581.00","        579.25","        579.78","     165554","            95985367.70","      11744","     125316","         75.69"
"SYNGENE","EQ","23-Jan-2017","        579.25","        586.50","        586.50","        568.00","        573.00","        571.45","        574.43","     111992","            64331740.95","       7938","      63675","         56.86"
"SYNGENE","EQ","24-Jan-2017","        571.45","        579.35","        579.40","        558.10","        563.00","        563.10","        565.33","     117876","            66639023.20","       9759","      61828","         52.45"
"SYNGENE","EQ","25-Jan-2017","        563.10","        570.50","        579.95","        561.55","        567.50","        566.80","        568.49","     235955","           134137023.90","      12226","     123737","         52.44"
"SYNGENE","EQ","27-Jan-2017","        566.80","        567.20","        579.00","        560.00","        563.00","        562.50","        570.20","     107555","            61328379.75","       6909","      53502","         49.74"
"SYNGENE","EQ","30-Jan-2017","        562.50","        563.05","        567.95","        555.55","        558.00","        558.55","        561.55","     556467","           312484848.90","       2479","     527231","         94.75"
"SYNGENE","EQ","31-Jan-2017","        558.55","        558.00","        561.90","        543.70","        545.90","        546.05","        550.41","      52955","            29146760.15","       2422","      34812","         65.74"
"SYNGENE","EQ","01-Feb-2017","        546.05","        542.10","        549.05","        535.10","        540.65","        539.90","        540.55","      76076","            41122810.15","       2967","      43605","         57.32"
"SYNGENE","EQ","02-Feb-2017","        539.90","        542.95","        542.95","        536.65","        537.10","        539.60","        539.98","     159255","            85994163.55","       4602","     101725","         63.88"
"SYNGENE","EQ","03-Feb-2017","        539.60","        541.50","        552.00","        535.20","        538.00","        537.55","        541.57","     157638","            85371701.90","       4529","     106992","         67.87"
"SYNGENE","EQ","06-Feb-2017","        537.55","        543.30","        546.80","        525.50","        528.40","        530.00","        534.43","     172033","            91939582.90","       8173","     110019","         63.95"
"SYNGENE","EQ","07-Feb-2017","        530.00","        532.90","        535.75","        521.40","        522.00","        522.90","        527.25","     117839","            62130883.90","       9335","      79829","         67.74"
"SYNGENE","EQ","08-Feb-2017","        522.90","        524.90","        532.00","        515.50","        517.40","        517.50","        520.47","     190816","            99313931.60","       5580","     132362","         69.37"
"SYNGENE","EQ","09-Feb-2017","        517.50","        517.00","        523.65","        510.10","        510.95","        511.10","        514.16","     121187","            62309504.75","       6371","      80288","         66.25"
"SYNGENE","EQ","10-Feb-2017","        511.10","        513.90","        522.95","        506.60","        511.00","        509.00","        514.81","     183817","            94630195.75","       8543","     103260","         56.18"
"SYNGENE","EQ","13-Feb-2017","        509.00","        511.95","        514.00","        487.50","        500.00","        499.25","        497.77","     229338","           114157757.00","      10021","     131044","         57.14"
"SYNGENE","EQ","14-Feb-2017","        499.25","        502.00","        508.00","        480.00","        483.50","        485.40","        492.29","     278937","           137317914.75","      10595","     175867","         63.05"
