"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TVSELECT","EQ","02-Jan-2017","        189.50","        195.95","        196.80","        189.60","        193.95","        193.90","        194.09","     647119","           125602540.25","       7318","     218145","         33.71"
"TVSELECT","EQ","03-Jan-2017","        193.90","        193.90","        194.40","        188.00","        188.80","        189.50","        191.52","     311926","            59739678.20","       5293","     114504","         36.71"
"TVSELECT","EQ","04-Jan-2017","        189.50","        190.85","        193.85","        188.50","        189.80","        190.00","        191.20","     274238","            52435516.50","       3959","      71961","         26.24"
"TVSELECT","EQ","05-Jan-2017","        190.00","        199.50","        199.50","        195.75","        199.50","        199.50","        199.38","     542951","           108250901.70","       2684","     210178","         38.71"
"TVSELECT","EQ","06-Jan-2017","        199.50","        203.00","        206.60","        197.15","        201.70","        201.10","        203.10","     708906","           143978124.45","       9306","     246856","         34.82"
"TVSELECT","EQ","09-Jan-2017","        201.10","        202.80","        206.40","        199.40","        201.70","        201.40","        202.78","     291531","            59116746.40","       3936","      81562","         27.98"
"TVSELECT","EQ","10-Jan-2017","        201.40","        201.20","        205.95","        200.50","        201.00","        201.35","        203.00","     183363","            37223263.65","       3383","      71038","         38.74"
"TVSELECT","EQ","11-Jan-2017","        201.35","        203.70","        203.95","        197.25","        198.10","        198.35","        200.55","     133506","            26775209.15","       2321","      61156","         45.81"
"TVSELECT","EQ","12-Jan-2017","        198.35","        200.75","        200.75","        194.00","        194.25","        194.90","        196.37","     160652","            31547973.65","       2827","      62559","         38.94"
"TVSELECT","EQ","13-Jan-2017","        194.90","        195.90","        198.90","        192.25","        193.95","        194.30","        195.57","     173918","            34013958.40","       3548","      59799","         34.38"
"TVSELECT","EQ","16-Jan-2017","        194.30","        194.00","        197.50","        190.90","        191.40","        191.75","        194.18","      93357","            18127838.85","       1831","      36091","         38.66"
