"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TAJGVK","EQ","03-Jul-2017","        168.95","        168.80","        173.80","        164.15","        166.20","        166.20","        168.26","      38378","             6457350.80","        960","      12816","         33.39"
"TAJGVK","EQ","04-Jul-2017","        166.20","        167.10","        169.00","        163.55","        164.55","        164.55","        165.78","      10698","             1773538.20","        280","       4640","         43.37"
"TAJGVK","EQ","05-Jul-2017","        164.55","        164.90","        172.00","        164.55","        165.50","        166.00","        168.31","      19748","             3323761.05","        539","       4230","         21.42"
"TAJGVK","EQ","06-Jul-2017","        166.00","        169.00","        169.00","        164.10","        165.00","        165.30","        166.48","      14685","             2444781.65","        326","      10193","         69.41"
"TAJGVK","EQ","07-Jul-2017","        165.30","        168.00","        181.00","        164.85","        174.50","        173.60","        175.08","     202246","            35408617.85","       3106","      62034","         30.67"
"TAJGVK","EQ","10-Jul-2017","        173.60","        177.00","        177.00","        168.90","        169.10","        169.95","        171.61","      11446","             1964227.70","        205","       8034","         70.19"
"TAJGVK","EQ","11-Jul-2017","        169.95","        168.15","        171.35","        165.30","        166.10","        165.90","        167.97","      28927","             4858770.60","        463","      19243","         66.52"
"TAJGVK","EQ","12-Jul-2017","        165.90","        165.95","        174.80","        165.90","        170.30","        170.60","        168.80","      63239","            10674783.20","       1110","      39326","         62.19"
"TAJGVK","EQ","13-Jul-2017","        170.60","        168.25","        173.50","        166.35","        167.15","        167.85","        169.98","      38155","             6485620.55","        622","      24277","         63.63"
"TAJGVK","EQ","14-Jul-2017","        167.85","        171.00","        171.00","        165.30","        166.00","        166.00","        166.14","      47183","             7838844.45","        310","      42361","         89.78"
"TAJGVK","EQ","17-Jul-2017","        166.00","        165.00","        169.75","        164.45","        165.45","        165.30","        166.05","      25227","             4188887.70","        598","      10555","         41.84"
"TAJGVK","EQ","18-Jul-2017","        165.30","        165.00","        170.80","        163.70","        166.95","        165.20","        165.83","      86889","            14409142.85","        869","      66867","         76.96"
"TAJGVK","EQ","19-Jul-2017","        165.20","        165.25","        167.40","        163.05","        163.15","        163.55","        165.02","      12821","             2115693.60","        304","       8826","         68.84"
"TAJGVK","EQ","20-Jul-2017","        163.55","        162.50","        167.20","        162.50","        164.80","        164.30","        165.16","      15073","             2489528.75","        392","       8171","         54.21"
"TAJGVK","EQ","21-Jul-2017","        164.30","        165.95","        166.85","        161.00","        162.50","        162.05","        163.34","      15565","             2542425.60","        332","       9824","         63.12"
"TAJGVK","EQ","24-Jul-2017","        162.05","        164.45","        168.50","        163.00","        165.40","        163.80","        165.39","      54572","             9025413.80","       1340","      18528","         33.95"
"TAJGVK","EQ","25-Jul-2017","        163.80","        165.00","        167.90","        163.00","        163.00","        163.10","        163.67","       9149","             1497390.00","        222","       5172","         56.53"
"TAJGVK","EQ","26-Jul-2017","        163.10","        163.55","        165.80","        162.00","        163.90","        162.80","        163.38","      15335","             2505423.20","        352","       8267","         53.91"
"TAJGVK","EQ","27-Jul-2017","        162.80","        163.95","        164.80","        160.30","        161.30","        161.70","        162.95","      19005","             3096792.25","        435","       9622","         50.63"
"TAJGVK","EQ","28-Jul-2017","        161.70","        161.70","        162.00","        158.70","        161.00","        159.55","        160.24","       9209","             1475681.20","        308","       5833","         63.34"
"TAJGVK","EQ","31-Jul-2017","        159.55","        161.55","        165.00","        159.55","        163.70","        163.25","        162.59","      50269","             8173299.00","        998","      15022","         29.88"
"TAJGVK","EQ","01-Aug-2017","        163.25","        163.55","        178.00","        160.30","        165.30","        166.55","        171.70","     614743","           105554229.75","      10467","      75071","         12.21"
"TAJGVK","EQ","02-Aug-2017","        166.55","        167.80","        170.00","        162.15","        169.75","        168.55","        166.26","     151404","            25172545.65","       2303","     113508","         74.97"
"TAJGVK","EQ","03-Aug-2017","        168.55","        167.00","        167.00","        164.45","        165.50","        165.55","        165.64","      12061","             1997793.85","        273","      10060","         83.41"
"TAJGVK","EQ","04-Aug-2017","        165.55","        164.20","        168.00","        161.60","        165.00","        165.00","        164.68","      34178","             5628436.55","        940","      14515","         42.47"
"TAJGVK","EQ","07-Aug-2017","        165.00","        162.35","        165.85","        162.35","        164.00","        164.05","        164.01","      18885","             3097250.00","        321","      16395","         86.81"
"TAJGVK","EQ","08-Aug-2017","        164.05","        165.50","        166.70","        161.60","        162.65","        163.00","        163.26","      30136","             4920136.50","        785","      20284","         67.31"
"TAJGVK","EQ","09-Aug-2017","        163.00","        162.25","        163.95","        160.70","        162.00","        162.05","        162.19","      27859","             4518470.25","        523","      18981","         68.13"
"TAJGVK","EQ","10-Aug-2017","        162.05","        161.00","        162.85","        160.00","        160.00","        160.45","        161.00","      33997","             5473651.75","        757","      26512","         77.98"
"TAJGVK","EQ","11-Aug-2017","        160.45","        159.00","        160.95","        155.30","        158.95","        159.15","        158.82","      15385","             2443519.85","        411","      12743","         82.83"
"TAJGVK","EQ","14-Aug-2017","        159.15","        159.10","        161.95","        159.05","        160.70","        160.85","        160.61","      24578","             3947388.05","        322","      13499","         54.92"
"TAJGVK","EQ","16-Aug-2017","        160.85","        161.20","        161.20","        159.00","        159.55","        159.35","        160.06","       6808","             1089709.50","        139","       5285","         77.63"
"TAJGVK","EQ","17-Aug-2017","        159.35","        160.25","        164.90","        160.10","        162.95","        162.15","        162.22","      21014","             3408792.20","        479","      11031","         52.49"
