"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TALBROAUTO","EQ","02-Jan-2017","        123.45","        123.70","        126.90","        123.45","        124.50","        124.15","        125.09","      13769","             1722422.40","        236","       7150","         51.93"
"TALBROAUTO","EQ","03-Jan-2017","        124.15","        127.95","        129.40","        125.00","        129.00","        127.85","        127.08","      13030","             1655869.00","        250","       7509","         57.63"
"TALBROAUTO","EQ","04-Jan-2017","        127.85","        135.00","        137.00","        132.50","        135.90","        136.20","        134.90","      64741","             8733509.65","        942","      36841","         56.91"
"TALBROAUTO","EQ","05-Jan-2017","        136.20","        136.00","        138.75","        135.10","        136.25","        137.20","        136.79","      16295","             2229000.45","        351","      12145","         74.53"
"TALBROAUTO","EQ","06-Jan-2017","        137.20","        137.95","        139.30","        135.05","        138.00","        136.30","        136.34","      14071","             1918482.65","        193","      11957","         84.98"
"TALBROAUTO","EQ","09-Jan-2017","        136.30","        137.95","        137.95","        135.30","        136.50","        136.55","        136.70","       4507","              616093.55","        102","       3049","         67.65"
"TALBROAUTO","EQ","10-Jan-2017","        136.55","        139.60","        139.60","        135.10","        136.90","        136.20","        136.47","       8574","             1170051.00","        191","       6184","         72.13"
"TALBROAUTO","EQ","11-Jan-2017","        136.20","        138.80","        138.80","        136.00","        137.00","        137.05","        137.31","      16304","             2238680.10","        172","      12376","         75.91"
"TALBROAUTO","EQ","12-Jan-2017","        137.05","        139.70","        139.70","        133.25","        133.95","        134.50","        134.96","       7791","             1051446.55","        154","       5336","         68.49"
"TALBROAUTO","EQ","13-Jan-2017","        134.50","        133.50","        137.00","        130.60","        132.10","        132.60","        133.04","      16260","             2163214.05","        292","      10812","         66.49"
"TALBROAUTO","EQ","16-Jan-2017","        132.60","        135.00","        135.00","        131.05","        132.00","        132.45","        132.38","      10891","             1441726.90","        221","       7962","         73.11"
"TALBROAUTO","EQ","17-Jan-2017","        132.45","        132.15","        135.70","        132.00","        133.65","        135.05","        133.87","      11051","             1479429.30","        157","       8044","         72.79"
"TALBROAUTO","EQ","18-Jan-2017","        135.05","        134.50","        136.00","        131.30","        134.00","        133.45","        133.70","       7485","             1000716.80","        185","       5209","         69.59"
"TALBROAUTO","EQ","19-Jan-2017","        133.45","        134.80","        134.80","        130.05","        132.00","        131.80","        131.96","      13716","             1809896.80","        227","       7275","         53.04"
"TALBROAUTO","EQ","20-Jan-2017","        131.80","        131.50","        134.00","        131.00","        131.00","        131.45","        132.34","       7136","              944344.20","        154","       4773","         66.89"
"TALBROAUTO","EQ","23-Jan-2017","        131.45","        132.50","        132.50","        129.90","        130.30","        130.55","        130.81","       5929","              775549.25","        133","       4755","         80.20"
"TALBROAUTO","EQ","24-Jan-2017","        130.55","        132.80","        132.80","        131.00","        132.00","        131.75","        131.72","       5993","              789408.75","        103","       5195","         86.68"
"TALBROAUTO","EQ","25-Jan-2017","        131.75","        132.75","        134.00","        131.60","        133.40","        132.35","        132.81","      16324","             2167913.45","        217","      11076","         67.85"
"TALBROAUTO","EQ","27-Jan-2017","        132.35","        134.50","        135.65","        132.20","        134.00","        134.30","        134.39","      21381","             2873321.50","        183","      11315","         52.92"
"TALBROAUTO","EQ","30-Jan-2017","        134.30","        135.75","        135.90","        130.45","        132.85","        133.35","        133.66","       5835","              779883.85","        149","       2724","         46.68"
"TALBROAUTO","EQ","31-Jan-2017","        133.35","        135.90","        135.90","        129.00","        131.00","        130.05","        130.98","       7881","             1032255.05","        176","       5545","         70.36"
"TALBROAUTO","EQ","01-Feb-2017","        130.05","        129.30","        132.85","        128.40","        132.40","        131.55","        131.38","      10551","             1386207.40","        104","       7490","         70.99"
"TALBROAUTO","EQ","02-Feb-2017","        131.55","        133.00","        135.25","        131.85","        133.30","        133.30","        133.18","       9981","             1329280.05","        203","       5891","         59.02"
"TALBROAUTO","EQ","03-Feb-2017","        133.30","        136.45","        136.45","        133.00","        133.00","        133.35","        134.34","       7831","             1052048.45","        148","       5130","         65.51"
"TALBROAUTO","EQ","06-Feb-2017","        133.35","        132.50","        139.00","        131.05","        138.90","        138.55","        138.12","      36950","             5103467.30","        394","      25486","         68.97"
"TALBROAUTO","EQ","07-Feb-2017","        138.55","        138.90","        140.50","        134.90","        135.10","        135.45","        138.07","      12958","             1789073.20","        261","      10134","         78.21"
"TALBROAUTO","EQ","08-Feb-2017","        135.45","        137.90","        138.50","        133.70","        136.00","        136.05","        136.74","      13316","             1820836.85","        174","       8350","         62.71"
"TALBROAUTO","EQ","09-Feb-2017","        136.05","        135.50","        139.60","        131.85","        135.00","        134.85","        134.78","       6680","              900360.70","        153","       4461","         66.78"
"TALBROAUTO","EQ","10-Feb-2017","        134.85","        134.00","        135.50","        132.50","        132.65","        133.25","        134.46","      12236","             1645237.75","        177","      10039","         82.04"
"TALBROAUTO","EQ","13-Feb-2017","        133.25","        133.00","        134.05","        129.40","        130.10","        130.45","        131.77","      16310","             2149211.90","        231","      12233","         75.00"
"TALBROAUTO","EQ","14-Feb-2017","        130.45","        130.10","        131.95","        128.05","        129.90","        129.30","        129.53","      12997","             1683478.25","        254","       7857","         60.45"
"TALBROAUTO","EQ","15-Feb-2017","        129.30","        130.55","        139.80","        130.55","        132.00","        132.30","        135.60","     117751","            15967388.05","       1985","      36757","         31.22"
