"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TALWALKARS","EQ","03-Apr-2017","        267.30","        267.00","        275.00","        261.05","        272.80","        272.65","        268.00","     179888","            48210160.55","       2923","     105996","         58.92"
"TALWALKARS","EQ","05-Apr-2017","        272.65","        269.00","        275.00","        262.90","        264.70","        265.75","        268.81","     131881","            35451262.10","       3241","      67536","         51.21"
"TALWALKARS","EQ","06-Apr-2017","        265.75","        265.00","        265.00","        256.00","        257.80","        258.15","        259.22","     194028","            50295830.15","       2698","     120560","         62.14"
"TALWALKARS","EQ","07-Apr-2017","        258.15","        257.95","        266.30","        255.00","        258.00","        258.55","        261.71","     118151","            30921524.40","       2590","      62486","         52.89"
"TALWALKARS","EQ","10-Apr-2017","        258.55","        259.90","        262.00","        256.30","        259.00","        258.55","        259.34","      40058","            10388763.60","        969","      21263","         53.08"
"TALWALKARS","EQ","11-Apr-2017","        258.55","        258.00","        264.50","        258.00","        264.50","        263.30","        261.06","      87958","            22962564.40","       1355","      55806","         63.45"
"TALWALKARS","EQ","12-Apr-2017","        263.30","        262.95","        265.00","        251.00","        257.00","        257.40","        256.94","      80735","            20743824.00","       1970","      32299","         40.01"
"TALWALKARS","EQ","13-Apr-2017","        257.40","        259.30","        260.95","        254.00","        256.75","        255.50","        256.82","      35296","             9064546.70","        935","      18152","         51.43"
"TALWALKARS","EQ","17-Apr-2017","        255.50","        254.60","        254.60","        249.00","        249.10","        249.95","        251.23","      62130","            15608619.55","       1709","      36908","         59.40"
"TALWALKARS","EQ","18-Apr-2017","        249.95","        249.30","        257.30","        249.00","        250.90","        250.95","        252.42","      86988","            21957437.50","       1413","      49962","         57.44"
"TALWALKARS","EQ","19-Apr-2017","        250.95","        251.70","        255.00","        249.30","        252.75","        252.30","        252.34","      44712","            11282433.85","       1318","      22629","         50.61"
"TALWALKARS","EQ","20-Apr-2017","        252.30","        253.00","        279.95","        253.00","        272.40","        271.95","        270.65","     579287","           156781969.15","       9289","     176230","         30.42"
"TALWALKARS","EQ","21-Apr-2017","        271.95","        273.90","        282.00","        268.10","        277.00","        278.15","        275.29","     220956","            60826061.65","       4035","      89677","         40.59"
"TALWALKARS","EQ","24-Apr-2017","        278.15","        279.00","        285.35","        272.00","        272.40","        272.90","        277.01","     119979","            33234935.45","       2950","      56585","         47.16"
"TALWALKARS","EQ","25-Apr-2017","        272.90","        275.80","        277.75","        269.65","        269.65","        271.30","        273.63","      82252","            22506497.70","       1904","      46115","         56.07"
"TALWALKARS","EQ","26-Apr-2017","        271.30","        272.60","        278.20","        269.00","        271.40","        271.20","        273.48","     106449","            29111205.70","       2582","      50548","         47.49"
"TALWALKARS","EQ","27-Apr-2017","        271.20","        272.80","        274.20","        266.25","        268.85","        269.05","        270.64","      56158","            15198625.30","       1789","      24297","         43.27"
"TALWALKARS","EQ","28-Apr-2017","        269.05","        269.35","        272.90","        264.00","        272.50","        269.45","        267.24","      86446","            23101638.15","       1541","      46709","         54.03"
"TALWALKARS","EQ","02-May-2017","        269.45","        273.15","        274.75","        267.00","        273.50","        271.90","        271.43","      77071","            20919715.55","       1757","      40518","         52.57"
"TALWALKARS","EQ","03-May-2017","        271.90","        270.30","        285.85","        270.30","        277.05","        277.55","        280.62","     348442","            97778807.30","       5076","     149495","         42.90"
"TALWALKARS","EQ","04-May-2017","        277.55","        276.00","        280.30","        274.50","        277.00","        277.80","        277.00","      76124","            21086080.75","       1577","      41017","         53.88"
"TALWALKARS","EQ","05-May-2017","        277.80","        274.80","        277.00","        266.45","        269.10","        270.20","        270.43","     101496","            27447239.15","       2123","      47998","         47.29"
"TALWALKARS","EQ","08-May-2017","        270.20","        271.95","        273.00","        267.35","        270.25","        270.30","        270.39","      43574","            11781920.85","        866","      22175","         50.89"
"TALWALKARS","EQ","09-May-2017","        270.30","        272.00","        279.70","        270.20","        274.05","        274.85","        274.60","      82126","            22551880.55","       1853","      26426","         32.18"
"TALWALKARS","EQ","10-May-2017","        274.85","        278.75","        278.75","        271.80","        273.80","        272.80","        275.10","      52358","            14403806.05","       1529","      18151","         34.67"
"TALWALKARS","EQ","11-May-2017","        272.80","        274.05","        284.95","        272.00","        278.25","        281.80","        281.39","     332205","            93478279.05","       4767","     158538","         47.72"
"TALWALKARS","EQ","12-May-2017","        281.80","        281.00","        282.00","        272.45","        280.05","        280.30","        277.70","     111036","            30834336.75","       2107","      71444","         64.34"
"TALWALKARS","EQ","15-May-2017","        280.30","        278.55","        284.95","        278.55","        282.00","        282.75","        283.10","      73073","            20687320.35","       1323","      45434","         62.18"
"TALWALKARS","EQ","16-May-2017","        282.75","        285.00","        299.90","        283.95","        294.70","        294.70","        293.63","     396351","           116378641.00","       7490","     190125","         47.97"
"TALWALKARS","EQ","17-May-2017","        294.70","        296.00","        301.45","        286.20","        292.95","        294.80","        294.65","     206837","            60944389.95","       4253","      74438","         35.99"
"TALWALKARS","EQ","18-May-2017","        294.80","        290.00","        294.20","        284.30","        288.00","        291.75","        290.18","     359632","           104357684.40","       5176","     184625","         51.34"
"TALWALKARS","EQ","19-May-2017","        291.75","        291.00","        299.00","        282.05","        287.00","        287.55","        291.28","     114487","            33347595.55","       2552","      48945","         42.75"
"TALWALKARS","EQ","22-May-2017","        287.55","        289.05","        291.90","        274.10","        278.00","        276.65","        280.60","      70283","            19721628.90","       2040","      35294","         50.22"
"TALWALKARS","EQ","23-May-2017","        276.65","        277.30","        277.75","        263.25","        267.75","        268.70","        269.23","     127145","            34231883.20","       1649","      92638","         72.86"
"TALWALKARS","EQ","24-May-2017","        268.70","        273.90","        273.90","        257.40","        261.00","        259.90","        263.65","      46860","            12354687.75","       1372","      29421","         62.78"
"TALWALKARS","EQ","25-May-2017","        259.90","        262.65","        274.00","        260.05","        271.65","        272.20","        266.91","      59242","            15812181.45","       1929","      37337","         63.02"
"TALWALKARS","EQ","26-May-2017","        272.20","        272.20","        275.50","        268.65","        272.05","        273.75","        272.73","      38497","            10499298.30","        929","      21643","         56.22"
"TALWALKARS","EQ","29-May-2017","        273.75","        273.95","        273.95","        263.00","        264.25","        265.10","        266.06","      43955","            11694642.05","       1131","      26979","         61.38"
"TALWALKARS","EQ","30-May-2017","        265.10","        265.75","        274.00","        260.30","        268.50","        269.85","        266.82","      61039","            16286259.75","       1543","      28470","         46.64"
"TALWALKARS","EQ","31-May-2017","        269.85","        279.00","        298.95","        272.60","        286.55","        286.50","        288.03","     537634","           154852597.25","      11652","     127268","         23.67"
"TALWALKARS","EQ","01-Jun-2017","        286.50","        285.00","        293.00","        284.20","        290.55","        290.10","        289.19","      97908","            28314253.05","       1820","      57906","         59.14"
"TALWALKARS","EQ","02-Jun-2017","        290.10","        296.50","        296.50","        287.25","        287.50","        289.55","        290.19","      51654","            14989637.50","       1341","      32363","         62.65"
"TALWALKARS","EQ","05-Jun-2017","        289.55","        291.00","        291.00","        280.00","        287.50","        287.05","        285.94","      49122","            14046135.25","       1249","      29945","         60.96"
"TALWALKARS","EQ","06-Jun-2017","        287.05","        284.15","        288.85","        281.25","        283.10","        283.90","        283.96","      29252","             8306378.45","        887","      15764","         53.89"
"TALWALKARS","EQ","07-Jun-2017","        283.90","        285.00","        289.90","        279.60","        281.00","        281.20","        283.86","      47230","            13406545.75","       1194","      24422","         51.71"
"TALWALKARS","EQ","08-Jun-2017","        281.20","        282.95","        283.15","        277.65","        278.00","        278.40","        279.45","      37860","            10579926.40","        936","      25200","         66.56"
"TALWALKARS","EQ","09-Jun-2017","        278.40","        278.75","        280.45","        275.00","        277.25","        277.40","        277.71","      35733","             9923366.65","        817","      21595","         60.43"
"TALWALKARS","EQ","12-Jun-2017","        277.40","        277.00","        289.55","        277.00","        285.50","        285.20","        284.54","     107018","            30450419.10","       2046","      61617","         57.58"
"TALWALKARS","EQ","13-Jun-2017","        285.20","        289.85","        297.75","        288.00","        290.00","        290.05","        293.24","     221142","            64848245.75","       4122","     113370","         51.27"
"TALWALKARS","EQ","14-Jun-2017","        290.05","        292.00","        311.90","        290.05","        299.60","        299.55","        303.92","     505858","           153741739.85","       8921","     143088","         28.29"
"TALWALKARS","EQ","15-Jun-2017","        299.55","        301.80","        307.80","        299.00","        306.80","        304.90","        304.58","     175462","            53441714.00","       3033","      90367","         51.50"
"TALWALKARS","EQ","16-Jun-2017","        304.90","        307.00","        307.70","        301.65","        305.20","        306.15","        305.06","      89454","            27288805.85","       2086","      41502","         46.39"
"TALWALKARS","EQ","19-Jun-2017","        306.15","        307.00","        307.95","        297.00","        297.10","        297.55","        301.07","      37570","            11311375.15","       1277","      24005","         63.89"
"TALWALKARS","EQ","20-Jun-2017","        297.55","        299.30","        299.30","        292.10","        295.55","        296.60","        295.10","      34009","            10036144.05","        891","      21404","         62.94"
"TALWALKARS","EQ","21-Jun-2017","        296.60","        300.35","        317.50","        299.00","        311.70","        313.25","        309.26","     259281","            80185720.35","       5408","      88605","         34.17"
"TALWALKARS","EQ","22-Jun-2017","        313.25","        315.50","        320.20","        299.00","        300.00","        301.20","        311.55","     233157","            72639535.65","       5406","      92822","         39.81"
"TALWALKARS","EQ","23-Jun-2017","        301.20","        301.95","        304.40","        291.20","        291.65","        293.45","        295.36","     125386","            37033421.35","       2868","      67436","         53.78"
"TALWALKARS","EQ","27-Jun-2017","        293.45","        292.15","        293.45","        285.40","        287.00","        288.00","        289.39","      81499","            23585195.85","       1676","      54543","         66.92"
"TALWALKARS","EQ","28-Jun-2017","        288.00","        286.00","        293.65","        283.00","        288.90","        290.75","        287.84","      71180","            20488323.00","       2127","      26419","         37.12"
"TALWALKARS","EQ","29-Jun-2017","        290.75","        291.40","        296.70","        288.10","        291.95","        291.85","        292.79","      60445","            17697815.60","       1897","      23173","         38.34"
"TALWALKARS","EQ","30-Jun-2017","        291.85","        290.00","        295.35","        287.65","        293.00","        292.50","        292.59","      54957","            16079865.70","       1123","      40110","         72.98"
