"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TNPETRO","EQ","03-Apr-2017","         36.80","         36.40","         38.80","         36.05","         38.70","         38.55","         37.90","     568507","            21546141.10","       2388","     343745","         60.46"
"TNPETRO","EQ","05-Apr-2017","         38.55","         40.00","         46.25","         39.85","         46.25","         46.15","         44.59","    5453742","           243160610.65","      19319","    1590285","         29.16"
"TNPETRO","EQ","06-Apr-2017","         46.15","         45.90","         51.00","         44.50","         48.10","         48.30","         48.90","    5064076","           247626425.20","      26068","    1017326","         20.09"
"TNPETRO","EQ","07-Apr-2017","         48.30","         47.70","         49.65","         47.05","         47.65","         47.50","         48.31","    1188674","            57427587.85","       7235","     409081","         34.41"
"TNPETRO","EQ","10-Apr-2017","         47.50","         47.95","         48.45","         46.00","         46.55","         46.40","         47.11","     452570","            21321122.60","       2926","     209058","         46.19"
"TNPETRO","EQ","11-Apr-2017","         46.40","         47.00","         47.00","         44.10","         44.65","         44.60","         45.22","     420701","            19022170.45","       2857","     250873","         59.63"
"TNPETRO","EQ","12-Apr-2017","         44.60","         44.70","         50.95","         44.70","         50.55","         50.50","         48.76","    2295807","           111942306.60","       9948","     899745","         39.19"
"TNPETRO","EQ","13-Apr-2017","         50.50","         54.50","         56.50","         52.75","         53.30","         53.35","         54.71","    5046247","           276057667.80","      23546","    1431335","         28.36"
"TNPETRO","EQ","17-Apr-2017","         53.35","         54.20","         55.00","         50.55","         50.95","         50.90","         52.33","    1086400","            56852016.70","       5612","     399853","         36.81"
"TNPETRO","EQ","18-Apr-2017","         50.90","         51.50","         52.15","         48.05","         49.40","         48.60","         49.86","     634768","            31652683.50","       3524","     286258","         45.10"
"TNPETRO","EQ","19-Apr-2017","         48.60","         49.30","         49.30","         47.10","         48.80","         48.20","         48.15","     370089","            17821441.50","       2441","     124519","         33.65"
"TNPETRO","EQ","20-Apr-2017","         48.20","         50.00","         50.50","         48.50","         49.15","         49.45","         49.45","     324711","            16055662.45","       1805","     127111","         39.15"
"TNPETRO","EQ","21-Apr-2017","         49.45","         49.35","         50.50","         48.00","         48.40","         48.30","         49.00","     268049","            13135657.70","       1680","     135624","         50.60"
"TNPETRO","EQ","24-Apr-2017","         48.30","         51.35","         52.00","         49.00","         49.40","         49.45","         50.32","     654776","            32946749.40","       4490","     261126","         39.88"
"TNPETRO","EQ","25-Apr-2017","         49.45","         49.75","         50.15","         48.30","         48.80","         48.80","         49.18","     253029","            12443770.15","       1589","     124770","         49.31"
"TNPETRO","EQ","26-Apr-2017","         48.80","         49.45","         49.45","         47.00","         47.30","         47.40","         48.07","     229750","            11043966.45","       1334","     114555","         49.86"
"TNPETRO","EQ","27-Apr-2017","         47.40","         47.75","         47.75","         46.00","         46.75","         46.25","         46.53","     194461","             9049046.60","       1377","      97087","         49.93"
"TNPETRO","EQ","28-Apr-2017","         46.25","         47.00","         47.25","         45.90","         46.00","         46.05","         46.35","     168077","             7791042.30","       1132","      89233","         53.09"
"TNPETRO","EQ","02-May-2017","         46.05","         46.05","         49.90","         46.00","         48.85","         48.80","         48.64","     643082","            31277679.00","       3797","     197524","         30.72"
"TNPETRO","EQ","03-May-2017","         48.80","         49.00","         49.60","         47.45","         47.70","         47.85","         48.48","     192190","             9316754.40","       1268","      80407","         41.84"
"TNPETRO","EQ","04-May-2017","         47.85","         47.95","         49.05","         47.10","         47.65","         48.00","         48.00","     186182","             8935975.35","       1208","      87480","         46.99"
"TNPETRO","EQ","05-May-2017","         48.00","         48.00","         48.00","         46.40","         46.55","         46.75","         47.11","     114390","             5389473.85","        737","      60669","         53.04"
"TNPETRO","EQ","08-May-2017","         46.75","         46.75","         47.55","         46.55","         46.65","         46.65","         46.88","      74462","             3491101.65","        583","      39548","         53.11"
"TNPETRO","EQ","09-May-2017","         46.65","         46.80","         47.70","         46.60","         46.90","         46.85","         47.16","      86925","             4099477.05","        592","      51065","         58.75"
"TNPETRO","EQ","10-May-2017","         46.85","         47.65","         47.75","         46.65","         47.05","         47.15","         47.19","     172422","             8135912.50","        733","      78989","         45.81"
"TNPETRO","EQ","11-May-2017","         47.15","         47.05","         47.45","         46.10","         46.40","         46.45","         46.71","     173920","             8123657.65","        889","      84940","         48.84"
"TNPETRO","EQ","12-May-2017","         46.45","         46.70","         46.80","         45.75","         46.25","         46.25","         46.15","     108857","             5023952.45","        671","      66876","         61.43"
"TNPETRO","EQ","15-May-2017","         46.25","         46.60","         47.90","         46.50","         47.30","         47.20","         47.16","     236596","            11157931.05","        914","     123041","         52.00"
"TNPETRO","EQ","16-May-2017","         47.20","         47.65","         49.00","         46.05","         47.00","         47.80","         47.67","     778135","            37095876.55","       2870","     297667","         38.25"
"TNPETRO","EQ","17-May-2017","         47.80","         45.00","         45.75","         43.30","         44.55","         44.40","         44.53","     441992","            19683178.45","       2709","     241229","         54.58"
"TNPETRO","EQ","18-May-2017","         44.40","         43.95","         44.60","         41.50","         41.75","         41.90","         42.80","     274534","            11749218.85","       1638","     166783","         60.75"
"TNPETRO","EQ","19-May-2017","         41.90","         42.30","         42.90","         40.25","         41.00","         40.80","         41.55","     165874","             6891797.35","       1184","      81463","         49.11"
"TNPETRO","EQ","22-May-2017","         40.80","         41.05","         41.05","         38.30","         38.55","         38.70","         39.09","     250922","             9809060.35","       1753","     126947","         50.59"
"TNPETRO","EQ","23-May-2017","         38.70","         39.10","         39.80","         36.50","         39.30","         39.15","         38.45","     244770","             9411242.20","       1719","      95524","         39.03"
"TNPETRO","EQ","24-May-2017","         39.15","         39.20","         39.85","         37.10","         37.25","         37.40","         38.32","     155375","             5953276.90","        839","      93686","         60.30"
"TNPETRO","EQ","25-May-2017","         37.40","         37.15","         39.00","         37.05","         38.50","         38.85","         38.22","     143052","             5466846.15","        867","      75828","         53.01"
"TNPETRO","EQ","26-May-2017","         38.85","         38.60","         43.60","         37.65","         43.00","         42.65","         41.41","     491061","            20335386.45","       3038","     179403","         36.53"
"TNPETRO","EQ","29-May-2017","         42.65","         43.00","         43.30","         40.75","         41.65","         41.45","         41.69","     184384","             7686359.25","       1276","      93498","         50.71"
"TNPETRO","EQ","30-May-2017","         41.45","         41.10","         41.40","         39.70","         39.85","         39.80","         40.27","      95908","             3862420.70","        788","      52280","         54.51"
"TNPETRO","EQ","31-May-2017","         39.80","         40.00","         40.95","         40.00","         40.00","         40.15","         40.29","      75915","             3058953.75","        587","      35140","         46.29"
"TNPETRO","EQ","01-Jun-2017","         40.15","         40.70","         40.80","         39.80","         39.90","         40.00","         40.22","      62436","             2511445.10","        433","      37854","         60.63"
"TNPETRO","EQ","02-Jun-2017","         40.00","         40.10","         40.50","         39.60","         39.90","         40.00","         40.10","      53260","             2135744.10","        481","      31244","         58.66"
"TNPETRO","EQ","05-Jun-2017","         40.00","         39.80","         40.80","         39.25","         39.70","         39.80","         39.91","      76753","             3063385.95","        577","      38104","         49.64"
"TNPETRO","EQ","06-Jun-2017","         39.80","         40.45","         40.50","         38.35","         38.40","         38.60","         39.11","      80322","             3141183.95","        506","      55929","         69.63"
"TNPETRO","EQ","07-Jun-2017","         38.60","         38.35","         39.80","         38.25","         39.40","         39.00","         39.02","      92535","             3611066.50","        715","      47672","         51.52"
"TNPETRO","EQ","08-Jun-2017","         39.00","         39.10","         39.55","         38.25","         39.35","         39.20","         38.98","      93944","             3662243.30","        538","      33690","         35.86"
"TNPETRO","EQ","09-Jun-2017","         39.20","         39.95","         40.20","         39.00","         39.90","         39.85","         39.45","      52179","             2058275.20","        430","      32321","         61.94"
"TNPETRO","EQ","12-Jun-2017","         39.85","         40.95","         40.95","         38.60","         38.70","         38.90","         39.04","      70295","             2744295.70","        463","      51336","         73.03"
"TNPETRO","EQ","13-Jun-2017","         38.90","         38.75","         39.65","         38.50","         39.10","         38.85","         39.08","      53202","             2079325.30","        430","      35451","         66.63"
"TNPETRO","EQ","14-Jun-2017","         38.85","         38.80","         39.40","         38.25","         38.25","         38.35","         38.52","      47310","             1822600.00","        340","      36302","         76.73"
"TNPETRO","EQ","15-Jun-2017","         38.35","         38.00","         39.35","         37.10","         38.30","         37.75","         37.87","     121421","             4597816.30","        890","      62129","         51.17"
"TNPETRO","EQ","16-Jun-2017","         37.75","         37.85","         39.30","         37.60","         38.15","         38.60","         38.70","     110112","             4261328.95","        775","      57449","         52.17"
"TNPETRO","EQ","19-Jun-2017","         38.60","         38.20","         39.00","         37.60","         37.85","         37.80","         38.17","      38722","             1477975.75","        356","      22442","         57.96"
"TNPETRO","EQ","20-Jun-2017","         37.80","         38.05","         38.75","         37.60","         38.20","         38.00","         37.83","      94897","             3590282.00","        399","      77369","         81.53"
"TNPETRO","EQ","21-Jun-2017","         38.00","         38.00","         40.40","         37.60","         39.05","         39.05","         39.31","     229934","             9038292.55","       1356","      69278","         30.13"
"TNPETRO","EQ","22-Jun-2017","         39.05","         39.45","         45.40","         39.35","         43.60","         43.80","         43.10","    1184932","            51068799.45","       6634","     391676","         33.05"
"TNPETRO","EQ","23-Jun-2017","         43.80","         44.00","         46.00","         41.65","         41.70","         42.15","         43.99","     478725","            21060882.20","       3783","     175004","         36.56"
"TNPETRO","EQ","27-Jun-2017","         42.15","         43.45","         43.45","         39.30","         40.05","         40.15","         40.49","     185196","             7498777.80","       1528","      72524","         39.16"
"TNPETRO","EQ","28-Jun-2017","         40.15","         39.70","         41.65","         39.15","         41.05","         41.05","         40.91","     125462","             5132787.90","        994","      51186","         40.80"
"TNPETRO","EQ","29-Jun-2017","         41.05","         41.40","         42.50","         40.35","         40.55","         40.90","         41.67","     124527","             5189128.40","       1069","      55737","         44.76"
"TNPETRO","EQ","30-Jun-2017","         40.90","         40.10","         41.40","         39.95","         40.85","         40.75","         40.73","      74146","             3019928.15","        595","      42740","         57.64"
