"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TARMAT","EQ","03-Apr-2017","         45.00","         43.60","         45.00","         43.60","         44.35","         44.35","         44.61","      10422","              464942.15","         55","       8484","         81.40"
"TARMAT","EQ","05-Apr-2017","         44.35","         47.00","         47.00","         44.00","         44.50","         44.80","         45.07","      10890","              490825.05","        102","       7011","         64.38"
"TARMAT","EQ","06-Apr-2017","         44.80","         43.10","         45.35","         43.10","         44.90","         44.70","         44.75","       1941","               86857.55","         31","       1300","         66.98"
"TARMAT","EQ","07-Apr-2017","         44.70","         43.10","         47.20","         43.10","         44.00","         43.85","         44.77","      25904","             1159795.20","        195","      14216","         54.88"
"TARMAT","EQ","10-Apr-2017","         43.85","         44.25","         52.60","         44.25","         52.60","         52.60","         50.63","     143596","             7270891.55","        983","      54044","         37.64"
"TARMAT","EQ","11-Apr-2017","         52.60","         55.90","         58.35","         53.35","         56.40","         56.00","         56.36","     403686","            22750201.45","       2756","     103746","         25.70"
"TARMAT","EQ","12-Apr-2017","         56.00","         58.25","         58.25","         50.95","         53.50","         52.95","         53.13","      51872","             2756044.70","        589","      24722","         47.66"
"TARMAT","EQ","13-Apr-2017","         52.95","         51.90","         55.70","         50.80","         51.00","         51.45","         53.25","      24878","             1324756.15","        307","       8977","         36.08"
"TARMAT","EQ","17-Apr-2017","         51.45","         49.50","         61.70","         49.40","         59.40","         60.35","         59.64","     248874","            14842518.55","       1261","     117779","         47.32"
"TARMAT","EQ","18-Apr-2017","         60.35","         60.50","         60.50","         54.30","         55.00","         54.55","         56.77","      98074","             5567174.35","       1133","      45053","         45.94"
"TARMAT","EQ","19-Apr-2017","         54.55","         53.50","         58.00","         53.50","         54.45","         54.65","         54.94","      12390","              680658.40","        201","       6023","         48.61"
"TARMAT","EQ","20-Apr-2017","         54.65","         56.00","         56.75","         48.10","         54.00","         53.80","         53.74","      22501","             1209301.85","        258","      11188","         49.72"
"TARMAT","EQ","21-Apr-2017","         53.80","         52.00","         60.20","         49.20","         56.50","         56.85","         56.97","      73297","             4175722.90","        704","      33176","         45.26"
"TARMAT","EQ","24-Apr-2017","         56.85","         57.00","         62.40","         55.65","         60.20","         60.10","         60.15","     113302","             6815372.45","        803","      49366","         43.57"
"TARMAT","EQ","25-Apr-2017","         60.10","         61.40","         61.50","         55.00","         56.00","         55.90","         58.44","      54301","             3173093.70","        487","      28995","         53.40"
"TARMAT","EQ","26-Apr-2017","         55.90","         55.30","         57.80","         53.40","         54.80","         54.00","         55.30","      10446","              577682.25","        143","       6053","         57.95"
"TARMAT","BE","27-Apr-2017","         54.00","         56.50","         56.50","         51.30","         51.30","         51.60","         52.03","       9362","              487074.95","         42","-","-"
"TARMAT","BE","28-Apr-2017","         51.60","         53.95","         53.95","         50.25","         50.30","         50.40","         51.01","       6038","              308011.60","         34","-","-"
"TARMAT","BE","02-May-2017","         50.40","         50.30","         51.45","         47.90","         49.10","         49.80","         49.14","       3702","              181914.70","         81","-","-"
"TARMAT","BE","03-May-2017","         49.80","         49.55","         49.60","         48.00","         48.00","         48.20","         48.77","       7010","              341894.90","         37","-","-"
"TARMAT","BE","04-May-2017","         48.20","         48.20","         49.90","         48.00","         48.00","         48.05","         48.41","       8545","              413644.50","         24","-","-"
