"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TERASOFT","EQ","03-Jul-2017","         72.75","         73.10","         75.85","         71.00","         74.25","         74.60","         73.70","      33114","             2440356.25","        539","      18743","         56.60"
"TERASOFT","EQ","04-Jul-2017","         74.60","         74.00","         74.80","         72.55","         73.15","         73.85","         73.75","       7791","              574552.45","        194","       5288","         67.87"
"TERASOFT","EQ","05-Jul-2017","         73.85","         73.05","         80.00","         72.00","         78.95","         78.50","         76.66","      71306","             5466674.00","        810","      35135","         49.27"
"TERASOFT","EQ","06-Jul-2017","         78.50","         78.90","         81.95","         78.00","         78.15","         78.50","         80.04","      59175","             4736381.45","        870","      32676","         55.22"
"TERASOFT","EQ","07-Jul-2017","         78.50","         78.15","         80.45","         77.25","         79.40","         78.80","         79.08","      20116","             1590755.80","        309","      17418","         86.59"
"TERASOFT","EQ","10-Jul-2017","         78.80","         78.30","         79.50","         78.00","         79.00","         79.25","         78.89","       2132","              168202.00","         49","       1515","         71.06"
"TERASOFT","EQ","11-Jul-2017","         79.25","         79.00","         82.40","         78.05","         79.45","         79.65","         80.36","     129130","            10376999.90","       1155","      56918","         44.08"
"TERASOFT","EQ","12-Jul-2017","         79.65","         79.45","         81.40","         78.15","         78.70","         79.15","         79.48","      14516","             1153690.45","        232","       8964","         61.75"
"TERASOFT","EQ","13-Jul-2017","         79.15","         79.15","         80.75","         76.40","         77.00","         77.20","         78.24","      10071","              787938.75","        204","       7277","         72.26"
"TERASOFT","EQ","14-Jul-2017","         77.20","         77.00","         79.45","         74.50","         75.05","         75.00","         75.82","      33673","             2552926.60","        424","      21829","         64.83"
"TERASOFT","EQ","17-Jul-2017","         75.00","         76.95","         76.95","         74.00","         74.60","         74.25","         74.58","       9147","              682164.45","        233","       4413","         48.25"
"TERASOFT","EQ","18-Jul-2017","         74.25","         74.30","         76.00","         74.10","         74.20","         74.90","         75.29","      37316","             2809501.75","        218","      28983","         77.67"
"TERASOFT","EQ","19-Jul-2017","         74.90","         74.20","         81.90","         74.20","         81.80","         81.40","         80.33","     189922","            15256247.65","       1343","      90105","         47.44"
"TERASOFT","EQ","20-Jul-2017","         81.40","         84.95","         86.60","         81.50","         82.65","         82.85","         84.83","     294128","            24951205.40","       2496","     132041","         44.89"
"TERASOFT","EQ","21-Jul-2017","         82.85","         82.00","         82.90","         79.00","         79.15","         79.60","         80.18","      44498","             3567783.70","        608","      25699","         57.75"
"TERASOFT","EQ","24-Jul-2017","         79.60","         79.20","         80.00","         77.90","         78.00","         78.40","         78.45","      26052","             2043764.20","        339","      16083","         61.73"
"TERASOFT","EQ","25-Jul-2017","         78.40","         78.00","         78.75","         76.85","         76.85","         77.05","         77.56","      15345","             1190102.50","        218","      13564","         88.39"
"TERASOFT","EQ","26-Jul-2017","         77.05","         77.00","         79.00","         75.10","         76.50","         76.15","         77.20","      35204","             2717745.90","        400","      20335","         57.76"
"TERASOFT","EQ","27-Jul-2017","         76.15","         76.00","         76.95","         74.25","         75.00","         75.00","         75.80","      17597","             1333876.45","        287","      12240","         69.56"
"TERASOFT","EQ","28-Jul-2017","         75.00","         75.25","         77.90","         74.00","         75.00","         74.65","         75.91","      20171","             1531243.05","        395","       7178","         35.59"
"TERASOFT","EQ","31-Jul-2017","         74.65","         75.30","         76.20","         74.25","         74.70","         74.85","         75.61","      15172","             1147121.10","        115","      12009","         79.15"
"TERASOFT","EQ","01-Aug-2017","         74.85","         75.35","         75.40","         72.90","         73.20","         73.35","         74.17","      17204","             1275939.35","        221","      11764","         68.38"
"TERASOFT","EQ","02-Aug-2017","         73.35","         73.95","         74.25","         73.00","         73.65","         73.45","         73.55","       5934","              436426.75","         84","       3880","         65.39"
"TERASOFT","EQ","03-Aug-2017","         73.45","         72.15","         73.20","         71.00","         71.35","         71.35","         72.16","      28534","             2059047.45","        201","      24989","         87.58"
"TERASOFT","EQ","04-Aug-2017","         71.35","         70.80","         72.00","         69.10","         70.70","         70.55","         70.36","      15029","             1057482.90","        293","      10401","         69.21"
"TERASOFT","EQ","07-Aug-2017","         70.55","         70.70","         71.90","         69.00","         70.20","         70.35","         70.65","      10845","              766205.15","        175","       6056","         55.84"
"TERASOFT","EQ","08-Aug-2017","         70.35","         70.20","         70.40","         67.05","         69.00","         69.05","         68.29","       9818","              670452.30","        189","       6987","         71.17"
"TERASOFT","EQ","09-Aug-2017","         69.05","         69.00","         69.00","         65.30","         67.00","         66.25","         66.81","      23746","             1586388.15","        302","      15654","         65.92"
"TERASOFT","EQ","10-Aug-2017","         66.25","         66.50","         68.65","         63.35","         65.50","         65.05","         66.57","      35240","             2345772.35","        489","      14715","         41.76"
"TERASOFT","EQ","11-Aug-2017","         65.05","         64.00","         66.00","         59.20","         64.35","         65.00","         62.98","      12011","              756474.10","        255","       7825","         65.15"
"TERASOFT","EQ","14-Aug-2017","         65.00","         64.65","         67.80","         63.00","         67.00","         66.95","         65.82","      11832","              778740.10","        284","       7524","         63.59"
"TERASOFT","EQ","16-Aug-2017","         66.95","         67.00","         67.55","         64.45","         65.10","         65.40","         65.39","      17574","             1149127.65","        169","      12484","         71.04"
"TERASOFT","EQ","17-Aug-2017","         65.40","         66.95","         67.00","         65.00","         65.05","         65.15","         65.31","       8214","              536422.85","        161","       5863","         71.38"
"TERASOFT","EQ","18-Aug-2017","         65.15","         64.55","         65.45","         64.30","         64.80","         64.40","         64.67","       4753","              307364.80","         72","       3894","         81.93"
"TERASOFT","EQ","21-Aug-2017","         64.40","         62.75","         64.50","         61.50","         61.60","         62.40","         62.95","      15162","              954397.45","        191","      11899","         78.48"
"TERASOFT","EQ","22-Aug-2017","         62.40","         64.00","         64.00","         60.20","         60.70","         60.40","         61.20","      17618","             1078216.65","        205","      12304","         69.84"
"TERASOFT","EQ","23-Aug-2017","         60.40","         61.00","         62.30","         60.40","         60.75","         60.95","         61.19","      11383","              696532.50","        192","       7001","         61.50"
"TERASOFT","EQ","24-Aug-2017","         60.95","         61.50","         61.95","         60.40","         61.70","         60.90","         60.91","       8273","              503943.55","        143","       5474","         66.17"
"TERASOFT","EQ","28-Aug-2017","         60.90","         60.50","         64.00","         60.50","         63.75","         63.10","         62.51","       8296","              518553.30","        152","       6494","         78.28"
"TERASOFT","EQ","29-Aug-2017","         63.10","         63.75","         65.50","         62.00","         62.00","         62.55","         63.30","      18938","             1198776.65","        142","      14739","         77.83"
"TERASOFT","EQ","30-Aug-2017","         62.55","         62.60","         63.00","         61.40","         62.75","         62.50","         62.38","       7274","              453778.30","        110","       5542","         76.19"
"TERASOFT","EQ","31-Aug-2017","         62.50","         62.20","         62.80","         61.35","         62.00","         62.00","         61.74","      22368","             1380975.20","        121","      18596","         83.14"
"TERASOFT","EQ","01-Sep-2017","         62.00","         62.15","         67.75","         62.15","         66.40","         66.65","         65.91","      32583","             2147655.10","        355","      20658","         63.40"
"TERASOFT","EQ","04-Sep-2017","         66.65","         66.50","         68.90","         65.10","         65.50","         66.35","         66.57","      17039","             1134349.00","        214","      14335","         84.13"
"TERASOFT","EQ","05-Sep-2017","         66.35","         67.95","         67.95","         66.00","         67.45","         67.25","         67.29","       7000","              471018.20","        110","       5196","         74.23"
"TERASOFT","EQ","06-Sep-2017","         67.25","         66.00","         67.00","         64.55","         66.50","         65.50","         65.68","      13049","              857086.15","        215","       9135","         70.01"
"TERASOFT","EQ","07-Sep-2017","         65.50","         66.50","         67.65","         65.10","         67.15","         67.10","         66.59","       7366","              490506.05","        112","       5552","         75.37"
"TERASOFT","EQ","08-Sep-2017","         67.10","         66.00","         67.50","         65.60","         65.65","         65.90","         66.45","      10701","              711113.75","        116","       8928","         83.43"
"TERASOFT","EQ","11-Sep-2017","         65.90","         66.15","         67.80","         62.10","         62.65","         63.65","         64.72","      16422","             1062811.15","        215","      11848","         72.15"
"TERASOFT","EQ","12-Sep-2017","         63.65","         64.10","         64.95","         62.40","         63.90","         63.80","         63.76","      10471","              667619.05","        151","       7692","         73.46"
"TERASOFT","EQ","13-Sep-2017","         63.80","         61.90","         63.80","         59.00","         61.75","         61.95","         61.60","      28613","             1762575.65","        368","      17735","         61.98"
"TERASOFT","EQ","14-Sep-2017","         61.95","         63.20","         63.25","         61.10","         61.50","         61.40","         61.74","      15804","              975803.85","        102","       9849","         62.32"
"TERASOFT","EQ","15-Sep-2017","         61.40","         62.35","         68.00","         60.05","         62.40","         62.70","         63.81","      85048","             5426702.55","        769","      28053","         32.98"
"TERASOFT","EQ","18-Sep-2017","         62.70","         62.40","         64.70","         59.00","         64.50","         64.55","         62.08","      51550","             3200343.50","        357","      40656","         78.87"
"TERASOFT","EQ","19-Sep-2017","         64.55","         64.00","         64.00","         62.35","         62.70","         62.80","         62.98","      10462","              658871.25","         98","       9634","         92.09"
