"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TEXINFRA","EQ","02-Jan-2017","         42.15","         43.30","         43.70","         42.05","         42.95","         43.10","         43.04","      31238","             1344609.35","        307","      20207","         64.69"
"TEXINFRA","EQ","03-Jan-2017","         43.10","         43.45","         45.60","         42.60","         44.05","         44.15","         44.28","     360849","            15978623.65","       1494","     238706","         66.15"
"TEXINFRA","EQ","04-Jan-2017","         44.15","         44.40","         44.50","         42.35","         43.25","         42.90","         43.74","     132923","             5813975.75","        631","     106092","         79.81"
"TEXINFRA","EQ","05-Jan-2017","         42.90","         43.20","         43.80","         42.50","         43.20","         43.15","         43.14","      50578","             2181687.65","        374","      34841","         68.89"
"TEXINFRA","EQ","06-Jan-2017","         43.15","         43.70","         43.70","         41.80","         42.30","         42.15","         42.40","      77181","             3272417.15","        541","      36920","         47.84"
"TEXINFRA","EQ","09-Jan-2017","         42.15","         42.65","         42.70","         41.60","         42.50","         42.35","         42.15","      60153","             2535377.95","        297","      44048","         73.23"
"TEXINFRA","EQ","10-Jan-2017","         42.35","         42.75","         43.50","         42.15","         42.70","         42.75","         42.97","      63861","             2743915.55","        556","      33562","         52.55"
"TEXINFRA","EQ","11-Jan-2017","         42.75","         42.80","         43.30","         41.75","         42.50","         42.50","         42.51","     137790","             5857888.40","        366","     116685","         84.68"
"TEXINFRA","EQ","12-Jan-2017","         42.50","         42.80","         43.70","         42.15","         42.65","         42.60","         42.61","      98683","             4204933.45","        616","      56843","         57.60"
"TEXINFRA","EQ","13-Jan-2017","         42.60","         42.90","         43.70","         41.95","         42.95","         42.75","         42.45","      36217","             1537436.60","        255","      16044","         44.30"
"TEXINFRA","EQ","16-Jan-2017","         42.75","         42.40","         42.90","         42.00","         42.60","         42.50","         42.46","      52360","             2223317.85","        233","      33297","         63.59"
"TEXINFRA","EQ","17-Jan-2017","         42.50","         42.50","         42.95","         42.25","         42.65","         42.55","         42.57","      49727","             2116634.60","        248","      32934","         66.23"
"TEXINFRA","EQ","18-Jan-2017","         42.55","         42.65","         43.45","         42.30","         43.00","         42.75","         42.74","      41039","             1753821.75","        340","      25570","         62.31"
"TEXINFRA","EQ","19-Jan-2017","         42.75","         42.95","         43.10","         42.20","         42.50","         42.35","         42.51","      62773","             2668224.50","        316","      42479","         67.67"
"TEXINFRA","EQ","20-Jan-2017","         42.35","         42.25","         44.40","         42.00","         43.00","         43.05","         43.30","     191262","             8281895.95","       1317","      90546","         47.34"
"TEXINFRA","EQ","23-Jan-2017","         43.05","         43.35","         44.70","         42.50","         44.70","         44.45","         44.08","     117113","             5162525.00","        626","      83127","         70.98"
"TEXINFRA","EQ","24-Jan-2017","         44.45","         44.40","         48.35","         43.90","         47.90","         47.35","         46.30","     646711","            29943333.25","       3027","     337557","         52.20"
"TEXINFRA","EQ","25-Jan-2017","         47.35","         47.95","         53.00","         47.50","         47.85","         48.20","         50.11","    2872336","           143924961.85","      13327","     960645","         33.44"
"TEXINFRA","EQ","27-Jan-2017","         48.20","         48.20","         48.65","         45.80","         46.10","         46.10","         46.83","     283057","            13255090.25","       2330","     130768","         46.20"
"TEXINFRA","EQ","30-Jan-2017","         46.10","         46.40","         46.90","         44.10","         44.40","         44.30","         45.40","     203365","             9232406.40","       1580","     117251","         57.66"
"TEXINFRA","EQ","31-Jan-2017","         44.30","         44.70","         45.00","         43.05","         44.10","         44.00","         43.74","     210662","             9213333.50","       1323","     123761","         58.75"
"TEXINFRA","EQ","01-Feb-2017","         44.00","         44.70","         45.20","         42.95","         44.25","         44.10","         44.05","     360159","            15866578.10","       2462","     171051","         47.49"
"TEXINFRA","EQ","02-Feb-2017","         44.10","         44.10","         44.45","         43.10","         43.85","         43.65","         43.70","     167094","             7301436.20","        928","     101202","         60.57"
"TEXINFRA","EQ","03-Feb-2017","         43.65","         43.55","         44.05","         43.05","         43.75","         43.45","         43.57","     174151","             7588364.20","        650","     127936","         73.46"
"TEXINFRA","EQ","06-Feb-2017","         43.45","         43.50","         46.80","         43.30","         43.60","         43.80","         43.99","      73770","             3244898.20","        547","      54059","         73.28"
"TEXINFRA","EQ","07-Feb-2017","         43.80","         44.00","         44.10","         43.20","         43.45","         43.50","         43.63","      67145","             2929276.75","        414","      50076","         74.58"
"TEXINFRA","EQ","08-Feb-2017","         43.50","         43.25","         44.20","         43.25","         43.50","         43.60","         43.71","      48867","             2136055.20","        412","      33663","         68.89"
"TEXINFRA","EQ","09-Feb-2017","         43.60","         44.00","         44.00","         42.80","         43.45","         43.25","         43.29","      55594","             2406544.95","        413","      40005","         71.96"
"TEXINFRA","EQ","10-Feb-2017","         43.25","         43.15","         43.25","         41.80","         42.50","         42.40","         42.25","     140650","             5942481.40","        613","     106908","         76.01"
